name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"1,946,667,000","482,229,000","498,530,000","492,949,000","472,959,000","446,753,000","416,630,000","460,635,000","509,203,000","845,918,000","905,375,000","888,675,000","868,309,000","851,183,000","932,696,000","896,652,000","915,918,000","901,857,000","910,820,000","868,951,000","842,944,000","835,597,000","830,770,000","828,006,000","771,759,000","752,624,000","741,740,000","722,273,000","676,588,000","639,395,000","650,524,000","626,506,000","595,544,000","566,338,000","567,387,000","554,730,000","529,180,000","502,715,000","471,332,000","473,134,000","449,530,000","422,616,000","404,898,000","407,665,000","393,402,000","382,283,000","368,480,000","351,058,000","349,094,000","332,927,000","333,288,000","331,276,000","319,815,000","303,885,000","297,815,000","267,185,000","257,704,000","245,573,000","239,502,000","236,876,000","226,810,000","214,456,000","211,313,000","215,755,000","203,807,000","187,679,000","177,695,000","178,099,000","173,756,000","164,150,000","160,993,000","158,333,000","152,187,000","148,116,000","145,782,000","145,514,000","133,701,000","126,200,000","119,473,000","122,502,000","116,223,000","107,282,000","104,754,000","102,784,000","83,137,000","63,920,000","64,216,000","64,272,000","55,178,000","59,409,000","58,500,000","57,900,000","56,800,000","53,800,000","52,100,000","49,400,000","46,100,000","37,800,000","36,800,000","34,400,000","30,600,000","27,000,000","24,500,000","22,400,000","17,800,000","16,100,000","13,400,000","12,500,000","9,000,000","9,000,000","8,200,000","8,100,000","8,100,000","8,100,000"
	OperatingRevenue,"1,912,777,000","469,561,000","479,017,000","492,345,000","471,854,000","438,129,000","411,673,000","444,122,000","493,611,000","838,982,000","899,547,000","882,682,000","862,266,000","844,306,000","879,229,000","845,111,000","915,918,000","901,857,000","910,820,000","868,951,000","842,944,000","835,597,000","8,294,800,000","828,006,000","771,759,000","752,624,000","741,740,000","722,273,000","676,588,000","639,395,000","650,524,000","626,506,000","595,544,000","566,338,000","567,387,000","554,730,000","529,180,000","502,715,000","471,332,000","473,134,000","449,530,000","422,616,000","404,898,000","407,665,000","393,402,000","382,283,000","368,480,000","351,058,000","349,094,000","332,927,000","333,288,000","331,276,000","319,815,000","303,885,000","297,815,000","267,185,000","257,704,000","245,573,000","239,502,000","236,876,000","226,810,000","214,456,000","211,313,000","215,755,000","203,807,000","187,679,000","177,695,000","178,099,000","173,756,000","164,150,000","160,993,000","158,333,000","152,187,000","148,116,000","145,782,000","145,514,000","133,701,000","126,200,000","119,473,000","122,502,000","116,223,000","107,282,000","104,754,000","102,784,000","83,137,000","63,920,000","64,216,000","64,272,000","55,178,000","59,409,000","58,500,000","57,900,000","56,800,000","53,800,000","52,100,000","49,400,000","46,100,000","37,800,000","36,800,000","34,400,000","30,600,000","27,000,000","24,500,000","22,400,000","17,800,000","16,100,000","13,400,000","12,500,000","9,000,000","9,000,000","8,200,000","8,100,000","8,100,000","8,100,000"
CostOfRevenue,"1,428,369,000","371,644,000","360,627,000","354,881,000","341,217,000","341,224,000","309,007,000","332,344,000","370,691,000","677,985,000","679,977,000","657,259,000","636,978,000","647,330,000","686,442,000","655,876,000","652,813,000","662,485,000","649,808,000","615,973,000","592,290,000","600,181,000","565,689,000","553,473,000","511,617,000","518,857,000","487,238,000","474,040,000","447,681,000","443,026,000","427,895,000","416,364,000","394,682,000","393,457,000","377,343,000","366,324,000","351,338,000","348,701,000","309,947,000","309,636,000","293,907,000","289,246,000","263,277,000","263,405,000","251,545,000","258,984,000","237,246,000","225,864,000","222,824,000","226,497,000","213,193,000","211,329,000","204,554,000","206,649,000","194,969,000","170,944,000","161,225,000","161,074,000","539,485,000","9,395,000","136,266,000","139,845,000","129,231,000","128,928,000","123,023,000","7,802,000","7,569,000","7,015,000","6,844,000","6,250,000","7,048,000","5,895,000","5,960,000","5,351,000","5,027,000","4,778,000","4,718,000","4,065,000","4,351,000","3,997,000","3,954,000","3,489,000",,"10,160,000","8,819,000","6,857,000","7,275,000","7,002,000","6,677,000","5,721,000","5,700,000","5,800,000","5,100,000","4,500,000","4,400,000","3,600,000","3,400,000","2,700,000","2,900,000","2,500,000","2,400,000",,"2,100,000","1,700,000","1,300,000","1,200,000",,,,,,,,
GrossProfit,"518,298,000","110,585,000","137,903,000","138,068,000","131,742,000","105,529,000","107,623,000","128,291,000","138,512,000","167,933,000","225,398,000","231,416,000","231,331,000","203,853,000","246,254,000","240,776,000","263,105,000","239,372,000","261,012,000","252,978,000","250,654,000","235,416,000","265,081,000","274,533,000","260,142,000","233,767,000","254,502,000","248,233,000","228,907,000","196,369,000","222,629,000","210,142,000","200,862,000","172,881,000","190,044,000","188,406,000","177,842,000","154,014,000","161,385,000","163,498,000","155,623,000","133,370,000","141,621,000","144,260,000","141,857,000","123,299,000","131,234,000","125,194,000","126,270,000","106,430,000","120,095,000","119,947,000","115,261,000","97,236,000","102,846,000","96,241,000","96,479,000","84,499,000","-299,983,000","227,481,000","90,544,000","74,611,000","82,082,000","86,827,000","80,784,000","179,877,000","170,126,000","171,084,000","166,912,000","157,900,000","153,945,000","152,438,000","146,227,000","142,765,000","140,755,000","140,736,000","128,983,000","122,135,000","115,122,000","118,505,000","112,269,000","103,793,000",,"92,624,000","74,318,000","57,063,000","56,941,000","57,270,000","48,501,000","53,688,000","52,800,000","52,100,000","51,700,000","49,300,000","47,700,000","45,800,000","42,700,000","35,100,000","33,900,000","31,900,000","28,200,000",,"22,400,000","20,700,000","16,500,000","14,900,000",,,,,,,,
OperatingExpense,"291,013,000","70,056,000","66,840,000","75,043,000","79,074,000","74,547,000","62,363,000","73,541,000","92,067,000","123,908,000","116,336,000","121,964,000","123,349,000","121,854,000","142,680,000","131,614,000","134,426,000","134,939,000","135,309,000","126,546,000","128,750,000","129,379,000","122,303,000","117,642,000","112,357,000","109,534,000","103,542,000","97,103,000","87,950,000","81,548,000","81,543,000","71,999,000","71,190,000","68,784,000","66,127,000","65,115,000","64,471,000","62,462,000","58,362,000","56,125,000","55,887,000","53,982,000","50,112,000","49,223,000","48,734,000","47,579,000","45,348,000","43,820,000","44,170,000","42,879,000","40,911,000","41,604,000","40,482,000","40,613,000","37,464,000","34,045,000","33,955,000","32,572,000","-360,979,000","164,339,000","32,305,000","36,088,000","31,284,000","30,279,000","27,224,000","142,069,000","140,471,000","126,271,000","123,035,000","128,579,000","113,751,000","110,892,000","105,824,000","108,685,000","102,062,000","102,534,000","96,557,000","94,567,000","84,422,000","87,235,000","84,386,000","81,571,000","111,372,000","72,877,000","61,849,000","50,058,000","48,318,000","48,898,000","47,673,000","46,639,000","43,200,000","42,500,000","38,300,000","37,100,000","33,700,000","32,700,000","30,700,000","25,300,000","23,600,000","23,200,000","20,800,000","20,500,000","16,500,000","15,000,000","11,800,000","11,000,000","6,500,000","9,300,000",,,,,,
	SellingGeneralAndAdministration,"258,128,000","61,287,000","58,981,000","66,892,000","70,968,000","66,516,000","54,671,000","66,346,000","77,674,000","105,235,000","96,926,000","102,356,000","103,540,000","101,821,000","112,789,000","102,905,000","107,908,000","108,776,000","108,895,000","101,430,000","103,015,000","103,765,000","97,049,000","93,457,000","92,116,000","89,950,000","85,393,000","80,185,000","72,401,000","67,936,000","67,641,000","60,643,000","60,829,000","58,414,000","55,636,000","54,654,000","54,601,000","53,318,000","50,271,000","48,200,000","48,200,000","46,869,000","42,846,000","43,010,000","42,702,000","41,798,000","39,505,000","37,499,000","39,164,000","38,099,000","36,569,000","37,648,000","36,295,000","36,650,000","33,444,000","30,749,000","31,016,000","29,756,000","-363,057,000","161,762,000","29,839,000","33,615,000","28,874,000","27,971,000","24,820,000","139,721,000","138,071,000","123,932,000","120,506,000","125,932,000","111,397,000","108,594,000","103,487,000","106,322,000","99,705,000","100,039,000","94,654,000","92,917,000","82,734,000","85,715,000","82,923,000","80,106,000","104,960,000","66,533,000","56,746,000","46,480,000","44,757,000","45,420,000","44,238,000","43,303,000","39,900,000","39,300,000","35,300,000","34,400,000","31,200,000","30,300,000","28,600,000","23,600,000","22,200,000","21,900,000","19,800,000","19,700,000","15,800,000","14,500,000","11,500,000","10,800,000","6,300,000","9,200,000",,,,,,
		GeneralAndAdministrativeExpense,"258,128,000","61,287,000","58,981,000","66,892,000","70,968,000","66,516,000","54,671,000","66,346,000","77,674,000","105,235,000","96,926,000","102,356,000","103,540,000","101,821,000","112,789,000","102,905,000","107,908,000","108,776,000","108,895,000","101,430,000","103,015,000","103,765,000","97,049,000","93,457,000","92,116,000","89,950,000","85,393,000","80,185,000","72,401,000","67,936,000","67,641,000","60,643,000","60,829,000","58,414,000","55,636,000","54,654,000","54,601,000","53,318,000","50,271,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"258,128,000","61,287,000","58,981,000","66,892,000","70,968,000","66,516,000","54,671,000","66,346,000","77,674,000","105,235,000","96,926,000","102,356,000","103,540,000","101,821,000","112,789,000","102,905,000","107,908,000","108,776,000","108,895,000","101,430,000","103,015,000","103,765,000","97,049,000","93,457,000","92,116,000","89,950,000","85,393,000","80,185,000","72,401,000","67,936,000","67,641,000","60,643,000","60,829,000","58,414,000","55,636,000","54,654,000","54,601,000","53,318,000","50,271,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"32,885,000","8,769,000","7,859,000","8,151,000","8,106,000","8,031,000","7,692,000","7,195,000","14,393,000","18,673,000","19,410,000","19,608,000","19,809,000","20,033,000","29,891,000","28,709,000","26,518,000","26,163,000","26,414,000","25,116,000","25,735,000","25,614,000","25,254,000","24,185,000","20,241,000","19,584,000","18,149,000","16,918,000","15,549,000","13,612,000","13,902,000","11,356,000","10,361,000","10,370,000","10,491,000","10,461,000","9,870,000","9,144,000","8,091,000","7,925,000","7,687,000","7,113,000","7,266,000","6,213,000","6,032,000","5,781,000","5,843,000","6,321,000","5,006,000","4,780,000","4,342,000","3,956,000","4,187,000","3,963,000","4,020,000","3,296,000","2,939,000","2,816,000","2,078,000","2,577,000","2,466,000","2,473,000","2,410,000","2,308,000","2,404,000","2,348,000","2,400,000","2,339,000","2,529,000","2,647,000","2,354,000","2,298,000","2,337,000","2,363,000","2,357,000","2,495,000","1,903,000","1,650,000","1,688,000","1,520,000","1,463,000","1,465,000","6,412,000","6,344,000","5,103,000","3,578,000","3,561,000","3,478,000","3,435,000","3,336,000","3,300,000","3,200,000","3,000,000","2,700,000","2,500,000","2,400,000","2,100,000","1,700,000","1,400,000","1,300,000","1,000,000","800,000","700,000","500,000","300,000","200,000","200,000","100,000",,,,,,
		DepreciationAndAmortizationInIncomeStatement,"32,885,000","8,769,000","7,859,000","8,151,000","8,106,000","8,031,000","7,692,000","7,195,000","14,393,000","18,673,000","19,410,000","19,608,000","19,809,000","20,033,000","29,891,000","28,709,000","26,518,000","26,163,000","26,414,000","25,116,000","25,735,000","25,614,000","25,254,000","24,185,000","20,241,000","19,584,000","18,149,000","16,918,000","15,549,000","13,612,000","13,902,000","11,356,000","10,361,000","10,370,000","10,491,000","10,461,000","9,870,000","9,144,000","8,091,000","7,925,000","7,687,000","7,113,000","7,266,000","6,213,000","6,032,000","5,781,000","5,843,000","6,321,000","5,006,000","4,780,000","4,342,000","3,956,000","4,187,000","3,963,000","4,020,000","3,296,000","2,939,000","2,816,000","2,078,000","2,577,000","2,466,000","2,473,000","2,410,000","2,308,000","2,404,000","2,348,000","2,400,000","2,339,000","2,529,000","2,647,000","2,354,000","2,298,000","2,337,000","2,363,000","2,357,000","2,495,000","1,903,000","1,650,000","1,688,000","1,520,000","1,463,000","1,465,000","6,412,000","6,344,000","5,103,000","3,578,000","3,561,000","3,478,000","3,435,000","3,336,000","3,300,000","3,200,000","3,000,000","2,700,000","2,500,000","2,400,000","2,100,000","1,700,000","1,400,000","1,300,000","1,000,000","800,000","700,000","500,000","300,000","200,000","200,000","100,000",,,,,,
