name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003
TotalRevenue,"1,281,100,000","307,600,000","324,600,000","319,600,000","329,300,000","310,100,000","323,300,000","323,200,000","279,800,000","290,900,000","321,300,000","324,600,000","323,800,000","315,400,000","345,800,000","347,200,000","374,600,000","380,000,000","408,200,000","397,800,000","410,000,000","386,100,000","505,200,000","383,100,000","383,700,000","358,400,000","376,700,000","368,600,000","358,800,000","330,600,000","349,600,000","358,000,000","372,400,000","374,900,000","385,800,000","383,000,000","365,100,000","340,500,000","354,413,000","338,550,000","330,142,000","318,095,000","321,845,000","321,947,000","309,953,000","294,024,000","301,250,000","292,887,000","283,620,000","288,896,000","296,380,000","304,450,000","291,181,000","279,891,000","318,969,000","304,999,000","286,088,000","17,062,000","-827,354,000","341,581,000","333,259,000","310,051,000","306,543,000","296,431,000","292,913,000","263,672,000","256,935,000","246,385,000","240,000,000","227,915,000","219,236,000","216,153,000","102,189,000","191,321,000","473,761,000","90,776,000","91,932,000"
	OperatingRevenue,"1,281,100,000","307,600,000","324,600,000","319,600,000","329,300,000","310,100,000","323,300,000","323,200,000","279,800,000","290,900,000","321,300,000","324,600,000","323,800,000","315,400,000","345,800,000","347,200,000","374,600,000","380,000,000","408,200,000","397,800,000","410,000,000","386,100,000","505,200,000","383,100,000","383,700,000","358,400,000","376,700,000","368,600,000","358,800,000","330,600,000","349,600,000","358,000,000","372,400,000","374,900,000","385,800,000","383,000,000","365,100,000","340,500,000","354,413,000","338,550,000","330,142,000","318,095,000","321,845,000","321,947,000","309,953,000","294,024,000","301,250,000","292,887,000","283,620,000","288,896,000","296,380,000","304,450,000","291,181,000","279,891,000","318,969,000","304,999,000","286,088,000","17,062,000","-827,354,000","341,581,000","333,259,000","310,051,000","307,626,000","297,300,000","293,353,000","264,092,000","258,584,000","248,009,000","240,330,000","228,021,000","219,236,000","216,153,000","102,189,000","190,276,000","434,143,000","108,067,000","102,828,000"
CostOfRevenue,"902,300,000","217,900,000","223,400,000","224,300,000","236,700,000","227,500,000","232,100,000","230,800,000","206,100,000","207,800,000","232,700,000","216,300,000","221,300,000","220,300,000","235,300,000","236,400,000","255,500,000","264,800,000","266,200,000","261,800,000","263,100,000","258,800,000","365,100,000","243,200,000","247,900,000","234,500,000","243,900,000","242,000,000","251,200,000","228,200,000","220,900,000","233,100,000","246,700,000","240,700,000","242,200,000","244,900,000","236,100,000","219,900,000","399,866,000","152,466,000","146,776,000","141,992,000","142,023,000","141,109,000","135,672,000","129,200,000","131,234,000","127,184,000","120,464,000","122,614,000","128,679,000","128,727,000","122,118,000","118,943,000","125,410,000","141,365,000","123,713,000","214,121,000","175,697,000","170,352,000","165,599,000","152,260,000","152,067,000","146,664,000","138,655,000","126,273,000","125,472,000","119,829,000","115,030,000","110,141,000","-140,590,000","104,305,000","27,447,000","90,249,000",,,
GrossProfit,"378,800,000","89,700,000","101,200,000","95,300,000","92,600,000","82,600,000","91,200,000","92,400,000","73,700,000","83,100,000","88,600,000","108,300,000","102,500,000","95,100,000","110,500,000","110,800,000","119,100,000","115,200,000","142,000,000","136,000,000","146,900,000","127,300,000","140,100,000","139,900,000","135,800,000","123,900,000","132,800,000","126,600,000","107,600,000","102,400,000","128,700,000","124,900,000","125,700,000","134,200,000","143,600,000","138,100,000","129,000,000","120,600,000","-45,453,000","186,084,000","183,366,000","176,103,000","179,822,000","180,838,000","174,281,000","164,824,000","170,016,000","165,703,000","163,156,000","166,282,000","167,701,000","175,723,000","169,063,000","160,948,000","193,559,000","163,634,000","162,375,000","-197,059,000","-1,003,051,000","171,229,000","167,660,000","157,791,000","154,476,000","149,767,000","154,258,000","137,399,000","131,463,000","126,556,000","124,970,000","117,774,000","359,826,000","111,848,000","74,742,000","101,072,000",,,
OperatingExpense,"295,600,000","71,800,000","84,600,000","68,500,000","70,700,000","74,200,000","59,900,000","55,800,000","51,700,000","70,000,000","75,900,000","91,900,000","88,200,000","86,500,000","96,800,000","121,700,000","109,100,000","109,500,000","198,500,000","112,700,000","127,100,000","105,200,000","117,200,000","113,700,000","119,600,000","100,800,000","119,200,000","110,000,000","123,300,000","100,700,000","131,700,000","108,600,000","104,600,000","97,200,000","100,600,000","90,000,000","86,500,000","76,300,000","-86,163,000","213,458,000","180,233,000","140,172,000","143,589,000","140,513,000","140,023,000","133,123,000","124,047,000","127,229,000","126,655,000","128,828,000","152,038,000","168,300,000","146,004,000","121,504,000","144,202,000","127,031,000","146,150,000","129,768,000","126,534,000","119,768,000","117,797,000","111,742,000","115,166,000","105,804,000","100,465,000","89,764,000","94,009,000","85,985,000","86,057,000","80,728,000","380,243,000","77,154,000","49,159,000","75,806,000","62,832,000","67,264,000","65,417,000"
	SellingGeneralAndAdministration,"241,700,000","59,600,000","71,100,000","54,400,000","56,600,000","58,900,000","44,700,000","39,900,000","35,500,000","52,900,000","57,500,000","73,700,000","70,000,000","67,500,000","78,200,000","102,200,000","89,000,000","91,400,000","179,200,000","93,800,000","108,500,000","86,900,000","97,500,000","95,100,000","99,100,000","79,700,000","101,900,000","93,200,000","106,100,000","85,900,000","116,400,000","95,100,000","91,000,000","84,100,000","86,400,000","77,500,000","74,300,000","64,500,000","-97,887,000","202,618,000","169,180,000","129,489,000","132,496,000","129,100,000","128,144,000","121,457,000","111,857,000","115,732,000","114,779,000","116,317,000","138,781,000","153,790,000","131,042,000","107,142,000","129,927,000","113,140,000","131,862,000","115,550,000","112,390,000","105,824,000","105,586,000","100,062,000","104,385,000","95,385,000","91,120,000","81,332,000","84,731,000","77,883,000","78,409,000","73,292,000","-80,864,000","69,715,000","41,763,000","68,583,000","151,469,000","28,499,000","26,533,000"
		GeneralAndAdministrativeExpense,"241,700,000","59,600,000","71,100,000","54,400,000","56,600,000","58,900,000","44,700,000","39,900,000","35,500,000","52,900,000","57,500,000","73,700,000","70,000,000","67,500,000","78,200,000","102,200,000","89,000,000","91,400,000","179,200,000","93,800,000","108,500,000","86,900,000","97,500,000","95,100,000","99,100,000","79,700,000","101,900,000","93,200,000","106,100,000","85,900,000","116,400,000","95,100,000","91,000,000","84,100,000","86,400,000","77,500,000","74,300,000","64,500,000","-97,887,000","202,618,000","169,180,000","129,489,000","132,496,000","129,100,000","128,144,000","121,457,000","111,857,000","115,732,000","114,779,000","116,317,000","138,781,000","153,790,000","131,042,000","107,142,000","129,927,000","113,140,000","131,862,000","115,550,000","112,390,000","105,824,000","105,586,000","100,062,000","104,385,000","95,385,000","91,120,000","81,332,000","84,731,000","77,883,000","78,409,000","73,292,000",,,,"68,583,000","151,469,000","28,499,000","26,533,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,744,000","59,030,000","59,064,000","57,853,000","60,635,000","57,913,000","59,295,000","57,415,000","56,220,000","55,225,000","57,562,000","40,819,000","58,963,000","47,639,000","51,632,000","50,604,000","53,541,000","68,136,000","52,299,000","38,126,000","49,572,000","50,363,000","50,031,000","43,791,000","44,753,000","43,093,000","40,627,000","34,970,000","35,180,000","33,292,000","29,274,000",,,,"32,746,000","24,399,000","28,499,000","26,533,000"
			RentAndLandingFees,"60,900,000","14,500,000","14,800,000","15,300,000","16,300,000","15,500,000","16,700,000","15,600,000","14,200,000","14,900,000","14,500,000","15,500,000","15,500,000","15,400,000","14,600,000","13,800,000","17,000,000","16,600,000","17,100,000","15,500,000","18,200,000","15,300,000","15,100,000","15,600,000","16,000,000","15,200,000","16,000,000","15,000,000","15,800,000","15,500,000","14,500,000","13,400,000","13,700,000","12,800,000","12,000,000","12,100,000","11,900,000","13,000,000","11,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"180,800,000","45,100,000","56,300,000","39,100,000","40,300,000","43,400,000","28,000,000","24,300,000","21,300,000","38,000,000","43,000,000","58,200,000","54,500,000","52,100,000","63,600,000","88,400,000","72,000,000","74,800,000","162,100,000","78,300,000","90,300,000","71,600,000","82,400,000","79,500,000","83,100,000","64,500,000","85,900,000","78,200,000","90,300,000","70,400,000","101,900,000","81,700,000","77,300,000","71,300,000","74,400,000","65,400,000","62,400,000","51,500,000","27,251,000","147,874,000","110,150,000","70,425,000","74,643,000","68,465,000","70,231,000","62,162,000","54,442,000","59,512,000","59,554,000","58,755,000","97,962,000","94,827,000","83,403,000","55,510,000","79,323,000","59,599,000","63,726,000","63,251,000","74,264,000","56,252,000","55,223,000","50,031,000","60,594,000","50,632,000","48,027,000","40,705,000","49,761,000","42,703,000","45,117,000","44,018,000",,,,"35,837,000",,,
