name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
OperatingCashFlow,"-27,914,000","-8,298,000","18,828,000","-17,183,000","-21,261,000","9,086,000","-29,562,384","-9,141,583","-12,880,557","-12,383,275","-21,971,390","-18,405,580","-21,744,123","82,165,990","-11,468,712","-10,993,807","-19,029,382","-17,395,969","-3,709,451","-3,815,204","-4,135,393","-6,395,338"
	CashFlowFromContinuingOperatingActivities,"-27,914,000","-8,298,000","18,828,000","-17,183,000","-21,261,000","9,086,000","-29,562,384","-9,141,583","-12,880,557","-12,383,275","-21,971,390","-18,496,970","-21,652,733","82,165,990","-11,468,712","-10,993,807","-19,029,382","-17,395,969","-3,709,451","-3,815,204","-4,135,393","-6,395,338"
		NetIncomeFromContinuingOperations,"-86,989,000","-31,045,000","-9,912,000","-25,945,000","-20,087,000","-23,617,000","-10,461,146","-6,431,727","-25,417,934","-15,681,197","-5,481,051","-10,460,854","-20,822,412","-17,981,918","-21,056,745","-15,424,944","-29,980,832","-16,403,353","-8,604,377","-8,441,054","-7,178,719","-6,820,385"
		OperatingGainsLosses,"7,390,000","2,647,000","1,758,000","3,366,000","-381,000","1,615,000","-2,562,152","-1,865,289","450,032","764,251","-82,727","-115,472","-283,175","-2,718,400","1,398,895","677,488","4,910,807","-1,648,032","-220,089","-391,521","-449,625","-149,249"
			GainLossOnSaleOfPPE,,,"56,000","0","0","0","97,140","10,138","98,166","7,550",,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"7,325,000","2,647,000","1,693,000","3,366,000","-381,000","1,615,000","-2,659,292","-1,875,427","351,866","756,701","-82,727","-115,472","-283,175","-2,718,400","1,398,895","677,488","2,726,624","-978,624","-685,722","-391,521","-449,625","-149,249"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"0","0","2,184,183","-669,408",,,,
		DepreciationAmortizationDepletion,"8,233,000","2,118,000","2,062,000","2,037,000","2,016,000","1,758,000","1,350,769","1,065,118","940,316","815,423","669,462","532,815","536,642","499,641","503,534","534,607","556,243","458,836","99,481","206,420","193,398","179,878"
			DepreciationAndAmortization,"8,233,000","2,118,000","2,062,000","2,037,000","2,016,000","1,758,000","1,350,769","1,065,118","940,316","815,423","669,462","532,815","536,642","499,641","503,534","534,607","556,243","458,836","99,481","206,420","193,398","179,878"
				Depreciation,"2,238,560",,,,,,,"1,065,118","940,316","815,423","669,462","532,815","536,642","499,641","503,534","534,607","556,243","458,836","99,481","206,420","193,398","179,878"
		DeferredTax,"0",,,,,,,"0",,,"430,060",,,,,,,,,,,
			DeferredIncomeTax,"0",,,,,,,"0",,,"430,060",,,,,,,,,,,
		StockBasedCompensation,"23,545,000","7,578,000","5,425,000","5,339,000","5,203,000","4,817,000","3,939,711","3,737,919","5,056,069","5,682,881","5,102,305","3,505,551","4,386,123","2,934,991","2,327,641","2,922,357","8,357,821","4,275,735","940,079","484,562","690,853","844,237"
		OtherNonCashItems,,"-405,000","2,466,000","104,000","39,000","35,000","-351,959","34,462","7,718,324","-110,527","12,754","93,974","-88,752","1,968,979","2,943,373","3,281","1,617","143,678","2,000,745","21,822","4,748","4,507"
		ChangeInWorkingCapital,"17,573,000","10,809,000","17,029,000","-2,084,000","-8,181,000","24,513,000","-21,477,607","-5,682,066","-1,627,364","-3,854,106","-22,622,193","-11,531,534","-5,472,549","97,462,697","2,888,981","293,404","-2,875,038","-4,222,833","2,074,710","4,304,567","2,603,952","-454,326"
			ChangeInReceivables,"-994,000","14,736,000","-12,301,000","2,669,000","-6,098,000","32,431,000","-17,019,745","-2,588,796","3,569,105","-77,149",,,,,,,,,,,,
				ChangesInAccountReceivables,"-1,202,000","9,171,000","-5,093,000","818,000","-6,098,000","26,764,000","-11,676,609","-2,588,796","3,569,105","-4,705,613",,,,,,,,,,,,
			ChangeInPrepaidAssets,"-1,042,000","780,000","1,116,000","-2,445,000","-281,000","527,000","-2,928,131","3,598,786","-3,891,560","1,018,819","2,101,894","-3,581,016","-1,896,608","318,993","142,382","-610,550","1,138,192","-821,062","-409,999","-265,891","129,048","-122,914"
			ChangeInPayablesAndAccruedExpense,"25,721,000","778,000","19,579,000","4,415,000","949,000","-3,478,000","5,890,661","-2,603,315","984,867","-535,177","7,523,478","1,075,486","1,731,202","-3,820,081","6,244,259","1,328,220","-4,493,650","-3,529,784","3,526,855","4,460,471","2,462,210","-433,434"
				ChangeInPayable,"16,363,000","4,609,000","9,449,000","1,379,000","926,000","1,593,000","1,084,913","1,185,154","-4,648,524","3,944,220","-1,423,693","1,148,102","-37,806","304,716","217,809","76,340","-2,591,180","-683,492","1,024,319","2,345,932","962,330","713,902"
					ChangeInAccountPayable,"16,363,000","4,609,000","9,449,000","1,379,000","926,000","1,593,000","1,084,913","1,185,154","-4,648,524","3,944,220","-1,423,693","1,148,102","-37,806","304,716","217,809","76,340","-2,584,687","171,045","877,947","2,204,377","803,291","842,876"
				ChangeInAccruedExpense,"9,358,000","-3,831,000","10,130,000","3,036,000","23,000","-5,071,000","4,805,748","-3,788,469","5,633,391","-4,479,397","8,947,171","-72,616","1,769,008","-4,124,797","6,026,450","1,251,880","-1,902,470","-2,846,292","2,502,536","2,114,539","1,499,880","-1,147,336"
			ChangeInOtherCurrentAssets,"2,412,000","148,000","-536,000","224,000","2,364,000","-348,000","-3,625,637","1,115,605","88,748","-98,803","6,179,933","-5,767,585","-3,114,541","2,523,388","-3,924,092","-410,901","496,755","153,773","466,142","-219,589","-401,851","-338,126"
			ChangeInOtherCurrentLiabilities,"1,000","0","0","0","1,000","-24,000","-6,883","-112,514","95,181","47,780","1,239,253","-111,994","232,868","-252,322",,,"0","0",,,"19,980","50,220"
			ChangeInOtherWorkingCapital,"-8,525,000","-5,633,000","9,171,000","-6,947,000","-5,116,000","-4,595,000","-3,787,872","-5,091,832","-2,473,705","-4,209,576","-7,378,895","-3,146,425","-2,425,470","98,692,719","-9,729","-13,365","-16,335","-25,760","-1,508,288","399,776","394,565","389,928"
InvestingCashFlow,"-55,309,000","-12,460,000","-25,369,000","-11,905,000","-5,575,000","-18,868,000","-10,234,737","-19,833,716","-2,916,012","-4,035,968","-5,139,341","-2,023,744","-1,091,763","-1,115,233","-8,885,857","-1,054,606","-107,564","-1,210,452","-2,146,561","-6,064,642","-586,994","-1,737,520"
	CashFlowFromContinuingInvestingActivities,"-55,309,000","-12,460,000","-25,369,000","-11,905,000","-5,575,000","-18,868,000","-10,234,737","-19,833,716","-2,916,012","-4,035,968","-5,139,341","-2,023,744","-1,091,763","-1,115,233","-8,885,857","-1,054,606","-107,564","-1,210,452","-2,146,561","-6,064,642","-586,994","-1,737,520"
		NetPPEPurchaseAndSale,"-54,309,000","-12,460,000","-24,369,000","-11,905,000","-5,575,000","-13,368,000","-8,106,352","-19,833,716","-2,916,012","-4,035,968","-4,749,685","-2,023,744","-1,091,763","-1,115,233","-8,885,857","-1,054,606","-107,564","-1,210,452","-2,146,561","-3,564,642","-3,086,994","-1,737,520"
			PurchaseOfPPE,"-54,309,000","-12,460,000","-24,369,000","-11,905,000","-5,575,000","-13,368,000","-8,106,352","-19,833,716","-2,916,012","-4,035,968","-4,749,685","-2,023,744","-1,091,763","-1,115,233","-8,885,857","-1,054,606","-107,564","-1,210,452","-2,146,561","-3,564,642","-3,086,994","-1,737,520"
		NetBusinessPurchaseAndSale,"-1,000,000","0","-1,000,000","0","0","-5,500,000",,,,,,,,,,,,,,,,
			PurchaseOfBusiness,"-1,000,000","0","-1,000,000","0","0","-5,500,000",,,,,,,,,,,,,,,,
FinancingCashFlow,"-1,010,000","-2,582,000","1,295,000","54,000","223,000","136,000","69,435,877","13,132,310","-5,615","164,811","467,957","70,205,998","-5,474","77,566,423","-7,080","-1,422,361","89,068,042","42,401,814","9,125,944","10,019,408","-1,680","196,543"
	CashFlowFromContinuingFinancingActivities,"-1,010,000","-2,582,000","1,295,000","54,000","223,000","136,000","69,435,877","13,132,310","-5,615","164,811","467,957","70,205,998","-5,474","77,566,423","-7,080","-1,422,361","89,068,042","42,401,814","9,125,944","10,019,408","-1,680","196,543"
		NetIssuancePaymentsOfDebt,"4,000","0","0","0","4,000","-5,000","-3,710","-3,458","-5,615","-10,266","-6,934","-4,558","-6,741","-6,624","-7,080","-8,071","-7,922","-1,449,788","-7,635","2,492,504","-7,805","-1,452"
			NetLongTermDebtIssuance,"4,000","0","0","0","4,000","-5,000","-3,710","-3,458","-5,615","-10,266","-6,934","-4,558","-6,741","-6,624","-7,080","-8,071","-7,922","-7,779","-7,635","-7,496","-7,805","-1,452"
				LongTermDebtPayments,"4,000","0","0","0","4,000","-5,000","-3,710","-3,458","-5,615","-10,266","-6,934","-4,558","-6,741","-6,624","-7,080","-8,071","-7,922","-7,779","-7,635","-7,496","-7,805","-1,452"
			NetShortTermDebtIssuance,"0",,,,,,,,,,"0","0","0","0","0","0","0","-1,442,009","0","2,500,000","0","0"
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,,"0",,,,"0"
				ShortTermDebtPayments,"0",,,,,,,,,,"0","0","0","0",,,"0","-1,442,009",,,"0","0"
		NetCommonStockIssuance,,,"0",,,,"73,887,500","13,163,186","0","0","0","75,200,007","0","80,000,000","0","0",,,,"0",,
			CommonStockIssuance,,,"0",,,,"73,887,500","13,163,186","0","0","0","75,200,007","0","80,000,000","0","0",,,,"0",,
		NetPreferredStockIssuance,"0",,,,,,,,,,"0","0","0","0","2","0","12,997,990","43,851,602","9,115,079","7,529,330","12,249","197,995"
			PreferredStockIssuance,"0",,,,,,,,,,"0","0","0","0","2","0","12,997,990","43,851,602","9,115,079","7,529,330","12,249","197,995"
		ProceedsFromStockOptionExercised,"1,760,000","192,000","1,295,000","54,000","219,000","141,000","187,449","478,232","0","175,077","502,995","53,344",,,"0","0","9,720,000","0","0","9,950","0","0"
		NetOtherFinancingCharges,,"-2,774,000",,,,,"-4,635,362",,,,"-28,104","-5,042,795","0","-2,426,953","-2","-1,414,290",,,,"-12,376",,
EndCashPosition,"115,177,000","113,781,000","137,703,000","143,634,000","172,556,000","199,410,000","209,520,355","179,334,912","194,811,181","210,787,248","227,356,760","253,453,999","204,396,393","227,398,515","68,203,551","88,684,010","102,183,927","32,480,227","8,672,014","5,421,726","5,330,794","9,974,061"
	ChangesInCash,"-84,233,000","-23,340,000","-5,246,000","-29,034,000","-26,613,000","-9,646,000","29,638,756","-15,842,989","-15,802,184","-16,254,432","-26,642,774","49,776,674","-22,841,360","158,617,180","-20,361,649","-13,470,774","69,931,096","23,795,393","3,269,932","139,562","-4,724,067","-7,936,315"
	EffectOfExchangeRateChanges,"-1,396,000","-582,000","-685,000","112,000","-241,000","-464,000","546,687","366,720","-173,883","-315,080","545,535","-719,068","-160,762","577,784","-118,810","-29,143","-227,396","12,820","-10,708","-57,566","80,800","-11,109"
	BeginningCashPosition,"199,410,000","137,703,000","143,634,000","172,556,000","199,410,000","209,520,000","179,334,912","194,811,181","210,787,248","227,356,760","253,453,999","204,396,393","227,398,515","68,203,551","88,684,010","102,183,927","32,480,227","8,672,014","5,421,726","5,330,794","9,974,061","17,921,485"
InterestPaidSupplementalData,"151,000","36,000","82,000","22,000","11,000","24,000","2,998","0","14","122","243","228","438","553","3,015","0","0","31,531","18,166","1,391","1,080","257"
CapitalExpenditure,"-54,309,000","-12,460,000","-24,369,000","-11,905,000","-5,575,000","-13,368,000","-10,234,737","-19,833,716","-2,916,012","-4,035,968","-4,749,685","-2,023,744","-1,091,763","-1,115,233","-8,885,857","-1,054,606","-107,564","-1,210,452","-2,146,561","-3,564,642","-3,086,994","-1,737,520"
IssuanceOfCapitalStock,,,"0",,,,"73,887,500","13,163,186","0","0","0","75,200,007","0","80,000,000","2","0","82,747,990","43,851,602","9,115,079","7,529,330","12,249","197,995"
IssuanceOfDebt,,,,,,,,,,,,,,,,,,"0",,,,"0"
