name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"3,946,000,000","1,100,500,000","1,029,500,000","1,026,300,000","789,700,000","621,500,000","590,500,000","626,300,000","626,800,000","475,800,000","665,700,000","674,200,000","670,900,000","671,000,000","619,000,000","652,600,000","624,600,000","618,000,000","578,400,000","604,600,000","580,300,000","577,200,000","524,900,000","577,500,000","598,600,000","582,600,000","536,500,000","580,400,000","565,400,000","550,700,000","516,400,000","565,400,000","509,700,000","487,500,000","455,900,000","470,500,000","468,100,000","459,900,000","423,500,000","441,800,000","449,700,000","420,600,000","399,800,000","445,600,000","458,100,000","441,500,000","414,800,000","412,200,000","380,700,000","321,500,000","329,600,000","343,700,000","324,000,000","319,900,000","354,400,000","476,600,000","479,100,000","519,100,000","495,400,000","505,900,000","491,700,000","485,300,000","484,800,000","499,100,000","449,700,000","444,100,000","424,000,000","438,200,000","430,900,000","407,500,000","382,400,000","368,400,000","357,300,000","353,900,000","329,600,000","330,300,000","324,500,000","321,900,000","310,400,000","357,300,000","346,900,000","322,700,000","340,700,000","395,000,000","410,300,000","578,800,000","538,400,000","592,500,000","526,500,000","522,886,000","478,177,000","464,100,000","472,800,000","432,300,000","421,600,000","464,800,000","447,500,000","465,300,000","436,700,000","415,100,000","401,500,000","411,200,000","365,100,000","377,100,000","342,500,000","341,500,000","312,900,000","328,400,000","293,200,000","291,200,000","260,000,000","279,100,000","252,800,000","247,900,000","241,900,000","241,800,000","221,600,000","233,700,000","217,500,000","205,000,000","199,600,000","215,200,000","198,800,000","206,100,000","184,600,000","205,200,000","207,300,000","234,000,000","232,200,000","255,700,000","200,700,000","212,400,000","196,100,000","205,000,000","192,600,000","205,200,000","190,500,000","187,100,000","182,100,000","183,700,000","160,600,000","160,100,000","141,800,000","139,700,000","131,900,000","134,800,000","131,700,000","134,300,000","130,800,000"
	OperatingRevenue,"3,946,000,000","1,100,500,000","1,025,700,000","1,023,700,000","787,800,000","627,700,000","588,100,000","624,400,000","624,800,000","475,800,000","665,700,000","674,200,000","670,900,000","671,000,000","619,000,000","652,600,000","624,600,000","618,000,000","578,400,000","604,600,000","580,300,000","577,200,000","524,900,000","577,500,000","598,600,000","582,600,000","536,500,000","580,400,000","565,400,000","550,700,000","516,400,000","565,400,000","509,700,000","487,500,000","455,900,000","470,500,000","468,100,000","459,900,000","423,500,000","441,800,000","449,700,000","420,600,000","399,800,000","445,600,000","458,100,000","441,500,000","414,800,000","412,200,000","380,700,000","321,500,000","329,600,000","343,700,000","324,000,000","319,900,000","354,400,000","476,600,000","479,100,000","519,100,000","495,400,000","505,900,000","491,700,000","485,300,000","484,800,000","499,100,000","449,700,000","444,100,000","424,000,000","438,200,000","430,900,000","407,500,000","382,400,000","368,400,000","357,300,000","353,900,000","329,600,000","330,300,000","324,500,000","321,900,000","310,400,000","357,300,000","346,900,000","322,700,000","340,700,000","395,000,000","410,300,000","578,800,000","538,400,000","592,500,000","526,500,000","522,886,000","478,177,000","464,100,000","472,800,000","432,300,000","421,600,000","464,800,000","447,500,000","465,300,000","436,700,000","415,100,000","401,500,000","411,200,000","365,100,000","377,100,000","342,500,000","341,500,000","312,900,000","328,400,000","293,200,000","291,200,000","260,000,000","279,100,000","252,800,000","247,900,000","241,900,000","241,800,000","221,600,000","233,700,000","217,500,000","205,000,000","199,600,000","215,200,000","198,800,000","206,100,000","184,600,000","205,200,000","207,300,000","234,000,000","232,200,000","255,700,000","200,700,000","212,400,000","196,100,000","205,000,000","192,600,000","205,200,000","190,500,000","187,100,000","182,100,000","183,700,000","160,600,000","160,100,000","141,800,000","139,700,000","131,900,000","134,800,000","131,700,000","134,300,000","130,800,000"
CostOfRevenue,"2,593,300,000","718,000,000","692,700,000","675,700,000","512,200,000","397,500,000","359,600,000","382,100,000","376,800,000","310,000,000","422,400,000","418,700,000","424,800,000","422,800,000","398,000,000","417,000,000","399,500,000","389,700,000","372,600,000","382,500,000","363,400,000","356,400,000","329,400,000","359,500,000","368,600,000","357,400,000","328,700,000","356,000,000","348,600,000","341,100,000","325,900,000","359,700,000","324,100,000","308,300,000","293,000,000","351,600,000","298,100,000","297,300,000","279,100,000","293,300,000","300,000,000","270,600,000","265,600,000","293,500,000","303,800,000","295,800,000","281,800,000","276,400,000","257,100,000","216,100,000","224,800,000","232,900,000","216,500,000","215,900,000","248,500,000","321,200,000","316,700,000","338,100,000","325,400,000","325,800,000","324,200,000","322,200,000","324,800,000","328,700,000","297,400,000","292,900,000","286,100,000","294,300,000","289,200,000","272,700,000","259,500,000","248,400,000","245,200,000","241,300,000","230,300,000","228,300,000","222,900,000","214,700,000","216,900,000","243,600,000","237,700,000","225,600,000","242,200,000","276,100,000","284,500,000","442,300,000","340,400,000","368,200,000","329,600,000","310,412,000","280,354,000","265,900,000","271,900,000","249,300,000","250,500,000","272,300,000","262,400,000","279,200,000","258,900,000","250,100,000","240,700,000","249,600,000","221,300,000","230,900,000","212,100,000","214,700,000","198,200,000","204,800,000","178,400,000","182,100,000","161,100,000","169,400,000","152,500,000","147,800,000","149,200,000","149,000,000","136,900,000","141,000,000","133,400,000","128,000,000","123,000,000","136,500,000","122,200,000","125,600,000","112,800,000","125,000,000","125,400,000","139,300,000","142,100,000","152,200,000","121,000,000","129,400,000",,,,,,,,,,,,,,,,,
GrossProfit,"1,352,700,000","382,500,000","336,800,000","350,600,000","277,500,000","224,000,000","230,900,000","244,200,000","250,000,000","165,800,000","243,300,000","255,500,000","246,100,000","248,200,000","221,000,000","235,600,000","225,100,000","228,300,000","205,800,000","222,100,000","216,900,000","220,800,000","195,500,000","218,000,000","230,000,000","225,200,000","207,800,000","224,400,000","216,800,000","209,600,000","190,500,000","205,700,000","185,600,000","179,200,000","162,900,000","118,900,000","170,000,000","162,600,000","144,400,000","148,500,000","149,700,000","150,000,000","134,200,000","152,100,000","154,300,000","145,700,000","133,000,000","135,800,000","123,600,000","105,400,000","104,800,000","110,800,000","107,500,000","104,000,000","105,900,000","155,400,000","162,400,000","181,000,000","170,000,000","180,100,000","167,500,000","163,100,000","160,000,000","170,400,000","152,300,000","151,200,000","137,900,000","143,900,000","141,700,000","134,800,000","122,900,000","120,000,000","112,100,000","112,600,000","99,300,000","102,000,000","101,600,000","107,200,000","93,500,000","113,700,000","109,200,000","97,100,000","98,500,000","118,900,000","125,800,000","136,500,000","198,000,000","224,300,000","196,900,000","212,474,000","197,823,000","198,200,000","200,900,000","183,000,000","171,100,000","192,500,000","185,100,000","186,100,000","177,800,000","165,000,000","160,800,000","161,600,000","143,800,000","146,200,000","130,400,000","126,800,000","114,700,000","123,600,000","114,800,000","109,100,000","98,900,000","109,700,000","100,300,000","100,100,000","92,700,000","92,800,000","84,700,000","92,700,000","84,100,000","77,000,000","76,600,000","78,700,000","76,600,000","80,500,000","71,800,000","80,200,000","81,900,000","94,700,000","90,100,000","103,500,000","79,700,000","83,000,000",,,,,,,,,,,,,,,,,
OperatingExpense,"1,137,800,000","311,400,000","310,300,000","346,800,000","330,300,000","213,700,000","175,500,000","170,800,000","155,800,000","155,000,000","189,400,000","188,900,000","184,200,000","183,100,000","172,900,000","182,200,000","178,000,000","184,400,000","167,500,000","170,400,000","165,700,000","162,200,000","157,800,000","167,400,000","173,600,000","168,600,000","163,500,000","168,900,000","161,700,000","161,700,000","151,200,000","159,000,000","143,400,000","131,600,000","127,700,000","240,100,000","130,900,000","126,900,000","117,000,000","130,300,000","114,900,000","114,800,000","108,900,000","111,400,000","112,500,000","114,200,000","101,900,000","102,200,000","93,500,000","91,700,000","85,700,000","89,900,000","90,800,000","85,000,000","85,300,000","100,400,000","105,800,000","115,100,000","108,300,000","109,700,000","113,800,000","118,600,000","110,900,000","111,700,000","106,600,000","113,500,000","-230,200,000","99,700,000","102,300,000","89,800,000","93,700,000","94,800,000","88,600,000","93,000,000","84,800,000","80,800,000","85,600,000","89,400,000","85,800,000","92,800,000","90,900,000","129,000,000","111,700,000","152,500,000","127,000,000","81,700,000","143,500,000","155,000,000","139,500,000","143,768,000","143,190,000","143,900,000","144,000,000","121,900,000","123,100,000","132,200,000","130,200,000","123,600,000","124,300,000","116,900,000","116,400,000","116,000,000","108,000,000","109,300,000","103,300,000","101,700,000","94,700,000","96,900,000","95,200,000","109,100,000","88,800,000","92,000,000","87,100,000","85,200,000","76,100,000","75,800,000","71,500,000","71,300,000","73,100,000","70,200,000","71,800,000","73,900,000","68,900,000","70,700,000","67,100,000","68,200,000","93,600,000","75,300,000","70,700,000","76,000,000","60,200,000","62,800,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,"282,300,000","318,600,000","306,800,000","193,600,000","157,400,000","153,000,000","139,700,000","138,400,000","170,500,000","169,500,000","165,000,000","162,800,000","153,700,000","163,200,000","159,500,000","165,900,000","149,400,000","152,400,000","147,200,000","144,300,000","140,400,000","149,000,000","154,200,000","149,200,000","143,600,000","149,700,000","143,100,000","143,100,000","133,000,000","141,100,000","126,700,000","114,700,000","111,700,000","223,600,000","114,400,000",,,"130,300,000","114,900,000","62,100,000","108,900,000","111,400,000","112,500,000","68,400,000","101,900,000","102,200,000","93,500,000","51,200,000","85,700,000","89,900,000","90,800,000","39,300,000","85,300,000","100,400,000","105,800,000","63,900,000","108,300,000","109,700,000","113,800,000","66,600,000","110,900,000","111,700,000","106,600,000","70,500,000","101,000,000","99,700,000","102,300,000","49,600,000","93,700,000","94,800,000","88,600,000","53,000,000","84,800,000","80,800,000","85,600,000","50,900,000","85,500,000","92,800,000","90,600,000","66,700,000","101,900,000","113,700,000","117,400,000","37,400,000","143,500,000","155,000,000","139,500,000","86,767,000","121,391,000","123,500,000","124,800,000","68,300,000","108,000,000","115,800,000","115,300,000","79,100,000","111,400,000","103,600,000","102,600,000","74,700,000","96,200,000","97,400,000","91,200,000","63,300,000","83,400,000","86,000,000","83,300,000","65,300,000","78,800,000","81,700,000","77,800,000","47,200,000","67,500,000","67,300,000","63,200,000","63,900,000","65,000,000","62,100,000","63,600,000","67,200,000","60,500,000","62,800,000","59,600,000","60,900,000","83,600,000","67,500,000","63,000,000","67,800,000","53,600,000","56,200,000",,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,"28,000,000","28,200,000","23,500,000","20,100,000","18,100,000","17,800,000","16,100,000","16,600,000","18,900,000","19,400,000","19,200,000","20,300,000","19,200,000","19,000,000","18,500,000","18,500,000","18,100,000","18,000,000","18,500,000","17,900,000","17,400,000","18,400,000","19,400,000","19,400,000","19,900,000","19,200,000","18,600,000","18,600,000","18,200,000","17,900,000","16,700,000","16,900,000","16,000,000","16,500,000","16,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,701,000","21,799,000","20,400,000","19,200,000","15,700,000","15,100,000","16,400,000","14,900,000","10,700,000","12,900,000","13,300,000","13,800,000","12,200,000","11,800,000","11,900,000","12,100,000","10,900,000","11,300,000","10,900,000","11,900,000","10,100,000","10,000,000","10,300,000","9,300,000","7,800,000","8,600,000","8,500,000","8,300,000","7,400,000","8,100,000","8,100,000","8,200,000","6,700,000","8,400,000","7,900,000","7,500,000","7,300,000","10,000,000","7,800,000","7,700,000","8,200,000","6,600,000","6,600,000",,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,701,000","21,799,000","20,400,000","19,200,000","15,700,000","15,100,000","16,400,000","14,900,000","10,700,000","12,900,000","13,300,000","13,800,000","12,200,000","11,800,000","11,900,000","12,100,000","10,900,000","11,300,000","10,900,000","11,900,000","10,100,000","10,000,000","10,300,000","9,300,000","7,800,000","8,600,000","8,500,000","8,300,000","7,400,000","8,100,000","8,100,000","8,200,000","6,700,000","8,400,000","7,900,000","7,500,000","7,300,000","10,000,000","7,800,000","7,700,000","8,200,000","6,600,000","6,600,000",,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"1,137,800,000","311,400,000",,"294,400,000","235,200,000","202,600,000",,"170,800,000","155,800,000","154,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-331,200,000",,,,,,,,,,,,"300,000",,"300,000","23,400,000","9,800,000","38,800,000","9,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
