name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
OperatingCashFlow,"44,707,000","9,597,000","21,581,000","10,053,000","3,476,000","7,769,000","6,737,000","13,577,000","7,202,000","1,168,000","5,802,000"
	CashFlowFromContinuingOperatingActivities,"44,707,000","9,597,000","21,581,000","10,053,000","3,476,000","7,769,000","6,737,000","13,577,000","7,202,000","1,168,000","5,802,000"
		NetIncomeFromContinuingOperations,"8,622,000","-1,115,000","5,493,000","8,896,000","-4,652,000","-14,265,000","2,456,000","-2,086,000","-1,583,000","5,816,000","372,000"
		OperatingGainsLosses,"2,896,000","2,122,000","545,000","513,000","-284,000","-418,000","-45,000","-393,000","-27,000","1,801,000","-271,000"
			GainLossOnInvestmentSecurities,"1,412,000","2,415,000","-410,000","-287,000","-306,000","-418,000","-365,000","-393,000","-27,000","1,801,000","-222,000"
			EarningsLossesFromEquityInvestments,,,,,,,"0",,,,"1,000"
		DepreciationAmortizationDepletion,"22,285,000","5,153,000","5,807,000","5,666,000","5,659,000","5,737,000","5,997,000","5,470,000","5,316,000","5,334,000","5,006,000"
		DeferredTax,"2,950,000","-236,000","3,128,000","-3,138,000","3,196,000","1,066,000","-5,705,000","6,242,000","4,173,000","-10,787,000","846,000"
			DeferredIncomeTax,"2,950,000","-236,000","3,128,000","-3,138,000","3,196,000","1,066,000","-5,705,000","6,242,000","4,173,000","-10,787,000","846,000"
		AssetImpairmentCharge,"616,000","51,000","565,000","0","0","626,000","0","0","0","278,000","893,000"
		StockBasedCompensation,"10,155,000","2,334,000","2,706,000","2,574,000","2,541,000","14,598,000","299,000","224,000","9,000","230,000","-91,000"
		OtherNonCashItems,"-309,000","-107,000","224,000","-637,000","211,000","193,000","408,000","-833,000","-490,000","435,000","1,158,000"
		ChangeInWorkingCapital,"-2,508,000","1,395,000","3,113,000","-3,821,000","-3,195,000","232,000","3,327,000","4,953,000","-196,000","-1,939,000","-2,111,000"
			ChangeInReceivables,"-1,207,000","2,949,000","5,750,000","-3,719,000","-6,187,000","2,634,000","1,788,000","2,980,000","-3,020,000","735,000","-4,082,000"
				ChangesInAccountReceivables,"-1,207,000","2,949,000","5,750,000","-3,719,000","-6,187,000","2,634,000","1,788,000","2,980,000","-3,020,000","735,000","-4,082,000"
			ChangeInPayablesAndAccruedExpense,"-1,301,000","-1,554,000","-2,637,000","-102,000","2,992,000","-2,402,000","1,539,000","1,973,000","2,824,000","-2,674,000","1,971,000"
InvestingCashFlow,"-19,198,000","-977,000","-8,060,000","-2,893,000","-7,268,000","-1,253,000","-2,933,000","-3,363,000","-4,487,000","-5,204,000","-12,509,000"
	CashFlowFromContinuingInvestingActivities,"-19,198,000","-977,000","-8,060,000","-2,893,000","-7,268,000","-1,253,000","-2,933,000","-3,363,000","-4,487,000","-5,204,000","-12,509,000"
		CapitalExpenditureReported,"-11,029,000","-2,378,000","-2,284,000","-3,233,000","-3,134,000","-1,335,000","-3,423,000","-3,769,000","-5,250,000","-5,204,000","-11,609,000"
		NetBusinessPurchaseAndSale,,,"-5,531,000","0",,,"0","0",,,"-893,000"
			PurchaseOfBusiness,,,"-5,531,000","0",,,,,,,
			SaleOfBusiness,,,,,,,"0",,,,"-893,000"
		NetOtherInvestingChanges,"1,504,000","1,401,000","-245,000","340,000","8,000","82,000","490,000","406,000",,,"-7,000"
FinancingCashFlow,"11,418,000","-2,091,000","18,509,000","-2,500,000","-2,500,000","-4,860,000","-2,500,000","-2,500,000","-2,500,000","6,000,000","13,499,000"
	CashFlowFromContinuingFinancingActivities,"11,418,000","-2,091,000","18,509,000","-2,500,000","-2,500,000","-4,860,000","-2,500,000","-2,500,000","-2,500,000","6,000,000","13,499,000"
		NetIssuancePaymentsOfDebt,"13,802,000","-2,000,000","27,942,000","-2,500,000","-2,500,000","-9,640,000","-2,500,000","-2,500,000","-2,500,000","6,000,000","13,499,000"
			NetLongTermDebtIssuance,"13,802,000","-2,000,000","27,942,000","-2,500,000","-2,500,000","-9,640,000","-2,500,000","-2,500,000","-2,500,000","6,000,000","13,499,000"
				LongTermDebtIssuance,,,"80,000,000","0","0","0","0","0","0","8,500,000","16,000,000"
				LongTermDebtPayments,"-66,198,000","-2,000,000","-52,058,000","-2,500,000","-2,500,000","-9,640,000","-2,500,000","-2,500,000","-2,500,000","-2,500,000","-2,501,000"
		NetCommonStockIssuance,"-91,000","-91,000","0","0","0","4,780,000",,,"0","0",
			CommonStockIssuance,"0","0","0","0","0","15,593,000",,,"0","0",
			CommonStockPayments,"-91,000","-91,000","0","0","0","-10,813,000",,,"0","0",
		NetOtherFinancingCharges,,,,,,,,,,,"74,000"
EndCashPosition,"60,142,000","60,141,000","53,613,000","21,583,000","16,923,000","23,215,000","21,559,000","20,255,000","12,541,000","12,325,000","10,362,000"
	ChangesInCash,"36,927,000","6,529,000","32,030,000","4,660,000","-6,292,000","1,656,000","1,304,000","7,714,000","215,000","1,964,000","6,792,000"
	BeginningCashPosition,"23,215,000","53,612,000","21,583,000","16,923,000","23,215,000","21,559,000","20,255,000","12,541,000","12,325,000","10,361,000","3,570,000"
IncomeTaxPaidSupplementalData,,,,,,,,,,,"2,673,000"
InterestPaidSupplementalData,,,,,,,"1,022,000",,,,"836,000"
CapitalExpenditure,"-11,029,000","-2,378,000","-2,284,000","-3,233,000","-3,134,000","-1,335,000","-3,423,000","-3,769,000","-5,250,000","-5,204,000","-11,609,000"
IssuanceOfCapitalStock,"0","0","0","0","0","15,593,000",,,"0","0",
IssuanceOfDebt,,,"80,000,000","0","0","0","0","0","0","8,500,000","16,000,000"
RepaymentOfDebt,"-66,198,000","-2,000,000","-52,058,000","-2,500,000","-2,500,000","-9,640,000","-2,500,000","-2,500,000","-2,500,000","-2,500,000","-2,501,000"
RepurchaseOfCapitalStock,"-91,000","-91,000","0","0","0","-10,813,000",,,"0","0",
FreeCashFlow,"33,678,000","7,219,000","19,297,000","6,820,000","342,000","6,434,000","3,314,000","9,808,000","1,952,000","-4,036,000","-5,807,000"
