name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
OperatingCashFlow,"2,374,400,000","506,200,000","430,400,000","422,700,000","1,015,100,000","318,800,000","238,400,000","340,600,000","813,700,000","189,900,000","277,600,000","486,000,000","507,300,000","-175,500,000","150,000,000","523,800,000","807,000,000","-71,000,000","411,200,000","135,500,000","242,800,000","146,000,000","321,200,000","95,800,000","583,200,000","265,900,000","286,900,000","282,100,000","583,100,000","655,500,000","381,800,000","488,600,000","796,300,000","627,000,000","-45,000,000","854,700,000","371,100,000","322,400,000","339,300,000","1,229,300,000","404,500,000","517,700,000","554,300,000","972,900,000","365,900,000","531,700,000","556,200,000","532,100,000","476,700,000","174,800,000","172,400,000","305,800,000","-11,200,000","386,500,000","561,500,000","1,037,700,000","528,000,000","542,500,000","438,400,000","267,600,000","147,500,000","142,200,000","150,600,000","187,800,000","-75,700,000","86,200,000","81,200,000","271,100,000","-83,600,000","33,000,000","88,700,000","-46,200,000","57,000,000","-20,100,000","16,100,000","-13,600,000","-41,000,000","36,400,000","24,400,000","-13,000,000","43,300,000","-125,800,000","-99,900,000","25,600,000","-19,000,000","154,000,000","102,700,000","125,700,000","35,200,000","10,100,000","229,100,000","184,000,000","17,100,000","40,400,000","172,200,000","39,400,000","107,700,000","254,600,000","72,300,000","70,600,000","175,500,000","72,000,000","135,400,000","81,300,000","53,300,000","164,500,000","183,400,000","91,500,000","49,200,000","112,100,000","94,900,000","-28,500,000","-35,400,000","-47,500,000","76,500,000","-32,300,000","29,500,000","60,300,000","73,300,000","-30,200,000","41,000,000","103,000,000","66,000,000","31,800,000","8,900,000","122,300,000","122,400,000","9,200,000","33,900,000"
	CashFlowFromContinuingOperatingActivities,"2,374,400,000","506,200,000","430,400,000","422,700,000","1,015,100,000","318,800,000","238,400,000","340,600,000","813,700,000","189,900,000","277,600,000","486,000,000","507,300,000","-175,500,000","150,000,000","523,800,000","807,000,000","-71,000,000","411,200,000","135,500,000","242,800,000","146,000,000","321,200,000","95,800,000","583,200,000","265,900,000","286,900,000","282,100,000","583,100,000","655,500,000","381,800,000","488,600,000","796,300,000","627,000,000","-45,000,000","854,700,000","371,100,000","322,400,000","339,300,000","1,229,300,000","404,500,000","517,700,000","554,300,000","972,900,000","365,900,000","531,700,000","556,200,000","532,100,000","476,700,000","174,800,000","172,400,000","305,800,000","-11,200,000","386,500,000","561,500,000","1,037,700,000","528,000,000","542,500,000","438,400,000","267,600,000","147,500,000","142,200,000","150,600,000","187,800,000","-75,700,000","86,200,000","81,200,000","271,100,000","-83,600,000","31,000,000","90,700,000","-46,200,000","56,200,000","-19,300,000","15,900,000","-14,200,000","-162,100,000","95,700,000","-42,000,000","-5,900,000","43,300,000","-125,800,000","-50,300,000","-24,000,000","-19,000,000","154,000,000","102,700,000","125,700,000","35,200,000","10,100,000","229,100,000","184,000,000","17,100,000","40,400,000","172,200,000","39,400,000","107,700,000","254,600,000","72,300,000","70,600,000","175,500,000","72,000,000","135,400,000","81,300,000","53,300,000","164,500,000","183,400,000","91,500,000","49,200,000","112,100,000","94,900,000","-28,500,000","-35,400,000","-47,500,000","76,500,000","-32,300,000","29,500,000","60,300,000","73,300,000","-30,200,000","41,000,000","103,000,000","66,000,000","31,800,000","8,900,000","122,300,000","122,400,000","9,200,000","33,900,000"
		NetIncomeFromContinuingOperations,"2,662,400,000","1,185,700,000","661,400,000","376,500,000","438,800,000","158,200,000","828,300,000","-4,600,000","45,900,000","-204,000,000","-950,400,000","-40,000,000","-230,300,000","129,900,000","112,000,000","249,700,000","68,100,000","40,100,000","-429,800,000","229,600,000","97,100,000","-1,100,000","14,600,000","40,700,000","-11,000,000","256,900,000","155,500,000","160,700,000","391,000,000","294,600,000","361,600,000","202,900,000","248,200,000","217,700,000","125,800,000","485,400,000","345,400,000","630,300,000","430,700,000","506,900,000","271,900,000","625,600,000","526,400,000","645,200,000","542,600,000","1,026,800,000","298,900,000","396,500,000","223,500,000","109,000,000","102,500,000","146,900,000","58,800,000","959,800,000","1,184,700,000","862,500,000","520,800,000","394,000,000","305,500,000","377,500,000","-132,700,000","65,900,000","109,000,000","-213,100,000","-39,400,000","55,000,000","76,100,000","94,100,000","38,800,000","-66,800,000","42,700,000","9,200,000","-63,800,000","-28,100,000","-6,900,000","-36,600,000","-75,700,000","8,100,000","-47,400,000","4,800,000","-24,100,000","-29,300,000","-24,200,000","11,100,000","-414,500,000","-7,000,000","28,300,000","48,200,000","-899,900,000","13,200,000","52,200,000","68,200,000","-184,800,000","37,800,000","87,000,000","48,000,000","-66,300,000","88,300,000","39,100,000","56,000,000","21,100,000","66,400,000","4,100,000","43,600,000","30,200,000","31,700,000","45,700,000","27,900,000","21,800,000","17,100,000","5,400,000","-3,600,000","-22,500,000","-29,900,000","-113,700,000","3,900,000","19,700,000","7,600,000","41,200,000","22,100,000","20,000,000","29,300,000","18,600,000","24,900,000","23,000,000","23,800,000","16,900,000","21,900,000","20,000,000"
		OperatingGainsLosses,"-486,100,000","-448,400,000","24,300,000","119,700,000","-181,700,000","34,900,000","-134,200,000","-69,200,000","232,400,000","71,900,000","25,400,000","18,900,000","23,100,000","-43,300,000","109,600,000","-2,600,000","10,000,000","17,900,000","82,000,000","-60,700,000","-5,900,000","1,800,000","28,800,000","24,600,000","-17,300,000","-46,600,000","-10,100,000","33,600,000","-8,900,000","46,800,000","38,100,000","7,600,000","-33,800,000","11,200,000","-33,700,000","27,400,000","16,900,000","-4,700,000","9,300,000","16,700,000","1,800,000","200,000","700,000","5,600,000","4,400,000","-683,600,000","-3,800,000","-5,000,000","8,500,000","11,800,000","-2,500,000","-160,500,000","196,300,000","-695,300,000","-24,900,000",,,,,,,,,,,"45,800,000","-76,500,000","4,100,000","-38,500,000","51,900,000","-54,500,000","-21,700,000","-25,900,000","1,600,000","-65,600,000","-15,800,000","-600,000","-3,300,000","-27,400,000","-2,500,000","-69,500,000","-14,400,000","12,900,000","-31,300,000","308,000,000","-30,300,000","700,000","10,600,000","778,300,000","-21,400,000","21,100,000","10,300,000","336,600,000","-25,100,000","-53,900,000","-12,000,000","147,900,000","38,100,000","19,800,000","27,700,000","58,700,000","80,200,000","57,600,000","58,100,000","47,100,000","34,600,000","43,600,000","38,500,000","19,600,000","-75,800,000","24,900,000","-4,800,000","7,200,000","-26,300,000",,,"13,500,000","213,700,000","-190,600,000","-6,400,000","3,300,000","-8,200,000","8,200,000","9,300,000","7,100,000","9,000,000","22,400,000","4,200,000","800,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,"3,500,000","4,900,000",,,,,,"400,000","18,100,000","-48,500,000",,,"14,900,000",,,,,,,,,,,,,"8,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-356,000,000","-318,900,000","16,500,000","97,300,000","-150,900,000","34,500,000","-131,800,000","-61,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-84,500,000","-98,800,000","31,600,000","21,100,000","-38,400,000","-7,100,000","-33,600,000","-40,200,000","-4,700,000","51,900,000","-3,300,000","-10,600,000","1,600,000","-46,900,000","44,600,000","-12,000,000","12,100,000","14,200,000","14,000,000","-2,500,000","-5,000,000","1,800,000","11,400,000","9,800,000","-37,100,000","-54,200,000","6,800,000","12,700,000","-31,500,000","45,400,000",,,"-37,500,000","7,900,000","-40,700,000","-17,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-40,300,000","-30,700,000","-18,500,000","1,300,000","7,600,000","7,500,000","14,900,000","32,400,000","29,800,000","20,000,000","25,200,000","24,600,000","11,200,000","3,600,000","1,900,000","9,400,000","-1,700,000","3,300,000","49,900,000","-9,700,000","-5,800,000","0","2,500,000","2,700,000","19,800,000","7,600,000","1,300,000","2,700,000","22,600,000","1,400,000","-6,400,000","4,100,000","3,700,000","3,300,000","7,000,000","27,000,000","600,000","-4,700,000","9,300,000","-6,400,000","1,800,000","200,000","700,000","5,600,000","4,400,000","-683,600,000","-3,800,000","-5,000,000","8,500,000","11,800,000","-2,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"830,500,000","226,700,000","214,200,000","186,100,000","203,500,000","209,100,000","208,500,000","205,900,000","215,400,000","217,800,000","233,100,000","210,800,000","220,700,000","218,100,000","235,100,000","214,500,000","216,800,000","217,500,000","172,000,000","168,800,000","165,900,000","158,800,000","165,500,000","172,700,000","189,300,000","183,700,000","185,000,000","180,900,000","191,100,000","182,800,000","192,700,000","189,500,000","194,400,000","174,300,000","166,100,000","167,800,000","152,200,000","147,400,000","137,400,000","139,700,000","127,900,000","120,200,000","120,300,000","122,900,000","114,100,000","105,700,000","104,700,000","112,400,000","101,600,000","138,900,000","92,100,000","88,800,000","93,800,000","79,300,000","97,800,000",,,,,,,,,,,"71,600,000","60,500,000","42,100,000","72,400,000","41,300,000","45,600,000","45,500,000","44,800,000","42,900,000","43,100,000","41,100,000","43,400,000","43,600,000","43,700,000","43,000,000","40,700,000","39,000,000","42,900,000","43,000,000","8,600,000","51,500,000","55,300,000","56,200,000","28,700,000","68,500,000","69,300,000","66,000,000","57,800,000","69,300,000","76,400,000","48,200,000","41,700,000","57,200,000","43,300,000","41,700,000","42,200,000","44,100,000","61,600,000","32,200,000","30,700,000","34,700,000","33,000,000","33,900,000","32,800,000","39,500,000","28,900,000","28,600,000","25,400,000","13,500,000","16,100,000","15,500,000","16,400,000","16,700,000","22,100,000","22,200,000","22,300,000","21,300,000","22,400,000","23,000,000","23,500,000","27,800,000","22,500,000","18,900,000","23,300,000"
