name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"1,794,600,000","1,775,200,000","1,785,600,000","1,682,300,000","1,627,800,000","1,603,500,000","1,590,900,000","1,604,900,000","1,584,000,000","1,617,700,000","1,590,700,000","1,652,600,000","1,633,900,000","1,541,900,000","1,590,500,000","1,638,300,000","1,643,900,000","1,607,800,000","1,583,200,000","1,575,700,000","1,505,900,000","1,517,800,000","1,599,200,000","1,765,900,000","1,820,400,000","3,448,900,000","3,804,800,000","3,845,500,000","3,816,900,000","3,816,600,000","4,077,900,000","4,187,800,000","4,118,700,000","3,976,600,000","4,167,100,000","4,151,200,000","4,122,400,000","4,057,300,000","4,255,200,000","4,111,700,000","4,115,700,000","3,965,200,000","4,177,900,000","4,154,200,000","4,008,200,000","4,009,300,000","4,267,700,000","4,240,800,000","4,328,000,000","4,278,700,000","4,645,100,000","4,833,600,000","5,164,800,000","6,065,400,000","3,376,100,000","3,326,900,000","3,165,200,000","2,868,700,000","2,590,500,000","2,427,600,000","2,349,000,000","2,219,500,000","2,123,500,000","2,087,500,000","2,074,800,000","1,961,777,000","1,911,444,000","1,889,703,000","1,867,509,000","1,928,136,000","1,708,298,000","1,714,017,000","1,673,363,000","1,602,581,000","1,605,744,000","1,651,982,000","1,583,484,000","1,577,123,000","1,603,899,000","1,179,972,000","1,122,528,000","1,080,812,000","1,139,005,000","1,118,089,000","641,782,000","642,530,000","591,700,000","617,167,000","595,612,000","530,200,000","529,500,000","548,900,000","536,300,000","481,000,000","430,500,000","436,900,000","436,700,000","396,400,000","330,800,000","326,300,000","323,700,000","317,700,000","331,000,000","324,500,000","332,000,000","324,900,000","182,000,000","187,600,000","183,700,000","159,500,000","174,600,000","185,800,000","182,300,000","189,200,000","200,500,000","208,000,000","202,300,000","198,600,000","207,700,000","225,100,000","211,700,000","206,600,000","209,700,000","219,000,000","207,000,000","208,200,000","208,800,000","212,800,000","215,200,000","211,200,000","211,900,000","217,100,000","210,800,000","231,700,000","259,600,000"
	CurrentAssets,"987,300,000","941,800,000","1,052,500,000","972,600,000","910,700,000","866,000,000","858,500,000","881,700,000","862,800,000","872,400,000","864,000,000","907,500,000","888,300,000","842,900,000","816,600,000","846,200,000","818,000,000","799,200,000","777,400,000","786,500,000","735,500,000","749,700,000","786,600,000","850,100,000","899,000,000","1,013,600,000","1,277,200,000","1,280,600,000","1,251,200,000","1,186,100,000","1,423,900,000","1,492,100,000","1,436,300,000","1,262,900,000","1,462,500,000","1,458,500,000","1,447,500,000","1,328,000,000","1,500,500,000","1,422,600,000","1,394,600,000","1,239,800,000","1,451,600,000","1,436,400,000","1,284,400,000","1,160,600,000","1,366,700,000","1,358,300,000","1,368,200,000","1,259,900,000","1,588,300,000","1,737,200,000","1,972,600,000","2,134,300,000","1,972,700,000","1,914,800,000","1,788,300,000","1,575,600,000","1,373,900,000","1,313,500,000","1,253,300,000","1,142,700,000","1,060,600,000","1,026,000,000","1,054,700,000","953,383,000","872,449,000","843,876,000","811,243,000","845,961,000","726,496,000","749,883,000","708,551,000","646,089,000","691,991,000","731,244,000","675,855,000","647,164,000","682,502,000","448,042,000","381,251,000","331,090,000","395,512,000","392,714,000","217,388,000","223,507,000","215,492,000","238,473,000","232,811,000","191,000,000","189,200,000","203,700,000","210,700,000","190,900,000","179,400,000","183,400,000","184,600,000","145,500,000","140,000,000","136,600,000","133,600,000","127,900,000","141,200,000","137,600,000","144,500,000","135,100,000","107,400,000","114,900,000","119,000,000","96,500,000","105,800,000","117,700,000","115,200,000","130,500,000","141,300,000","148,000,000","143,000,000","142,000,000","151,200,000","167,800,000","154,500,000","152,700,000","156,000,000","164,900,000","152,700,000","153,100,000","154,700,000","159,500,000","161,400,000","157,300,000","158,000,000","162,700,000","154,100,000","171,100,000","192,300,000"
		CashCashEquivalentsAndShortTermInvestments,"51,600,000","75,400,000","222,300,000","158,500,000","158,500,000","128,700,000","101,100,000","128,300,000","103,600,000","199,300,000","67,500,000","35,000,000","49,000,000","140,300,000","90,600,000","83,700,000","99,400,000","119,200,000","29,300,000","26,300,000","36,100,000","69,900,000","42,900,000","40,800,000","87,200,000","63,400,000","75,200,000","67,700,000","68,200,000","68,000,000","74,800,000","103,500,000","78,800,000","54,900,000","87,200,000","94,400,000","104,000,000","76,100,000","71,000,000","59,400,000","73,500,000","71,300,000","92,800,000","83,800,000","75,100,000","86,400,000","115,900,000","117,600,000","101,800,000","108,400,000","161,100,000","122,600,000","156,600,000","175,600,000","382,000,000","418,600,000","350,200,000","366,400,000","106,300,000","128,600,000","142,500,000","176,100,000","113,500,000","89,800,000","206,700,000","231,821,000","122,644,000","71,860,000","71,111,000","178,663,000","54,879,000","49,176,000","35,298,000","47,188,000","57,731,000","26,574,000","35,527,000","30,406,000","36,284,000","26,434,000","29,595,000","25,732,000","41,459,000","32,338,000","10,257,000","16,027,000","15,303,000","12,366,000","20,192,000","12,000,000","12,300,000","11,400,000","14,300,000","10,600,000","9,800,000","15,600,000","10,700,000","11,900,000","13,100,000","7,600,000","8,500,000","14,400,000","27,800,000","18,500,000","12,600,000","15,100,000","10,900,000","7,000,000","6,600,000","4,100,000","5,900,000","15,100,000","6,700,000","27,700,000","56,300,000","37,300,000","28,900,000","37,900,000","39,600,000","31,900,000","24,900,000","16,600,000","20,500,000","20,100,000","10,600,000","14,400,000","17,900,000","9,100,000","16,900,000","36,400,000","35,600,000","49,900,000","66,900,000","81,900,000","124,300,000"
			CashAndCashEquivalents,"51,600,000","75,400,000","222,300,000","158,500,000","158,500,000","128,700,000","101,100,000","128,300,000","103,600,000","199,300,000","67,500,000","35,000,000","49,000,000","140,300,000","90,600,000","83,700,000","99,400,000","119,200,000","29,300,000","26,300,000","36,100,000","69,900,000","42,900,000","40,800,000","87,200,000","63,400,000","75,200,000","67,700,000","68,200,000","68,000,000","74,800,000","103,500,000","78,800,000","54,900,000","84,500,000","91,700,000","101,300,000","73,400,000","68,300,000","56,800,000","70,800,000","68,600,000","90,100,000","81,100,000","72,400,000","83,700,000","113,200,000","115,000,000","99,200,000","105,800,000","158,500,000","120,000,000","154,000,000","173,000,000","379,400,000","416,000,000","347,600,000","363,900,000","103,800,000","126,100,000","140,100,000","173,700,000","111,100,000","87,400,000","204,400,000","229,511,000","120,351,000","69,587,000","68,849,000","176,415,000","52,637,000","46,951,000","33,069,000","44,968,000","55,513,000","24,322,000","33,275,000","28,035,000","34,066,000","24,236,000","27,418,000","23,581,000","39,334,000","30,240,000","8,186,000","13,983,000","13,286,000","10,383,000","18,239,000","10,100,000","10,400,000","11,400,000","14,300,000","10,600,000","9,800,000","15,600,000","10,700,000","11,900,000","13,100,000","7,600,000","8,500,000","14,400,000","27,800,000","18,500,000","12,600,000","15,100,000","10,900,000","7,000,000","6,600,000","4,100,000","5,900,000","15,100,000","6,700,000","27,700,000","56,300,000","37,300,000","28,900,000","37,900,000","39,600,000","31,900,000","24,900,000","16,600,000","20,500,000","20,100,000","10,600,000","14,400,000","17,900,000","9,100,000","16,900,000","36,400,000","35,600,000","49,900,000","66,900,000","81,900,000","124,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,600,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,700,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,500,000","2,500,000","2,500,000","2,400,000","2,400,000","2,400,000","2,400,000","2,300,000","2,310,000","2,293,000","2,273,000","2,262,000","2,248,000","2,242,000","2,225,000","2,229,000","2,220,000","2,218,000","2,252,000","2,252,000","2,371,000","2,218,000","2,198,000","2,177,000","2,151,000","2,125,000","2,098,000","2,071,000","2,044,000","2,017,000","1,983,000","1,953,000","1,900,000","1,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"257,100,000","252,800,000","219,900,000","246,000,000","201,200,000","228,700,000","198,400,000","185,900,000","184,400,000","185,700,000","241,900,000","283,000,000","258,400,000","191,200,000","177,300,000","235,100,000","197,500,000","210,300,000","200,600,000","228,600,000","185,500,000","196,800,000","192,900,000","247,900,000","185,600,000","219,500,000","259,000,000","251,000,000","236,400,000","227,400,000","303,000,000","316,900,000","298,400,000","255,500,000","291,300,000","340,500,000","342,600,000","332,700,000","339,300,000","326,300,000","319,200,000","297,000,000","329,900,000","427,800,000","325,300,000","255,100,000","353,700,000","376,100,000","408,300,000","323,200,000","420,000,000","513,800,000","524,100,000","608,200,000","492,900,000","504,500,000","487,300,000","427,100,000","427,200,000","419,900,000","347,300,000","285,200,000","351,200,000","346,200,000","293,300,000","243,193,000","262,223,000","300,437,000","276,687,000","244,335,000","220,017,000","276,660,000","251,432,000","245,010,000","224,404,000","269,327,000","223,888,000","226,091,000","288,516,000","222,449,000","171,988,000","141,211,000","166,503,000","169,097,000","71,730,000","88,231,000","77,029,000","102,446,000","86,688,000","62,800,000","73,300,000","81,400,000","86,200,000","69,500,000","80,500,000","84,900,000","82,100,000","59,200,000","55,300,000","60,300,000","56,300,000","53,900,000","55,300,000","55,800,000","57,800,000","51,000,000","42,200,000","41,800,000","56,500,000","41,500,000","54,200,000","57,600,000","56,600,000","62,500,000","40,100,000","61,100,000","38,500,000","29,500,000","35,200,000","56,900,000","32,400,000","24,600,000","26,900,000","43,600,000","35,400,000","28,400,000","35,200,000","36,400,000","31,700,000","31,800,000","47,900,000","50,500,000","36,000,000","36,300,000","23,800,000"
			AccountsReceivable,"242,200,000","236,100,000","202,300,000","233,700,000","188,400,000","215,100,000","184,100,000","171,900,000","169,300,000","168,300,000","225,300,000","265,100,000","239,700,000","171,800,000","157,300,000","210,200,000","168,600,000","179,200,000","165,000,000","181,600,000","138,100,000","134,400,000","132,500,000","189,700,000","185,600,000","219,500,000","259,000,000","251,000,000","236,400,000","227,400,000","303,000,000","316,900,000","298,400,000","255,500,000","291,300,000","340,500,000","342,600,000","332,700,000","339,300,000","326,300,000","319,200,000","297,000,000","329,900,000","427,800,000","325,300,000","255,100,000","353,700,000","376,100,000","408,300,000","323,200,000","420,000,000","513,800,000","524,100,000","608,200,000","492,900,000","504,500,000","487,300,000","427,100,000","427,200,000","419,900,000","347,300,000","285,200,000","351,200,000","346,200,000","293,300,000","243,193,000","262,223,000","300,437,000","276,687,000","244,335,000","220,017,000","276,660,000","251,432,000","245,010,000","224,404,000","269,327,000","223,888,000","226,091,000","288,516,000","222,449,000","171,988,000","141,211,000","166,503,000","169,097,000","71,730,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"249,500,000","243,400,000","210,900,000","242,100,000","196,600,000","223,600,000","192,500,000","181,300,000","178,000,000","176,200,000","235,100,000","275,200,000","250,300,000","182,100,000","168,000,000","221,300,000","179,200,000","190,100,000","176,400,000","192,600,000","148,800,000","145,500,000","142,500,000","202,200,000","198,900,000","236,400,000","278,000,000","269,900,000","255,500,000","246,800,000","323,000,000","335,700,000",,"273,700,000","308,200,000","355,700,000","356,000,000","346,200,000","353,400,000","338,800,000","333,500,000","309,800,000","346,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,300,000","-7,300,000","-8,600,000","-8,400,000","-8,200,000","-8,500,000","-8,400,000","-9,400,000","-8,700,000","-7,900,000","-9,800,000","-10,100,000","-10,600,000","-10,300,000","-10,700,000","-11,100,000","-10,600,000","-10,900,000","-11,400,000","-11,000,000","-10,700,000","-11,100,000","-10,000,000","-12,500,000","-13,300,000","-16,900,000","-19,000,000","-18,900,000","-19,100,000","-19,400,000","-20,000,000","-18,800,000",,"-18,200,000","-16,900,000","-15,200,000","-13,400,000","-13,500,000","-14,100,000","-12,500,000","-14,300,000","-12,800,000","-16,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"14,900,000","16,700,000","17,600,000","12,300,000","12,800,000","13,600,000","14,300,000","14,000,000","15,100,000","17,400,000","16,600,000","17,900,000","18,700,000","19,400,000","20,000,000","24,900,000","28,900,000","31,100,000","35,600,000","47,000,000","47,400,000","62,400,000","60,400,000","58,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
