name,ttm
TotalRevenue,"29,867,363"
	OperatingRevenue,"29,867,363"
OperatingExpense,"513,513"
	SellingGeneralAndAdministration,"477,346"
		GeneralAndAdministrativeExpense,"477,346"
	OtherOperatingExpenses,"36,167"
PretaxIncome,"29,251,815"
NetIncomeCommonStockholders,"29,251,815"
	NetIncome,"29,251,815"
		NetIncomeIncludingNoncontrollingInterests,"29,251,815"
			NetIncomeContinuousOperations,"29,251,815"
DilutedNIAvailtoComStockholders,"29,251,815"
NetIncomeFromContinuingAndDiscontinuedOperation,"29,251,815"
NormalizedIncome,"29,326,300.55"
InterestIncome,"32,996,684"
InterestExpense,"3,517,601"
NetInterestIncome,"29,479,083"
NetIncomeFromContinuingOperationNetMinorityInterest,"29,251,815"
TotalUnusualItemsExcludingGoodwill,"-102,035"
TotalUnusualItems,"-102,035"
TaxRateForCalcs,"0.27"
TaxEffectOfUnusualItems,"-27,549.45"
