name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016
TotalAssets,"520,011,000","604,292,000","679,540,000","727,770,000","725,027,000","774,214,000","135,773,000","126,682,000","105,926,000","129,507,000","184,002,000","250,873,000","172,977,000","201,670,000","168,166,000","154,348,000","119,101,000","137,977,000","136,133,000","163,399,000","185,278,000","194,061,000","1,995,000","523,681"
	CurrentAssets,"488,145,000","574,754,000","654,666,000","702,135,000","704,645,000","754,027,000","116,908,000","109,066,000","87,910,000","110,974,000","167,579,000","235,758,000","166,792,000","196,166,000","163,533,000","150,192,000","114,763,000","134,759,000","133,070,000","159,373,000","184,164,000","193,490,000","111,000",
		CashCashEquivalentsAndShortTermInvestments,"434,187,000","527,762,000","616,011,000","569,786,000","684,928,000","745,847,000","111,296,000","99,696,000","79,641,000","98,888,000","157,593,000","226,734,000","156,074,000","183,003,000","154,317,000","143,635,000","108,624,000","128,873,000","129,332,000","154,191,000","180,838,000","192,322,000","73,000",
			CashAndCashEquivalents,"406,704,000","457,742,000","518,163,000","484,960,000","674,493,000","713,523,000","94,210,000","84,726,000","76,644,000","83,073,000","130,373,000","226,734,000","156,074,000","183,003,000","154,317,000","143,635,000","108,624,000","128,873,000","129,332,000","154,191,000","180,838,000","192,322,000","73,000",
				CashFinancial,,,,,,,,,,,,,,,"154,317,000","143,635,000","108,624,000","128,873,000","129,332,000","154,191,000","180,838,000","192,322,000","73,000",
			OtherShortTermInvestments,"27,483,000","70,020,000","97,848,000","84,826,000","10,435,000","32,324,000","17,086,000","14,970,000","2,997,000","15,815,000","27,220,000",,,,,,,,,,,,,
		Receivables,"23,876,000","19,460,000","14,402,000","110,608,000","3,570,000",,,,"0","0","17,000","331,000","524,000","767,000","767,000","855,000","1,000,000","607,000","0","0","105,000","15,000",,
			AccountsReceivable,"23,296,000","18,910,000","14,402,000","10,608,000","3,570,000",,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,"0","0","17,000","331,000","524,000","767,000","767,000","855,000","1,000,000","607,000","0","0","105,000","15,000",,
			DuefromRelatedPartiesCurrent,"580,000","550,000",,"100,000,000",,,,,,,,,,,,,,,,,,,,
		Inventory,"7,584,000","6,737,000","6,141,000","4,172,000","2,611,000",,,,,,,,,,,,,,,,,,,
			RawMaterials,"663,000","823,000","931,000","1,321,000","1,390,000",,,,,,,,,,,,,,,,,,,
			WorkInProcess,"3,737,000","1,405,000","1,960,000","1,883,000","773,000",,,,,,,,,,,,,,,,,,,
			FinishedGoods,"3,184,000","4,509,000","3,250,000","968,000","448,000",,,,,,,,,,,,,,,,,,,
