name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalRevenue,"1,519,755,000","385,256,000","420,641,000","367,162,000","346,696,000","335,182,000","367,837,000","308,124,000","301,329,000","309,381,000","367,468,000","340,442,000","334,231,000","311,074,000","360,099,000","346,127,000","341,009,000","311,897,000","349,751,000","320,921,000","318,609,000","300,106,000","328,532,000","306,364,000","306,105,000","287,177,000","334,339,000","299,812,000","301,791,000","289,513,000","332,776,000","313,701,000","312,711,000","284,674,000","300,806,000","289,138,000","296,126,000","286,488,000","300,326,000","289,974,000","292,259,000","261,133,000","278,051,000","254,988,000","253,284,000","237,850,000","249,963,000","220,449,000","211,717,000","191,091,000","201,597,000","165,035,000","152,163,000","157,799,000","202,107,000","215,038,000","210,474,000","192,918,000","204,813,000","184,426,000","179,497,000","171,641,000","181,453,000","164,079,000","160,123,000","154,752,000","159,661,000","141,618,000","140,822,000","129,740,000","136,975,000","125,348,000","127,127,000","124,638,000","121,909,000","104,644,000","100,165,000","99,173,000","106,526,000","96,020,000","93,505,000","94,739,000","94,426,000","85,062,000","97,707,000","108,080,000","114,247,000","102,247,000","99,550,000","94,105,000","93,400,000","82,700,000","79,800,000","73,700,000","73,200,000","67,900,000","67,800,000","65,400,000","65,600,000","60,600,000","60,100,000","54,600,000","54,400,000","49,700,000","50,200,000","46,400,000","44,400,000","40,100,000","40,500,000","39,800,000"
	OperatingRevenue,"1,519,755,000","385,256,000","420,641,000","367,162,000","346,696,000","335,182,000","367,837,000","308,124,000","301,329,000","309,381,000","367,468,000","340,442,000","334,231,000","311,074,000","360,099,000","346,127,000","341,009,000","311,897,000","349,751,000","320,921,000","318,609,000","300,106,000","328,532,000","306,364,000","306,105,000","287,177,000","334,339,000","299,812,000","301,791,000","289,513,000","332,776,000","313,701,000","312,711,000","284,674,000","300,806,000","289,138,000","296,126,000","286,488,000","300,326,000","289,974,000","292,259,000","261,133,000","278,051,000","254,988,000","253,284,000","237,850,000","249,963,000","220,449,000","211,717,000","191,091,000","201,597,000","165,035,000","152,163,000","157,799,000","202,107,000","215,038,000","210,474,000","192,918,000","204,813,000","184,426,000","179,497,000","171,641,000","181,453,000","164,079,000","160,123,000","154,752,000","159,661,000","141,618,000","140,822,000","129,740,000","136,975,000","125,348,000","127,127,000","124,638,000","121,909,000","104,644,000","100,165,000","99,173,000","106,526,000","96,020,000","93,505,000","94,739,000","94,426,000","85,062,000","97,707,000","108,080,000","114,247,000","102,247,000","99,550,000","94,105,000","93,400,000","82,700,000","79,800,000","73,700,000","73,200,000","67,900,000","67,800,000","65,400,000","65,600,000","60,600,000","60,100,000","54,600,000","54,400,000","49,700,000","50,200,000","46,400,000","44,400,000","40,100,000","40,500,000","39,800,000"
CostOfRevenue,"444,776,000","119,227,000","123,596,000","102,715,000","99,238,000","95,414,000","109,196,000","92,263,000","85,901,000","83,761,000","91,135,000","85,915,000","83,766,000","76,075,000","88,029,000","89,015,000","82,159,000","74,523,000","85,591,000","83,751,000","82,460,000","76,524,000","82,734,000","76,732,000","77,508,000","76,146,000","86,779,000","77,166,000","76,675,000","76,336,000","84,160,000","80,949,000","81,821,000","71,202,000","75,982,000","75,206,000","83,815,000","70,240,000","74,581,000","73,494,000","70,851,000","61,348,000","67,387,000","65,215,000","55,886,000","52,476,000","56,299,000","51,903,000","48,639,000","43,242,000","46,616,000","41,899,000","40,486,000","40,883,000","52,882,000","53,537,000","52,443,000","48,247,000","49,750,000","46,219,000","44,071,000","42,148,000","45,538,000","42,431,000","40,852,000","41,505,000","42,339,000","37,893,000","36,713,000","32,364,000","36,331,000","34,247,000","33,325,000","31,570,000","31,074,000","27,434,000","27,150,000","26,013,000","27,929,000","25,196,000","26,603,000","25,358,000","25,508,000","23,288,000","21,322,000","22,466,000","23,358,000","20,376,000","20,019,000","18,228,000","13,800,000","19,500,000","15,200,000","14,400,000","13,400,000","13,200,000","13,700,000","13,300,000","12,100,000","12,100,000","12,000,000","10,200,000","10,900,000","9,800,000","10,600,000","9,300,000","8,500,000","7,400,000","8,300,000","8,200,000"
GrossProfit,"1,074,979,000","266,029,000","297,045,000","264,447,000","247,458,000","239,768,000","258,641,000","215,861,000","215,428,000","225,620,000","276,333,000","254,527,000","250,465,000","234,999,000","272,070,000","257,112,000","258,850,000","237,374,000","264,160,000","237,170,000","236,149,000","223,582,000","245,798,000","229,632,000","228,597,000","211,031,000","247,560,000","222,646,000","225,116,000","213,177,000","248,616,000","232,752,000","230,890,000","213,472,000","224,824,000","213,932,000","212,311,000","216,248,000","225,745,000","216,480,000","221,408,000","199,785,000","210,664,000","189,773,000","197,398,000","185,374,000","193,664,000","168,546,000","163,078,000","147,849,000","154,981,000","123,136,000","111,677,000","116,916,000","149,225,000","161,501,000","158,031,000","144,671,000","155,063,000","138,207,000","135,426,000","129,493,000","135,915,000","121,648,000","119,271,000","113,247,000","117,322,000","103,725,000","104,109,000","97,376,000","100,644,000","91,101,000","93,802,000","93,068,000","90,835,000","77,210,000","73,015,000","73,160,000","78,597,000","70,824,000","66,902,000","69,381,000","68,918,000","61,774,000","76,385,000","85,614,000","90,889,000","81,871,000","79,531,000","75,877,000","79,600,000","63,200,000","64,600,000","59,300,000","59,800,000","54,700,000","54,100,000","52,100,000","53,500,000","48,500,000","48,100,000","44,400,000","43,500,000","39,900,000","39,600,000","37,100,000","35,900,000","32,700,000","32,200,000","31,600,000"
OperatingExpense,"935,823,000","235,497,000","247,148,000","230,267,000","222,910,000","230,227,000","245,186,000","218,007,000","199,013,000","213,547,000","222,652,000","216,191,000","218,169,000","211,600,000","210,249,000","211,102,000","221,938,000","209,237,000","206,848,000","199,655,000","207,518,000","201,264,000","196,550,000","200,265,000","201,330,000","197,187,000","197,559,000","190,295,000","190,429,000","193,044,000","193,581,000","198,449,000","198,865,000","189,648,000","185,247,000","193,407,000","193,190,000","198,170,000","191,162,000","186,554,000","186,544,000","175,441,000","178,162,000","179,017,000","164,456,000","148,862,000","147,045,000","136,857,000","132,595,000","128,327,000","119,000,000","112,448,000","109,336,000","119,395,000","127,354,000","133,555,000","130,197,000","126,606,000","123,829,000","113,651,000","111,227,000","107,391,000","107,297,000","99,281,000","98,360,000","97,421,000","90,728,000","85,382,000","85,016,000","83,194,000","79,338,000","81,064,000","78,794,000","76,723,000","77,383,000","67,452,000","64,201,000","64,836,000","65,862,000","62,218,000","58,142,000","59,126,000","58,958,000","55,265,000","59,994,000","65,724,000","71,106,000","63,467,000","59,356,000","57,824,000","60,500,000","50,300,000","48,700,000","44,100,000","44,700,000","42,700,000","41,100,000","39,300,000","38,400,000","37,800,000","35,700,000","32,800,000","31,500,000","31,100,000","31,500,000","28,700,000","27,500,000","26,400,000","26,700,000","25,200,000"
	SellingGeneralAndAdministration,"597,762,000","153,336,000","154,847,000","148,102,000","141,476,000","150,141,000","171,453,000","147,205,000","134,788,000","141,926,000","151,181,000","149,633,000","149,912,000","145,434,000","144,098,000","144,932,000","155,030,000","147,394,000","146,788,000","143,129,000","150,605,000","143,001,000","139,088,000","141,199,000","141,491,000","137,847,000","140,890,000","137,762,000","135,020,000","132,524,000","136,230,000","139,477,000","143,014,000","134,389,000","130,971,000","132,616,000","134,717,000","136,914,000","133,096,000","129,927,000","132,258,000","121,426,000","123,660,000","124,343,000","117,429,000","105,994,000","103,808,000","96,886,000","96,200,000","89,781,000","85,278,000","77,432,000","79,889,000","84,606,000","90,022,000","96,539,000","97,009,000","91,002,000","88,966,000","81,760,000","80,702,000","78,155,000","77,323,000","71,539,000","70,963,000","69,439,000","66,359,000","64,600,000","64,184,000","62,811,000","57,718,000","59,327,000","57,449,000","56,733,000","56,984,000","49,082,000","47,325,000","49,585,000","49,660,000","46,123,000","42,408,000","43,193,000","44,163,000","40,345,000","44,061,000","46,220,000","51,659,000","44,736,000","41,593,000","41,466,000","41,000,000","37,200,000","34,600,000","32,300,000","32,400,000","30,000,000","29,700,000","29,200,000","28,900,000","26,500,000","26,000,000","24,300,000","23,100,000","21,900,000","22,400,000","21,800,000","20,200,000","19,700,000","20,100,000","18,800,000"
		GeneralAndAdministrativeExpense,"127,036,000","33,179,000","32,543,000","31,037,000","30,277,000","33,358,000","36,883,000","37,431,000","29,369,000","26,180,000","30,129,000","35,711,000","29,044,000","27,883,000","26,996,000","26,712,000","27,892,000","27,277,000","27,202,000","26,468,000","26,191,000","25,743,000","24,082,000","24,537,000","25,130,000","24,640,000","24,544,000","23,255,000","23,165,000","22,971,000","22,411,000","22,741,000","23,640,000","22,473,000","21,055,000","21,363,000","22,156,000","22,844,000","21,649,000","20,714,000","21,502,000","21,374,000","21,439,000","21,148,000","21,232,000","18,839,000","17,368,000","17,392,000","16,969,000","15,340,000","15,100,000","12,306,000","14,752,000","15,780,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"127,036,000","33,179,000","32,543,000","31,037,000","30,277,000","33,358,000","36,883,000","37,431,000","29,369,000","26,180,000","30,129,000","35,711,000","29,044,000","27,883,000","26,996,000","26,712,000","27,892,000","27,277,000","27,202,000","26,468,000","26,191,000","25,743,000","24,082,000","24,537,000","25,130,000","24,640,000","24,544,000","23,255,000","23,165,000","22,971,000","22,411,000","22,741,000","23,640,000","22,473,000","21,055,000","21,363,000","22,156,000","22,844,000","21,649,000","20,714,000","21,502,000","21,374,000","21,439,000","21,148,000","21,232,000","18,839,000","17,368,000","17,392,000","16,969,000","15,340,000","15,100,000","12,306,000","14,752,000","15,780,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"470,726,000","120,157,000","122,304,000","117,065,000","111,199,000","116,783,000","134,570,000","109,774,000","105,419,000","115,746,000","121,052,000","113,922,000","120,868,000","117,551,000","117,102,000","118,220,000","127,138,000","120,117,000","119,586,000","116,661,000","124,414,000","117,258,000","115,006,000","116,662,000","116,361,000","113,207,000","116,346,000","114,507,000","111,855,000","109,553,000","113,819,000","116,736,000","119,374,000","111,916,000","109,916,000","111,253,000","112,561,000","114,070,000","111,447,000","109,213,000","110,756,000","100,052,000","102,221,000","103,195,000","96,197,000","87,155,000","86,440,000","79,494,000","79,231,000","74,441,000","70,178,000","65,126,000","65,137,000","68,826,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"338,061,000","82,161,000","92,301,000","82,165,000","81,434,000","80,086,000","73,733,000","70,802,000","64,225,000","71,621,000","71,471,000","66,558,000","68,257,000","66,166,000","66,151,000","66,170,000","66,908,000","61,843,000","60,060,000","56,526,000","56,913,000","58,263,000","57,462,000","59,066,000","59,839,000","59,340,000","56,669,000","52,533,000","55,409,000","60,520,000","57,351,000","58,972,000","55,851,000","55,259,000","54,276,000","60,791,000","58,473,000","61,256,000","58,066,000","56,627,000","54,286,000","54,015,000","54,502,000","54,674,000","47,027,000","42,868,000","43,237,000","39,971,000","36,395,000","38,546,000","33,722,000","35,016,000","29,447,000","34,789,000","37,332,000","37,016,000","33,188,000","35,604,000","34,863,000","31,891,000","30,525,000","29,236,000","29,974,000","27,742,000","27,397,000","27,982,000","24,369,000","20,782,000","22,307,000","20,383,000","21,620,000","21,737,000","21,345,000","19,990,000","20,399,000","18,370,000","16,876,000","15,251,000","16,202,000","16,095,000","15,734,000","15,933,000","14,795,000","14,920,000","15,933,000","15,097,000","15,166,000","14,690,000","13,752,000","12,346,000","11,900,000","13,100,000","11,200,000","9,300,000","8,500,000","9,600,000","9,000,000","7,800,000","7,000,000","9,200,000","7,700,000","6,400,000","6,200,000","6,400,000","6,900,000","4,900,000","4,900,000","5,200,000","5,100,000","4,800,000"
