name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"19,255,492,000","18,729,837,000","18,730,027,000","18,526,579,000","18,973,793,000","18,399,317,000","17,402,037,000","17,528,059,000","16,462,509,000","16,684,599,000","15,938,896,000","15,965,977,000","15,761,093,000","15,205,970,000","15,316,122,000","15,329,646,000","14,484,985,000","14,094,869,000","14,265,117,000","13,946,176,000","13,076,251,000","12,973,911,000","12,943,340,000","12,957,749,000","12,405,739,000","12,264,757,000","11,747,165,000","11,687,387,000","11,592,737,000","11,573,077,000","7,374,049,000","7,314,803,000","7,318,899,000","6,650,978,000","6,605,549,000","6,588,633,000","5,991,730,000","5,938,427,000","5,892,643,000","5,846,178,000","5,580,941,000","5,562,411,000","5,539,392,000","5,606,109,000","5,563,971,000","5,563,513,000","5,479,199,000","5,538,421,000","4,824,284,000","4,811,348,000"
	CurrentAssets,"3,214,510,000","3,301,568,000","3,281,201,000","3,465,450,000","3,779,323,000","3,557,544,000","2,652,499,000","2,750,668,000","1,696,335,000","730,145,000","842,716,000","903,564,000","768,395,000","550,313,000","727,408,000","671,490,000","760,775,000","518,337,000","864,834,000","513,916,000","488,351,000","411,093,000","436,699,000","440,030,000","392,916,000","340,411,000","441,196,000","399,917,000","324,626,000","283,735,000","190,636,000","210,224,000","187,225,000","182,924,000","187,051,000","201,019,000","206,767,000","164,929,000","187,624,000","155,198,000","184,670,000","152,143,000","145,128,000","167,625,000","157,731,000","129,383,000","150,681,000","180,219,000","180,759,000","151,562,000"
		CashCashEquivalentsAndShortTermInvestments,"2,136,840,000","1,746,647,000","1,934,816,000","2,750,140,000","3,508,033,000","3,300,482,000","2,356,211,000","2,259,949,000","1,360,261,000","252,876,000","407,258,000","419,925,000","304,708,000","163,851,000","286,461,000","205,007,000","301,748,000","176,190,000","522,904,000","219,315,000","219,789,000","128,347,000","155,431,000","145,964,000","154,867,000","115,937,000","230,180,000","172,958,000","121,422,000","84,824,000","55,869,000","63,483,000","64,760,000","56,467,000","56,960,000","82,840,000","81,201,000","45,500,000","68,694,000","65,701,000","63,973,000","58,926,000","47,835,000","60,177,000","49,199,000","55,047,000","75,262,000","99,441,000","90,489,000","50,152,000"
			CashAndCashEquivalents,"2,136,840,000","1,506,647,000","1,934,816,000","2,750,140,000","3,508,033,000","3,300,482,000","2,356,211,000","2,259,949,000","1,360,261,000","252,876,000","407,258,000","419,925,000","304,708,000","163,851,000","286,461,000","205,007,000","301,748,000","176,190,000","522,904,000","219,315,000","219,789,000","128,347,000","155,431,000","145,964,000","154,867,000","115,937,000","230,180,000","172,958,000","121,422,000","84,824,000","55,869,000","63,483,000","64,760,000","56,467,000","56,960,000","82,840,000","81,201,000","45,500,000","68,694,000","65,701,000","63,973,000","58,926,000","47,835,000","60,177,000","49,199,000","55,047,000","75,262,000","99,441,000","90,489,000","50,152,000"
			OtherShortTermInvestments,"0","240,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"544,961,000","1,167,473,000","990,384,000","422,598,000","18,581,000","20,578,000","78,496,000","74,213,000","96,277,000","75,109,000","67,698,000","75,134,000","57,054,000","55,249,000","46,562,000","44,212,000","41,159,000","43,961,000","56,764,000","50,359,000","47,949,000","63,215,000","55,838,000","60,366,000","45,613,000","44,996,000","41,995,000","36,801,000","30,958,000","32,432,000","25,936,000","27,145,000","18,000,000","18,260,000","17,717,000","16,370,000","13,387,000","15,062,000","15,119,000","9,440,000","7,987,000","8,159,000","12,505,000","9,304,000","10,760,000","7,879,000","7,254,000","8,649,000","7,452,000","7,868,000"
			AccountsReceivable,"544,961,000","1,167,473,000","990,384,000","422,598,000","18,581,000","20,578,000","78,496,000","74,213,000","96,277,000","75,109,000","67,698,000","75,134,000","57,054,000","55,249,000","46,562,000","44,212,000","41,159,000","43,961,000","56,764,000","50,359,000","47,949,000","63,215,000","55,838,000","60,366,000","45,613,000","44,996,000","41,995,000","36,801,000","30,958,000","32,432,000","25,936,000","27,145,000","18,000,000","18,260,000","17,717,000","16,370,000","13,387,000","15,062,000","15,119,000","9,440,000","7,987,000","8,159,000","12,505,000","9,304,000","10,760,000","7,879,000","7,254,000","8,649,000","7,452,000","7,868,000"
				GrossAccountsReceivable,,"1,167,501,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-28,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"141,956,000","118,205,000","108,177,000","92,041,000","84,691,000","82,381,000","81,259,000","82,263,000","85,516,000","95,427,000","94,254,000","90,956,000","90,101,000","90,202,000","95,950,000","93,136,000","80,427,000","82,121,000","78,915,000","77,089,000","71,439,000","66,255,000","65,983,000","67,697,000","62,383,000","58,173,000","54,946,000","59,801,000","56,635,000","56,555,000","51,263,000","52,566,000","48,106,000","43,715,000","45,901,000","45,429,000","42,291,000","39,681,000","43,175,000","37,786,000","39,674,000","36,234,000","41,561,000","39,357,000","37,274,000","32,763,000","35,176,000","34,853,000","31,263,000","28,865,000"
