name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"693,000,000","120,000,000","185,000,000","184,000,000","204,000,000","104,000,000","183,000,000","223,000,000","160,000,000","99,000,000","94,000,000","122,000,000","111,000,000","19,000,000","93,000,000","86,000,000","130,000,000","53,000,000","176,000,000","83,000,000","119,000,000","35,000,000","81,000,000","102,000,000","96,000,000","49,000,000","123,000,000","36,000,000","66,000,000","15,000,000","50,000,000","37,425,000","55,791,000","28,784,000","28,193,000","15,526,000","22,157,000","20,317,000"
	CashFlowFromContinuingOperatingActivities,"693,000,000","120,000,000","185,000,000","184,000,000","204,000,000","104,000,000","183,000,000","223,000,000","160,000,000","99,000,000","94,000,000","122,000,000","111,000,000","19,000,000","93,000,000","86,000,000","130,000,000","53,000,000","176,000,000","83,000,000","119,000,000","35,000,000","81,000,000","102,000,000","96,000,000","49,000,000","123,000,000","36,000,000","66,000,000","15,000,000","50,000,000","37,425,000","55,791,000","28,784,000","28,193,000","15,526,000","22,157,000","20,317,000"
		NetIncomeFromContinuingOperations,"186,000,000","333,000,000","-39,000,000","94,000,000","-202,000,000","571,000,000","160,000,000","195,000,000","127,000,000","-720,000,000","84,000,000","-244,000,000","-123,000,000","-121,000,000","-118,000,000","111,000,000","295,000,000","-21,000,000","-23,000,000","37,000,000","53,000,000","42,000,000","196,000,000","133,000,000","30,000,000","-14,000,000","34,000,000","16,000,000","21,000,000","9,000,000","1,000,000","24,486,000","22,168,000","5,346,000","2,774,000","697,000","7,698,000","-395,000"
		OperatingGainsLosses,"19,000,000","-350,000,000","82,000,000","-18,000,000","305,000,000","-558,000,000","-120,000,000","-98,000,000","-68,000,000","825,000,000","-115,000,000","292,000,000","153,000,000","127,000,000","145,000,000","-86,000,000","-211,000,000","52,000,000","5,000,000","-17,000,000","12,000,000","7,000,000","-142,000,000","-1,000,000","36,000,000","60,000,000",,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0","0",,,"5,000,000","0",,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"24,000,000","-327,000,000","61,000,000","-11,000,000","301,000,000","-540,000,000","-218,000,000","-134,000,000","-59,000,000","795,000,000","-266,000,000","312,000,000","162,000,000","115,000,000","111,000,000","-61,000,000","-41,000,000","51,000,000","-7,000,000","-3,000,000","19,000,000","2,000,000","-102,000,000","-2,000,000","30,000,000","47,000,000",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-5,000,000","-23,000,000","21,000,000","-7,000,000","4,000,000","-18,000,000","31,000,000","36,000,000","-9,000,000","30,000,000","-2,000,000","-20,000,000","-9,000,000","12,000,000","29,000,000","-25,000,000","-12,000,000","1,000,000","12,000,000","-14,000,000","-7,000,000","5,000,000","-40,000,000","1,000,000","6,000,000","13,000,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"454,000,000","142,000,000","116,000,000","101,000,000","95,000,000","93,000,000","97,000,000","93,000,000","92,000,000","92,000,000","93,000,000","93,000,000","75,000,000","70,000,000","51,000,000","50,000,000","49,000,000","53,000,000","77,000,000","50,000,000","53,000,000","46,000,000","54,000,000","59,000,000","46,000,000","46,000,000","51,000,000","30,000,000","37,000,000","23,000,000","21,000,000","20,035,000","18,645,000","16,320,000","12,928,000","10,225,000","8,094,000","7,681,000"
			DepreciationAndAmortization,"454,000,000","142,000,000","116,000,000","101,000,000","95,000,000","93,000,000","97,000,000","93,000,000","92,000,000","92,000,000","93,000,000","93,000,000","75,000,000","70,000,000","51,000,000","50,000,000","49,000,000","53,000,000","77,000,000","50,000,000","53,000,000","46,000,000","54,000,000","59,000,000","46,000,000","46,000,000","51,000,000","30,000,000","37,000,000","23,000,000","21,000,000","20,035,000","18,645,000","16,320,000","12,928,000","10,225,000","8,094,000","7,681,000"
				Depreciation,"324,000,000","103,000,000","81,000,000","71,000,000","69,000,000","67,000,000","71,000,000","67,000,000","67,000,000","66,000,000","67,000,000","68,000,000","63,000,000","61,000,000","51,000,000","50,000,000","49,000,000","53,000,000","77,000,000","50,000,000","53,000,000","46,000,000","54,000,000","59,000,000","46,000,000","46,000,000","51,000,000","30,000,000","37,000,000","23,000,000","21,000,000","19,803,000","18,761,000","16,436,000","13,427,000","9,972,000","8,220,000","7,808,000"
