name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,03/31/2014
TotalAssets,"1,427,666,000","1,341,478,000","1,287,480,000","1,328,092,000","1,398,619,000","1,333,509,000","1,243,477,000","1,252,100,000","1,258,434,000","1,158,193,000","1,150,371,000","1,153,166,000","1,090,227,000","993,839,000","959,528,000","918,490,000","443,326,000","374,993,000","358,442,000","354,777,000","352,269,000","316,183,000","305,627,000","299,043,000","294,444,000","285,841,000","272,115,000","266,465,000","264,711,000","265,560,000","143,462,000","55,208,000"
	CurrentAssets,"1,108,366,000","1,008,821,000","941,226,000","965,801,000","1,048,256,000","979,366,000","988,684,000","992,651,000","1,000,453,000","895,920,000","894,789,000","900,558,000","914,332,000","866,758,000","848,585,000","816,573,000","362,999,000","295,143,000","277,826,000","278,817,000","276,607,000","242,042,000","234,105,000","234,710,000","229,951,000","220,090,000","217,978,000","218,126,000","218,872,000","220,910,000","107,088,000","27,476,000"
		CashCashEquivalentsAndShortTermInvestments,"828,679,000","779,779,000","783,512,000","817,120,000","816,075,000","784,617,000","839,782,000","828,890,000","805,097,000","736,659,000","771,475,000","768,935,000","744,728,000","722,311,000","731,108,000","720,936,000","247,920,000","233,036,000","227,459,000","227,298,000","206,406,000","195,576,000","197,324,000","196,129,000","191,328,000","191,006,000","189,021,000","195,028,000","200,760,000","204,785,000","92,370,000","19,453,000"
			CashAndCashEquivalents,"268,695,000","245,827,000","231,918,000","259,897,000","240,821,000","211,145,000","276,843,000","256,879,000","292,523,000","178,997,000","242,407,000","228,140,000","234,356,000","185,462,000","196,797,000","554,875,000","132,479,000","125,237,000","110,716,000","105,298,000","88,305,000","80,170,000","93,945,000","81,655,000","65,914,000","71,901,000","68,796,000","70,228,000","105,257,000","167,740,000","92,370,000","19,453,000"
				CashFinancial,,,,,,,,,,,,"110,595,000",,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,"117,545,000",,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"559,984,000","533,952,000","551,594,000","557,223,000","575,254,000","573,472,000","562,939,000","572,011,000","512,574,000","557,662,000","529,068,000","540,795,000","510,372,000","536,849,000","534,311,000","166,061,000","115,441,000","107,799,000","116,743,000","122,000,000","118,101,000","115,406,000","103,379,000","114,474,000","125,414,000","119,105,000","120,225,000","124,800,000","95,503,000","37,045,000",,
		Receivables,"226,182,000","177,080,000","103,103,000","93,477,000","174,027,000","143,775,000","101,381,000","111,296,000","147,361,000","110,590,000","76,954,000","84,173,000","120,605,000","102,433,000","76,019,000","59,366,000","99,488,000","52,676,000","39,510,000","39,170,000","62,032,000","38,698,000","27,022,000","28,819,000","32,514,000","23,408,000","20,684,000","18,357,000","13,813,000","12,057,000","8,786,000","5,532,000"
			AccountsReceivable,"226,182,000","177,080,000","103,103,000","93,477,000","174,027,000","143,775,000","101,381,000","111,296,000","147,361,000","110,590,000","76,954,000","84,173,000","120,605,000","102,433,000","76,019,000","59,366,000","99,488,000","52,676,000","39,510,000","39,170,000","62,032,000","38,698,000","27,022,000","28,819,000","32,514,000","23,408,000","20,684,000","18,357,000","13,813,000","12,057,000","8,786,000","5,532,000"
				GrossAccountsReceivable,"229,255,000","179,781,000","105,354,000","95,941,000","176,660,000","146,151,000","104,090,000","114,431,000","150,997,000","112,615,000","79,107,000","86,431,000","123,062,000","104,181,000","77,570,000","60,963,000","101,216,000","53,751,000","40,514,000","40,194,000","63,149,000","39,488,000","27,587,000","29,447,000","33,178,000","23,886,000","21,106,000","18,732,000","14,095,000","12,303,000","8,965,000","5,616,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,073,000","-2,701,000","-2,251,000","-2,464,000","-2,633,000","-2,376,000","-2,709,000","-3,135,000","-3,636,000","-2,025,000","-2,153,000","-2,258,000","-2,457,000","-1,748,000","-1,551,000","-1,597,000","-1,728,000","-1,075,000","-1,004,000","-1,024,000","-1,117,000","-790,000","-565,000","-628,000","-664,000","-478,000","-422,000","-375,000","-282,000","-246,000","-179,000","-84,000"
		PrepaidAssets,"29,447,000","24,935,000","24,759,000","22,172,000","21,944,000","16,236,000","14,202,000","19,853,000","15,979,000","18,872,000","17,029,000","18,878,000","21,838,000","16,739,000","18,049,000","14,773,000","15,591,000","9,431,000","10,857,000","12,349,000","8,169,000","7,768,000","9,759,000","9,762,000","6,109,000","5,676,000","8,273,000","4,741,000","4,299,000","4,068,000","5,932,000","2,491,000"
		CurrentDeferredAssets,"24,058,000","27,027,000","29,852,000","33,032,000","36,210,000","34,738,000","33,319,000","32,612,000","32,016,000","29,799,000","29,331,000","28,572,000","27,161,000","25,275,000","23,409,000","21,498,000",,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"319,300,000","332,657,000","346,254,000","362,291,000","350,363,000","354,143,000","254,793,000","259,449,000","257,981,000","262,273,000","255,582,000","252,608,000","175,895,000","127,081,000","110,943,000","101,917,000","80,327,000","79,850,000","80,616,000","75,960,000","75,662,000","74,141,000","71,522,000","64,333,000","64,493,000","65,751,000","54,137,000","48,339,000","45,839,000","44,650,000","36,374,000","27,732,000"
		NetPPE,"118,833,000","125,150,000","132,012,000","139,679,000","148,733,000","152,486,000","157,487,000","160,636,000","158,071,000","164,878,000","162,508,000","156,513,000","80,742,000","71,076,000","62,738,000","54,932,000","53,899,000","52,572,000","53,528,000","51,136,000","50,728,000","49,329,000","47,210,000","40,202,000","40,147,000","40,398,000","40,621,000","38,057,000","35,397,000","33,782,000","28,537,000","20,183,000"
			GrossPPE,"267,381,000","273,389,000","279,579,000","277,961,000","281,134,000","288,728,000","286,960,000","279,186,000","267,665,000","266,091,000","255,761,000","248,736,000","165,566,000","148,868,000","134,455,000","121,264,000","120,948,000","114,936,000","110,727,000","103,692,000","97,908,000","92,543,000","85,903,000","74,840,000","70,816,000","67,255,000","63,863,000","57,855,000","52,151,000","47,941,000","40,423,000","28,811,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,"50,465,000","51,718,000","53,019,000","55,034,000","57,425,000","59,475,000","58,769,000","59,985,000","57,777,000","59,838,000","61,766,000","64,177,000",,,,,,,,,,,,,,,,,,,,
