name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
OperatingCashFlow,"-86,742,000","-35,738,000","-18,335,000","-9,359,000","-23,310,000","-22,225,000","-20,040,000","-25,165,000","-19,181,000","-19,110,000","-14,601,000","-6,696,000","-7,777,000","-12,100,000","7,008,000","-5,851,000","-4,289,000","-4,465,000"
	CashFlowFromContinuingOperatingActivities,"-86,742,000","-35,738,000","-18,335,000","-9,359,000","-23,310,000","-22,225,000","-20,040,000","-25,165,000","-19,181,000","-19,110,000","-14,601,000","-6,696,000","-7,777,000","-12,100,000","7,008,000","-5,851,000","-4,289,000","-4,465,000"
		NetIncomeFromContinuingOperations,"-125,241,000","-32,450,000","-27,234,000","-28,865,000","-36,692,000","-27,544,000","-27,991,000","-29,765,000","-25,616,000","-19,115,000","-15,941,000","-10,917,000","-7,669,000","-8,268,000","14,165,000","-7,517,000","-3,200,000","-3,941,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"-1,885,000","1,955,000",,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"-1,885,000","1,955,000",,
		DepreciationAmortizationDepletion,"5,962,000","1,427,000","1,479,000","1,492,000","1,564,000","1,554,000","1,553,000","1,621,000","1,650,000","1,731,000","1,767,000","1,942,000","1,935,000","1,961,000","1,891,000","1,879,000","1,710,000","1,743,000"
			DepreciationAndAmortization,"5,962,000","1,427,000","1,479,000","1,492,000","1,564,000","1,554,000","1,553,000","1,621,000","1,650,000","1,731,000","1,767,000","1,942,000","1,935,000","1,961,000","1,891,000","1,879,000","1,710,000","1,743,000"
				Depreciation,"5,962,000","1,427,000","1,479,000","1,492,000","1,564,000","1,554,000","1,553,000","1,621,000","1,650,000","1,731,000","1,767,000","1,942,000","1,935,000","1,961,000","1,891,000","1,879,000","1,710,000","1,743,000"
		AmortizationOfSecurities,"3,462,000","518,000","968,000","1,028,000","948,000","570,000","80,000","-18,000","-68,000","-122,000","-99,000","-221,000","-350,000","-453,000","-420,000","-285,000","-120,000","-51,000"
		StockBasedCompensation,"27,480,000","7,820,000","6,579,000","6,365,000","6,716,000","6,582,000","4,184,000","4,049,000","3,723,000","3,695,000","3,621,000","3,084,000","3,671,000","2,605,000","2,513,000","2,973,000","2,208,000","2,268,000"
		OtherNonCashItems,"7,862,000","935,000","2,424,000","-20,000","4,964,000","-315,000","377,000","-3,000","119,000","120,000","0","0","0","98,000",,,,
		ChangeInWorkingCapital,"-6,267,000","-13,988,000","-2,551,000","10,641,000","-810,000","-3,072,000","1,757,000","-1,049,000","1,011,000","-5,419,000","-3,949,000","-584,000","-5,364,000","-8,043,000","-9,347,000","-4,856,000","-4,894,000","-4,484,000"
			ChangeInReceivables,"222,000","4,842,000","-545,000","-814,000","-3,261,000","1,508,000","782,000","-4,136,000","-2,337,000","4,464,000","-5,206,000","881,000","-881,000","3,669,000","-3,669,000","0","0","0"
			ChangeInPrepaidAssets,"-2,605,000","241,000","-496,000","-492,000","-1,858,000","-1,299,000","1,851,000","-596,000","-1,114,000","-2,005,000","2,346,000","-2,470,000","-262,000","-1,602,000","-3,718,000","-219,000","417,000","-845,000"
			ChangeInPayablesAndAccruedExpense,"-4,147,000","-5,178,000","-4,424,000","5,384,000","71,000","-2,555,000","4,435,000","1,897,000","3,077,000","-2,317,000","9,352,000","4,511,000","1,031,000","-2,375,000","6,026,000","-124,000","3,334,000","-1,693,000"
