name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990
OperatingCashFlow,,"169,000,000","2,757,000,000","1,111,000,000","2,012,000,000","1,290,000,000","2,473,000,000","882,000,000","-1,000,000","1,180,000,000","912,000,000","394,000,000","2,010,000,000","1,068,000,000","1,524,000,000","1,301,000,000","2,270,000,000","787,000,000","1,323,000,000","575,000,000","889,000,000","1,067,000,000","963,000,000","721,000,000","1,184,000,000","876,000,000","545,000,000","491,000,000","1,342,000,000","2,103,000,000","647,000,000","588,000,000","1,320,000,000","754,000,000","332,000,000","597,000,000","1,359,000,000","423,000,000","710,000,000","535,000,000","974,000,000","328,000,000","510,000,000","87,000,000","842,000,000","323,000,000","435,000,000","212,000,000","1,275,200,000","511,900,000","668,100,000","709,000,000","1,073,700,000","24,100,000","280,700,000","357,600,000","632,500,000","353,900,000","630,400,000","319,500,000","963,900,000","373,200,000","309,800,000","231,800,000","714,800,000","214,900,000","476,500,000","261,700,000","489,600,000","325,600,000","388,000,000","367,500,000","543,100,000","202,200,000","418,400,000","350,700,000","488,600,000","28,800,000","225,900,000","174,100,000","562,100,000","62,200,000","221,800,000","235,400,000","328,500,000","22,000,000","130,100,000","175,900,000","288,300,000","-107,800,000","263,300,000","316,100,000","346,900,000","-57,000,000","302,200,000","368,900,000","356,800,000","-128,400,000","151,700,000","137,400,000","266,300,000","-68,200,000","103,600,000","21,400,000","185,200,000","33,500,000","-20,900,000","132,200,000","116,000,000","-46,500,000","68,000,000","117,400,000","243,000,000","18,900,000","124,900,000","189,700,000","148,800,000","-39,600,000","94,200,000","61,900,000","219,000,000","10,500,000","109,800,000","97,300,000","154,300,000","-66,900,000","-50,000,000","-23,200,000","92,900,000","-51,700,000"
	CashFlowFromContinuingOperatingActivities,,"169,000,000","2,757,000,000","1,111,000,000","2,012,000,000","1,290,000,000","2,473,000,000","882,000,000","-1,000,000","1,180,000,000","912,000,000","394,000,000","2,010,000,000","1,068,000,000","1,524,000,000","1,301,000,000","2,270,000,000","787,000,000","1,323,000,000","575,000,000","889,000,000","1,067,000,000","963,000,000","721,000,000","1,184,000,000","876,000,000","545,000,000","491,000,000","1,342,000,000","2,103,000,000","647,000,000","588,000,000","1,320,000,000","754,000,000","332,000,000","597,000,000","1,359,000,000","423,000,000","710,000,000","535,000,000","974,000,000","328,000,000","510,000,000","87,000,000","842,000,000","323,000,000","435,000,000","212,000,000","1,275,200,000","511,900,000","668,100,000","709,000,000","1,073,700,000","24,100,000","280,700,000","357,600,000","632,500,000","353,900,000","630,400,000","319,500,000","963,900,000","373,200,000","309,800,000","231,800,000","714,800,000","214,900,000","476,500,000","261,700,000","489,600,000","325,600,000","388,000,000","367,500,000","543,100,000","202,200,000","418,400,000","350,700,000","488,600,000","28,800,000","225,900,000","174,100,000","562,100,000","62,200,000","221,800,000","235,400,000","328,500,000","22,000,000","130,100,000","175,900,000","288,300,000","-107,800,000","263,300,000","316,100,000","346,900,000","-57,000,000","302,200,000","368,900,000","356,800,000","-128,400,000","151,700,000","137,400,000","266,300,000","-68,200,000","103,600,000","21,400,000","185,200,000","33,500,000","-20,900,000","132,200,000","116,000,000","-46,500,000","68,000,000","117,400,000","243,000,000","18,900,000","124,900,000","189,700,000","148,800,000","-39,600,000","94,200,000","61,900,000","219,000,000","10,500,000","109,800,000","97,300,000","154,300,000","-66,900,000","-50,000,000","-23,200,000","92,900,000","-51,700,000"
		NetIncomeFromContinuingOperations,,"1,396,000,000","1,337,000,000","1,874,000,000","1,509,000,000","1,449,000,000","1,251,000,000","1,518,000,000","-790,000,000","847,000,000","1,115,000,000","1,367,000,000","989,000,000","1,101,000,000","847,000,000","1,092,000,000","1,137,000,000","-921,000,000","767,000,000","950,000,000","1,008,000,000","1,141,000,000","842,000,000","1,249,000,000","846,000,000","950,000,000","785,000,000","1,179,000,000","865,000,000","791,000,000","655,000,000","962,000,000","691,000,000","685,000,000","537,000,000","780,000,000","668,000,000","866,000,000",,,,,,,"594,000,000",,,"559,000,000","521,900,000","496,400,000","375,400,000","513,000,000","341,400,000","243,800,000","391,000,000","510,500,000","490,500,000","463,800,000","359,400,000","569,700,000","437,900,000","350,800,000","325,600,000","377,200,000","332,800,000","325,800,000","301,100,000","432,300,000","349,500,000","273,400,000","261,900,000","326,800,000","305,000,000","200,300,000","179,100,000","261,200,000","246,200,000","124,700,000","152,000,000","-48,900,000","208,400,000","126,400,000","129,300,000","199,200,000","162,700,000","97,400,000","119,400,000","210,200,000","126,000,000","145,300,000","107,600,000","200,200,000","94,400,000","124,200,000","69,000,000","163,800,000","-67,700,000","73,100,000","141,100,000","253,100,000","155,700,000","237,200,000","176,800,000","226,100,000","156,500,000","113,700,000","118,200,000","164,800,000","113,400,000","95,400,000","84,900,000","106,000,000","69,200,000","63,200,000","52,300,000","114,100,000","76,900,000","89,500,000","76,000,000","122,600,000","70,700,000","82,500,000","61,600,000","114,400,000","58,600,000","70,700,000","58,000,000","99,700,000","67,300,000","63,100,000"
		OperatingGainsLosses,,"-45,000,000","5,000,000","43,000,000","-8,000,000","-32,000,000","-53,000,000","-45,000,000","72,000,000","-55,000,000","-43,000,000","49,000,000","15,000,000","8,000,000","44,000,000","166,000,000","31,000,000","-63,000,000","-48,000,000","-19,000,000","-27,000,000","-56,000,000","27,000,000","-61,000,000","-94,000,000","118,000,000","42,000,000","32,000,000","13,000,000",,,,,,,,"0","-231,000,000",,,,,,,,,,,,,,,,,,,"-32,000,000",,,,,,,,,"12,200,000","21,100,000","15,900,000","2,800,000","23,600,000","23,300,000","13,400,000",,"11,500,000","16,500,000","2,900,000","9,900,000","400,000","1,100,000","267,200,000","2,600,000",,,,,,,,,,,,,,,"-600,000","33,200,000","10,900,000","178,700,000","-163,500,000",,,,,"7,000,000","0","-8,600,000","1,100,000",,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","-231,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,"-45,000,000","5,000,000","43,000,000","-8,000,000","-32,000,000","-53,000,000","-45,000,000","72,000,000","-55,000,000","-43,000,000","49,000,000","15,000,000","8,000,000","44,000,000","166,000,000","31,000,000","-63,000,000","-48,000,000","-19,000,000","-27,000,000","-56,000,000","27,000,000","-61,000,000","-94,000,000","118,000,000","42,000,000","32,000,000","13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,,"183,000,000","193,000,000","168,000,000","221,000,000","112,000,000","247,000,000","217,000,000","223,000,000","534,000,000","187,000,000","175,000,000","184,000,000","177,000,000","178,000,000","181,000,000","200,000,000","198,000,000","191,000,000","185,000,000","188,000,000","170,000,000","178,000,000","180,000,000","163,000,000","177,000,000","157,000,000","165,000,000","168,000,000","234,000,000","134,000,000","113,000,000","152,000,000","180,000,000","147,000,000","153,000,000","154,000,000","93,000,000","129,000,000","137,000,000","85,000,000","122,000,000","87,000,000","111,000,000","98,000,000","85,000,000","113,000,000","62,000,000","133,200,000","87,400,000","94,000,000","80,900,000","128,500,000","79,900,000","89,600,000","85,300,000","72,600,000","91,500,000","85,800,000","71,600,000","81,000,000","46,900,000","68,300,000","74,000,000","57,200,000","90,600,000","73,500,000","69,600,000","68,300,000","82,000,000","75,800,000","61,600,000","74,700,000","77,300,000","86,600,000","71,800,000","76,600,000","64,000,000","63,400,000","58,500,000","66,100,000","70,800,000","76,600,000","63,100,000","47,100,000","59,700,000","54,900,000","52,400,000","56,200,000","56,000,000","49,800,000","61,600,000","40,900,000","69,100,000","61,600,000","57,200,000","100,500,000","44,900,000","44,300,000","43,800,000","73,500,000","36,600,000","31,200,000","27,000,000","68,000,000","23,400,000","21,000,000","20,000,000","42,200,000","16,900,000","16,300,000","14,800,000","19,100,000","16,600,000","14,600,000","14,200,000","20,500,000","14,500,000","13,200,000","12,200,000","14,100,000","11,800,000","11,300,000","10,500,000","11,100,000","9,800,000","8,900,000","4,700,000","4,900,000","4,200,000"
			DepreciationAndAmortization,,"183,000,000","193,000,000","168,000,000","221,000,000","112,000,000","247,000,000","217,000,000","223,000,000","534,000,000","187,000,000","175,000,000","184,000,000","177,000,000","178,000,000","181,000,000","200,000,000","198,000,000","191,000,000","185,000,000","188,000,000","170,000,000","178,000,000","180,000,000","163,000,000","177,000,000","157,000,000","165,000,000","168,000,000","234,000,000","134,000,000","113,000,000","152,000,000","180,000,000","147,000,000","153,000,000","154,000,000","93,000,000","129,000,000","137,000,000","85,000,000","122,000,000","87,000,000","111,000,000","98,000,000","85,000,000","113,000,000","62,000,000","133,200,000","87,400,000","94,000,000","80,900,000","128,500,000","79,900,000","89,600,000","85,300,000","72,600,000","91,500,000","85,800,000","71,600,000","81,000,000","46,900,000","68,300,000","74,000,000","57,200,000","90,600,000","73,500,000","69,600,000","68,300,000","82,000,000","75,800,000","61,600,000","74,700,000","77,300,000","86,600,000","71,800,000","76,600,000","64,000,000","63,400,000","58,500,000","66,100,000","70,800,000","76,600,000","63,100,000","47,100,000","59,700,000","54,900,000","52,400,000","56,200,000","56,000,000","49,800,000","61,600,000","40,900,000","69,100,000","61,600,000","57,200,000","100,500,000","44,900,000","44,300,000","43,800,000","73,500,000","36,600,000","31,200,000","27,000,000","68,000,000","23,400,000","21,000,000","20,000,000","42,200,000","16,900,000","16,300,000","14,800,000","19,100,000","16,600,000","14,600,000","14,200,000","20,500,000","14,500,000","13,200,000","12,200,000","14,100,000","11,800,000","11,300,000","10,500,000","11,100,000","9,800,000","8,900,000","4,700,000","4,900,000","4,200,000"
				Depreciation,,"180,000,000","181,000,000","177,000,000","201,000,000","182,000,000","185,000,000","176,000,000","208,000,000","170,000,000","174,000,000","169,000,000","178,000,000","178,000,000","171,000,000","178,000,000","196,000,000","185,000,000","187,000,000","179,000,000","185,000,000","175,000,000","173,000,000","173,000,000","168,000,000","167,000,000","160,000,000","154,000,000","153,000,000","152,000,000","154,000,000","147,000,000","140,000,000","132,000,000","124,000,000","122,000,000","116,000,000","111,000,000","107,000,000","104,000,000","101,000,000","94,000,000","92,000,000","86,000,000","86,000,000","88,000,000","83,000,000","78,000,000","83,200,000","81,400,000","79,800,000","79,300,000","88,400,000","87,400,000","80,700,000","78,500,000","79,600,000","75,300,000","78,700,000","70,000,000","70,500,000","63,800,000","68,500,000","66,900,000","75,600,000","70,200,000","67,300,000","68,900,000","68,300,000","71,100,000","59,400,000","58,400,000","64,000,000","64,900,000","62,000,000","61,200,000","62,800,000","62,100,000","58,000,000","56,400,000","59,500,000","57,000,000","53,300,000","53,700,000","52,800,000","52,100,000","46,500,000","46,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,"3,000,000","12,000,000","-9,000,000","20,000,000","-70,000,000","62,000,000","41,000,000","15,000,000","364,000,000","13,000,000","6,000,000","6,000,000","-1,000,000","7,000,000","3,000,000","4,000,000","13,000,000","4,000,000","6,000,000","3,000,000","-5,000,000","5,000,000","7,000,000","-5,000,000","10,000,000","-3,000,000","11,000,000","15,000,000","82,000,000","-20,000,000","-34,000,000","12,000,000","48,000,000","23,000,000","31,000,000","38,000,000","-18,000,000","22,000,000","33,000,000","-16,000,000","28,000,000","-5,000,000","25,000,000","12,000,000","-3,000,000","30,000,000","-16,000,000","50,000,000","6,000,000","14,200,000","1,600,000","40,100,000","-7,500,000","8,900,000","6,800,000","-7,000,000","16,200,000","7,100,000","1,600,000","10,500,000","-16,900,000","-200,000","7,100,000","-18,400,000","20,400,000","6,200,000","700,000","0","10,900,000","16,400,000","3,200,000","10,700,000","12,400,000","24,600,000","10,600,000","13,800,000","1,900,000","5,400,000","2,100,000","6,600,000","13,800,000","23,300,000","9,400,000","-5,700,000","7,600,000","8,400,000","6,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
