name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"910,361,000","989,819,000","1,000,522,000","965,199,000","1,003,318,000","1,053,713,000","1,136,228,000","925,040,000","237,970,000","229,430,000"
	CurrentAssets,"419,034,000","524,729,000","610,000,000","663,285,000","804,395,000","896,917,000","985,889,000","772,378,000","101,205,000","90,881,000"
		CashCashEquivalentsAndShortTermInvestments,"360,118,000","497,241,000","586,986,000","632,694,000","763,750,000","840,913,000","907,530,000","698,386,000","75,515,000","85,688,000"
			CashAndCashEquivalents,"360,118,000","497,241,000","586,986,000","632,694,000","763,750,000","840,913,000","907,530,000","698,386,000","75,515,000","85,688,000"
		Receivables,"7,052,000","2,717,000",,,,"0","249,000","424,000","447,000","658,000"
			AccountsReceivable,"1,339,000",,,,,"0","249,000","424,000","447,000","658,000"
			OtherReceivables,"5,713,000","2,717,000",,,,,,,,
		Inventory,"25,847,000","11,597,000","3,644,000","2,267,000",,"0","0","1,859,000","1,859,000","1,872,000"
			RawMaterials,"12,766,000","7,344,000","3,644,000","2,267,000",,"0","0","1,859,000","1,859,000","1,872,000"
			WorkInProcess,"8,556,000","4,253,000",,,,,,,,
			FinishedGoods,"4,525,000",,,,,,,,,
		PrepaidAssets,"23,860,000","10,731,000","19,370,000","28,324,000","40,645,000","51,639,000","67,158,000","62,813,000","14,596,000","2,663,000"
		RestrictedCash,,"0","0",,"0","4,365,000","10,952,000","8,896,000","4,132,000","0"
		CurrentDeferredAssets,"2,157,000","2,443,000",,,,,,,"4,656,000",
		OtherCurrentAssets,,,,,,,,"2,813,000","1,327,000",
	TotalNonCurrentAssets,"491,327,000","465,090,000","390,522,000","301,914,000","198,923,000","156,796,000","150,339,000","152,662,000","136,765,000","138,549,000"
		NetPPE,"264,121,000","244,377,000","200,655,000","166,367,000","123,422,000","71,401,000","61,313,000","59,856,000","54,436,000","53,378,000"
			GrossPPE,"283,653,000","260,884,000","209,370,000","178,353,000","133,592,000","79,816,000","69,021,000","66,136,000","59,272,000","56,878,000"
				Properties,"0","0","0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,"131,118,000","104,333,000","58,708,000",,,"0","33,248,000","33,248,000","33,248,000","33,248,000"
				MachineryFurnitureEquipment,"54,830,000","45,593,000","39,173,000","23,714,000","21,869,000","20,585,000","18,818,000","18,293,000","17,632,000","16,620,000"
				OtherProperties,"9,776,000","4,560,000","43,359,000","36,960,000","36,646,000","36,525,000","1,815,000","1,583,000","1,404,000","1,309,000"
				ConstructionInProgress,"85,038,000","103,515,000","65,276,000","114,841,000","72,386,000","21,218,000","13,693,000","11,636,000","5,567,000","4,264,000"
				Leases,"2,891,000","2,883,000","2,854,000","2,838,000","2,691,000","1,488,000","1,447,000","1,376,000","1,421,000","1,437,000"
			AccumulatedDepreciation,"-19,532,000","-16,507,000","-8,715,000","-11,986,000","-10,170,000","-8,415,000","-7,708,000","-6,280,000","-4,836,000","-3,500,000"
		GoodwillAndOtherIntangibleAssets,"102,419,000","102,419,000","102,419,000","55,238,000","55,238,000","55,288,000","67,704,000","67,719,000","67,735,000","67,751,000"
			Goodwill,"5,238,000","5,238,000","5,238,000","5,238,000","5,238,000","5,238,000","5,238,000","5,238,000","5,238,000","5,238,000"
			OtherIntangibleAssets,"97,181,000","97,181,000","97,181,000","50,000,000","50,000,000","50,050,000","62,466,000","62,481,000","62,497,000","62,513,000"
