name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OperatingCashFlow,"487,735,000","154,034,000","133,102,000","94,413,000","106,186,000","62,766,000","73,033,000","56,413,000","101,585,000","100,654,000","70,427,000","71,023,000","99,392,000","98,908,000","117,846,013","62,799,300","18,096,209","45,520,677","7,386,043","35,837,184","27,453","29,716,382","4,172,867","39,195,766","3,308,788","55,214,150","72,194,708","63,122,045","44,822,513","66,876,452","64,886,832","80,480,210","56,142,879","72,747,620","53,855,194","58,482,780","54,079,500","56,356,933","61,829,682","51,135,483","46,948,017","38,613,432","35,763,660","13,891,178","42,655,509","-7,160,821","46,994,606","11,324,907","2,839,141","12,148,566","5,470,409","1,974,176","997,940","1,370,385","2,229,320","729,838","-327,120","-125,546","-167,038","-106,227","-119,715","-98,529","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	CashFlowFromContinuingOperatingActivities,"487,736,000","154,035,000","133,102,000","94,413,000","106,186,000","62,766,000","73,033,000","56,413,000","101,582,000","100,657,000","70,425,000","71,026,000","99,391,000","98,908,000","117,846,013","62,799,300","18,096,209","45,520,677","7,386,043","35,837,184","27,453","29,716,382","4,172,867","39,195,766","3,308,788","55,214,150","72,194,708","63,122,045","44,822,513","66,876,452","64,886,832","80,480,210","56,142,879","72,747,620","53,855,194","58,482,780","54,079,500","56,356,933","61,829,682","51,135,483","46,948,017","38,613,432","35,763,660","13,891,178","42,655,509","-7,160,821","46,994,606","11,324,907","2,839,141","12,148,566","5,470,409","1,974,176","997,940","1,370,385","2,229,320","729,838","-327,120","-125,546","-167,038","-106,227","-119,715","-98,529","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
		NetIncomeFromContinuingOperations,"-109,842,000","-206,560,000","174,728,000","12,553,000","-90,563,000","-90,357,000","-142,123,000","-233,004,000","-899,200,000","368,286,000","-107,937,000","94,381,000","44,400,000","-107,162,000","218,292,263","18,978,573","-96,546,698","2,965,097","-23,848,689","-16,087,465","13,801,859","16,940,523","-12,330,398","-45,618,895","-108,978,661","-126,565,754","-172,313,323","-323,242,031","-250,060,615","-229,738,572","103,583,321","57,985,310","-4,412,449","6,589,763","17,400,938","1,702,906","25,011,673","8,951,519","19,552,156","300,161","43,626,396","8,805,911","-1,380,788","28,617,222","20,432,900","-7,057,842","-1,750,422","987,226","6,120,866","1,559,630","1,051,183","1,739,170","315,924","-307,325","1,391,744","871,819","283,465","-187,277","-2,869,349","-53,548","-1,094,810","-287,586","-1,917","-1,050","-680","-4,109","-1,627","-1,032","22,765","-7,373","-17,208","-10,668","-1,807","-401","-440","-330","-1,697","-405","-173","-580","-295","-1,964","-224","-229","-229","-2,016","-396","-225","-1,139","-3,118"
		OperatingGainsLosses,"566,377,000","382,937,000","-61,741,000","71,753,000","173,428,000","140,992,000","84,737,000","68,383,000","150,611,000","-338,871,000","133,170,000","-57,482,000","-26,559,000","145,882,000","-193,478,790","26,704,824","120,768,906","12,141,314","34,606,567","16,058,370","-14,172,002","-17,056,542","18,241,989","5,645,586","30,506,699","21,983,017","29,537,903","-8,408,682","53,193,228","14,331,367","-145,842,035","-68,600,900","35,307,533","7,859,683","-5,521,214","29,353,160","-17,009,668","14,910,655","2,955,195","-18,125,928","0","0","26,675,003","-26,675,003","244,906","-459,998","14,406,445","0","93,339","104,217",,,,"-205,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"565,867,000","382,937,000","-61,758,000","71,753,000","172,935,000","128,398,000","84,737,000","69,975,000","150,828,000","-344,398,000","110,408,000","-57,482,000","-26,984,000","145,882,000","-266,533,651","17,162,618","29,935,931","12,141,314","33,613,617","16,058,370","-14,172,002","-17,056,542","18,211,633","5,645,586","30,506,699","21,983,017","29,599,690","-8,408,682","53,193,228","14,331,367","-145,842,035","-68,600,900","35,307,533","7,859,683","-5,995,129",,,"14,910,655","2,978,806","0","0","0","26,675,003","-26,675,003","244,906","-459,998","14,406,445","0","93,339","104,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"162,792,000","53,185,000","42,815,000","35,885,000","30,907,000","31,221,000","32,770,000","30,785,000","36,756,000","61,809,000","63,410,000","55,566,000","46,091,000","45,134,000","48,294,929","30,258,089","22,596,028","18,630,629","17,631,875","15,357,685","13,682,452","12,828,143","13,523,186","13,698,020","16,176,863","17,846,089","24,140,489","31,670,479","36,745,805","45,213,039","48,924,152","45,646,231","42,212,250","36,100,921","38,927,949","32,165,062","26,527,917","26,762,446","26,750,927","28,057,415","25,622,116","18,406,589","14,936,895","10,824,981","8,419,895","6,931,792","8,697,808","3,828,012","2,627,103","1,908,235","2,175,887","851,394","870,932","444,564","463,746","203,103","119,489","49,200","2,666","260","260","260",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,,,,,,,,,,,,,,"45,134,000","48,294,929","30,258,089","22,596,028","18,630,629","17,631,875","15,357,685","13,682,452","12,828,143",,,,,,,,,,,,,,,"92,867","94,275","105,662","104,830","102,307","97,089","83,932","75,597","70,295","68,313","-8,186,755","3,828,012","2,627,103","1,908,235","2,175,887","851,394","870,932","444,564","463,746","203,103","119,489","49,200","2,666","260","260","260",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Depletion,"162,792,000","53,185,000","42,815,000","35,885,000","30,907,000","31,221,000","32,770,000","30,785,000","36,756,000","61,809,000","63,410,000","55,566,000","46,091,000","45,134,000","48,294,929","30,258,089","22,596,028","18,630,629","17,631,875","15,357,685","13,682,452","12,828,143","13,523,186","13,698,020","16,176,863","17,846,089","24,140,489","31,670,479","36,745,805","45,213,039","48,924,152","45,646,231","42,212,250","36,100,921","38,927,949","32,352,204","26,435,050","26,668,171","26,645,265","27,952,585","25,519,809","18,309,500","14,852,963","10,749,384","8,349,600","6,863,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"1,022,000","789,000","233,000","0","0","0","0","0","0","210,000",,,,"0","365,000",,,,"-785,000","0","0","0",,,"0","0","0","0","-66,870,555","-135,480,000","59,707,555","35,050,000","-2,750,000","4,100,000","10,505,000","1,028,000","14,630,000","5,600,000","8,114,000","210,000","28,840,000","5,820,000","1,110,000","17,173,000","13,060,000","-4,510,000",,"620,000","3,833,000","977,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"1,022,000","789,000","233,000","0","0","0","0","0","0","210,000",,,,"0","365,000",,,,"-785,000","0","0","0",,,"0","0","0","0","-66,870,555","-135,480,000","59,707,555","35,050,000","-2,750,000","4,100,000","10,505,000","1,028,000","14,630,000","5,600,000","8,114,000","210,000","28,840,000","5,820,000","1,110,000","17,173,000","13,060,000","-4,510,000",,"620,000","3,833,000","977,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,"1,479,951","1,360,857","1,107,220","1,094,611","1,055,430","1,070,130","1,071,157","1,050,686","1,130,598","1,149,652","1,143,667","799,598","346,799","346,797",,"334,297","259,247","382,412","264,915","465,424","532,771","518,907","508,148","397,091","156,011","117,622","109,765","94,100","89,478","105,685","81,318","125,726","145,755","454,700","-4,644","-4,643","-4,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,"0","0",,,"104,463,000","199,489,000",,,"-1,571,000","5,275,000",,,"0",,,,"0","0","0","0","0","43,820,791","88,880,921","104,311,122","167,143,533","354,422,654","281,964,097","360,428,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,009,668","14,910,655",,,"-49,799,311","9,364,913",,,"-20,848,232","21,278,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"4,299,000","1,447,000","1,374,000","698,000","780,000","769,000","937,000","889,000","1,214,000","1,079,000","3,675,000","-114,000","1,643,000","2,751,000","1,903,055","1,512,792","1,399,224","-819,595","-1,979,302","3,768,685","883,605","613,578","956,037","-792,310","1,558,879","1,741,434","2,322,400","967,241","248,601","1,695,873","736,890","889,527","574,851","557,865","1,251,484","1,239,623","1,185,596","1,122,274","1,086,093","6,998,765","2,091,972","2,204,927","612,079","2,188,900","1,505,174","1,858,171","835,354","724,410","1,193,072","813,297","1,016,334","110,771","36,302","49,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"9,070,000","3,221,000","600,000","1,412,000","3,837,000","956,000","1,045,000","2,478,000","1,010,000","1,080,000","-14,267,000","-15,250,000","25,317,000","884,000","32,171,615","1,155,528","1,263,257","1,439,975","4,164,654","1,129,190","1,091,466","1,179,566","1,002,985","1,174,184","1,108,086","2,502,526","1,878,758","1,317,667","1,601,154","346,799","346,797","334,301","334,297","259,247","382,412","264,915","465,424","532,771","1,605,000","7,506,913","-47,310,248","11,725,851",,"2,298,665","-19,248,958","23,226,278","941,039","6,609,758","-4,384,140","994,353","540,629","1,160,306","8,077","128,484","127,856","-70,075","46,477","48,575","2,479,866","5,647","908,148","216,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"-145,983,000","-80,985,000","-24,907,000","-27,888,000","-12,203,000","-20,815,000","-8,796,000","-12,607,000","48,478,000","7,061,000","-6,263,000","-11,353,000","5,806,000","11,419,000","10,297,941","-15,810,506","-31,384,508","11,163,257","-22,404,062","15,610,719","-15,259,927","15,211,114","-17,220,932","21,268,390","-25,943,999","33,395,716","19,484,948","6,394,717","-11,999,202","10,078,984","-2,569,848","9,175,741","-15,123,603","17,280,141","-9,091,375","-7,270,886","3,268,558","-1,522,732","2,852,404","-7,247,476","-3,830,247","-6,144,919","-3,290,977","-17,917,290","19,746,766","-25,291,051","28,930,707","-1,525,817","-6,769,825","5,646,079","231,676","-1,882,821","-433,652","1,264,420","1,118,974","-275,009","-776,551","-36,044","219,779","-58,586","66,687","-28,189","1,917","1,050","680","4,109","26,627","1,032","-22,765","7,373","17,208","10,668","1,807","401","440","330","1,697","405","173","580","295","1,964","224","229","229","2,016","396","225","1,139","3,118"
			ChangeInReceivables,"-200,499,000","-102,033,000","-35,413,000","-26,787,000","-36,266,000","-23,694,000","-10,854,000","-16,564,000","54,266,000","10,789,000","-4,953,000","-15,434,000","2,906,000","5,939,000","-5,781,853","-22,108,285","-16,894,465","-4,337,895","-7,577,792","-1,995,218","-2,039,452","1,894,975","-4,386,122","7,702,538","-10,853,952","21,740,341","33,063,478","-8,887,276","-3,814,623","7,340,027","2,643,759","2,349,272","-8,723,118","4,615,349","5,384,032","-22,629,823","6,319,301","-5,670,822","9,105,314","-13,261,461","-4,697,987","-9,946,705","-6,857,363","-8,975,169","-8,558,964","-4,993,687","-4,192,303","-6,529,602","-3,079,930","-1,206,801","-161,368","-3,185,057","-990,303","215,111","-1,362,187","-624,437","-696,755","-220,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
