name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalAssets,"37,868,547,000","39,742,190,000","41,604,115,000","37,250,397,000","35,184,129,000","33,252,114,000","30,406,364,000","23,752,149,000","24,193,475,000","44,863,454,000","41,347,925,000","36,792,375,000","33,409,568,000","31,691,013,000","30,090,769,000","22,943,731,000","22,011,941,000","22,213,562,000","21,404,833,000","23,000,015,000","20,029,987,000","18,365,035,000","17,704,382,000","17,905,148,000","17,571,777,000","15,192,722,000","15,356,218,000","14,394,798,000","7,467,622,000","8,093,690,000","7,773,401,000","7,039,316,000","6,998,834,000","5,958,658,000","2,931,844,000","2,742,442,000","1,693,100,000","534,876,000"
TotalLiabilitiesNetMinorityInterest,"30,683,835,000","33,072,810,000","34,977,002,000","31,084,246,000","29,562,316,000","27,822,430,000","24,977,733,000","18,363,177,000","18,863,011,000","37,627,194,000","34,085,808,000","29,991,545,000","26,497,359,000","25,602,718,000","24,253,721,000","17,144,807,000","16,250,254,000","17,417,400,000","16,725,629,000","18,381,057,000","15,728,227,000","14,896,858,000","14,286,871,000","14,791,887,000","14,492,781,000","12,206,142,000","12,330,147,000","11,299,716,000","5,653,208,000","6,243,765,000","5,917,540,000","5,227,536,000","5,438,185,000","4,445,583,000","1,670,808,000","1,496,717,000","925,681,000","156,520,000"
TotalEquityGrossMinorityInterest,"7,184,712,000","6,669,380,000","6,627,113,000","6,166,151,000","5,621,813,000","5,429,684,000","5,428,631,000","5,388,972,000","5,330,464,000","7,236,260,000","7,262,117,000","6,800,830,000","6,912,209,000","6,088,295,000","5,837,048,000","5,798,924,000","5,761,687,000","4,796,162,000","4,679,204,000","4,618,958,000","4,301,760,000","3,468,177,000","3,417,511,000","3,113,261,000","3,078,996,000","2,986,580,000","3,026,071,000","3,095,082,000","1,814,414,000","1,849,925,000","1,855,861,000","1,811,780,000","1,560,649,000","1,513,075,000","1,261,036,000","1,245,725,000","767,419,000","378,356,000"
	StockholdersEquity,"7,122,634,000","6,604,032,000","6,556,090,000","6,072,051,000","5,522,829,000","5,321,016,000","5,329,194,000","5,292,291,000","5,263,886,000","7,157,710,000","7,178,465,000","6,717,965,000","6,822,281,000","5,997,670,000","5,743,320,000","5,708,793,000","5,663,936,000","4,690,205,000","4,571,612,000","4,424,804,000","4,102,112,000","3,260,100,000","3,128,350,000","2,811,440,000","2,784,804,000","2,795,933,000","2,806,533,000","2,863,430,000","1,567,515,000","1,596,089,000","1,575,416,000","1,498,479,000","1,276,314,000","1,265,850,000","1,261,036,000","1,245,725,000","767,419,000","378,356,000"
		CapitalStock,"1,263,336,000","1,267,150,000","1,267,165,000","817,659,000","817,141,000","817,140,000","817,150,000","817,150,000","817,149,000","427,600,000","427,600,000","4,156,000","4,155,000","3,692,000","3,404,000","3,399,000","3,362,000","3,074,000","3,074,000","3,074,000","3,073,000","2,507,000","2,507,000","2,304,000","2,304,000","2,304,000","2,304,000","2,304,000","1,414,000","1,414,000","1,414,000","2,823,000","2,532,000","2,532,000","2,532,000","2,530,000","735,710,000",
			PreferredStock,"1,258,667,000","1,262,481,000","1,262,498,000","812,992,000","812,992,000","812,992,000","812,992,000","812,992,000","812,992,000","423,444,000","423,444,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"4,669,000","4,669,000","4,667,000","4,667,000","4,149,000","4,148,000","4,158,000","4,158,000","4,157,000","4,156,000","4,156,000","4,156,000","4,155,000","3,692,000","3,404,000","3,399,000","3,362,000","3,074,000","3,074,000","3,074,000","3,073,000","2,507,000","2,507,000","2,304,000","2,304,000","2,304,000","2,304,000","2,304,000","1,414,000","1,414,000","1,414,000","2,823,000","2,532,000","2,532,000","2,532,000","2,530,000","735,710,000",
		AdditionalPaidInCapital,"6,059,981,000","6,059,671,000","6,057,739,000","6,059,186,000","5,547,607,000","5,547,108,000","5,554,559,000","5,554,559,000","5,500,308,000","5,498,226,000","5,498,226,000","5,498,226,000","5,497,838,000","4,746,242,000","4,256,045,000","4,246,135,000","4,245,573,000","3,763,188,000","3,760,372,000","3,756,016,000","3,755,561,000","2,920,730,000","2,919,765,000","2,641,193,000","2,640,893,000","2,640,893,000","2,640,680,000","2,640,608,000","1,328,587,000","1,328,587,000","1,330,090,000","1,326,272,000","1,156,408,000","1,157,118,000","1,157,040,000","1,157,042,000",,"362,830,000"
		RetainedEarnings,"-267,878,000","-813,042,000","-856,803,000","-886,305,000","-914,304,000","-1,108,929,000","-1,094,589,000","-1,110,148,000","-1,059,706,000","549,733,000","545,713,000","528,889,000","768,592,000","830,713,000","1,014,919,000","1,000,488,000","995,661,000","559,476,000","424,854,000","352,414,000","184,358,000","210,500,000","100,697,000","117,144,000","154,519,000","148,800,000","151,838,000","203,287,000","217,689,000","237,769,000","237,284,000","160,396,000","107,446,000","102,986,000","85,776,000","66,939,000",,"0"
		GainsLossesNotAffectingRetainedEarnings,"67,195,000","90,253,000","87,989,000","81,511,000","72,385,000","65,697,000","52,074,000","30,730,000","6,135,000","682,151,000","706,926,000","686,694,000","551,696,000","417,023,000","468,952,000","458,771,000","419,340,000","364,467,000","383,312,000","313,300,000","159,120,000","126,363,000","105,381,000","50,799,000","-12,912,000","3,936,000","11,711,000","17,231,000","19,825,000","28,319,000","6,628,000","8,988,000","9,928,000","3,214,000","15,688,000","19,214,000","31,709,000","15,526,000"
