name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
TotalRevenue,"667,303,000","194,133,000","173,028,000","158,116,000","142,026,000","152,316,000","112,378,000","98,143,000","86,472,000","94,012,000","83,240,000","77,909,000","74,355,000","66,824,000","66,965,000","65,280,000","63,069,000","62,340,000","53,765,000","56,656,000","53,617,000","46,901,000","49,299,000","53,889,000","51,984,000","61,902,000","52,911,000","44,921,000","45,087,000","47,435,000","49,884,000","46,274,000","35,836,000","27,295,000"
	OperatingRevenue,"667,303,000","194,133,000","173,028,000","158,116,000","142,026,000","152,316,000","112,378,000","98,143,000","86,472,000","94,012,000","83,240,000","77,909,000","74,355,000","66,824,000","66,965,000","65,280,000","63,069,000","62,340,000","53,765,000","56,656,000","53,617,000","46,901,000","51,617,000","53,090,000","51,231,000","61,136,000","52,327,000","44,423,000","44,519,000","46,899,000","48,559,000","45,804,000","35,736,000","27,209,000"
CostOfRevenue,"354,820,000","103,215,000","94,122,000","81,371,000","76,112,000","66,813,000","59,882,000","51,821,000","46,939,000","44,978,000","44,462,000","43,880,000","43,825,000","43,303,000","42,789,000","41,679,000","40,995,000","40,592,000","36,725,000","34,612,000","34,559,000","33,700,000","38,000,000","34,261,000","30,973,000","32,340,000","31,813,000","30,456,000","25,732,000","24,843,000","22,662,000","20,820,000","19,014,000","15,900,000"
GrossProfit,"312,483,000","90,918,000","78,906,000","76,745,000","65,914,000","85,503,000","52,496,000","46,322,000","39,533,000","49,034,000","38,778,000","34,029,000","30,530,000","23,521,000","24,176,000","23,601,000","22,074,000","21,748,000","17,040,000","22,044,000","19,058,000","13,201,000","11,299,000","19,628,000","21,011,000","29,562,000","21,098,000","14,465,000","19,355,000","22,592,000","27,222,000","25,454,000","16,822,000","11,395,000"
OperatingExpense,"854,770,000","228,048,000","218,572,000","226,942,000","181,208,000","148,520,000","126,464,000","102,099,000","91,193,000","83,906,000","73,589,000","69,511,000","59,166,000","55,267,000","53,903,000","50,767,000","49,292,000","52,265,000","61,956,000","47,087,000","46,095,000","50,232,000","49,012,000","46,283,000","43,526,000","39,167,000","38,446,000","35,206,000","34,827,000","28,869,000","22,849,000","20,675,000","18,027,000","18,677,000"
	SellingGeneralAndAdministration,"550,336,000","147,634,000","146,761,000","128,485,000","127,456,000","108,332,000","94,080,000","75,678,000","68,188,000","65,681,000","58,587,000","56,715,000","47,042,000","43,832,000","41,133,000","38,374,000","37,440,000","37,925,000","48,937,000","34,478,000","34,309,000","37,582,000","37,553,000","34,938,000","33,227,000","30,408,000","30,442,000","27,870,000","28,086,000","23,239,000","18,349,000","16,303,000","13,905,000","14,379,000"
	ResearchAndDevelopment,"304,434,000","80,414,000","71,811,000","98,457,000","53,752,000","40,188,000","32,384,000","26,421,000","23,005,000","18,225,000","15,002,000","12,796,000","12,124,000","11,435,000","12,770,000","12,393,000","11,852,000","14,340,000","13,019,000","12,609,000","11,786,000","12,650,000","11,459,000","11,345,000","10,299,000","8,759,000","8,004,000","7,336,000","6,741,000","5,630,000","4,500,000","4,372,000","4,122,000","4,298,000"
OperatingIncome,"-542,287,000","-137,130,000","-139,666,000","-150,197,000","-115,294,000","-63,017,000","-73,968,000","-55,777,000","-51,660,000","-34,872,000","-34,811,000","-35,482,000","-28,636,000","-31,746,000","-29,727,000","-27,166,000","-27,218,000","-30,517,000","-44,916,000","-25,043,000","-27,037,000","-37,031,000","-37,713,000","-26,655,000","-22,515,000","-9,605,000","-17,348,000","-20,741,000","-15,472,000","-6,277,000","4,373,000","4,779,000","-1,205,000","-7,282,000"
NetNonOperatingInterestIncomeExpense,"-8,889,000","-1,286,000","-6,309,000","-804,000","-490,000","-702,000","3,252,000","-4,270,000","-4,038,000","-477,000","-386,000","-1,999,000","-1,885,000","-2,271,000","-2,746,000","-2,332,000","-2,560,000","-2,252,000","-405,000","-1,477,000","-218,000","1,117,000","-155,000","741,000","-122,000","920,000","1,162,000","633,000","-1,525,000","-2,810,000","-2,396,000","-494,000","404,000","-1,615,000"
	InterestIncomeNonOperating,,"801,000",,"1,274,000","1,585,000","1,371,000",,,"1,924,000","1,987,000","2,190,000","673,000","836,000","453,000","618,000","449,000","-3,933,000","137,000","1,930,000","-437,000","-413,000","1,300,000","-5,000","887,000","-519,000","1,035,000","1,276,000","1,810,000","-322,000","-1,800,000","-1,124,000","708,000","1,340,000","-806,000"
	InterestExpenseNonOperating,"8,319,000","2,087,000","2,079,000","2,078,000","2,075,000","2,073,000","4,310,000","4,270,000","4,038,000","2,464,000","2,576,000","2,672,000","2,721,000","2,724,000","2,746,000","2,781,000","2,560,000","2,389,000","2,335,000","1,477,000","218,000","183,000","150,000","146,000","122,000","115,000","-198,000","1,177,000","1,525,000","2,810,000","1,272,000","1,202,000","936,000","1,615,000"
OtherIncomeExpense,,,,,,"1,371,000","-5,661,000","1,749,000","-3,924,000",,"0","14,388,000",,,"618,000",,"-3,933,000",,"0","-437,000","-413,000","0","0","0","-519,000","1,035,000","-6,774,000","2,478,000","-2,684,000","-917,000","-723,000","-561,000","287,000","-719,000"
	SpecialIncomeCharges,,,"0","0","0",,"0","0","-5,848,000",,"0","14,388,000",,,,,,,,,,,,,,"1,035,000","-6,774,000","2,478,000","-2,684,000","-917,000","-723,000",,"287,000","-719,000"
		OtherSpecialCharges,,,,,,,"0",,"5,848,000",,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,"0","0",,,"0","14,388,000",,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,"1,371,000",,"1,749,000","1,924,000",,,,,,"618,000",,"-3,933,000",,,"-437,000","-413,000",,,,"-519,000",,"-6,774,000","2,478,000","-2,684,000","-917,000","-723,000","-561,000","287,000","-719,000"
PretaxIncome,"-545,795,000","-138,416,000","-140,594,000","-151,001,000","-115,784,000","-63,719,000","-76,377,000","-58,298,000","-59,622,000","-35,349,000","-35,197,000","-23,093,000","-30,521,000","-34,017,000","-31,855,000","-29,498,000","-33,711,000","-32,769,000","-45,321,000","-26,957,000","-27,668,000","-35,914,000","-37,868,000","-25,914,000","-23,156,000","-8,685,000","-22,960,000","-17,630,000","-19,681,000","-10,004,000","1,254,000","3,724,000","-514,000","-9,616,000"
TaxProvision,"663,000","179,000","-30,000","272,000","242,000","134,000","35,000","25,000","15,000","23,000","-14,000","44,000","1,895,000","74,000","-14,000","118,000","113,000","104,000","181,000","162,000","64,000","47,000","39,000","103,000",,,,,,,,,,
NetIncomeCommonStockholders,"-546,458,000","-138,595,000","-140,564,000","-151,273,000","-116,026,000","-63,853,000","-76,412,000","-58,323,000","-59,637,000","-35,372,000","-35,183,000","-23,137,000","-32,416,000","-34,091,000","-31,841,000","-29,616,000","-33,824,000","-32,873,000","-45,502,000","-27,119,000","-27,732,000","-35,961,000","-37,907,000","-26,017,000","-23,156,000","-8,685,000","-22,960,000","-17,630,000","-19,681,000","-10,004,000","1,254,000","172,000","-514,000","-9,616,000"
