name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"28,632,868,000","25,823,072,000","24,949,479,000","22,995,582,000","21,172,408,000","20,125,394,000","19,519,277,000","18,765,965,000","17,866,061,000","18,344,666,000","18,506,265,000","18,126,480,000","18,086,698,000","17,920,588,000","17,962,893,000","17,451,692,000","16,121,246,000","15,841,258,000","16,503,834,000","16,112,725,000","15,875,460,000","15,223,518,000","15,113,679,000","14,924,583,000","14,395,104,000","14,250,399,000","15,269,468,000","15,068,177,000","14,855,438,000","15,615,927,000","15,493,594,000","15,310,888,000","15,118,011,000","15,203,283,000","15,091,776,000","13,766,651,000","14,039,010,000","14,152,059,000","14,997,247,000","14,766,566,000","14,814,465,000","14,570,350,000","14,807,265,000","14,733,549,000","14,344,446,000","13,921,910,000","13,260,925,000","12,688,180,000","12,802,702,000","12,571,904,000","12,670,012,000","12,411,047,000","12,586,474,000","13,874,443,000","15,336,547,000","14,992,456,000","11,340,521,000","9,826,122,000","8,300,243,000","8,468,307,000","8,485,734,000","7,884,989,000","7,895,667,000","7,745,753,000","7,504,146,000","7,138,787,000","6,958,875,000","6,462,505,000","6,613,134,000","6,133,207,000","5,885,416,000","5,110,866,000","4,829,068,000","4,492,353,054","4,440,552,635","4,350,419,442","4,382,330,805","4,381,001,217","4,020,489,410","3,874,961,230","3,755,805,864","3,759,348,176","3,811,878,396","3,752,658,003","3,694,308,566","3,721,787,719","3,578,751,574","3,632,529,396","3,732,535,407","3,729,800,000","3,554,600,000","3,424,700,000","3,343,000,000","3,226,500,000","3,200,500,000","3,112,700,000","3,019,500,000","2,984,400,000","2,926,800,000","2,782,600,000","2,763,000,000","2,619,500,000","2,530,400,000","2,426,000,000","2,403,700,000","2,296,100,000","2,234,800,000","2,152,600,000","2,093,600,000","2,001,900,000","1,974,600,000","1,976,000,000","1,920,900,000","1,829,300,000","1,749,700,000","1,719,300,000","1,599,600,000","1,490,400,000","1,451,100,000","1,387,200,000","1,275,200,000","1,181,600,000","1,131,500,000","1,088,500,000","1,070,300,000","1,038,400,000","1,058,900,000","1,053,700,000","1,042,700,000","1,033,800,000","1,034,800,000","1,040,400,000","949,700,000","654,100,000","571,600,000","560,300,000"
	CurrentAssets,"14,781,351,000","12,799,557,000","12,123,825,000","12,055,939,000","10,409,131,000","9,488,662,000","8,965,847,000","8,634,964,000","7,847,251,000","8,226,370,000","8,684,288,000","8,467,199,000","8,650,343,000","8,636,265,000","8,844,251,000","8,401,235,000","7,079,216,000","6,824,420,000","7,500,647,000","7,182,692,000","6,878,193,000","6,506,393,000","6,700,422,000","6,538,498,000","6,006,149,000","5,754,380,000","6,465,731,000","6,154,737,000","5,862,989,000","6,441,888,000","6,796,244,000","6,494,790,000","6,309,873,000","6,410,046,000","6,468,877,000","5,183,163,000","5,546,741,000","5,661,364,000","6,622,073,000","6,486,344,000","6,859,485,000","6,708,081,000","6,893,896,000","6,716,495,000","6,295,610,000","5,861,175,000","5,761,113,000","5,186,933,000","5,461,786,000","5,182,248,000","5,202,552,000","4,927,828,000","5,189,844,000","6,397,486,000","7,632,980,000","8,183,757,000","4,874,642,000","5,073,249,000","3,763,423,000","4,395,846,000","4,428,433,000","4,675,036,000","4,832,020,000","4,697,455,000","4,462,115,000","4,071,553,000","3,805,010,000","3,374,982,000","3,611,341,000","3,174,948,000","2,935,011,000","2,278,721,000","1,948,341,000","1,620,559,908","1,545,664,439","1,427,200,180","1,425,961,147","1,424,138,700","1,610,499,972","1,560,490,759","1,395,429,891","1,373,665,916","1,443,273,810","1,376,976,488","1,297,102,924","1,381,446,907","1,265,734,492","1,338,766,658","1,493,230,463","1,538,500,000","1,441,500,000","1,331,600,000","1,261,900,000","1,129,500,000","1,145,600,000","1,148,700,000","1,128,200,000","1,125,500,000","1,088,200,000","949,700,000","961,100,000","828,400,000","817,100,000","818,600,000","863,700,000","830,700,000","828,700,000","795,700,000","749,100,000","638,700,000","571,700,000","560,100,000","536,100,000","468,200,000","423,300,000","446,400,000","410,800,000","364,600,000","406,000,000","390,100,000","358,800,000","334,300,000","362,600,000","343,700,000","343,200,000","315,100,000","328,900,000","316,900,000","298,600,000","280,000,000","289,300,000","296,200,000","247,800,000","234,700,000","295,700,000","334,800,000"
		CashCashEquivalentsAndShortTermInvestments,"4,172,134,000","2,617,863,000","2,011,540,000","3,121,065,000","2,863,318,000","3,047,675,000","3,278,979,000","3,036,662,000","1,391,157,000","1,834,645,000","1,935,981,000","1,481,792,000","1,600,807,000","1,398,886,000","1,932,155,000","1,486,453,000","760,254,000","999,104,000","1,625,944,000","1,561,353,000","1,707,759,000","2,195,961,000","2,354,707,000","2,331,150,000","2,328,488,000","2,039,469,000","1,995,425,000","1,688,732,000","1,265,864,000","1,124,144,000","1,395,945,000","1,167,561,000","1,252,542,000","1,511,443,000","1,771,385,000","678,123,000","932,203,000","1,157,029,000","2,123,463,000","1,681,410,000","2,378,103,000","2,563,286,000","2,413,988,000","2,282,228,000","2,296,017,000","2,479,029,000","2,006,588,000","1,141,999,000","2,000,084,000","2,241,981,000","2,221,143,000","2,196,592,000","1,900,079,000","2,355,130,000","1,679,192,000","2,791,880,000","733,995,000","1,576,393,000","272,256,000","975,321,000","1,369,071,000","2,196,284,000","2,221,535,000","2,154,129,000","2,205,001,000","1,837,510,000","1,607,238,000","1,060,755,000","1,202,711,000","779,049,000","758,152,000","502,050,000","397,914,000","350,332,243","284,939,813","182,276,227","181,710,401","219,004,868","523,007,447","537,578,352","456,216,914","462,348,547","471,141,480","385,170,638","331,993,069","490,576,279","304,876,375","311,734,528","479,447,538","572,200,000","599,000,000","517,900,000","458,500,000","308,700,000","274,300,000","291,300,000","269,300,000","283,400,000","284,200,000","145,300,000","168,400,000","104,400,000","125,500,000","152,100,000","199,000,000","201,800,000","259,500,000","202,300,000","163,800,000","101,900,000","47,700,000","42,900,000","43,400,000","27,300,000","25,500,000","28,300,000","26,800,000","25,500,000","48,900,000","52,600,000","34,200,000","38,300,000","71,200,000","49,500,000","60,200,000","51,600,000","29,400,000","25,700,000","22,200,000","32,600,000","29,000,000","40,400,000","26,400,000","72,800,000","128,700,000","185,100,000"
			CashAndCashEquivalents,"3,725,266,000","2,364,858,000","1,764,293,000","2,722,656,000","2,460,723,000","2,639,671,000","2,866,578,000","2,789,189,000","1,245,157,000","1,534,605,000","1,686,365,000","1,431,792,000","1,550,807,000","1,398,886,000","1,932,155,000","1,486,453,000","760,254,000","949,104,000","1,575,944,000","1,511,353,000","1,657,759,000","2,045,961,000","1,704,707,000","1,781,150,000","2,278,488,000","1,939,469,000","1,895,425,000","1,576,496,000","1,153,937,000","1,024,144,000","1,295,945,000","1,067,561,000","1,152,542,000","1,483,252,000","1,722,909,000","630,467,000","902,700,000","1,052,862,000","1,693,197,000","1,111,989,000","1,179,814,000","1,200,645,000","1,101,437,000","1,189,544,000","1,152,944,000","1,325,406,000","1,850,093,000","801,504,000","1,659,589,000","2,016,981,000","1,957,671,000","2,060,203,000","1,900,079,000","2,355,130,000","1,654,336,000","2,791,880,000","733,995,000","1,393,943,000","272,256,000","624,456,000","881,606,000","785,651,000","832,597,000","883,321,000","1,127,978,000","1,837,510,000","1,607,238,000","1,060,755,000","1,202,711,000","779,049,000","758,152,000","502,050,000","397,914,000","350,332,243","284,939,813","182,276,227","181,710,401","219,004,868","523,007,447","537,578,352","456,216,914","462,348,547","471,141,480","385,170,638","331,993,069","490,576,279","304,876,375","311,734,528","479,447,538","572,200,000","599,000,000","517,900,000","458,500,000","308,700,000","274,300,000","291,300,000","269,300,000","283,400,000","284,200,000","145,300,000","168,400,000","104,400,000","125,500,000","152,100,000","199,000,000","201,800,000","259,500,000","202,300,000","163,800,000","101,900,000","47,700,000","42,900,000","43,400,000","27,300,000","25,500,000","28,300,000","26,800,000","25,500,000","48,900,000","52,600,000","34,200,000","38,300,000","71,200,000","49,500,000","60,200,000","51,600,000","29,400,000","25,700,000","22,200,000","32,600,000","29,000,000","40,400,000","26,400,000","72,800,000","128,700,000","185,100,000"
			OtherShortTermInvestments,"446,868,000","253,005,000","247,247,000","398,409,000","402,595,000","408,004,000","412,401,000","247,473,000","146,000,000","300,040,000","249,616,000","50,000,000","50,000,000","0","0","0","0","50,000,000","50,000,000","50,000,000","50,000,000","150,000,000","650,000,000","550,000,000","50,000,000","100,000,000","100,000,000","112,236,000","111,927,000","100,000,000","100,000,000","100,000,000","100,000,000","28,191,000","48,476,000","47,656,000","29,503,000","104,167,000","430,266,000","569,421,000","1,198,289,000","1,362,641,000","1,312,551,000","1,092,684,000","1,143,073,000","1,153,623,000","156,495,000","340,495,000","340,495,000","225,000,000","263,472,000","136,389,000",,"0","24,856,000",,,"182,450,000",,"350,865,000","487,465,000","1,410,633,000","1,388,938,000","1,270,808,000","1,077,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"4,111,478,000","3,853,972,000","4,087,293,000","3,399,076,000","2,828,964,000","2,298,850,000","2,119,421,000","1,888,929,000","2,273,157,000","2,160,102,000","2,312,366,000","2,399,239,000","2,483,138,000","2,505,568,000","2,636,038,000","2,637,744,000","2,371,758,000","2,028,545,000","2,113,890,000","2,081,150,000","1,980,556,000","1,631,676,000","1,850,455,000","1,789,942,000","1,493,892,000","1,383,823,000","1,716,356,000","1,791,523,000","1,711,101,000","2,068,298,000","2,243,908,000","2,071,439,000","1,900,293,000","1,810,987,000","1,918,165,000","1,767,177,000","1,791,321,000","1,707,317,000","1,799,305,000","1,919,465,000","1,791,695,000","1,710,773,000","1,838,126,000","1,837,175,000","1,704,789,000","1,439,828,000","1,468,676,000","1,420,731,000","1,302,316,000","1,116,035,000","1,156,510,000","960,226,000","933,763,000","1,228,807,000","2,553,128,000","2,611,590,000","1,965,002,000","1,611,844,000","1,629,682,000","1,528,597,000","1,432,123,000","1,067,322,000","1,230,899,000","1,224,390,000","1,068,752,000","1,000,629,000","1,017,900,000","933,667,000","1,021,430,000","962,755,000","1,048,238,000","900,915,000","762,567,000","572,479,237","546,546,340","527,286,836","483,462,648","483,607,972","425,346,753","382,416,154","360,466,468","330,855,074","391,004,080","408,713,476","391,409,944","350,184,329","405,806,512","426,523,598","412,889,344","393,800,000","357,200,000","342,200,000","293,100,000","299,200,000","319,200,000","390,400,000","388,000,000","386,400,000","376,200,000","360,200,000","348,400,000","292,600,000","327,100,000","310,200,000","295,200,000","283,200,000","294,400,000","307,100,000","293,200,000","258,100,000","276,100,000","258,000,000","227,600,000","202,200,000","204,400,000","197,500,000","162,200,000","132,100,000","146,300,000","135,200,000","130,600,000","109,500,000","140,600,000","142,100,000","130,600,000","126,700,000","156,000,000","151,500,000","129,000,000","107,000,000","133,700,000","140,500,000","106,800,000","88,300,000","70,400,000","70,900,000"
			AccountsReceivable,"4,111,478,000","3,853,972,000","4,087,293,000","3,399,076,000","2,828,964,000","2,298,850,000","2,119,421,000","1,888,929,000","2,273,157,000","2,160,102,000","2,312,366,000","2,399,239,000","2,483,138,000","2,505,568,000","2,636,038,000","2,637,744,000","2,371,758,000","2,028,545,000","2,113,890,000","2,081,150,000","1,980,556,000","1,631,676,000","1,850,455,000","1,789,942,000","1,493,892,000","1,383,823,000","1,716,356,000","1,791,523,000","1,711,101,000","2,068,298,000","2,243,908,000","2,071,439,000","1,900,293,000","1,810,987,000","1,918,165,000","1,767,177,000","1,791,321,000","1,707,317,000","1,799,305,000","1,919,465,000","1,791,695,000","1,710,773,000","1,838,126,000","1,837,175,000","1,704,789,000","1,439,828,000","1,468,676,000","1,420,731,000","1,302,316,000","1,116,035,000","1,156,510,000","960,226,000","933,763,000","1,228,807,000","2,553,128,000","2,611,590,000","1,965,002,000","1,611,844,000","1,629,682,000","1,528,597,000","1,432,123,000","1,067,322,000","1,230,899,000","1,224,390,000","1,068,752,000","1,000,629,000","1,017,900,000","933,667,000","1,021,430,000","962,755,000","1,048,238,000","900,915,000","762,567,000","572,479,237","546,546,340","527,286,836","483,462,648","483,607,972","425,346,753","382,416,154","360,466,468","330,855,074","391,004,080","408,713,476","391,409,944","350,184,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"3,949,372,000",,,,"2,350,150,000",,,,"2,220,002,000",,,,"2,567,668,000",,,,"2,077,545,000",,"2,128,450,000","2,026,656,000","1,677,576,000","1,896,155,000","1,833,842,000","1,536,392,000","1,427,023,000","1,753,956,000","1,841,323,000","1,765,801,000","2,133,698,000","2,306,008,000",,,"1,869,287,000",,,,"1,764,717,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-95,400,000",,,,"-51,300,000",,,,"-59,900,000",,,,"-62,100,000",,,,"-49,000,000",,"-47,300,000","-46,100,000","-45,900,000","-45,700,000","-43,900,000","-42,500,000","-43,200,000","-37,600,000","-49,800,000","-54,700,000","-65,400,000","-62,100,000",,,"-58,300,000",,,,"-57,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"6,245,679,000","6,011,182,000","5,678,715,000","5,240,750,000","4,360,122,000","3,569,089,000","3,260,685,000","3,373,258,000","3,875,590,000","3,842,095,000","4,072,464,000","4,268,799,000","4,445,228,000","4,553,500,000","4,105,714,000","4,133,472,000","3,708,503,000","3,461,686,000","3,522,199,000","3,326,563,000","3,064,170,000","2,479,958,000","2,338,432,000","2,288,134,000","2,007,879,000","2,145,444,000","2,361,071,000","2,267,394,000","2,405,916,000","2,745,032,000","2,683,235,000","2,738,658,000","2,724,194,000","2,605,609,000","2,439,847,000","2,279,744,000","2,381,648,000","2,323,641,000","2,217,374,000","2,406,122,000","2,258,645,000","1,987,257,000","2,188,828,000","2,222,167,000","1,959,170,000","1,557,574,000","1,649,605,000","1,951,732,000","1,624,971,000","1,312,903,000","1,310,114,000","1,268,200,000","1,883,956,000","2,408,157,000","3,145,706,000","2,498,018,000","1,877,371,000","1,601,600,000","1,604,580,000","1,565,150,000","1,408,285,000","1,141,194,000","1,154,243,000","1,050,485,000","941,223,000","945,054,000","951,143,000","1,149,454,000","1,192,686,000","1,239,888,000","950,594,000","730,349,000","641,516,000","560,395,527","581,537,740","582,828,408","624,714,969","588,989,548","536,236,633","523,354,618","469,952,379","466,690,217","500,297,737","502,472,269","492,338,985","461,151,913","462,765,727","500,165,981","488,868,477","465,000,000","398,800,000","384,100,000","421,900,000","435,900,000","492,100,000","406,200,000","409,200,000","397,000,000","379,700,000","396,800,000","397,600,000","385,800,000","317,700,000","311,500,000","329,400,000","306,800,000","235,000,000","248,900,000","253,800,000","243,000,000","223,500,000","234,000,000","239,700,000","215,000,000","191,300,000","218,400,000","219,000,000","206,400,000","209,000,000","199,900,000","191,500,000","186,100,000","150,100,000","150,900,000","150,900,000","136,600,000","142,400,000","137,800,000","145,400,000","139,400,000","120,200,000","108,400,000","113,900,000","73,300,000","96,500,000","78,600,000"
