name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
OperatingCashFlow,"678,363,000","132,202,000","156,529,000","187,280,000","202,352,000","175,975,000","197,359,000","181,453,000","190,376,000","139,068,000","147,992,000","140,343,000","155,337,000","110,075,000","150,908,000","131,299,000","164,266,000","52,900,000","147,651,000","164,675,000","151,648,000","113,938,000","168,554,000","170,342,000","159,716,000","127,179,000","141,081,000","129,712,000","89,798,000","103,294,000","77,946,000","92,839,000","88,699,000","78,056,000","79,899,000","78,722,000","63,728,000","57,600,000","51,304,000","62,543,000","44,880,000","49,544,000","40,753,000","51,866,000","38,446,000","38,706,000","47,119,000","44,506,000","27,141,000","38,797,000","32,788,000","33,498,000","35,540,000","45,397,000","29,184,000","5,509,000","26,158,000","28,477,000","17,568,000","24,327,000","21,391,000","21,256,000","14,796,000","5,332,000","17,812,000","24,871,000","17,773,000","20,851,000","11,818,000","22,515,000","18,742,000","11,316,000","18,082,000","6,222,000","13,217,000","11,784,000","16,933,000","14,519,000","7,894,000","9,656,000","13,805,000","10,190,000","8,460,000","681,000","-3,692,000","10,459,000","18,681,000","-20,640,000","7,224,000","14,227,000","19,712,000","16,700,000","22,600,000","15,300,000","30,413,000","8,700,000","23,500,000","7,100,000","21,431,000","9,100,000","21,000,000","8,900,000","18,586,000","7,500,000","15,500,000","13,300,000","10,600,000","11,700,000","11,300,000","11,200,000","10,800,000","6,600,000","5,900,000","4,400,000","5,100,000","4,800,000","3,900,000","2,800,000"
	CashFlowFromContinuingOperatingActivities,"678,363,000","132,202,000","156,529,000","187,280,000","202,352,000","175,975,000","197,359,000","181,453,000","190,376,000","139,068,000","147,992,000","140,343,000","155,337,000","110,075,000","150,908,000","131,299,000","164,266,000","52,900,000","147,651,000","164,675,000","151,648,000","113,938,000","168,554,000","170,342,000","159,716,000","127,179,000","141,081,000","129,712,000","89,798,000","103,294,000","77,946,000","92,839,000","88,699,000","78,056,000","79,899,000","78,722,000","63,728,000","57,600,000","51,304,000","62,543,000","44,880,000","49,544,000","40,753,000","51,866,000","38,446,000","38,706,000","47,119,000","44,506,000","27,141,000","38,797,000","32,788,000","33,498,000","35,540,000","45,397,000","29,184,000","5,509,000","26,158,000","28,477,000","17,568,000","24,327,000","21,391,000","21,256,000","14,796,000","5,332,000","17,812,000","24,871,000","17,773,000","20,851,000","11,818,000","22,515,000","18,742,000","11,316,000","18,082,000","6,222,000","13,217,000","11,784,000","16,933,000","14,519,000","7,894,000","9,656,000","13,805,000","10,190,000","8,460,000","681,000","-3,692,000","10,459,000","18,681,000","-20,640,000","7,224,000","14,227,000","19,712,000","16,700,000","22,600,000","15,300,000","30,413,000","8,700,000","23,500,000","7,100,000","21,431,000","9,100,000","21,000,000","8,900,000","18,586,000","7,500,000","15,500,000","13,300,000","10,600,000","11,700,000","11,300,000","11,200,000","10,800,000","6,600,000","5,900,000","4,400,000","5,100,000","4,800,000","3,900,000","2,800,000"
		NetIncomeFromContinuingOperations,"459,092,000","195,156,000","34,238,000","142,835,000","86,863,000","164,366,000","63,074,000","-93,768,000","101,960,000","92,279,000","61,146,000","142,948,000","75,671,000","72,182,000","64,903,000","59,062,000","81,986,000","87,933,000","65,156,000","-137,515,000","68,157,000","109,112,000","129,883,000","82,134,000","113,154,000","58,196,000","63,543,000","83,254,000","43,466,000","43,052,000","56,990,000","61,713,000","46,817,000","55,829,000","47,206,000","38,137,000","49,058,000","38,120,000","33,923,000","30,119,000","30,572,000","26,084,000","19,293,000","21,436,000","17,790,000","-5,913,000","4,969,000","17,007,000",,,,,,"24,912,000",,,,,"17,316,000","15,349,000","16,050,000","20,659,000","13,409,000","24,146,000","11,261,000","6,881,000","20,007,000","5,120,000","2,257,000","9,304,000","12,457,000","8,641,000","5,938,000","-10,298,000","5,183,000","5,033,000","6,829,000","5,985,000","-10,701,000","-7,862,000","-512,000","4,429,000","-5,484,000","-2,082,000","-16,402,000","4,245,000","-2,570,000","-65,093,000","15,088,000","3,018,000","-18,529,000","12,400,000","13,000,000","12,800,000","12,000,000","-17,100,000","43,000,000","12,100,000","12,200,000","11,800,000","10,900,000","10,000,000","9,100,000","8,800,000","8,500,000","8,200,000","8,000,000","7,400,000","7,200,000","6,900,000","6,200,000","4,400,000","4,200,000","3,000,000","3,000,000","2,600,000","3,100,000","2,900,000"
		OperatingGainsLosses,"-177,713,000","-114,314,000","-1,505,000","-56,771,000","-5,123,000","-100,270,000","-6,649,000","2,641,000","-13,631,000","-2,789,000","-2,871,000","-53,067,000","267,000","-3,000","-15,526,000","5,361,000","2,891,000","-17,500,000","-46,421,000","-693,000","622,000","-7,420,000","-30,277,000","-5,139,000","-13,221,000","-1,571,000","58,000","2,391,000",,,"0","20,000","0","-2,883,000","0","0",,,"-2,826,000","-1,689,000","-1,968,000","-5,316,000","133,000",,,,"19,482,000","4,000",,,"-777,000","0",,,"-9,000","-11,806,000","0","-477,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-174,904,000","-113,637,000","-975,000","-56,169,000","-4,123,000","-100,342,000","-5,181,000",,,"-1,838,000","-2,893,000",,,"-3,000","-15,526,000","5,361,000","2,891,000","-17,500,000",,"-693,000","622,000","-7,420,000","-30,277,000","-5,139,000","-13,221,000","-1,571,000",,"2,391,000",,,,,,"-2,883,000",,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-2,809,000","-677,000","-530,000","-602,000","-1,000,000","72,000","-1,468,000","1,892,000","-788,000","-951,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,806,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"339,917,000","82,752,000","85,269,000","86,097,000","85,799,000","84,849,000","82,623,000","81,072,000","83,586,000","82,643,000","80,498,000","76,696,000","73,637,000","70,852,000","70,598,000","70,711,000","69,609,000","70,361,000","75,323,000","71,925,000","70,350,000","69,993,000","70,808,000","68,316,000","65,505,000","62,433,000","60,794,000","60,143,000","59,156,000","30,610,000","30,401,000","30,111,000","31,301,000","31,444,000","32,260,000","32,202,000","32,225,000","31,959,000","30,332,000","28,305,000","27,199,000","27,147,000","25,489,000","24,871,000","24,759,000","25,218,000","25,743,000","27,742,000","16,451,000","14,687,000","11,680,000","11,093,000","10,990,000","10,931,000","10,705,000","10,076,000","9,713,000","9,396,000","9,288,000","9,138,000","8,831,000","8,799,000","8,831,000","8,363,000","7,542,000","7,527,000","8,330,000","6,275,000","6,540,000","6,253,000","7,401,000","5,394,000","5,384,000","5,224,000","4,866,000","5,386,000","5,404,000","5,329,000","5,294,000","5,298,000","5,352,000","5,326,000","5,506,000","5,515,000","5,504,000","5,541,000","5,880,000","5,657,000","5,818,000","5,910,000","6,311,000","6,400,000","5,200,000","6,300,000","4,843,000","5,700,000","5,900,000","5,100,000","4,710,000","4,300,000","4,300,000","3,600,000","3,493,000","3,400,000","3,400,000","3,400,000","3,600,000","3,000,000","3,200,000","3,200,000",,,,,,,,
			DepreciationAndAmortization,"339,917,000","82,752,000","85,269,000","86,097,000","85,799,000","84,849,000","82,623,000","81,072,000","83,586,000","82,643,000","80,498,000","76,696,000","73,637,000","70,852,000","70,598,000","70,711,000","69,609,000","70,361,000","75,323,000","71,925,000","70,350,000","69,993,000","70,808,000","68,316,000","65,505,000","62,433,000","60,794,000","60,143,000","59,156,000","30,610,000","30,401,000","30,111,000","31,301,000","31,444,000","32,260,000","32,202,000","32,225,000","31,959,000","30,332,000","28,305,000","27,199,000","27,147,000","25,489,000","24,871,000","24,759,000","25,218,000","25,743,000","27,742,000","16,451,000","14,687,000","11,680,000","11,093,000","10,990,000","10,931,000","10,705,000","10,076,000","9,713,000","9,396,000","9,288,000","9,138,000","8,831,000","8,799,000","8,831,000","8,363,000","7,542,000","7,527,000","8,330,000","6,275,000","6,540,000","6,253,000","7,401,000","5,394,000","5,384,000","5,224,000","4,866,000","5,386,000","5,404,000","5,329,000","5,294,000","5,298,000","5,352,000","5,326,000","5,506,000","5,515,000","5,504,000","5,541,000","5,880,000","5,657,000","5,818,000","5,910,000","6,311,000","6,400,000","5,200,000","6,300,000","4,843,000","5,700,000","5,900,000","5,100,000","4,710,000","4,300,000","4,300,000","3,600,000","3,493,000","3,400,000","3,400,000","3,400,000","3,600,000","3,000,000","3,200,000","3,200,000",,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,022,000","2,022,000","2,285,000","2,263,000","1,509,000","1,509,000","1,472,000","1,452,000","-1,806,000","922,000","515,000","6,311,000","-5,318,000","6,810,000","-492,000","-1,343,000","-4,250,000","-397,000","5,692,000","978,000","2,700,000","690,000","500,000","500,000","2,604,000","500,000","500,000","500,000",,,"500,000","459,000",,"439,000","431,000","643,000",,"539,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"18,763,000","3,511,000","1,488,000","4,942,000","8,822,000","28,689,000","26,759,000","31,259,000","11,236,000","3,639,000","35,936,000","5,659,000","7,561,000","7,700,000","30,307,000","22,883,000","4,078,000","4,914,000","63,691,000","215,805,000","10,135,000","7,638,000","0","17,275,000","6,893,000","34,558,000","3,040,000","1,743,000","6,916,000","5,982,000","0","2,102,000",,,"415,000","0","0","0","0","0","0","272,000","1,373,000","0","0","24,971,000","0","0","155,000","0","0","89,000","0","70,000","3,900,000","170,000","0","1,514,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
