name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalRevenue,"569,995,000","150,470,000","146,247,000","143,618,000","129,660,000","134,000,000","141,543,000","117,079,000","57,968,000","112,277,000","101,729,000","97,515,000","118,168,000","87,765,000","70,143,000","77,550,000","56,149,000","43,572,000","115,867,000","61,683,000","102,513,000","55,566,000","74,577,000","30,214,000","64,392,000","29,703,000","62,312,000","39,419,000","58,092,000","31,223,000","56,174,000","32,892,000","64,127,000","37,839,000","49,478,000","32,826,000","49,359,000","14,976,000","28,133,000","12,504,000","29,987,000","12,620,000","18,658,583","21,777,140","11,252,415","9,600,540","10,795,040","7,055,861","8,446,829","4,246,650","4,851,012","5,145,393","2,956,354","2,833,858","3,587,168","2,625,639","2,145,598","2,716,819","2,898,826","3,077,281","2,315,170","3,014,630","2,544,282","3,096,288","3,009,316","3,271,406","2,296,063","3,372,870","3,011,995","1,467,068","1,693,271","1,711,629","1,472,023","2,129,990","1,921,954","2,087,885","1,349,956","1,180,947","882,307","573,013","455,026","534,926","220,457","569,233","257,159","200,242","235,289","124,812","126,746","5,909","219,536","100,000","100,000","100,000","100,000","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000"
	OperatingRevenue,"569,995,000","150,470,000","146,247,000","143,618,000","129,660,000","134,000,000","141,543,000","117,079,000","57,968,000","112,277,000","101,729,000","97,515,000","118,168,000","87,765,000","70,143,000","77,550,000","56,149,000","43,572,000","115,867,000","61,683,000","102,513,000","55,566,000","74,577,000","30,214,000","64,392,000","29,703,000","62,312,000","39,419,000","58,092,000","31,223,000","56,174,000","32,892,000","64,127,000","37,839,000","49,478,000","32,826,000","49,359,000","14,976,000","28,133,000","12,504,000","29,987,000","12,620,000","18,658,583","21,777,140","11,252,415","9,600,540","10,795,040","7,055,861","8,446,829","4,246,650","4,851,012","5,145,393","2,956,354","2,833,858","3,587,168","2,625,639","2,145,598","2,716,819","2,898,826","3,077,281","2,315,170","3,014,630","2,544,282","3,096,288","3,009,316","3,271,406","2,296,063","3,372,870","3,011,995","1,393,813","1,693,271","1,711,629","1,472,023","2,129,990","1,921,954","2,087,885","1,349,956","1,180,947","882,307","573,013","455,026","534,926","220,457","569,233","257,159","200,242","235,289","124,812","126,746","5,909","219,536","100,000","100,000","100,000","100,000","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","100,000","100,000"
CostOfRevenue,"124,856,000","33,163,000","32,243,000","31,481,000","27,969,000","23,298,000","26,998,000","23,378,000","12,643,000","22,459,000","18,202,000","17,286,000","24,072,000","15,814,000","18,325,000","16,123,000","11,635,000","7,458,000","16,936,000","13,465,000","11,310,000","12,987,000","9,094,000","6,458,000","5,684,000","5,052,000","8,084,000","7,246,000","39,086,000","8,581,000","12,079,000","7,388,000","11,951,000","9,897,000","7,732,000","9,783,000","8,282,000","3,092,000","735,000","1,094,000","2,397,000","1,338,000","2,439,723","2,405,493","360,795","102,662","-1,849,128","1,258,435","1,017,416","460,786","715,002","277,218","318,191","170,987","303,824","365,180","246,962","298,661","248,747","372,194","201,634","376,547","316,638","250,672","211,727","264,966","25,834","44,777","12,303","26,867","19,616","18,121","59,986","57,561","25,961","37,003",,,,,,,,,,"-657,596","-580,852","-190,380","-147,812","-132,039",,,,,,"-100,000",,,,,,,,,,,,,,
GrossProfit,"445,139,000","117,307,000","114,004,000","112,137,000","101,691,000","110,702,000","114,545,000","93,701,000","45,325,000","89,818,000","83,527,000","80,229,000","94,096,000","71,951,000","51,818,000","61,427,000","44,514,000","36,114,000","98,931,000","48,218,000","91,203,000","42,579,000","65,483,000","23,756,000","58,708,000","24,651,000","54,228,000","32,173,000","19,006,000","22,642,000","44,095,000","25,504,000","52,176,000","27,942,000","41,746,000","23,043,000","41,077,000","11,884,000","27,398,000","11,410,000","27,590,000","11,282,000","16,218,860","19,371,647","10,891,620","9,497,878","12,644,168","5,797,426","7,429,413","3,785,864","4,136,010","4,868,175","2,638,163","2,662,871","3,283,344","2,260,459","1,898,636","2,418,158","2,650,079","2,705,087","2,113,536","2,638,083","2,227,644","2,845,616","2,797,589","3,006,440","2,270,229","3,328,093","2,999,692","1,440,201","1,673,655","1,693,508","1,412,037","2,072,429","1,895,993","2,050,882",,,,,,,,,,"857,838","816,141","315,192","274,558","137,948",,,,,,"200,000",,,,,,,,,,,,,,
OperatingExpense,"218,803,000","55,057,000","57,542,000","54,409,000","51,795,000","47,144,000","48,766,000","45,275,000","46,510,000","45,312,000","49,038,000","39,399,000","45,432,000","37,591,000","36,545,000","35,395,000","33,603,000","31,595,000","41,051,000","32,428,000","30,684,000","30,521,000","30,724,000","26,759,000","24,683,000","22,105,000","27,604,000","23,811,000","23,487,000","20,871,000","27,020,000","19,424,000","23,338,000","21,314,000","22,326,000","18,796,000","19,346,000","19,038,000","19,027,000","17,471,000","14,680,000","12,840,000","12,652,416","13,436,578","11,962,373","12,241,901","12,854,444","9,679,971","9,338,557","8,010,196","8,305,667","8,660,951","8,948,926","8,656,469","9,076,537","8,093,323","7,828,581","7,524,970","7,781,923","6,777,836","8,112,041","7,806,843","7,765,692","6,352,189","7,650,761","6,998,764","7,749,793","6,635,989","6,462,449","6,650,188","6,040,449","5,584,798","6,163,433","6,264,701","7,621,174","5,771,399","5,507,678","5,114,032","5,907,663","5,011,118","5,083,273","4,807,404","4,945,284","2,104,276","5,130,621","4,772,496","4,659,274","2,253,036","2,508,144","2,000,947","2,155,721","1,300,000","1,800,000","700,000","1,000,000","900,000","800,000","500,000","4,000,000","700,000","800,000","600,000","500,000","500,000","500,000","400,000",,,,
	SellingGeneralAndAdministration,"85,030,000","21,062,000","22,769,000","20,960,000","20,239,000","16,404,000","16,217,000","13,579,000","16,147,000","15,403,000","19,082,000","12,623,000","15,939,000","11,969,000","12,526,000","12,120,000","11,562,000","10,791,000","15,197,000","11,695,000","9,839,000","10,077,000","10,148,000","8,465,000","7,688,000","6,660,000","8,901,000","7,240,000","6,705,000","6,200,000","8,559,000","6,625,000","6,545,000","6,430,000","6,827,000","6,411,000","6,336,000","5,171,000","3,470,000","5,558,000","7,444,000","6,179,000","6,709,226","7,357,145","6,410,881","5,686,783","5,158,743","4,848,672","4,637,049","3,543,565","3,773,049","3,722,246","3,624,231","3,437,407","2,774,141","2,342,962","2,775,228","2,373,546","2,438,113","2,209,537","2,568,217","2,353,514","2,704,314","1,965,921","2,234,535","1,997,692","2,457,507","1,901,435","1,760,402","1,894,863","1,986,706","1,632,149","1,758,785","1,849,407","2,216,919","1,386,380","1,239,481","1,098,981","1,403,970","1,077,341","1,320,303","957,856","1,088,627","900,803","1,067,141","861,923","948,890","738,531","907,670","928,302","527,856","600,000","1,300,000","400,000","600,000","400,000","500,000","400,000","700,000","500,000","400,000","300,000","300,000","300,000","300,000","200,000",,,,
	ResearchAndDevelopment,"102,913,000","26,545,000","26,940,000","25,327,000","24,101,000","23,305,000","22,186,000","20,814,000","21,397,000","19,497,000","19,827,000","16,787,000","18,833,000","15,829,000","14,795,000","13,616,000","12,949,000","12,357,000","15,045,000","11,596,000","10,685,000","11,818,000","11,182,000","10,118,000","10,969,000","10,476,000","12,641,000","11,434,000","10,647,000","9,919,000","12,515,000","7,915,000","10,544,000","10,156,000","10,099,000","7,862,000","7,316,000","8,938,000","7,958,000","8,177,000","7,236,000","6,661,000","5,943,190","6,079,433","5,551,492","6,555,118","7,695,701","4,831,299","4,701,508","4,466,631","4,532,618","4,938,705","5,324,695","5,219,062","6,302,396","5,750,361","5,053,353","5,151,524","5,343,810","4,568,299","5,543,824","5,453,329","5,061,378","4,386,268","5,416,226","5,001,072","5,292,286","4,734,554","4,552,047","4,605,325","4,053,743","3,952,649","4,321,227","4,323,715","5,404,255","4,385,019","4,180,697","3,927,551","4,253,693","3,933,777","3,762,970","3,849,548","3,856,657","1,203,473","4,063,480","3,252,977","3,129,532","1,324,125","1,452,662","940,606","1,571,497","700,000","500,000","300,000","500,000","400,000","300,000","100,000","3,300,000","200,000","400,000","300,000","200,000","200,000","200,000","200,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"22,004,000","5,498,000","5,504,000","5,505,000","5,497,000","5,488,000","5,495,000","5,494,000","5,490,000","7,128,000","7,181,000","7,152,000","7,206,000","7,256,000","7,256,000","7,430,000","7,524,000","7,216,000","7,412,000","7,373,000","7,169,000","7,039,000","7,227,000","7,361,000","4,060,000","4,094,000","4,255,000","4,032,000","4,462,000","3,967,000","4,487,000","4,081,000","4,748,000","3,972,000","4,235,000","3,899,000","4,522,000","4,617,000","5,526,000","3,736,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"657,596","580,852","190,380","147,812","132,039",,,,,,"100,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"22,004,000","5,498,000","5,504,000","5,505,000","5,497,000","5,488,000","5,495,000","5,494,000","5,490,000","7,128,000","7,181,000","7,152,000","7,206,000","7,256,000","7,256,000","7,430,000","7,524,000","7,216,000","7,412,000","7,373,000","7,169,000","7,039,000","7,227,000","7,361,000","4,060,000","4,094,000","4,255,000","4,032,000","4,462,000","3,967,000","4,487,000","4,081,000","4,748,000","3,972,000","4,235,000","3,899,000","4,522,000","4,617,000","5,526,000","3,736,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"657,596","580,852","190,380","147,812","132,039",,,,,,"100,000",,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"233,828",,,,,,,,,,,,,,,,,,,,,,,,
