name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"26,145,700,000","28,421,800,000","25,580,800,000","25,654,400,000","25,614,300,000","27,647,200,000","23,779,500,000","22,641,100,000","23,675,900,000","26,783,400,000","23,653,500,000","25,042,100,000","25,211,200,000","24,617,000,000","22,487,600,000","22,169,500,000","23,513,100,000","24,931,200,000","22,207,500,000","22,163,400,000","22,237,300,000","23,165,400,000","21,401,900,000","20,935,200,000","21,067,700,000","22,110,700,000","20,457,300,000","20,775,500,000","20,071,000,000","21,559,700,000","19,968,600,000","21,219,400,000","21,087,900,000","22,098,700,000","20,870,800,000","20,525,000,000","20,908,300,000","22,151,900,000","20,798,000,000","20,106,500,000","19,823,500,000","20,505,400,000","18,936,000,000","19,156,700,000","19,168,500,000","19,566,100,000","18,282,700,000","16,329,200,000","16,829,500,000","17,920,700,000","16,201,400,000","15,885,400,000","15,560,700,000","17,318,400,000","17,339,200,000","18,683,600,000","18,437,400,000","19,271,700,000","18,133,200,000","17,362,200,000","17,144,400,000","18,164,400,000","16,325,900,000","16,453,300,000","16,660,800,000","15,919,900,000","14,833,500,000","14,714,100,000","15,049,500,000","16,002,400,000","14,129,500,000","14,417,300,000","14,038,300,000","14,499,456,000","12,680,697,000","12,589,695,000","11,815,114,000","11,819,802,000","11,222,307,000","11,575,553,000","10,968,837,000","10,617,414,000","10,361,118,000","9,825,599,000","9,227,229,000","9,891,499,000","9,352,515,000","9,378,992,000","8,803,246,000","9,017,600,000","7,461,800,000","7,226,600,000","6,910,200,000","6,910,100,000","6,224,300,000","6,150,600,000","5,743,900,000","4,965,700,000","4,388,100,000","4,341,500,000","4,056,600,000","4,055,900,000","3,558,000,000","3,721,100,000","3,564,100,000","3,527,700,000","3,348,900,000","3,136,000,000","2,961,600,000","2,852,200,000","2,458,900,000","2,442,300,000","2,301,900,000","2,289,900,000","2,081,800,000","2,156,000,000","1,923,000,000","1,952,000,000","1,884,800,000","1,940,400,000","1,808,000,000","1,885,900,000","1,615,600,000","1,648,900,000","1,660,000,000","1,748,500,000","1,610,200,000","1,550,400,000","1,523,800,000","1,547,600,000","1,409,800,000","1,135,400,000","1,041,100,000","874,900,000","276,100,000"
	CurrentAssets,"13,397,500,000","15,909,500,000","13,763,000,000","13,658,000,000","13,732,100,000","15,590,100,000","11,862,400,000","10,893,100,000","11,850,100,000","14,584,700,000","11,600,900,000","12,802,800,000","13,072,200,000","13,726,900,000","11,575,300,000","11,230,100,000","12,338,500,000","14,116,000,000","11,417,400,000","11,505,100,000","11,728,800,000","12,722,000,000","10,831,900,000","10,314,200,000","10,545,400,000","11,980,500,000","10,252,800,000","10,500,400,000","9,904,900,000","11,190,500,000","9,567,200,000","10,546,500,000","10,576,600,000","11,652,300,000","10,465,400,000","10,288,200,000","10,601,200,000","11,661,400,000","10,397,100,000","9,857,500,000","9,620,500,000","10,421,500,000","8,974,700,000","9,034,400,000","9,165,900,000","10,194,100,000","9,132,300,000","7,454,800,000","7,851,000,000","8,788,500,000","7,109,700,000","6,899,800,000","6,939,900,000","8,564,900,000","8,351,200,000","9,533,600,000","9,468,300,000","10,504,200,000","9,048,800,000","8,637,900,000","8,611,800,000","9,646,800,000","8,016,700,000","8,195,500,000","8,623,400,000","7,967,400,000","6,961,400,000","6,923,200,000","7,217,600,000","8,095,100,000","6,497,400,000","6,885,400,000","6,620,000,000","7,285,945,000","5,915,259,000","5,919,033,000","5,573,816,000","5,637,066,000","5,314,050,000","5,689,546,000","5,444,179,000","5,233,824,000","5,205,321,000","5,135,246,000","4,795,076,000","5,366,883,000","5,050,930,000","4,913,489,000","4,520,236,000","4,712,300,000","4,235,100,000","4,087,400,000","3,877,400,000","3,981,300,000","3,349,500,000","3,451,100,000","3,170,000,000","2,988,400,000","2,472,600,000","2,514,900,000","2,361,000,000","2,425,000,000","2,063,700,000","2,257,900,000","2,131,600,000","2,106,000,000","1,942,600,000","1,794,600,000","1,647,300,000","1,601,900,000","1,313,600,000","1,335,000,000","1,260,200,000","1,274,500,000","1,155,800,000","1,276,400,000","1,092,800,000","1,136,700,000","1,056,200,000","1,103,500,000","1,028,500,000","1,110,800,000","902,100,000","966,900,000","965,600,000","1,027,300,000","904,500,000","883,500,000","892,200,000","937,300,000","825,900,000","819,800,000","762,600,000","644,800,000","214,200,000"
		CashCashEquivalentsAndShortTermInvestments,"4,018,200,000","5,316,800,000","4,431,200,000","4,388,100,000","4,897,300,000","5,600,500,000","3,278,300,000","3,281,000,000","2,694,100,000","4,309,300,000","2,445,600,000","2,903,500,000","3,455,100,000","3,657,900,000","2,105,800,000","1,918,700,000","2,570,000,000","3,796,400,000","1,851,000,000","1,874,400,000","2,485,800,000","3,022,800,000","1,969,200,000","1,536,700,000","1,750,000,000","2,619,700,000","1,430,000,000","1,362,100,000","1,532,400,000","2,390,300,000","850,300,000","1,544,600,000","2,089,100,000","2,728,700,000","1,534,400,000","1,414,600,000","2,090,300,000","2,698,900,000","1,972,800,000","1,680,000,000","1,508,500,000","1,805,000,000","912,000,000","1,003,300,000","1,517,800,000","2,300,000,000","1,698,300,000","543,100,000","908,400,000","1,594,800,000","613,300,000","411,900,000","427,200,000","1,112,400,000","552,600,000","959,100,000","862,900,000","1,841,000,000","635,200,000","820,800,000","1,065,000,000","1,928,800,000","848,800,000","1,135,200,000","1,861,700,000","1,209,900,000","410,000,000","365,100,000","605,400,000","1,739,600,000","453,300,000","678,400,000","544,300,000","1,548,935,000","587,712,000","543,579,000","380,648,000","695,881,000","392,643,000","454,392,000","549,519,000","516,999,000","448,696,000","457,183,000","458,171,000","576,539,000","483,153,000","488,009,000","392,883,000","600,900,000","337,100,000","306,700,000","310,700,000","648,000,000","313,200,000","337,900,000","278,200,000","556,400,000","238,300,000","294,000,000","228,000,000","510,300,000","191,000,000","250,100,000","193,800,000","314,000,000","233,300,000","207,900,000","168,400,000","228,300,000","118,300,000","155,000,000","118,300,000","174,800,000","101,200,000","124,300,000","78,100,000","112,500,000","76,100,000","84,900,000","76,500,000","113,700,000","87,000,000","90,500,000","87,700,000","112,300,000","65,800,000","51,400,000","58,900,000","86,700,000","51,300,000","148,600,000","89,900,000","84,000,000","8,000,000"
			CashAndCashEquivalents,"3,925,500,000","5,316,800,000","4,431,200,000","4,388,100,000","4,897,300,000","5,600,500,000","3,278,300,000","3,281,000,000","2,692,500,000","4,305,700,000","2,440,400,000","2,898,100,000","3,449,700,000","3,652,400,000","2,099,100,000","1,913,300,000","2,568,100,000","3,796,000,000","1,843,000,000","1,834,000,000","2,442,200,000","3,002,200,000","1,936,600,000","1,305,700,000","1,747,300,000","2,605,200,000","1,427,500,000","1,356,000,000","1,526,700,000","2,388,100,000","837,700,000","1,534,700,000","2,082,100,000","2,710,500,000","1,521,500,000","1,399,900,000","2,071,800,000","2,678,300,000","1,956,300,000","1,665,300,000","1,502,700,000","1,781,200,000","900,600,000","986,300,000","1,512,200,000","2,288,700,000","1,689,300,000","533,700,000","900,400,000","1,587,000,000","597,400,000","399,900,000","412,400,000","1,097,300,000","530,600,000","915,800,000","813,900,000","1,793,200,000","577,200,000","772,400,000","1,028,300,000","1,739,500,000","808,300,000","1,092,000,000","1,822,900,000","835,800,000","395,600,000","343,500,000","588,100,000","1,165,600,000","429,100,000","658,200,000","519,300,000","1,528,710,000","563,890,000","523,032,000","354,563,000","666,951,000","357,649,000","409,971,000","501,711,000","472,151,000","421,145,000","425,245,000","420,705,000","516,817,000","435,044,000","437,808,000","353,462,000","576,400,000","296,000,000","306,700,000","310,700,000","648,000,000","313,200,000","337,900,000","278,200,000","556,400,000","238,300,000","294,000,000","228,000,000","510,300,000","191,000,000","250,100,000","193,800,000","314,000,000","233,300,000","207,900,000","168,400,000","228,300,000","118,300,000","155,000,000","118,300,000","174,800,000","101,200,000","124,300,000","78,100,000","112,500,000","76,100,000","84,900,000","76,500,000","113,700,000","87,000,000","90,500,000","87,700,000","112,300,000","65,800,000","51,400,000","58,900,000","86,700,000","51,300,000","148,600,000","89,900,000","84,000,000","8,000,000"
			OtherShortTermInvestments,"92,700,000",,,,,"0","0","0","1,600,000","3,600,000","5,200,000","5,400,000","5,400,000","5,500,000","6,700,000","5,400,000","1,900,000","400,000","8,000,000","40,400,000","43,600,000","20,600,000","32,600,000","231,000,000","2,700,000","14,500,000","2,500,000","6,100,000","5,700,000","2,200,000","12,600,000","9,900,000","7,000,000","18,200,000","12,900,000","14,700,000","18,500,000","20,600,000","16,500,000","14,700,000","5,800,000","23,800,000","11,400,000","17,000,000","5,600,000","11,300,000","9,000,000","9,400,000","8,000,000","7,800,000","15,900,000","12,000,000","14,800,000","15,100,000","22,000,000","43,300,000","49,000,000","47,800,000","58,000,000","48,400,000","36,700,000","189,300,000","40,500,000","43,200,000","38,800,000","374,100,000","14,400,000","21,600,000","17,300,000","574,000,000","24,200,000","20,200,000","25,000,000","20,225,000","23,822,000","20,547,000","26,085,000","28,930,000","34,994,000","44,421,000","47,808,000","44,848,000","27,551,000","31,938,000","37,466,000","59,722,000","48,109,000","50,201,000","39,421,000","24,500,000","41,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"7,071,600,000","8,472,500,000","7,186,200,000","7,246,300,000","6,633,200,000","7,813,400,000","6,298,300,000","5,290,800,000","6,690,500,000","7,829,000,000","6,547,900,000","7,244,900,000","7,036,700,000","7,666,100,000","6,811,000,000","6,760,500,000","7,198,800,000","8,083,800,000","7,045,700,000","7,142,800,000","6,796,800,000","7,510,800,000","6,488,900,000","6,422,600,000","6,321,400,000","7,220,900,000","6,313,900,000","6,501,600,000","5,840,100,000","6,524,700,000","6,135,700,000","6,499,200,000","6,006,600,000","6,632,600,000","6,577,800,000","6,637,000,000","6,313,200,000","6,958,200,000","6,260,200,000","6,041,500,000","5,932,400,000","6,632,000,000","5,971,400,000","5,981,000,000","5,470,800,000","5,977,200,000","5,516,900,000","5,140,600,000","5,184,300,000","5,574,100,000","4,812,500,000","4,940,300,000","4,883,000,000","5,775,500,000","5,906,000,000","7,231,200,000","7,115,100,000","7,391,400,000","7,154,700,000","6,628,100,000","6,370,700,000","6,628,100,000","6,117,200,000","6,025,400,000","5,753,000,000","5,908,100,000","5,646,200,000","5,663,900,000","5,625,900,000","4,916,700,000","4,514,400,000","4,736,500,000","4,722,900,000","4,529,995,000","4,034,880,000","4,176,515,000","4,027,396,000","3,966,550,000","3,704,876,000","4,055,363,000","3,752,013,000","3,720,790,000","4,148,106,000","4,100,572,000","3,789,736,000","3,857,182,000","3,983,892,000","3,366,496,000","3,562,322,000","3,657,500,000","2,999,300,000","3,265,700,000","3,040,700,000","2,574,900,000","2,573,700,000","2,653,000,000","2,195,300,000","2,091,600,000","1,692,000,000","1,685,700,000","1,626,500,000","1,555,400,000","1,448,800,000","1,614,500,000","1,572,300,000","1,503,200,000","1,367,200,000","1,279,500,000","1,201,700,000","1,168,300,000","953,000,000","973,800,000","937,200,000","939,400,000","933,100,000","942,600,000","826,300,000","826,700,000","791,200,000","833,100,000","783,400,000","841,100,000","655,800,000","723,500,000","714,400,000","773,100,000","680,800,000","681,100,000","683,000,000","699,200,000","623,700,000","585,100,000","582,900,000","495,400,000","178,800,000"
			AccountsReceivable,"7,071,600,000","8,472,500,000","7,186,200,000","7,246,300,000","6,633,200,000","7,813,400,000","6,298,300,000","5,290,800,000","6,690,500,000","7,829,000,000","6,547,900,000","7,244,900,000","7,036,700,000","7,666,100,000","6,811,000,000","6,760,500,000","7,198,800,000","8,083,800,000","7,045,700,000","7,142,800,000","6,796,800,000","7,510,800,000","6,488,900,000","6,422,600,000","6,321,400,000","7,220,900,000","6,313,900,000","6,501,600,000","5,840,100,000","6,524,700,000","6,135,700,000","6,499,200,000","6,006,600,000","6,632,600,000","6,577,800,000","6,637,000,000","6,313,200,000","6,958,200,000","6,260,200,000","6,041,500,000","5,932,400,000","6,632,000,000","5,971,400,000","5,981,000,000","5,470,800,000","5,977,200,000","5,516,900,000","5,140,600,000","5,184,300,000","5,574,100,000","4,812,500,000","4,940,300,000","4,883,000,000","5,775,500,000","5,906,000,000","7,231,200,000","7,115,100,000","7,391,400,000","7,154,700,000","6,628,100,000","6,370,700,000","6,628,100,000","6,117,200,000","6,025,400,000","5,753,000,000","5,366,100,000","4,995,900,000","5,016,600,000","5,007,200,000","4,916,700,000","4,514,400,000","4,736,500,000","4,722,900,000","4,529,995,000","4,034,880,000","4,176,515,000","4,027,396,000","3,966,550,000","3,704,876,000","4,055,363,000","3,752,013,000","3,720,790,000","3,732,470,000","3,659,398,000","3,355,318,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"7,092,600,000","8,494,200,000","7,207,000,000","7,271,800,000","6,660,400,000","7,843,800,000","6,335,000,000","5,325,000,000","6,712,100,000","7,850,500,000","6,566,600,000","7,269,800,000","7,061,900,000","7,692,900,000","6,837,600,000","6,785,200,000","7,227,900,000","8,115,900,000","7,074,400,000","7,169,600,000","6,823,300,000","7,535,700,000","6,510,900,000","6,444,800,000","6,344,200,000","7,243,400,000","6,335,300,000","6,522,800,000","5,863,600,000","6,549,600,000","6,164,300,000","6,529,800,000","6,037,300,000","6,665,200,000","6,610,600,000","6,667,300,000","6,346,200,000","6,994,100,000","6,298,000,000","6,079,700,000","5,973,100,000","6,672,600,000","6,012,500,000","6,024,100,000","5,511,700,000","6,023,900,000","5,565,700,000","5,190,100,000","5,245,600,000","5,633,600,000","4,872,500,000","4,999,200,000","4,936,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-21,000,000","-21,700,000","-20,800,000","-25,500,000","-27,200,000","-30,400,000","-36,700,000","-34,200,000","-21,600,000","-21,500,000","-18,700,000","-24,900,000","-25,200,000","-26,800,000","-26,600,000","-24,700,000","-29,100,000","-32,100,000","-28,700,000","-26,800,000","-26,500,000","-24,900,000","-22,000,000","-22,200,000","-22,800,000","-22,500,000","-21,400,000","-21,200,000","-23,500,000","-24,900,000","-28,600,000","-30,600,000","-30,700,000","-32,600,000","-32,800,000","-30,300,000","-33,000,000","-35,900,000","-37,800,000","-38,200,000","-40,700,000","-40,600,000","-41,100,000","-43,100,000","-40,900,000","-46,700,000","-48,800,000","-49,500,000","-61,300,000","-59,500,000","-60,000,000","-58,900,000","-53,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"542,000,000","650,300,000","647,300,000","618,700,000",,,,,,,,,,,,,,"415,636,000","441,174,000","434,418,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
