name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"12,425,000,000","5,151,000,000","3,821,986,000","2,266,354,000","1,185,386,000","747,274,000","248,886,000","338,613,000","739,827,000","1,255,795,000"
	OperatingRevenue,"12,425,000,000","5,151,000,000","3,821,986,000","2,266,354,000","1,185,386,000","747,274,000","248,886,000","338,613,000","739,827,000","1,255,795,000"
CostOfRevenue,"11,257,000,000","4,616,000,000","3,550,378,000","2,063,865,000","1,026,615,000","650,142,000","210,521,000","302,802,000","685,253,000","1,164,748,000"
GrossProfit,"1,168,000,000","535,000,000","271,608,000","202,489,000","158,771,000","97,132,000","38,365,000","35,811,000","54,574,000","91,047,000"
OperatingExpense,"1,373,000,000","417,000,000","373,753,000","270,896,000","311,524,000","341,827,000","104,489,000","80,688,000","93,426,000","127,059,000"
	SellingGeneralAndAdministration,"1,250,000,000","377,000,000","342,113,000","243,601,000","287,136,000","291,150,000","92,126,000","67,504,000","76,588,000","111,272,000"
		GeneralAndAdministrativeExpense,"499,000,000","101,000,000","117,200,000","90,105,000","190,611,000","222,084,000","53,695,000","40,168,000","29,323,000","29,583,000"
			OtherGandA,"499,000,000","101,000,000","117,200,000","90,105,000","190,611,000","222,084,000","53,695,000","40,168,000","29,323,000","29,583,000"
		SellingAndMarketingExpense,"751,000,000","276,000,000","224,913,000","153,496,000","96,525,000","69,066,000","38,431,000","27,336,000","47,265,000","81,689,000"
	ResearchAndDevelopment,"123,000,000","40,000,000","31,640,000","27,295,000","24,388,000","50,677,000","12,363,000","13,184,000","16,838,000","15,787,000"
OperatingIncome,"-205,000,000","118,000,000","-102,145,000","-68,407,000","-152,753,000","-244,695,000","-66,124,000","-44,877,000","-38,852,000","-36,012,000"
NetNonOperatingInterestIncomeExpense,"-200,000,000","-68,000,000","-72,625,000","-43,550,000","-15,826,000","-10,999,000","-10,413,000","-12,376,000","-17,290,000","-27,727,000"
	InterestExpenseNonOperating,"200,000,000","68,000,000","72,625,000","43,550,000","15,826,000","10,999,000","10,413,000","12,376,000","17,290,000","27,727,000"
OtherIncomeExpense,"42,000,000","-22,000,000","-15,780,000","55,464,000","24,964,000","-14,648,000","-11,426,000","-23,565,000","302,000","1,663,000"
	GainOnSaleOfSecurity,,,"-179,000","3,499,000","23,952,000","-15,272,000","-722,000","-24,329,000","122,000","-1,012,000"
	SpecialIncomeCharges,,,"0",,,,"-11,356,000",,,
		OtherSpecialCharges,,,,,,,"11,356,000",,,
	OtherNonOperatingIncomeExpenses,"15,000,000","-22,000,000","-15,601,000","51,965,000","1,012,000","624,000","652,000","764,000","180,000","2,675,000"
PretaxIncome,"-363,000,000","28,000,000","-190,550,000","-56,493,000","-143,615,000","-270,342,000","-87,963,000","-80,818,000","-55,840,000","-62,076,000"
TaxProvision,"1,000,000","0","390,000","326,000","190,000","94,000","-171,000","35,000","79,000","120,000"
NetIncomeCommonStockholders,"-364,000,000","28,000,000","-190,940,000","-56,819,000","-143,805,000","-270,436,000","-87,792,000","-80,853,000","-55,919,000","-62,196,000"
	NetIncome,"-364,000,000","28,000,000","-190,940,000","-56,819,000","-143,805,000","-270,436,000","-87,792,000","-80,853,000","-55,919,000","-62,196,000"
		NetIncomeIncludingNoncontrollingInterests,"-364,000,000","28,000,000","-190,940,000","-56,819,000","-143,805,000","-270,436,000","-87,792,000","-80,853,000","-55,919,000","-62,196,000"
			NetIncomeContinuousOperations,"-364,000,000","28,000,000","-190,940,000","-56,819,000","-143,805,000","-270,436,000","-87,792,000","-80,853,000","-55,919,000","-62,196,000"
		MinorityInterests,,,,,,,"0",,,
DilutedNIAvailtoComStockholders,"-364,000,000","28,000,000","-190,940,000","-56,819,000","-143,805,000","-270,436,000","-87,792,000","-80,853,000","-55,919,000","-62,196,000"
BasicEPS,,"0.05","-0.31","-0.09","-0.24","-0.48","-0.49","-0.149","-0.103","-0.114"
DilutedEPS,,"0.04","-0.31","-0.09","-0.24","-0.48","-0.49","-0.149","-0.103","-0.114"
BasicAverageShares,,"619,137,000","612,516,000","603,389,000","588,374,000","565,381,000","178,975,000","544,422,565","544,422,565","544,422,565"
DilutedAverageShares,,"640,785,000","612,516,000","603,389,000","588,374,000","565,381,000","178,975,000","544,422,565","544,422,565","544,422,565"
TotalOperatingIncomeAsReported,"-205,000,000","118,000,000","-102,145,000","-68,407,000","-152,753,000","-244,695,000","-66,124,000","-44,877,000","-38,852,000","-36,012,000"
TotalExpenses,"12,630,000,000","5,033,000,000","3,924,131,000","2,334,761,000","1,338,139,000","991,969,000","315,010,000","383,490,000","778,679,000","1,291,807,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-364,000,000","28,000,000","-190,940,000","-56,819,000","-143,805,000","-270,436,000","-87,792,000","-80,853,000","-55,919,000","-62,196,000"
NormalizedIncome,"-380,200,000","28,000,000","-190,809,330","-59,373,270","-161,289,960","-259,287,440","-75,737,479.622","-63,092,830","-56,008,060","-61,457,240"
InterestExpense,"200,000,000","68,000,000","72,625,000","43,550,000","15,826,000","10,999,000","10,413,000","12,376,000","17,290,000","27,727,000"
NetInterestIncome,"-200,000,000","-68,000,000","-72,625,000","-43,550,000","-15,826,000","-10,999,000","-10,413,000","-12,376,000","-17,290,000","-27,727,000"
EBIT,"-163,000,000","96,000,000","-117,925,000","-12,943,000","-127,789,000","-259,343,000","-77,550,000","-68,442,000","-38,550,000","-34,349,000"
EBITDA,"-100,000,000"
ReconciledCostOfRevenue,"11,257,000,000","4,616,000,000","3,550,378,000","2,063,865,000","1,026,615,000","650,142,000","210,521,000","302,802,000","685,253,000","1,164,748,000"
ReconciledDepreciation,"63,000,000","20,000,000","22,394,000","11,738,000","8,109,000","12,759,000","9,226,000","24,345,000","15,595,000","13,182,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-364,000,000","28,000,000","-190,940,000","-56,819,000","-143,805,000","-270,436,000","-87,792,000","-80,853,000","-55,919,000","-62,196,000"
TotalUnusualItemsExcludingGoodwill,"27,000,000",,"-179,000","3,499,000","23,952,000","-15,272,000","-12,078,000","-24,329,000","122,000","-1,012,000"
TotalUnusualItems,"27,000,000",,"-179,000","3,499,000","23,952,000","-15,272,000","-12,078,000","-24,329,000","122,000","-1,012,000"
NormalizedEBITDA,"-127,000,000","116,000,000","-95,352,000","-4,704,000","-143,632,000","-231,312,000","-56,246,000","-19,768,000","-23,077,000","-20,155,000"
TaxRateForCalcs,"0.4","0.01","0.27","0.27","0.27","0.27","0.002","0.27","0.27","0.27"
TaxEffectOfUnusualItems,"10,800,000","0","-48,330","944,730","6,467,040","-4,123,440","-23,479.622","-6,568,830","32,940","-273,240"
