name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016
TotalAssets,"133,815,000","166,071,000","131,917,000","139,515,000","157,946,000","188,813,000","181,024,000","153,048,000","174,170,000","172,650,000","149,377,000","166,572,000","192,992,000","216,989,000","237,622,000","259,950,000","220,562,000","241,136,000","55,135,000","63,962,000","41,551,000"
	CurrentAssets,"128,419,000","160,379,000","125,442,000","132,594,000","150,316,000","180,652,000","172,437,000","148,905,000","169,677,000","168,060,000","144,102,000","160,854,000","186,782,000","212,857,000","233,455,000","256,054,000","217,069,000","238,167,000","50,320,000","60,914,000","40,675,000"
		CashCashEquivalentsAndShortTermInvestments,"91,367,000","110,502,000","84,226,000","93,916,000","115,984,000","144,156,000","143,134,000","125,266,000","148,475,000","147,144,000","125,490,000","143,963,000","171,316,000","200,990,000","221,491,000","244,990,000","209,771,000","234,854,000","49,410,000","58,887,000","36,797,000"
			CashAndCashEquivalents,"91,367,000","110,502,000","84,226,000","93,916,000","115,984,000","144,156,000","143,134,000","125,266,000","148,475,000","147,144,000","125,490,000","143,963,000","171,316,000","200,990,000","221,491,000","244,990,000","209,771,000","234,854,000","49,410,000","58,887,000","36,797,000"
		Receivables,"22,702,000","35,449,000","24,088,000","20,715,000","17,958,000","23,394,000","17,524,000","14,096,000","11,733,000","13,818,000","10,978,000","9,601,000","5,917,000","2,552,000","3,105,000","3,882,000","2,320,000","46,000","231,000","219,000","2,422,000"
			AccountsReceivable,"22,702,000","35,449,000","24,088,000","20,715,000","17,958,000","23,394,000","17,524,000","14,096,000","11,733,000","13,643,000","10,746,000","9,311,000","5,793,000","2,310,000","2,923,000","3,671,000","2,049,000","46,000","231,000","219,000","2,422,000"
				GrossAccountsReceivable,,"35,893,000",,,,"24,071,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-444,000",,,,"-677,000",,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,"175,000","232,000","290,000","124,000","242,000","182,000","211,000","271,000","46,000","231,000","219,000","2,422,000"
		Inventory,"11,380,000","11,847,000","13,161,000","13,303,000","12,703,000","9,042,000","9,326,000","6,125,000","5,709,000","3,484,000","4,404,000","4,260,000","5,716,000","7,132,000","7,009,000","4,950,000","3,580,000","2,013,000","241,000",,
			RawMaterials,"2,973,000","3,504,000","3,330,000","3,336,000","3,643,000","2,669,000","2,733,000","1,796,000","1,900,000","1,227,000","1,438,000","1,754,000","1,903,000","1,969,000","1,900,000","1,780,000","1,627,000","1,385,000",,,
			WorkInProcess,"5,237,000","4,816,000","4,456,000","3,500,000","3,216,000","2,676,000","2,137,000","1,745,000","1,008,000","676,000","1,081,000","1,424,000","1,682,000","2,344,000","2,613,000","2,262,000","1,114,000","628,000",,,
			FinishedGoods,"3,170,000","3,527,000","5,375,000","6,467,000","5,844,000","3,697,000","4,456,000","2,584,000","2,801,000","1,581,000","1,885,000","1,082,000","2,131,000","2,819,000","2,496,000","908,000","839,000","0",,,
			OtherInventories,,,,,,,,,,,,,,,,,,"0",,,
		PrepaidAssets,"2,970,000","2,581,000","3,958,000","4,649,000","3,671,000","4,060,000","2,453,000","3,418,000","3,760,000","3,614,000","3,230,000","3,030,000","3,833,000","2,183,000","1,850,000","2,232,000","1,398,000","1,254,000","0","1,399,000","1,201,000"
		RestrictedCash,,,"9,000","11,000",,,,,,,,,,,,,,"0","0","1,399,000","1,201,000"
		OtherCurrentAssets,,,,,,,,,,,,,,"15,999,000",,,,"0","438,000","409,000","255,000"
	TotalNonCurrentAssets,"5,396,000","5,692,000","6,475,000","6,921,000","7,630,000","8,161,000","8,587,000","4,143,000","4,493,000","4,590,000","5,275,000","5,718,000","6,210,000","4,132,000","4,167,000","3,896,000","3,493,000","2,969,000","4,815,000","3,048,000","876,000"
		NetPPE,"1,218,000","1,347,000","1,515,000","1,685,000","1,885,000","2,028,000","2,408,000","2,790,000","2,980,000","3,052,000","3,261,000","3,531,000","3,715,000","3,884,000","3,957,000","3,596,000","3,102,000","2,564,000","1,433,000","1,142,000","323,000"
			GrossPPE,"5,340,000","5,630,000","5,614,000","5,601,000","5,875,000","5,814,000","5,701,000","5,556,000","5,458,000","5,299,000","5,260,000","5,255,000","5,148,000","5,035,000","4,888,000","4,289,000","3,607,000","2,919,000","1,899,000","1,582,000","697,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"4,616,000","4,906,000","4,789,000","4,776,000","4,952,000","4,934,000","4,618,000","4,590,000","4,571,000","4,620,000","4,585,000","4,589,000","4,514,000","3,945,000","3,896,000","3,716,000","3,421,000","2,891,000","1,871,000","1,554,000","669,000"
				OtherProperties,,,,,,,,,,,,,,,,,,"0","0","0","0"
				ConstructionInProgress,"115,000","115,000","216,000","216,000","314,000","271,000","474,000","357,000","278,000","70,000","66,000","57,000","29,000","481,000","383,000","525,000","143,000",,,,
