name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"25,118,800,000","24,981,800,000","24,989,900,000","24,678,400,000","23,049,300,000","22,815,200,000","22,248,700,000","21,650,300,000","20,352,200,000","21,076,300,000","21,181,800,000","20,987,700,000","20,296,900,000","19,327,100,000","19,802,300,000","19,454,200,000","18,998,800,000","19,403,500,000","19,747,400,000","19,357,100,000","18,905,400,000","18,591,600,000","18,810,600,000","17,991,200,000","17,433,300,000","17,110,500,000","17,327,800,000","17,277,000,000","17,201,300,000","16,988,100,000","16,986,800,000","17,183,900,000","16,811,000,000","16,534,400,000","16,526,400,000","16,299,300,000","16,410,700,000","16,226,800,000","16,187,500,000","15,875,200,000","16,164,800,000","16,050,400,000","15,999,100,000","16,086,900,000","16,303,600,000","15,882,700,000","13,994,800,000","13,969,600,000","14,240,900,000","14,190,000,000","14,309,100,000","13,718,600,000","13,293,500,000","13,266,000,000","13,203,800,000","13,104,500,000","13,249,700,000","13,290,600,000","13,173,100,000","12,705,500,000","12,771,900,000","12,612,200,000","12,113,100,000","11,652,500,000","11,614,600,000","11,543,200,000","11,342,600,000","11,044,400,000","10,679,500,000","10,570,800,000","10,386,000,000","10,038,500,000","9,959,600,000","9,712,300,000","9,555,100,000","9,363,700,000","9,007,300,000","8,715,400,000","8,407,900,000","8,209,400,000","8,070,300,000","7,920,200,000","7,796,200,000","7,545,800,000","7,453,000,000","7,281,400,000","7,093,100,000","6,951,100,000","6,933,500,000","6,938,400,000","6,903,500,000","6,866,600,000","6,901,000,000","7,019,700,000","7,062,300,000","6,958,800,000","6,949,800,000","6,923,400,000","6,864,200,000","6,826,300,000","6,662,100,000","6,656,200,000","6,605,400,000","6,549,800,000","6,541,700,000","6,593,500,000","6,549,500,000","6,456,100,000","6,372,900,000","6,262,900,000","6,266,100,000","6,181,400,000","6,109,500,000","6,098,300,000","5,858,800,000","5,771,500,000","5,699,000,000","4,141,600,000","4,023,600,000","3,871,100,000","3,786,200,000","3,712,800,000","3,563,800,000","3,439,400,000","3,382,100,000","3,328,500,000","3,277,900,000","3,236,500,000","3,194,500,000","3,123,500,000","3,128,100,000","3,005,500,000","2,797,700,000","2,628,300,000","2,261,700,000"
TotalLiabilitiesNetMinorityInterest,"18,368,700,000","18,088,600,000","18,660,500,000","17,899,800,000","16,597,500,000","16,628,600,000","16,174,100,000","15,791,400,000","15,209,300,000","15,076,200,000","15,387,900,000","15,093,800,000","14,631,300,000","14,180,900,000","14,491,100,000","14,350,800,000","13,950,200,000","14,670,200,000","15,017,400,000","14,695,300,000","14,308,800,000","14,120,000,000","14,364,500,000","13,613,200,000","13,290,700,000","13,229,700,000","13,474,000,000","13,339,600,000","13,187,100,000","13,064,100,000","13,063,900,000","13,230,800,000","12,945,200,000","12,759,400,000","12,810,400,000","12,714,800,000","12,737,400,000","12,630,600,000","12,497,300,000","12,162,900,000","12,391,500,000","12,277,900,000","12,171,200,000","12,114,500,000","12,253,500,000","11,761,300,000","9,957,100,000","9,985,800,000","10,245,100,000","10,298,600,000","10,407,800,000","9,965,500,000","9,650,300,000","9,525,700,000","9,289,500,000","9,045,500,000","8,873,000,000","8,749,000,000","8,609,100,000","8,187,800,000","8,300,000,000","8,243,000,000","7,801,500,000","7,521,900,000","7,547,700,000","7,519,100,000","7,214,000,000","6,975,400,000","6,798,600,000","6,705,100,000","6,594,400,000","6,383,500,000","6,291,500,000","6,158,600,000","5,984,100,000","5,864,000,000","5,703,800,000","5,559,500,000","5,360,800,000","5,234,600,000","5,195,700,000","5,136,100,000","5,109,600,000","4,952,400,000","4,933,900,000","4,842,000,000","4,763,300,000","4,722,400,000","4,742,800,000","4,739,200,000","4,660,200,000","4,581,100,000","4,599,700,000","4,714,200,000","4,759,500,000","4,710,100,000","4,736,400,000","4,770,200,000","4,759,300,000","4,786,600,000","4,725,800,000","4,756,200,000","4,700,000,000","4,696,400,000","4,726,300,000","4,981,000,000","4,969,200,000","4,927,000,000","4,911,000,000","4,933,600,000","4,879,100,000","4,826,600,000","4,775,800,000","4,841,400,000","4,560,000,000","4,510,200,000","4,468,800,000","2,975,900,000","2,895,200,000","2,839,400,000","2,792,800,000","2,750,300,000","2,691,600,000","2,598,000,000","2,568,700,000","2,539,300,000","2,514,000,000","2,494,000,000","2,479,500,000","2,427,400,000","2,452,800,000","2,447,500,000","2,280,400,000","2,202,100,000","1,880,500,000"
TotalEquityGrossMinorityInterest,"6,750,100,000","6,893,200,000","6,329,400,000","6,778,600,000","6,451,800,000","6,186,600,000","6,074,600,000","5,858,900,000","5,142,900,000","6,000,100,000","5,793,900,000","5,893,900,000","5,665,600,000","5,146,200,000","5,311,200,000","5,103,400,000","5,048,600,000","4,733,300,000","4,730,000,000","4,661,800,000","4,596,600,000","4,471,600,000","4,446,100,000","4,378,000,000","4,142,600,000","3,880,800,000","3,853,800,000","3,937,400,000","4,014,200,000","3,924,000,000","3,922,900,000","3,953,100,000","3,865,800,000","3,775,000,000","3,716,000,000","3,584,500,000","3,673,300,000","3,596,200,000","3,690,200,000","3,712,300,000","3,773,300,000","3,772,500,000","3,827,900,000","3,972,400,000","4,050,100,000","4,121,400,000","4,037,700,000","3,983,800,000","3,995,800,000","3,891,400,000","3,901,300,000","3,753,100,000","3,643,200,000","3,740,300,000","3,914,300,000","4,058,900,000","4,376,700,000","4,541,600,000","4,563,900,000","4,517,600,000","4,471,800,000","4,369,200,000","4,311,600,000","4,130,600,000","4,066,800,000","4,024,000,000","4,128,500,000","4,068,900,000","3,880,900,000","3,865,600,000","3,791,600,000","3,655,000,000","3,668,100,000","3,553,600,000","3,571,000,000","3,499,600,000","3,303,400,000","3,155,800,000","3,047,000,000","2,974,800,000","2,874,600,000","2,783,700,000","2,686,300,000","2,593,000,000","2,518,700,000","2,438,700,000","2,329,000,000","2,227,900,000","2,189,900,000","2,198,400,000","2,243,300,000","2,285,500,000","2,301,300,000","2,304,200,000","2,302,800,000","2,248,700,000","2,213,400,000","2,152,100,000","2,104,900,000","2,039,700,000","1,936,300,000","1,900,000,000","1,905,400,000","1,853,400,000","1,815,400,000","1,612,500,000","1,580,300,000","1,529,100,000","1,461,900,000","1,329,300,000","1,387,000,000","1,354,800,000","1,333,700,000","1,256,900,000","1,298,800,000","1,261,300,000","1,230,200,000","1,165,700,000","1,128,400,000","1,031,700,000","993,400,000","962,500,000","872,200,000","841,400,000","813,400,000","789,200,000","763,900,000","742,500,000","715,000,000","696,100,000","675,300,000","558,000,000","517,300,000","426,200,000","381,200,000"
	StockholdersEquity,"6,750,100,000","6,893,100,000","6,329,400,000","6,778,500,000","6,451,600,000","6,186,600,000","6,074,500,000","5,858,800,000","5,142,800,000","6,000,000,000","5,793,700,000","5,893,900,000","5,665,500,000","5,146,200,000","5,311,100,000","5,103,300,000","5,048,600,000","4,733,100,000","4,729,900,000","4,661,600,000","4,596,500,000","4,471,500,000","4,446,100,000","4,377,900,000","4,142,500,000","3,880,800,000","3,853,700,000","3,937,400,000","4,014,000,000","3,923,900,000","3,922,800,000","3,953,100,000","3,865,700,000","3,774,800,000","3,715,800,000","3,584,400,000","3,673,100,000","3,596,100,000","3,690,200,000","3,712,300,000","3,773,300,000","3,772,500,000","3,827,900,000","3,972,400,000","4,050,100,000","4,121,400,000","4,037,700,000","3,983,800,000","3,995,800,000","3,891,400,000","3,901,300,000","3,753,100,000","3,643,200,000","3,740,300,000","3,914,300,000","4,058,900,000","4,376,700,000","4,541,600,000","4,563,900,000","4,517,600,000","4,471,800,000","4,369,200,000","4,311,600,000","4,130,600,000","4,066,800,000","4,024,000,000","4,128,500,000","4,068,900,000","3,880,900,000","3,865,600,000","3,791,600,000","3,655,000,000","3,668,100,000","3,553,600,000","3,571,000,000","3,499,600,000","3,303,400,000","3,155,800,000","3,047,000,000","2,974,800,000","2,874,600,000","2,783,700,000","2,686,300,000","2,593,000,000","2,518,700,000","2,438,700,000","2,329,000,000","2,227,900,000","2,189,900,000","2,198,400,000","2,243,300,000","2,285,500,000","2,301,300,000","2,304,200,000","2,302,800,000","2,248,700,000","2,213,400,000","2,152,100,000","2,104,900,000","2,039,700,000","1,936,300,000","1,900,000,000","1,905,400,000","1,853,400,000","1,815,400,000","1,612,500,000","1,580,300,000","1,529,100,000","1,461,900,000","1,329,300,000","1,387,000,000","1,354,800,000","1,333,700,000","1,256,900,000","1,298,800,000","1,261,300,000","1,230,200,000","1,165,700,000","1,128,400,000","1,031,700,000","993,400,000","962,500,000","872,200,000","841,400,000","813,400,000","789,200,000","763,900,000","742,500,000","715,000,000","696,100,000","675,300,000","558,000,000","517,300,000","426,200,000","381,200,000"
		CapitalStock,"308,300,000","307,500,000","307,000,000","305,700,000","304,700,000","304,100,000","304,000,000","304,000,000","303,900,000","303,600,000","303,500,000","303,200,000","302,900,000","302,700,000","302,600,000","302,400,000","302,100,000","269,200,000","263,800,000","263,600,000","263,500,000","262,700,000","262,600,000","262,400,000","262,100,000","261,900,000","261,400,000","261,300,000","261,100,000","260,900,000","260,800,000","260,800,000","260,500,000","260,400,000","259,900,000","259,800,000","259,500,000","259,400,000","259,400,000","259,400,000","259,400,000","259,300,000","259,300,000","259,200,000","259,200,000","259,200,000","241,000,000","241,000,000","241,000,000","240,600,000","240,600,000","240,500,000","240,500,000","240,500,000","230,700,000","232,200,000","232,000,000","232,000,000","231,900,000","231,500,000","231,300,000","231,000,000","230,400,000","230,000,000","229,800,000","229,500,000","186,000,000","185,700,000","185,500,000","185,400,000","185,200,000","184,900,000","184,800,000","184,400,000","122,700,000","122,700,000","123,800,000","123,700,000","123,700,000","123,600,000","123,400,000","122,400,000","122,400,000","121,900,000","122,000,000","122,100,000","121,600,000","121,100,000","121,100,000","157,300,000",,,,"157,500,000",,,,"104,100,000",,,,"116,600,000",,,,"131,300,000",,,,"116,200,000",,,,"135,500,000",,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,,"0","0","0",,,"0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0",,"0","0","0",,"0","0","0","0",,"0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300,000","300,000",,"300,000","700,000","700,000","700,000","700,000","700,000",,,,"1,200,000",,,,"1,000,000",,,,"20,600,000",,,,"72,500,000",,,,"58,600,000",,,,"78,000,000",,,,,,,,,,,,,,,,,,,,,
			CommonStock,"308,300,000","307,500,000","307,000,000","305,700,000","304,700,000","304,100,000","304,000,000","304,000,000","303,900,000","303,600,000","303,500,000","303,200,000","302,900,000","302,700,000","302,600,000","302,400,000","302,100,000","269,200,000","263,800,000","263,600,000","263,500,000","262,700,000","262,600,000","262,400,000","262,100,000","261,900,000","261,400,000","261,300,000","261,100,000","260,900,000","260,800,000","260,800,000","260,500,000","260,400,000","259,900,000","259,800,000","259,500,000","259,400,000","259,400,000","259,400,000","259,400,000","259,300,000","259,300,000","259,200,000","259,200,000","259,200,000","241,000,000","241,000,000","241,000,000","240,600,000","240,600,000","240,500,000","240,500,000","240,500,000","230,700,000","232,200,000","232,000,000","232,000,000","231,900,000","231,500,000","231,300,000","231,000,000","230,400,000","230,000,000","229,800,000","229,500,000","186,000,000","185,700,000","185,500,000","185,400,000","185,200,000","184,900,000","184,800,000","184,400,000","122,700,000","122,700,000","123,800,000","123,700,000","123,700,000","123,600,000","123,400,000","122,100,000","122,100,000","121,900,000","121,700,000","121,400,000","120,900,000","120,400,000","120,400,000","156,600,000",,,,"156,300,000",,,,"103,100,000",,,,"96,000,000",,,,"58,800,000",,,,"57,600,000",,,,"57,500,000",,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"1,391,300,000","1,376,100,000","1,363,800,000","1,337,600,000","1,318,900,000","1,306,900,000","1,305,600,000","1,305,100,000","1,304,200,000","1,297,500,000","1,295,200,000","1,288,600,000","1,284,100,000","1,277,600,000","1,275,600,000","1,272,200,000","1,267,900,000","815,200,000","735,700,000","732,000,000","728,400,000","713,800,000","710,400,000","706,200,000","702,300,000","698,000,000","689,500,000","686,600,000","686,000,000","681,600,000","679,700,000","677,500,000","674,500,000","673,900,000","666,800,000","663,500,000","659,800,000","660,900,000","660,500,000","659,900,000","659,400,000","657,900,000","654,200,000","653,500,000","651,900,000","649,600,000","419,400,000","418,100,000","416,200,000","412,400,000","410,700,000","408,800,000","407,200,000","405,000,000","329,700,000","354,300,000","350,100,000","344,400,000","341,600,000","334,300,000","330,300,000","319,500,000","309,900,000","302,100,000","293,500,000","288,600,000","286,000,000","278,800,000","273,700,000","270,400,000","266,200,000","262,100,000","258,500,000","245,500,000","239,600,000","237,800,000","253,600,000","253,100,000","252,200,000","250,400,000","246,300,000","219,800,000","219,100,000","216,500,000","212,200,000","207,800,000","200,000,000","192,500,000","191,900,000","627,800,000",,,,"624,500,000",,,,"604,300,000",,,,"575,600,000",,,,"463,400,000",,,,"456,900,000",,,,"455,200,000",,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"5,450,800,000","5,214,000,000","4,653,300,000","5,082,100,000","4,831,400,000","4,394,800,000","4,234,900,000","4,051,200,000","3,715,800,000","4,386,000,000","4,170,100,000","4,326,700,000","4,220,800,000","3,849,800,000","4,014,600,000","3,797,700,000","3,658,100,000","3,206,900,000","3,323,100,000","3,326,500,000","3,274,300,000","3,210,600,000","3,127,200,000","3,064,800,000","3,012,100,000","2,937,500,000","2,894,400,000","2,816,400,000","2,762,300,000","2,706,700,000","2,690,500,000","2,651,800,000","2,632,800,000","2,485,300,000","2,436,900,000","2,380,200,000","2,232,400,000","2,222,300,000","2,287,900,000","2,348,200,000","2,427,600,000","2,472,400,000","2,461,800,000","2,623,000,000","2,733,900,000","2,791,400,000","2,848,700,000","2,928,500,000","2,911,800,000","2,927,300,000","2,950,500,000","3,036,800,000","3,092,700,000","3,186,500,000","3,353,000,000","3,440,200,000","3,844,200,000","3,900,100,000","3,917,500,000","3,925,100,000","3,847,000,000","3,773,900,000","3,703,900,000","3,622,400,000","3,530,200,000","3,444,900,000","3,562,500,000","3,471,900,000","3,330,700,000","3,240,100,000","3,163,400,000","3,078,000,000","2,982,600,000","2,896,800,000","2,986,000,000","2,886,600,000","2,785,500,000","2,700,500,000","2,626,200,000","2,549,100,000","2,460,900,000","2,383,200,000","2,312,100,000","2,247,500,000","2,173,700,000","2,106,400,000","2,030,200,000","1,966,600,000","1,913,700,000","1,873,900,000","1,840,700,000","1,817,400,000","1,770,500,000","1,709,900,000","1,636,300,000","1,571,100,000","1,504,600,000","1,478,800,000","1,413,900,000","1,357,100,000","1,277,900,000","1,223,300,000","1,172,300,000","1,121,600,000","1,076,600,000","1,058,300,000","984,700,000","930,600,000","896,200,000","865,000,000","833,500,000","802,400,000","774,300,000","750,200,000","706,500,000","674,100,000","639,700,000","606,300,000","575,700,000","524,500,000","489,700,000","489,200,000","457,800,000","428,300,000","399,300,000","445,500,000","423,600,000","400,500,000","377,700,000","386,800,000","366,700,000","331,700,000","322,000,000","292,000,000","248,000,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0","0","0","0",,"0","0","0","0","0","0","0","0","28,300,000","28,300,000","28,300,000","28,300,000",,,,,,,"0","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","32,600,000","10,000,000","439,800,000",,,,"251,600,000",,,,"100,500,000",,,,"38,400,000",,,,"38,400,000",,,,"39,800,000",,,,"31,300,000",,,,,,,,,,,,,,,,,,,,,
