name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalAssets,"643,338,000","651,046,000","624,333,000","627,207,000","583,694,000","475,341,000","453,000,000"
	CurrentAssets,"262,250,000","273,566,000","244,718,000","250,405,000","229,257,000","122,831,000","124,800,000"
		CashCashEquivalentsAndShortTermInvestments,"141,978,000","146,799,000","133,144,000","135,573,000","133,824,000","23,617,000","32,300,000"
			CashAndCashEquivalents,"141,978,000","146,799,000","133,144,000","135,573,000","133,824,000","23,617,000","32,300,000"
		Receivables,"25,689,000","23,623,000","26,022,000","27,719,000","22,601,000","18,034,000","21,600,000"
			AccountsReceivable,"25,689,000","23,163,000","25,027,000","24,174,000","22,060,000","17,493,000","18,700,000"
				GrossAccountsReceivable,,"24,563,000",,,,"18,693,000",
				AllowanceForDoubtfulAccountsReceivable,,"-1,400,000",,,,"-1,200,000",
			TaxesReceivable,"0","460,000","995,000","3,545,000","541,000","541,000",
			DuefromRelatedPartiesCurrent,,,,,,"0","2,900,000"
		PrepaidAssets,"2,815,000","2,407,000","2,227,000","2,643,000","2,766,000","2,218,000",
		RestrictedCash,"89,488,000","99,815,000","82,526,000","83,497,000","69,430,000","78,505,000","63,200,000"
		OtherCurrentAssets,"2,280,000","922,000","799,000","973,000","636,000","457,000","7,700,000"
	TotalNonCurrentAssets,"381,088,000","377,480,000","379,615,000","376,802,000","354,437,000","352,510,000","328,200,000"
		NetPPE,"17,477,000","18,506,000","14,416,000","14,413,000","14,057,000","12,805,000","12,400,000"
			GrossPPE,"31,074,000","30,892,000","25,629,000","24,343,000","22,912,000","20,671,000",
				Properties,"0","0","0","0","0","0",
				MachineryFurnitureEquipment,"25,803,000","24,975,000","24,207,000","22,921,000","21,526,000","19,292,000",
				OtherProperties,"3,886,000","4,521,000","26,000","26,000","26,000","26,000",
				Leases,"1,385,000","1,396,000","1,396,000","1,396,000","1,360,000","1,353,000",
			AccumulatedDepreciation,"-13,597,000","-12,386,000","-11,213,000","-9,930,000","-8,855,000","-7,866,000",
		GoodwillAndOtherIntangibleAssets,"362,581,000","357,825,000","363,986,000","361,128,000","339,624,000","338,924,000","315,800,000"
			Goodwill,"225,002,000","221,117,000","222,008,000","216,446,000","206,337,000","206,308,000",
			OtherIntangibleAssets,"137,579,000","136,708,000","141,978,000","144,682,000","133,287,000","132,616,000",
		OtherNonCurrentAssets,"1,030,000","1,149,000","1,213,000","1,261,000","756,000","781,000",
TotalLiabilitiesNetMinorityInterest,"397,699,000","409,121,000","387,792,000","387,444,000","348,935,000","359,309,000","338,100,000"
	CurrentLiabilities,"123,745,000","131,664,000","110,343,000","113,109,000","94,407,000","103,666,000","92,100,000"
		PayablesAndAccruedExpenses,"30,735,000","27,815,000","25,054,000","27,223,000","22,432,000","21,937,000","29,600,000"
			Payables,"4,082,000","3,127,000","1,270,000","4,459,000","3,662,000","3,967,000","7,500,000"
				AccountsPayable,"1,913,000","3,127,000","1,270,000","4,459,000","2,918,000","3,967,000","7,500,000"
				TotalTaxPayable,"2,169,000","0",,,"744,000",,
					IncomeTaxPayable,"2,169,000","0",,,"744,000",,
			CurrentAccruedExpenses,"26,653,000","24,688,000","23,784,000","22,764,000","18,770,000","17,970,000","22,100,000"
		CurrentDebtAndCapitalLeaseObligation,"1,350,000","1,302,000",,,,,
			CurrentCapitalLeaseObligation,"1,350,000","1,302,000",,,,,
		OtherCurrentLiabilities,"91,660,000","102,547,000","85,289,000","85,886,000","71,975,000","81,729,000","62,500,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"273,954,000","277,457,000","277,449,000","274,335,000","254,528,000","255,643,000","246,000,000"
		LongTermDebtAndCapitalLeaseObligation,"245,029,000","245,813,000","242,298,000","242,725,000","219,795,000","220,152,000","220,500,000"
			LongTermDebt,"241,425,000","241,872,000","242,298,000","242,725,000","219,795,000","220,152,000","220,500,000"
			LongTermCapitalLeaseObligation,"3,604,000","3,941,000",,,,,
		NonCurrentDeferredLiabilities,"10,402,000","11,723,000","14,971,000","11,204,000","14,453,000","14,618,000","25,500,000"
			NonCurrentDeferredTaxesLiabilities,"10,402,000","11,723,000","14,971,000","11,204,000","14,453,000","14,618,000","25,500,000"
		TradeandOtherPayablesNonCurrent,"18,104,000","19,502,000","18,930,000","19,179,000","19,175,000","19,627,000",
		OtherNonCurrentLiabilities,"419,000","419,000","1,250,000","1,227,000","1,105,000","1,246,000",
TotalEquityGrossMinorityInterest,"245,639,000","241,925,000","236,541,000","239,763,000","234,759,000","116,032,000","114,900,000"
	StockholdersEquity,"245,639,000","241,925,000","236,541,000","239,763,000","234,759,000","116,032,000","114,900,000"
		CapitalStock,"132,000","132,000","132,000","127,000","13,000","12,000","0"
			CommonStock,"132,000","132,000","132,000","127,000","13,000","12,000","0"
		AdditionalPaidInCapital,"257,488,000","255,986,000","254,912,000","255,178,000","247,134,000","129,453,000","126,300,000"
		RetainedEarnings,"-11,981,000","-14,193,000","-18,503,000","-15,542,000","-12,388,000","-13,433,000","-11,400,000"
TotalCapitalization,"487,064,000","483,797,000","478,839,000","482,488,000","454,554,000","336,184,000","335,400,000"
CommonStockEquity,"245,639,000","241,925,000","236,541,000","239,763,000","234,759,000","116,032,000","114,900,000"
CapitalLeaseObligations,"4,954,000","5,243,000",,,,,
NetTangibleAssets,"-116,942,000","-115,900,000","-127,445,000","-121,365,000","-104,865,000","-222,892,000","-200,900,000"
WorkingCapital,"138,505,000","141,902,000","134,375,000","137,296,000","134,850,000","19,165,000","32,700,000"
InvestedCapital,"487,064,000","483,797,000","478,839,000","482,488,000","454,554,000","336,184,000","335,400,000"
TangibleBookValue,"-116,942,000","-115,900,000","-127,445,000","-121,365,000","-104,865,000","-222,892,000","-200,900,000"
TotalDebt,"246,379,000","247,115,000","242,298,000","242,725,000","219,795,000","220,152,000","220,500,000"
NetDebt,"99,447,000","95,073,000","109,154,000","107,152,000","85,971,000","196,535,000","188,200,000"
