name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"13,765,034","4,079,878","3,397,378","3,345,359","2,942,419","2,125,470","1,981,956","1,360,170","2,448,925","6,258,870","5,134,475","6,067,025","4,771,330","4,537,603","7,516,287","7,243,344","7,629,876","9,724,781","7,442,116","6,098,787","7,476,794","9,554,505","7,384,736","6,555,697","4,379,998","2,770,120","3,161,174","5,882,327","4,121,927","4,630,138","7,035,217","15,233,162","14,607,363","12,135,170","10,947,810","12,621,041","11,154,568","7,023,242","9,446,157","9,121,094","16,142,428","20,422,066","14,506,099","14,880,059","18,398,856","16,798,483","14,296,527","16,016,661","18,444,458","16,508,873","14,050,779","10,469,343","6,725,687","7,715,622","23,119,928","35,572,202","27,282,046","26,458,092","23,101,272","18,028,932","13,446,626","13,931,328","14,789,757","18,728,904","14,068,746","18,953,440","20,727,829","16,003,100","12,757,585","13,542,546","15,126,351","11,651,221","9,048,808","9,210,172","8,354,717","8,695,640","8,572,750","6,986,908","7,301,071","6,310,241","5,657,370","4,579,062","7,257,466","8,450,779","12,067,277","12,118,596","10,967,334","9,510,039","9,053,835","6,389,886","7,113,372","5,973,356","3,962,289","1,777,973","1,527,004","2,408,269","1,606,618","5,263,835","5,324,397","4,401,341","4,200,072","8,715,728","6,473,197","7,070,016","3,843,216","2,577,773","3,984,849","2,614,809","2,256,481","3,183,727","4,600,000","4,200,000","1,500,000","6,300,000","4,400,000","5,200,000","4,400,000","5,400,000","6,600,000","6,300,000","3,600,000","5,000,000","5,300,000","4,900,000","4,800,000","9,000,000","9,600,000","4,200,000",,"5,500,000",,,,,,,,,,,,,,,,,,
	OperatingRevenue,"13,765,034","4,079,878","3,397,378","3,345,359","2,942,419","2,125,470","1,981,956","1,360,170","2,448,925","6,258,870","5,134,475","6,067,025","4,771,330","4,537,603","7,516,287","7,243,344","7,629,876","9,724,781","7,442,116","6,098,787","7,476,794","9,554,505","7,384,736","6,555,697","4,379,998","2,770,120","3,161,174","5,882,327","4,121,927","4,630,138","7,035,217","15,233,162","14,607,363","12,135,170","10,947,810","12,621,041","11,154,568","7,023,242","9,446,157","9,121,094","16,142,428","20,422,066","14,506,099","14,880,059","18,398,856","16,798,483","14,296,527","16,016,661","18,444,458","16,508,873","14,050,779","10,469,343","6,725,687","7,715,622","23,119,928","35,572,202","27,282,046","26,458,092","23,101,272","18,028,932","13,446,626","13,931,328","14,789,757","18,728,904","14,068,746","18,953,440","20,727,829","16,003,100","12,757,585","13,542,546","15,126,351","11,651,221","9,048,808","9,210,172","8,354,717","8,695,640","8,572,750","6,986,908","7,301,071","6,310,241","5,657,370","4,579,062","7,257,466","8,450,779","12,067,277","12,118,596","10,967,334","9,510,039","9,053,835","6,389,886","7,113,372","5,973,356","3,962,289","1,777,973","1,527,004","2,408,269","1,606,618","5,263,835","5,324,397","4,401,341","4,200,072","8,715,728","6,473,197","7,070,016","3,843,216","2,577,773","3,984,849","2,614,809","2,256,481","3,183,727","4,600,000","4,200,000","1,500,000","6,300,000","4,400,000","5,200,000","4,400,000","5,400,000","6,600,000","6,300,000","3,600,000","5,000,000","5,300,000","4,900,000","4,800,000","9,000,000","9,600,000","4,200,000",,"5,500,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"1,148,295","345,184","157,711","361,096","284,304","285,740","236,022","105,830","470,893","328,863","213,204","118,549","456,419","301,131","143,015","186,501","581,462","413,850","177,860","198,472","504,997","365,457","150,067","161,802","565,013","314,834","-189,596","388,407","600,958","446,094","183,040","193,727","481,876","434,775","222,490","145,855","533,935","324,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,148,295","345,184","157,711","361,096","284,304","285,740","136,022","105,830","470,893","328,863","213,204","118,549","456,419","301,131","143,015","186,501","581,462","413,850","177,860","198,472","504,997","365,457","150,067","161,802","565,013","314,834","-189,596","388,407","600,958","446,094","183,040","193,727","481,876","434,775","222,490","145,855","533,935","324,648","170,818","167,683","485,146","325,596","181,745","150,178","502,935","339,518","162,458","124,056","459,539","403,797","199,869","135,642","487,556","442,416","124,768","134,748","359,490","354,756","144,966","99,342","322,344","322,276","148,089","152,561","224,361","300,467","115,154","112,337","237,206","298,693","76,881","84,828","144,076","184,025","60,110","71,646","147,705","217,428","67,256","69,703","134,628","160,752","49,387","74,320","131,034","165,982","46,307","46,978","158,847","123,821","46,173","48,635","116,677","143,663","67,452","50,890","148,573","124,429","71,816","58,067","177,535","144,005","100,974","106,898","143,348","124,408","56,393","68,968","132,460","149,582","100,000","100,000","200,000","200,000","200,000","100,000","200,000","200,000","100,000","100,000","100,000","200,000","0","100,000","200,000","200,000","0","100,000",,"100,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,148,295","345,184","157,711","361,096","284,304","285,740","136,022","105,830","470,893","328,863","213,204","118,549","456,419","301,131","143,015","186,501","581,462","413,850","177,860","198,472","504,997","365,457","150,067","161,802","565,013","314,834","-189,596","388,407","600,958","446,094","183,040","193,727","481,876","434,775","222,490","145,855","533,935","324,648","170,818","167,683","485,146","325,596","181,745","150,178","502,935","339,518","162,458","124,056","459,539","403,797","199,869","135,642","487,556","442,416","124,768","134,748","359,490","354,756","144,966","99,342","322,344","322,276","148,089","152,561","224,361","300,467","115,154","112,337","237,206","298,693","76,881","84,828","144,076","184,025","60,110","71,646","147,705","217,428","67,256","69,703","134,628","160,752","49,387","74,320","131,034","165,982","46,307","46,978","158,847","123,821","46,173","48,635","116,677","143,663","67,452","50,890","148,573","124,429","71,816","58,067","177,535","144,005","100,974","106,898","143,348","124,408","56,393","68,968","132,460","149,582","100,000","100,000","200,000","200,000","200,000","100,000","200,000","200,000","100,000","100,000","100,000","200,000","0","100,000","200,000","200,000","0","100,000",,"100,000",,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,768","134,748","359,490","354,756","144,966","99,342","322,344","322,276","148,089","152,561","224,361","300,467","115,154","112,337","237,206","298,693","76,881","84,828","144,076","184,025","60,110","71,646","147,705","217,428","67,256","69,703","134,628","160,752","49,387","74,320","131,034","165,982","46,307","46,978","158,847","123,821","46,173","48,635","116,677","143,663","67,452","50,890","148,573","124,429","71,816","58,067","177,535","144,005","100,974","106,898","143,348","124,408","56,393","68,968","132,460","149,582","100,000","100,000","200,000","200,000","200,000","100,000","200,000","200,000","100,000","100,000","100,000","200,000","0","100,000","200,000","200,000","0","100,000",,"100,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"1,148,295","345,184","157,711","361,096","284,304","285,740","136,022","105,830","470,893","328,863","213,204","118,549","456,419","301,131","143,015","186,501","581,462","413,850","177,860","198,472","504,997","365,457","150,067","161,802","565,013","314,834","-189,596","388,407","600,958","446,094","183,040","193,727","481,876","434,775","222,490","145,855","533,935","324,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,"100,000",,"50,000",,,,,,,,,,,,,,"100,000","150,000","150,000","150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"12,616,739","3,734,694","3,239,667","2,984,263","2,658,115","1,839,730","1,745,934","1,254,340","1,978,032","5,930,007","4,921,271","5,948,476","4,314,911","4,236,472","7,373,272","7,056,843","7,048,414","9,310,931","7,264,256","5,900,315","6,971,797","9,189,048","7,234,669","6,393,895","3,814,985","2,455,286","3,350,770","5,493,920","3,520,969","4,184,044","6,852,177","15,039,435","14,125,487","11,700,395","10,725,320","12,475,186","10,620,633","6,698,594","9,275,339","8,953,411","15,657,282","20,096,470",,"14,729,881","17,895,921","16,458,965","14,134,069","15,892,605","17,984,919","16,105,076","13,850,910","10,333,701","6,238,131","7,273,206","22,995,160","35,437,454","26,922,556","26,103,336","22,956,306","17,929,590","13,124,282",,"14,641,668","18,576,343","13,844,385","18,652,973","20,612,675",,"12,520,379","13,243,853","15,049,470",,"8,904,732","9,026,147","8,294,607","8,623,994",,,"7,233,815","6,240,538","5,522,742","4,418,310","7,208,079","8,376,459","11,936,243","11,952,614","10,921,027","9,463,061",,"6,266,065",,"5,924,721",,"1,634,310","1,459,552","2,357,379",,,,,"4,022,537","8,571,723","6,372,223","6,963,118","3,699,868","2,453,365","3,928,456","2,545,841","2,124,021","3,034,145","4,500,000","4,100,000","1,300,000","6,100,000","4,200,000","5,100,000","4,200,000","5,200,000","6,500,000","6,200,000","3,400,000",,"5,300,000","4,800,000","4,600,000","8,800,000","9,600,000","4,100,000",,"5,400,000",,,,,,,,,,,,,,,,,,
NetNonOperatingInterestIncomeExpense,,,,,,,,,"2,423","4,361","4,826","6,753","4,263","7,158","6,782","6,994","6,754","5,476","4,067","3,270","3,056","2,282","1,531","796","232","84","28","26","17","32","58","77","65","63","118","98","58","196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
