name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"21,724,000,000","5,798,000,000","5,246,000,000","5,465,000,000","5,215,000,000","4,716,000,000","4,748,000,000","4,882,000,000","4,533,000,000","4,306,000,000","4,743,000,000","4,432,000,000","3,943,000,000","4,011,000,000","4,088,000,000","4,381,000,000","4,234,000,000","4,056,000,000","4,100,000,000","4,517,000,000","4,250,000,000","4,268,000,000","4,713,000,000","4,810,000,000","4,169,000,000","3,974,000,000","4,167,000,000","4,550,000,000","4,217,000,000","3,899,000,000","4,308,000,000","4,939,000,000","3,952,000,000","3,891,000,000","3,975,000,000","4,175,000,000","3,776,000,000","3,672,000,000","3,830,000,000","3,976,000,000","3,593,000,000","3,641,000,000","3,815,000,000","3,860,000,000","3,684,000,000","3,597,000,000","3,621,000,000","3,513,000,000","3,232,000,000","3,475,000,000","3,539,000,000","3,235,000,000","3,194,000,000","3,431,000,000","3,643,000,000","3,674,000,000","3,578,000,000","3,733,000,000","3,416,000,000","3,279,000,000","3,187,000,000","3,356,000,000","3,206,000,000","3,168,000,000","3,017,000,000","3,148,000,000","3,733,000,000","2,804,000,000","2,498,000,000","2,669,000,000","2,980,000,000","2,623,000,000","2,749,000,000","2,722,000,000","2,538,000,000","3,103,000,000","2,926,000,000","2,607,000,000","2,015,000,000","4,018,000,000","5,752,000,000","4,767,000,000","4,970,000,000","6,301,000,000","5,013,000,000","6,675,000,000","8,082,000,000","7,504,000,000","5,638,000,000","5,008,000,000","4,363,000,000","6,380,000,000","4,820,000,000","5,257,000,000","5,495,000,000","5,307,000,000","4,787,000,000","4,353,000,000","4,888,600,000","4,063,000,000","3,083,000,000","3,365,500,000","2,700,700,000","2,521,900,000","2,138,700,000","2,248,800,000","2,221,400,000","2,645,200,000","2,447,700,000","2,307,300,000","2,638,200,000","2,855,200,000","2,439,700,000","2,514,300,000","2,707,200,000","2,947,300,000","2,464,100,000","2,463,800,000","2,557,800,000","2,798,800,000","2,519,700,000","2,419,900,000","2,635,000,000","2,520,300,000","2,351,900,000","2,270,900,000","2,452,000,000","2,597,700,000","2,172,600,000","2,247,800,000","2,146,800,000","2,245,900,000","2,086,500,000","2,109,100,000","2,043,500,000","1,966,000,000","1,766,600,000","1,869,600,000","1,830,900,000","1,827,900,000","1,774,700,000","1,752,200,000","1,927,500,000","2,000,900,000","1,876,700,000","2,011,600,000","2,066,900,000","2,167,400,000"
	OperatingRevenue,"21,724,000,000","5,798,000,000","5,246,000,000","5,465,000,000","5,215,000,000","4,716,000,000","4,748,000,000","4,882,000,000","4,533,000,000","4,306,000,000","4,743,000,000","4,432,000,000","3,943,000,000","4,011,000,000","4,088,000,000","4,381,000,000","4,234,000,000","4,056,000,000","4,100,000,000","4,517,000,000","4,250,000,000","4,268,000,000","4,713,000,000","4,810,000,000","4,169,000,000","3,974,000,000","4,167,000,000","4,550,000,000","4,217,000,000","3,899,000,000","4,308,000,000","4,939,000,000","3,952,000,000","3,891,000,000","3,975,000,000","4,175,000,000","3,776,000,000","3,672,000,000","3,830,000,000","3,976,000,000","3,593,000,000","3,641,000,000","3,815,000,000","3,860,000,000","3,684,000,000","3,597,000,000","3,621,000,000","3,513,000,000","3,232,000,000","3,475,000,000","3,539,000,000","3,235,000,000","3,194,000,000","3,431,000,000","3,643,000,000","3,674,000,000","3,578,000,000","3,733,000,000","3,416,000,000","3,279,000,000","3,187,000,000","3,356,000,000","3,206,000,000","3,168,000,000","3,017,000,000","3,148,000,000","3,733,000,000","2,804,000,000","2,498,000,000","2,669,000,000","2,980,000,000","2,623,000,000","2,749,000,000","2,722,000,000","2,538,000,000","3,103,000,000","2,926,000,000","2,607,000,000","2,015,000,000","4,018,000,000","5,752,000,000","4,767,000,000","4,970,000,000","6,301,000,000","5,013,000,000","6,675,000,000","8,082,000,000","7,504,000,000","5,638,000,000","5,008,000,000","4,363,000,000","6,380,000,000","4,820,000,000","5,257,000,000","5,495,000,000","5,307,000,000","4,787,000,000","4,353,000,000","4,888,600,000","4,063,000,000","3,083,000,000","3,365,500,000","2,700,700,000","2,521,900,000","2,138,700,000","2,248,800,000","2,221,400,000","2,645,200,000","2,447,700,000","2,307,300,000","2,638,200,000","2,855,200,000","2,439,700,000","2,514,300,000","2,707,200,000","2,947,300,000","2,464,100,000","2,463,800,000","2,557,800,000","2,798,800,000","2,519,700,000","2,419,900,000","2,635,000,000","2,520,300,000","2,351,900,000","2,270,900,000","2,452,000,000","2,597,700,000","2,172,600,000","2,247,800,000","2,146,800,000","2,245,900,000","2,086,500,000","2,109,100,000","2,043,500,000","1,966,000,000","1,766,600,000","1,869,600,000","1,830,900,000","1,827,900,000","1,774,700,000","1,752,200,000","1,927,500,000","2,000,900,000","1,876,700,000","2,011,600,000","2,066,900,000","2,167,400,000"
CostOfRevenue,"15,521,000,000","4,173,000,000","3,627,000,000","4,104,000,000","3,617,000,000","3,233,000,000","3,258,000,000","3,494,000,000","3,034,000,000","2,796,000,000","3,298,000,000","3,344,000,000","2,887,000,000","3,025,000,000","3,176,000,000","2,936,000,000","2,828,000,000","2,705,000,000","2,951,000,000","2,908,000,000","2,790,000,000","2,676,000,000","3,007,000,000","3,476,000,000","3,069,000,000","3,182,000,000","3,285,000,000","3,352,000,000","2,879,000,000","3,197,000,000","3,258,000,000","3,203,000,000","2,877,000,000","2,869,000,000","3,107,000,000","3,361,000,000","2,624,000,000","2,667,000,000","7,378,000,000","1,401,000,000","1,094,000,000","1,202,000,000","1,379,000,000","1,394,000,000","1,164,000,000","1,396,000,000","1,380,000,000","1,284,000,000","1,110,000,000","1,415,000,000","1,360,000,000","1,131,000,000","1,071,000,000","1,440,000,000","1,496,000,000","1,633,000,000","1,584,000,000","1,802,000,000","1,435,000,000","1,279,000,000","1,280,000,000","1,477,000,000","1,285,000,000","1,182,000,000","1,149,000,000","1,403,000,000","1,682,000,000","1,068,000,000","834,000,000","1,016,000,000","1,395,000,000","1,031,000,000","963,000,000","1,139,000,000","1,012,000,000","912,000,000","890,000,000","1,391,000,000","669,000,000","1,419,000,000","3,526,000,000","2,202,000,000","2,733,000,000","3,738,000,000","2,402,000,000","7,182,000,000","9,062,000,000","6,852,000,000","1,157,000,000","3,268,000,000","2,711,000,000","4,420,000,000","3,029,000,000","3,576,000,000","4,097,000,000","3,271,000,000","3,037,000,000","2,819,000,000","3,158,300,000","2,190,600,000","1,394,200,000","1,740,200,000",,,,,,,,"542,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"6,203,000,000","1,625,000,000","1,619,000,000","1,361,000,000","1,598,000,000","1,483,000,000","1,490,000,000","1,388,000,000","1,499,000,000","1,510,000,000","1,445,000,000","1,088,000,000","1,056,000,000","986,000,000","912,000,000","1,445,000,000","1,406,000,000","1,351,000,000","1,149,000,000","1,609,000,000","1,460,000,000","1,592,000,000","1,706,000,000","1,334,000,000","1,100,000,000","792,000,000","882,000,000","1,198,000,000","1,338,000,000","702,000,000","1,050,000,000","1,736,000,000","1,075,000,000","1,022,000,000","868,000,000","814,000,000","1,152,000,000","1,005,000,000","-3,548,000,000","2,575,000,000","2,499,000,000","2,439,000,000","2,436,000,000","2,466,000,000","2,520,000,000","2,201,000,000","2,241,000,000","2,229,000,000","2,122,000,000","2,060,000,000","2,179,000,000","2,104,000,000","2,123,000,000","1,991,000,000","2,147,000,000","2,041,000,000","1,994,000,000","1,931,000,000","1,981,000,000","2,000,000,000","1,907,000,000","1,879,000,000","1,921,000,000","1,986,000,000","1,868,000,000","1,745,000,000","2,051,000,000","1,736,000,000","1,664,000,000","1,653,000,000","1,585,000,000","1,592,000,000","1,786,000,000","1,583,000,000","1,526,000,000","2,191,000,000","2,036,000,000","1,216,000,000","1,346,000,000","2,599,000,000","2,226,000,000","2,565,000,000","2,237,000,000","2,563,000,000","2,611,000,000","-507,000,000","-980,000,000","652,000,000","4,481,000,000","1,740,000,000","1,652,000,000","1,960,000,000","1,791,000,000","1,681,000,000","1,398,000,000","2,036,000,000","1,750,000,000","1,534,000,000","1,730,300,000","1,872,400,000","1,688,800,000","1,625,300,000",,,,,,,,"1,764,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"3,487,000,000","972,000,000","863,000,000","801,000,000","851,000,000","888,000,000","894,000,000","845,000,000","1,044,000,000","855,000,000","801,000,000","840,000,000","796,000,000","797,000,000","779,000,000","759,000,000","746,000,000","752,000,000","720,000,000","710,000,000","712,000,000","712,000,000","665,000,000","694,000,000","699,000,000","697,000,000","677,000,000","653,000,000","651,000,000","631,000,000","667,000,000","671,000,000","557,000,000","538,000,000","535,000,000","523,000,000","516,000,000","503,000,000","-3,673,000,000","1,961,000,000","2,032,000,000","1,952,000,000","2,078,000,000","2,058,000,000","1,828,000,000","1,717,000,000","1,749,000,000","1,726,000,000","1,427,000,000","1,442,000,000","1,656,000,000","1,497,000,000","1,467,000,000","1,478,000,000","1,602,000,000","1,402,000,000","1,410,000,000","1,438,000,000","1,532,000,000","1,418,000,000","1,352,000,000","1,350,000,000","1,482,000,000","1,251,000,000","1,403,000,000","1,276,000,000","1,635,000,000","1,221,000,000","1,126,000,000","1,152,000,000","1,017,000,000","1,083,000,000","1,114,000,000","-3,771,000,000","1,245,000,000","1,009,000,000","1,316,000,000","1,345,000,000","3,357,000,000","1,577,000,000","1,452,000,000","1,259,000,000","1,160,000,000","1,011,000,000","1,164,000,000","833,000,000","5,754,000,000","23,000,000","3,859,000,000","1,064,000,000","2,162,000,000","1,468,000,000","1,337,000,000","1,239,000,000","958,000,000","1,494,000,000","1,190,000,000","1,069,000,000","1,440,400,000","1,252,300,000","1,326,100,000","1,175,300,000",,,,,,,,"1,034,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,"170,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,200,000","200,300,000","173,000,000",,,,,,,,"261,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,"170,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,"170,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"3,487,000,000","972,000,000","863,000,000","801,000,000","851,000,000","888,000,000","894,000,000","845,000,000","874,000,000","855,000,000","801,000,000","840,000,000","796,000,000","797,000,000","779,000,000","759,000,000","746,000,000","752,000,000","720,000,000","710,000,000","712,000,000","712,000,000","665,000,000","694,000,000","699,000,000","697,000,000","677,000,000","653,000,000","651,000,000","631,000,000","667,000,000","671,000,000","557,000,000","538,000,000","535,000,000","523,000,000","516,000,000","503,000,000","465,000,000","617,000,000","606,000,000","584,000,000","567,000,000","566,000,000","591,000,000","491,000,000","485,000,000","501,000,000","468,000,000","451,000,000","454,000,000","450,000,000","429,000,000","419,000,000","411,000,000","419,000,000","419,000,000","402,000,000","445,000,000","465,000,000","430,000,000","430,000,000","418,000,000","456,000,000","421,000,000","414,000,000","415,000,000","481,000,000","454,000,000","385,000,000","441,000,000","406,000,000","353,000,000","312,000,000","312,000,000","312,000,000","325,000,000","336,000,000","288,000,000","365,000,000","336,000,000","320,000,000","284,000,000","270,000,000","259,000,000","103,000,000","1,391,000,000","1,239,000,000","69,000,000","347,000,000","96,000,000","680,000,000","563,000,000","441,000,000","-183,000,000","593,000,000","612,000,000","587,000,000","524,600,000","504,200,000","465,700,000","492,800,000",,,,,,,,"385,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"3,487,000,000","972,000,000","863,000,000","801,000,000","851,000,000","888,000,000","894,000,000","845,000,000","874,000,000","855,000,000","801,000,000","840,000,000","796,000,000","797,000,000","779,000,000","759,000,000","746,000,000","752,000,000","720,000,000","710,000,000","712,000,000","712,000,000","665,000,000","694,000,000","699,000,000","697,000,000","677,000,000","653,000,000","651,000,000","631,000,000","667,000,000","671,000,000","557,000,000","538,000,000","535,000,000","523,000,000","516,000,000","503,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
