name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987
TotalRevenue,"8,203,900,000","1,956,800,000","2,170,400,000","1,959,500,000","2,117,200,000","1,951,100,000","2,156,300,000","1,954,600,000","1,511,800,000","1,405,200,000","1,735,866,000","1,771,647,000","1,779,315,000","1,495,690,000","1,627,120,000","1,651,415,000","1,502,532,000","1,297,473,000","1,431,049,000","1,478,726,000","1,364,920,000","1,153,782,000","1,217,789,000","1,185,067,000","1,130,777,000","982,996,000","1,105,618,000","1,456,000,000","1,124,327,000","1,033,345,000","1,275,000,000","1,302,343,000","1,013,959,000","888,346,000","1,083,710,000","1,102,649,000","844,800,000","745,909,000","900,647,000","879,939,000","755,446,000","673,750,000","781,969,000","729,861,000","607,921,000","537,198,000","618,442,000","580,082,000","430,907,000","361,708,000","471,770,000","436,197,000","345,896,000","312,024,000","523,603,000","580,281,000","455,686,000","388,684,000","541,415,000","543,979,000","376,902,000","317,713,000","448,584,000","490,090,000","384,335,000","333,509,000","526,087,000","543,124,000","442,296,000","358,312,000","538,958,000","510,623,000","422,345,000","345,976,000","467,113,000","447,696,000","377,135,000","313,925,000","431,519,000","428,005,000","362,589,000","299,169,000","424,389,000","431,133,000","362,499,000","294,021,000","414,940,000","396,962,000","342,785,000","270,991,000","370,100,000","388,900,000","324,300,000","237,800,000","330,900,000","359,900,000","274,700,000","210,000,000","280,300,000","293,400,000","249,900,000","224,600,000","297,700,000","299,100,000","317,100,000","278,000,000","282,300,000","291,400,000","285,400,000","254,800,000","241,600,000","258,400,000","180,900,000","145,500,000","142,800,000","166,800,000","111,200,000","107,100,000","106,600,000","121,500,000","85,500,000","70,200,000","58,400,000","124,000,000","65,500,000","49,800,000","73,700,000","121,500,000","63,300,000","37,600,000","72,200,000","97,100,000","48,300,000","25,000,000","54,100,000","63,300,000","31,500,000","22,700,000","11,200,000","11,200,000","11,100,000","11,100,000"
	OperatingRevenue,"8,203,900,000","1,956,800,000","2,170,400,000","1,959,500,000","2,117,200,000","1,951,100,000","2,156,300,000","1,954,600,000","1,511,800,000","1,405,200,000","1,735,866,000","1,771,647,000","1,779,315,000","1,495,690,000","1,627,120,000","1,651,415,000","1,502,532,000","1,297,473,000","1,431,049,000","1,478,726,000","1,364,920,000","1,153,782,000","1,217,789,000","1,185,067,000","1,130,777,000","982,996,000","1,105,618,000","1,456,000,000","1,124,327,000","1,033,345,000","1,275,000,000","1,302,343,000","1,013,959,000","888,346,000","1,083,710,000","1,102,649,000","844,800,000","745,909,000","900,647,000","879,939,000","755,446,000","673,750,000","781,969,000","729,861,000","607,921,000","537,198,000","618,442,000","580,082,000","430,907,000","361,708,000","471,770,000","436,197,000","345,896,000","312,024,000","523,603,000","580,281,000","455,686,000","388,684,000","541,415,000","543,979,000","376,902,000","317,713,000","448,584,000","490,090,000","384,335,000","333,509,000","526,087,000","543,124,000","442,296,000","358,312,000","538,958,000","510,623,000","422,345,000","345,976,000","467,113,000","447,696,000","377,135,000","313,925,000","431,519,000","428,005,000","362,589,000","299,169,000","424,389,000","431,133,000","362,499,000","294,021,000","414,940,000","396,962,000","342,785,000","270,991,000","370,100,000","388,900,000","324,300,000","237,800,000","330,900,000","359,900,000","274,700,000","210,000,000","280,300,000","293,400,000","249,900,000","224,600,000","297,700,000","299,100,000","317,100,000","278,000,000","282,300,000","291,400,000","285,400,000","254,800,000","241,600,000","258,400,000","180,900,000","145,500,000","142,800,000","166,800,000","111,200,000","107,100,000","106,600,000","121,500,000","85,500,000","70,200,000","58,400,000","124,000,000","65,500,000","49,800,000","73,700,000","121,500,000","63,300,000","37,600,000","72,200,000","97,100,000","48,300,000","25,000,000","54,100,000","63,300,000","31,500,000","22,700,000","11,200,000","11,200,000","11,100,000","11,100,000"
CostOfRevenue,"6,345,400,000","1,560,500,000","1,725,200,000","1,493,900,000","1,565,800,000","1,470,600,000","1,606,300,000","1,420,000,000","1,179,100,000","1,112,300,000","1,312,522,000","1,335,105,000","1,342,867,000","1,143,242,000","1,235,847,000","1,250,145,000","1,117,356,000","973,992,000","1,063,237,000","1,114,764,000","1,014,534,000","911,291,000","905,017,000","924,297,000","846,274,000","735,418,000","795,344,000","1,040,377,000","804,913,000","739,614,000","907,427,000","914,069,000","709,045,000","629,929,000","766,602,000","767,864,000","592,462,000","529,261,000","646,847,000","620,154,000","538,697,000","478,787,000","577,661,000","523,025,000","430,317,000","385,363,000","446,926,000","429,383,000","317,823,000","266,794,000","343,160,000","331,286,000","262,632,000","235,590,000","404,358,000","449,956,000","347,643,000","300,589,000","422,458,000","421,432,000","290,321,000","252,778,000","342,697,000","387,439,000","300,906,000","266,117,000","415,839,000","416,343,000","345,920,000","273,825,000","407,867,000","387,206,000","332,009,000","269,300,000","358,570,000","338,602,000","299,362,000","249,318,000","333,858,000","325,575,000","288,160,000","241,409,000","323,013,000","328,272,000","288,198,000","228,185,000","332,087,000","277,338,000","244,999,000","196,153,000","264,800,000","276,500,000","238,200,000","174,000,000","241,200,000","263,700,000","201,400,000","154,700,000","179,100,000","214,100,000","187,600,000","171,800,000","228,700,000","231,300,000","245,500,000","220,400,000","217,500,000","222,100,000","220,800,000","201,800,000","200,700,000","178,500,000","137,600,000","108,000,000","103,500,000","113,400,000","77,900,000","76,000,000","69,000,000","77,000,000","56,800,000","49,400,000","37,600,000","76,300,000","39,800,000","34,400,000","47,000,000","75,500,000","35,700,000","25,600,000",,,,,,,,,,,,
GrossProfit,"1,858,500,000","396,300,000","445,200,000","465,600,000","551,400,000","480,500,000","550,000,000","534,600,000","332,700,000","292,900,000","423,344,000","436,542,000","436,448,000","352,448,000","391,273,000","401,270,000","385,176,000","323,481,000","367,812,000","363,962,000","350,386,000","242,491,000","312,772,000","260,770,000","284,503,000","247,578,000","310,274,000","415,623,000","319,414,000","293,731,000","367,573,000","388,274,000","304,914,000","258,417,000","317,108,000","334,785,000","252,338,000","216,648,000","253,800,000","259,785,000","216,749,000","194,963,000","204,308,000","206,836,000","177,604,000","151,835,000","171,516,000","150,699,000","113,084,000","94,914,000","128,610,000","104,911,000","83,264,000","76,434,000","119,245,000","130,325,000","108,043,000","88,095,000","118,957,000","122,547,000","86,581,000","64,935,000","105,887,000","102,651,000","83,429,000","67,392,000","110,248,000","126,781,000","96,376,000","84,487,000","131,091,000","123,417,000","90,336,000","76,676,000","108,543,000","109,094,000","77,773,000","64,607,000","97,661,000","102,430,000","74,429,000","57,760,000","101,376,000","102,861,000","74,301,000","65,836,000","82,853,000","119,624,000","97,786,000","74,838,000","105,300,000","112,400,000","86,100,000","63,800,000","89,700,000","96,200,000","73,300,000","55,300,000","101,200,000","79,300,000","62,300,000","52,800,000","69,000,000","67,800,000","71,600,000","57,600,000","64,800,000","69,300,000","64,600,000","53,000,000","40,900,000","79,900,000","43,300,000","37,500,000","39,300,000","53,400,000","33,300,000","31,100,000","37,600,000","44,500,000","28,700,000","20,800,000","20,800,000","47,700,000","25,700,000","15,400,000","26,700,000","46,000,000","27,600,000","12,000,000",,,,,,,,,,,,
OperatingExpense,"1,238,900,000","301,500,000","290,300,000","310,300,000","336,800,000","296,300,000","287,200,000","295,200,000","248,900,000","287,400,000","286,985,000","306,288,000","301,326,000","270,512,000","248,463,000","262,401,000","262,719,000","240,205,000","245,334,000","247,054,000","251,204,000","221,402,000","214,029,000","203,381,000","167,501,000","170,434,000","151,114,000","172,947,000","155,397,000","143,445,000","157,573,000","165,701,000","149,479,000","131,735,000","148,010,000","153,492,000","126,784,000","114,679,000","118,923,000","118,218,000","114,530,000","110,599,000","118,131,000","102,873,000","106,209,000","82,252,000","97,589,000","87,139,000","74,386,000","67,234,000","63,926,000","63,188,000","60,159,000","58,047,000","85,437,000","74,528,000","67,289,000","56,860,000","56,176,000","62,047,000","49,870,000","48,891,000","51,586,000","42,393,000","46,008,000","51,315,000","45,739,000","53,018,000","49,143,000","55,206,000","54,817,000","56,074,000","53,358,000","54,431,000","49,494,000","49,423,000","46,322,000","48,057,000","47,103,000","46,598,000","45,387,000","43,450,000","58,045,000","55,463,000","50,501,000","15,289,000","43,862,000","75,613,000","74,302,000","59,530,000","69,500,000","70,400,000","62,600,000","51,400,000","58,900,000","59,700,000","52,200,000","43,700,000","75,400,000","48,200,000","43,900,000","35,100,000","42,500,000","43,400,000","46,900,000","35,900,000","34,500,000","37,800,000","44,200,000","33,400,000","-500,000","45,500,000","31,700,000","27,600,000","29,300,000","28,500,000","24,200,000","22,100,000","12,000,000","23,400,000","19,900,000","17,100,000","4,000,000","21,300,000","17,700,000","14,700,000","13,500,000","20,800,000","16,400,000","13,900,000",,,,,,,,,,,,
	SellingGeneralAndAdministration,"947,900,000","230,100,000","221,300,000","234,800,000","261,700,000","233,000,000","231,200,000","236,100,000","207,500,000","228,700,000","235,594,000","250,553,000","244,693,000","222,197,000","209,835,000","219,568,000","215,733,000","196,400,000","201,517,000","202,063,000","209,594,000","189,827,000","184,462,000","175,008,000","142,386,000","146,821,000","127,338,000","147,580,000","131,604,000","119,224,000","139,552,000","144,163,000","127,120,000","106,862,000","124,535,000","128,153,000","103,682,000","93,303,000","95,891,000","94,093,000","83,314,000","80,133,000","86,748,000","77,123,000","80,710,000","64,539,000","72,156,000","64,882,000","55,874,000","48,496,000","48,054,000","47,883,000","44,937,000","41,447,000","49,887,000","59,366,000","52,296,000","45,093,000","46,997,000","52,655,000","46,064,000","42,966,000","44,740,000","38,746,000","36,844,000","44,144,000","40,767,000","45,515,000","39,793,000","47,525,000","47,359,000","48,209,000","44,111,000","48,077,000","42,124,000","43,064,000","38,820,000","41,115,000","38,143,000","39,270,000","37,062,000","33,964,000","47,384,000","46,953,000","42,442,000","42,069,000","22,977,000","55,742,000","53,909,000","41,322,000","51,200,000","52,200,000","43,200,000","36,800,000","21,600,000","50,000,000","43,100,000","35,200,000","67,400,000","40,300,000","35,500,000","26,200,000","34,500,000","36,200,000","38,500,000","28,900,000","29,900,000","31,700,000","37,700,000","27,100,000","-4,800,000","39,000,000","25,400,000","21,400,000","17,800,000","23,700,000","19,200,000","16,800,000","7,800,000","19,100,000","15,500,000","13,100,000","800,000","17,500,000","13,900,000","11,700,000","10,800,000","17,500,000","13,100,000","10,600,000",,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"365,800,000","86,900,000","79,800,000","91,600,000","107,500,000","87,100,000","92,200,000","100,600,000","87,900,000","78,500,000","96,108,000","100,794,000","104,090,000","92,938,000","87,557,000","90,639,000","92,874,000","78,693,000","85,198,000","79,421,000","91,063,000","75,514,000","87,039,000","85,257,000","64,566,000","69,580,000","51,179,000","56,411,000","51,948,000","49,539,000","52,418,000","56,596,000","52,942,000","41,292,000","49,810,000","49,343,000","41,444,000","38,810,000","38,423,000","36,882,000","32,759,000","35,000,000","37,763,000","28,049,000","37,257,000","27,326,000","32,183,000","26,764,000","21,710,000","18,398,000","20,285,000","20,545,000","16,235,000","14,119,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"365,800,000","86,900,000","79,800,000","91,600,000","107,500,000","87,100,000","92,200,000","100,600,000","87,900,000","78,500,000","96,108,000","100,794,000","104,090,000","92,938,000","87,557,000","90,639,000","92,874,000","78,693,000","85,198,000","79,421,000","91,063,000","75,514,000","87,039,000","85,257,000","64,566,000","69,580,000","51,179,000","56,411,000","51,948,000","49,539,000","52,418,000","56,596,000","52,942,000","41,292,000","49,810,000","49,343,000","41,444,000","38,810,000","38,423,000","36,882,000","32,759,000","35,000,000","37,763,000","28,049,000","37,257,000","27,326,000","32,183,000","26,764,000","21,710,000","18,398,000","20,285,000","20,545,000","16,235,000","14,119,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"582,100,000","143,200,000","141,500,000","143,200,000","154,200,000","145,900,000","139,000,000","135,500,000","119,600,000","150,200,000","139,486,000","149,759,000","140,603,000","129,259,000","122,278,000","128,929,000","122,859,000","117,707,000","116,319,000","122,642,000","118,531,000","114,313,000","97,423,000","89,751,000","77,820,000","77,241,000","76,159,000","91,169,000","79,656,000","69,685,000","87,134,000","87,567,000","74,178,000","65,570,000","74,725,000","78,810,000","62,238,000","54,493,000","57,468,000","57,211,000","50,555,000","45,133,000","48,985,000","49,074,000","43,453,000","37,213,000","39,973,000","38,118,000","34,164,000","30,098,000","27,769,000","27,338,000","28,702,000","27,328,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"340,000,000","82,800,000","81,600,000","86,800,000","88,800,000","79,500,000","73,200,000","77,200,000","66,800,000","78,400,000","72,099,000","77,337,000","76,379,000","67,120,000","61,941,000","64,181,000","68,330,000","65,230,000","62,412,000","63,129,000","60,753,000","52,005,000","48,870,000","47,568,000","45,579,000","43,109,000","41,734,000","44,432,000","41,431,000","38,863,000","37,375,000","38,586,000","36,984,000","35,513,000","36,129,000","37,010,000","34,604,000","31,450,000","33,327,000","32,352,000","31,216,000","30,466,000","31,383,000","25,750,000","25,499,000","22,999,000","25,433,000","22,257,000","18,512,000","18,738,000","15,872,000","15,305,000","15,222,000","16,600,000","18,341,000","19,638,000","20,236,000","19,257,000","18,829,000","18,500,000","17,707,000","18,551,000","20,339,000","16,343,000","20,710,000","16,497,000","16,661,000","17,706,000","17,556,000","16,223,000","16,676,000","15,294,000","16,499,000","14,490,000","14,742,000","13,636,000","12,067,000","11,315,000","13,491,000","11,210,000","11,363,000","9,486,000","10,661,000","8,510,000","8,059,000","8,478,000","8,331,000","7,964,000","8,101,000","7,964,000","8,600,000","7,100,000","8,200,000","7,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
