name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalRevenue,"1,573,710,000","347,833,000","379,215,000","365,147,000","481,515,000","469,923,000","422,827,000","346,887,000","342,753,000","334,823,000","319,606,000","302,410,000","-28,640,000","422,875,000","421,857,000","401,546,000","433,956,000","425,338,000","411,398,000","390,564,000","403,098,000","379,803,000","358,500,000","313,272,000","301,421,000","298,669,000","291,669,000","270,835,000","266,553,000","261,723,000","249,445,000","229,308,000","235,466,000","225,598,000","208,909,000","240,576,000","240,601,000","223,698,000","206,425,000","198,566,000"
	OperatingRevenue,"1,573,710,000","347,833,000","379,215,000","365,147,000","481,515,000","469,923,000","422,827,000","346,887,000","342,753,000","334,823,000","319,606,000","302,410,000","-28,640,000","422,875,000","421,857,000","401,546,000","433,956,000","425,338,000","411,398,000","390,564,000","403,098,000","379,803,000","358,500,000","313,272,000","301,421,000","298,669,000","291,669,000","270,835,000","266,553,000","261,723,000","249,445,000","229,308,000","235,466,000","225,598,000","208,909,000","240,576,000","240,601,000","223,698,000","206,425,000","198,566,000"
CostOfRevenue,"692,922,000","135,356,000","142,715,000","153,171,000","261,680,000","258,116,000","211,844,000","152,178,000","138,411,000","103,128,000","100,241,000","91,011,000","-236,069,000","203,983,000","198,723,000","188,993,000","202,841,000","203,548,000","200,527,000","191,376,000","188,283,000","177,248,000","176,014,000","138,503,000","123,243,000","112,093,000","112,597,000","109,123,000","109,542,000","102,815,000","94,532,000","90,021,000","86,238,000","81,124,000","72,737,000","67,526,000","63,412,000","61,593,000","58,176,000","54,232,000"
GrossProfit,"880,788,000","212,477,000","236,500,000","211,976,000","219,835,000","211,807,000","210,983,000","194,709,000","204,342,000","231,695,000","219,365,000","211,399,000","207,429,000","218,892,000","223,134,000","212,553,000","231,115,000","221,790,000","210,871,000","199,188,000","214,815,000","202,555,000","182,486,000","174,769,000","178,178,000","186,576,000","179,072,000","161,712,000","157,011,000","158,908,000","154,913,000","139,287,000","149,228,000","144,474,000","136,172,000","173,050,000","177,189,000","162,105,000","148,249,000","144,334,000"
OperatingExpense,"609,973,000","155,653,000","158,536,000","139,697,000","156,087,000","145,617,000","140,979,000","137,734,000","137,114,000","129,883,000","98,832,000","127,352,000","116,311,000","133,032,000","124,303,000","119,848,000","125,859,000","123,180,000","-54,413,000","128,708,000","123,304,000","123,503,000","107,845,000","102,253,000","125,352,000","111,818,000","108,979,000","93,441,000","91,690,000","89,997,000","89,248,000","73,142,000","86,904,000","74,949,000","74,923,000","63,771,000","73,124,000","62,139,000","64,192,000","59,755,000"
	SellingGeneralAndAdministration,"562,203,000","143,676,000","146,840,000","127,814,000","143,873,000","134,502,000","129,997,000","123,954,000","144,548,000","115,289,000","86,093,000","113,929,000","104,500,000","118,503,000","110,112,000","105,870,000","111,691,000","109,007,000","108,620,000","114,321,000","108,638,000","108,668,000","95,927,000","92,238,000","115,491,000","101,898,000","99,284,000","86,938,000","88,600,000","86,847,000","85,391,000","71,166,000","85,325,000","73,327,000","73,126,000","62,318,000","71,168,000","59,965,000","61,436,000","55,732,000"
	ResearchAndDevelopment,"3,991,000","826,000","846,000","994,000","1,325,000","715,000","722,000","576,000","568,000","628,000","801,000","379,000","296,000","296,000","292,000","340,000","318,000","292,000","324,000","489,000","779,000","755,000","767,000","806,000","865,000","1,180,000","424,000","456,000","552,000","596,000","716,000","1,073,000","675,000","820,000","1,042,000","852,000","1,571,000","1,789,000","2,372,000","3,638,000"
	DepreciationAmortizationDepletionIncomeStatement,"43,779,000","11,151,000","10,850,000","10,889,000","10,889,000","10,400,000","10,260,000","13,204,000","16,582,000","13,966,000","11,938,000","13,044,000","11,515,000","14,233,000","13,899,000","13,638,000","13,850,000","13,881,000","13,817,000","13,898,000","13,887,000","14,080,000","11,151,000","9,209,000","8,996,000","8,740,000","9,271,000","6,047,000","2,538,000","2,554,000","3,141,000","903,000","904,000","802,000","755,000","601,000","385,000","385,000","384,000","385,000"
		DepreciationAndAmortizationInIncomeStatement,"43,779,000","11,151,000","10,850,000","10,889,000","10,889,000","10,400,000","10,260,000","13,204,000","16,582,000","13,966,000","11,938,000","13,044,000","11,515,000","14,233,000","13,899,000","13,638,000","13,850,000","13,881,000","13,817,000","13,898,000","13,887,000","14,080,000","11,151,000","9,209,000","8,996,000","8,740,000","9,271,000","6,047,000","2,538,000","2,554,000","3,141,000","903,000","904,000","802,000","755,000","601,000","385,000","385,000","384,000","385,000"
			Amortization,"43,779,000","11,151,000","10,850,000","10,889,000","10,889,000","10,400,000","10,260,000","13,204,000","16,582,000","13,966,000","11,938,000","13,044,000","11,515,000","14,233,000","13,899,000","13,638,000","13,850,000","13,881,000","13,817,000","13,898,000","13,887,000","14,080,000","11,151,000","9,209,000","8,996,000","8,740,000","9,271,000","6,047,000","2,538,000","2,554,000","3,141,000","903,000","904,000","802,000","755,000","601,000","385,000","385,000","384,000","385,000"
				AmortizationOfIntangiblesIncomeStatement,"43,779,000","11,151,000","10,850,000","10,889,000","10,889,000","10,400,000","10,260,000","13,204,000","16,582,000","13,966,000","11,938,000","13,044,000","11,515,000","14,233,000","13,899,000","13,638,000","13,850,000","13,881,000","13,817,000","13,898,000","13,887,000","14,080,000","11,151,000","9,209,000","8,996,000","8,740,000","9,271,000","6,047,000","2,538,000","2,554,000","3,141,000","903,000","904,000","802,000","755,000","601,000","385,000","385,000","384,000","385,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,"0",,"-177,174,000",,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"270,815,000","56,824,000","77,964,000","72,279,000","63,748,000","66,190,000","70,004,000","56,975,000","67,228,000","101,812,000","120,533,000","84,047,000","91,118,000","85,860,000","98,831,000","92,705,000","105,256,000","98,610,000","265,284,000","70,480,000","91,511,000","79,052,000","74,641,000","72,516,000","52,826,000","74,758,000","70,093,000","68,271,000","65,321,000","68,911,000","65,665,000","66,145,000","62,324,000","69,525,000","61,249,000","109,279,000","104,065,000","99,966,000","84,057,000","84,579,000"
NetNonOperatingInterestIncomeExpense,"-11,687,000","-2,804,000","-2,873,000","-2,788,000","-3,222,000","-3,225,000","-3,398,000","-2,119,000","-1,464,000","-9,966,000","-359,000","476,000","157,000","-1,081,000","-859,000","-688,000","-1,061,000","-1,236,000","-1,508,000","-1,495,000","-1,486,000","-2,017,000","-857,000","-152,000","-40,000","-285,000","-937,000","241,000","349,000","204,000","122,000","191,000","378,000","400,000","21,000","220,000","366,000","281,000","94,000","224,000"
