name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996
TotalAssets,"1,166,203,000","1,255,146,000","1,139,945,000","1,077,416,000","1,076,775,000","1,125,954,000","1,038,711,000","1,058,862,000","909,113,000","952,608,000","914,266,000","874,813,000","786,198,000","798,189,000","775,196,000","760,399,000","758,704,000","764,653,000","738,996,000","755,184,000","741,720,000","736,678,000","680,894,000","639,099,000","616,680,000","630,434,000","590,487,000","580,385,000","571,546,000","591,365,000","564,446,000","530,486,000","553,845,000","506,777,000","465,301,000","494,492,000","437,872,000","499,873,000","440,794,000","446,830,000","433,688,000","414,417,000","378,062,000","394,794,000","389,576,000","402,433,000","390,804,000","386,234,000","405,631,000","376,991,000","364,460,000","369,961,000","363,872,000","372,764,000","390,389,000","392,465,000","379,748,000","390,167,000","414,235,000","451,218,000","418,130,000","442,497,000","444,088,000","418,372,000","373,945,351","382,856,896","386,246,329","364,357,362","360,740,449","354,333,529","354,438,911","299,645,997","294,202,090","296,584,567","294,342,639","279,614,798","278,940,686","273,449,778","283,828,378","293,080,327","278,995,554","306,725,409","297,631,595","302,971,840","310,867,476","335,546,092","341,868,685","345,936,898","345,334,748","319,900,000","322,200,000","196,500,000","154,400,000","137,700,000","129,800,000","98,900,000","83,200,000","54,900,000","57,300,000","51,800,000","43,100,000","46,700,000","38,600,000","27,500,000"
	CurrentAssets,"897,482,000","960,551,000","829,566,000","774,198,000","777,594,000","826,652,000","768,029,000","806,832,000","649,798,000","690,007,000","641,559,000","626,232,000","560,103,000","613,162,000","577,790,000","571,595,000","568,124,000","569,218,000","555,345,000","605,516,000","597,324,000","588,794,000","545,999,000","506,619,000","477,976,000","473,833,000","454,160,000","448,030,000","444,277,000","446,155,000","420,390,000","387,876,000","425,259,000","350,039,000","318,413,000","346,426,000","292,644,000","310,927,000","274,180,000","286,997,000","263,624,000","247,739,000","214,640,000","214,809,000","212,432,000","221,618,000","206,303,000","204,352,000","205,136,000","204,996,000","195,533,000","206,390,000","202,893,000","195,947,000","200,385,000","189,067,000","178,047,000","182,950,000","189,672,000","205,694,000","157,430,000","183,439,000","173,251,000","164,741,000","126,379,031","141,242,836","141,484,261","131,979,836","134,638,739","131,844,550","120,277,352","82,920,661","77,295,385","75,731,973","78,318,243","76,197,577","67,595,197","79,567,280","92,567,502","89,483,102","70,789,636","83,524,674","79,032,440","77,806,478","86,741,071","85,850,262","88,127,943","82,560,231","85,811,762","82,000,000","90,900,000","75,600,000","53,300,000","43,500,000","36,900,000","39,800,000","40,200,000","22,300,000","26,900,000","21,400,000","13,600,000","13,300,000","9,600,000","3,600,000"
		CashCashEquivalentsAndShortTermInvestments,"155,378,000","105,566,000","56,950,000","93,840,000","129,562,000","86,463,000","161,081,000","144,382,000","86,231,000","59,555,000","55,832,000","35,604,000","79,816,000","84,334,000","75,647,000","57,480,000","118,198,000","76,105,000","60,185,000","98,244,000","109,760,000","69,677,000","48,035,000","78,807,000","94,766,000","66,567,000","62,842,000","88,781,000","76,175,000","51,522,000","62,941,000","69,437,000","82,723,000","40,498,000","53,696,000","72,731,000","53,702,000","43,381,000","45,905,000","59,051,000","41,174,000","54,055,000","45,406,000","61,555,000","75,756,000","59,001,000","68,287,000","79,334,000","85,077,000","82,081,000","88,343,000","103,323,000","107,788,000","86,551,000","75,176,000","61,848,000","58,423,000","65,590,000","52,396,000","47,597,000","39,680,000","20,946,000","23,681,000","22,616,000","20,697,373","17,416,397","15,874,871","22,233,273","38,851,714","18,686,971","14,107,771","8,755,529","25,155,011","26,846,432","22,709,303","23,160,246","27,784,090","16,544,207","24,365,042","32,260,183","28,223,503","42,677,033","33,254,082","34,677,637","24,534,183","26,036,569","10,101,083","10,787,803","21,909,784","11,700,000","13,700,000","5,900,000","7,900,000","7,400,000","5,200,000","6,700,000","18,700,000","7,600,000","7,800,000","3,800,000","6,000,000","5,300,000","2,800,000","400,000"
			CashAndCashEquivalents,"155,378,000","105,566,000","56,950,000","93,840,000","129,562,000","86,463,000","161,081,000","144,382,000","86,231,000","59,555,000","55,832,000","35,604,000","79,816,000","84,334,000","75,647,000","57,480,000","118,198,000","76,105,000","60,185,000","98,244,000","109,760,000","69,677,000","48,035,000","78,807,000","94,766,000","66,567,000","62,842,000","88,781,000","76,175,000","51,522,000","62,941,000","66,852,000","80,179,000","40,498,000","53,696,000","72,731,000","52,720,000","42,153,000","43,935,000","55,359,000","33,778,000","54,055,000","45,406,000","61,555,000","75,756,000","59,001,000","68,287,000","79,334,000","85,077,000","82,081,000","88,343,000","103,323,000","107,788,000","86,551,000","75,176,000","61,848,000","58,423,000","65,590,000","52,396,000","47,597,000","39,680,000","20,946,000","23,681,000","22,616,000","20,697,373","17,416,397","15,874,871","22,233,273","38,851,714","18,686,971","14,107,771","8,755,529","25,155,011","26,846,432","22,709,303","23,160,246","27,784,090","16,544,207","24,365,042","32,260,183","28,223,503","42,677,033","33,254,082","34,677,637","24,534,183","26,036,569","10,101,083","10,787,803","21,909,784","11,700,000","13,700,000","5,900,000","7,900,000","7,400,000","5,200,000","6,700,000","18,700,000","7,600,000","7,800,000","3,800,000","6,000,000","5,300,000","2,800,000","400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","2,585,000","2,544,000","0","0","0","982,000","1,228,000","1,970,000","3,692,000","7,396,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"540,545,000","659,630,000","594,736,000","562,485,000","538,892,000","621,432,000","502,635,000","542,240,000","481,737,000","540,157,000","502,437,000","506,531,000","404,994,000","452,963,000","418,610,000","429,280,000","366,624,000","391,108,000","392,930,000","363,708,000","342,672,000","397,588,000","405,975,000","369,564,000","332,847,000","362,927,000","355,097,000","302,734,000","316,712,000","343,102,000","303,584,000","265,420,000","301,351,000","285,256,000","244,515,000","245,994,000","224,147,000","243,680,000","212,492,000","203,949,000","198,936,000","177,742,000","156,616,000","136,662,000","127,614,000","140,962,000","126,569,000","111,570,000","110,743,000","111,309,000","95,445,000","89,266,000","85,366,000","102,679,000","115,611,000","118,578,000","110,432,000","108,643,000","128,228,000","146,716,000","110,899,000","151,133,000","139,267,000","130,100,000","103,389,392","120,154,526","121,704,465","106,780,210","93,670,170","109,397,413","100,304,868","70,574,369","51,240,626","47,423,361","53,507,217","51,414,442","38,437,939","61,648,493","65,885,782","55,752,466","41,625,234","39,781,930","45,030,897","41,149,242","59,489,719","56,931,330","74,861,209","68,576,575","61,361,860","68,500,000","70,300,000","68,200,000","44,700,000","35,100,000","25,500,000","31,200,000","20,200,000","13,000,000","17,400,000","16,400,000","7,400,000","4,900,000","5,800,000","3,000,000"
			AccountsReceivable,"430,380,000","520,629,000","457,308,000","465,424,000","391,567,000","460,385,000","369,037,000","393,044,000","374,998,000","413,741,000","355,178,000","366,163,000","299,899,000","324,695,000","292,045,000","321,033,000","270,156,000","285,820,000","293,098,000","276,671,000","266,029,000","297,460,000","292,486,000","258,829,000","234,628,000","258,553,000","259,089,000","188,407,000","218,458,000","247,040,000","205,852,000","178,506,000","211,314,000","214,123,000","160,008,000","197,168,000","192,254,000","221,917,000","194,344,000","189,666,000","174,599,000","171,665,000","151,699,000","120,080,000","121,771,000","139,982,000","124,352,000","106,033,000","108,752,000","108,332,000","93,317,000","85,253,000","82,734,000","99,672,000","113,359,000","112,047,000","109,706,000","108,457,000","126,665,000","146,500,000","110,662,000","150,868,000","138,974,000","129,779,000","103,059,617","120,003,176","121,617,829","106,434,210","93,555,462","109,253,611","99,211,485","70,488,274","51,188,640","47,345,276","53,436,722","51,306,987","38,384,841","61,492,671","65,703,339","55,492,421","41,397,320","39,683,480","44,464,413","40,481,997","57,627,231",,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,252,000","6,531,000","726,000","186,000","1,563,000","216,000","237,000","265,000","293,000","321,000","329,775","151,350","86,636","346,000","114,708","143,802","1,093,383","86,095","51,986","78,085","70,495",,"53,098","155,822","112,182","197,432","227,914","98,450","124,211","667,245","1,862,488",,,,,,,,,,,,,,,,,,,
			NotesReceivable,"45,415,000","78,426,000","55,928,000","39,452,000","73,175,000","74,585,000","52,397,000","79,262,000","31,181,000","89,229,000","59,603,000","48,383,000","63,767,000","53,150,000","52,409,000","34,408,000","39,993,000","33,109,000","27,238,000","33,586,000","23,780,000","32,269,000","32,203,000","37,454,000","24,962,000","29,733,000","30,811,000","48,624,000","33,484,000","29,674,000","27,043,000","25,118,000","22,109,000","43,312,000","49,110,000","48,826,000","31,893,000","21,763,000","18,148,000","14,283,000","24,337,000","6,077,000","4,917,000","16,582,000","5,843,000","980,000","2,217,000","5,537,000","1,991,000","2,977,000","2,128,000","4,013,000","2,632,000","3,007,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"64,750,000","60,575,000","81,500,000","57,609,000","74,150,000","86,462,000","81,201,000","69,934,000","75,558,000","126,416,000","87,656,000","91,985,000","105,095,000","75,118,000","74,156,000","73,839,000","56,475,000","72,179,000","72,594,000","53,451,000","52,863,000","67,859,000","81,286,000","73,281,000","73,257,000","74,641,000","65,197,000","65,703,000","64,770,000","66,388,000","70,689,000","61,796,000","67,928,000","27,821,000","35,397,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,455",,,"70,261","62,613",,,"442,273",,,,,,,,,,,,,,,,,,,,,
