name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"2,990,048,000","2,709,646,000","2,461,893,000","2,321,437,000","2,236,803,000","2,272,058,000","2,289,848,000","2,288,524,000","2,095,198,000","2,110,104,000","2,000,883,000","2,016,231,000","2,000,851,000","1,969,683,000","1,932,642,000","1,894,629,000","1,909,974,000","1,916,207,000","1,976,182,000","1,868,632,000","1,804,347,000","1,756,179,000","1,765,819,000","1,760,950,000","1,683,524,000","1,652,040,000","1,702,388,000","1,692,239,000","1,656,149,000","1,562,942,000","1,609,026,000","1,588,315,000","1,494,742,000","1,473,414,000","1,447,684,000","1,444,960,000","1,461,076,000","1,393,649,000","1,408,199,000","1,410,911,000","1,379,347,000","1,291,689,000","1,304,525,000","1,312,532,000","1,207,015,000","1,290,108,000","1,290,379,000","1,219,920,000","1,180,183,000","1,098,991,000","1,022,672,000","976,676,000","984,690,000","1,004,241,000","992,230,000","1,009,819,000","900,811,000","963,290,000","916,516,000","837,202,000","807,868,000","793,560,000","801,462,000","775,038,000","687,123,000","628,588,000","600,468,000","563,681,000","557,241,000","579,297,000","545,708,000","573,552,000","610,042,000","569,426,000","553,054,000","537,277,000","542,102,000","550,257,000","583,945,000","574,044,000","581,806,000","593,637,000","602,525,000","597,927,000","598,207,000","587,679,000","515,608,000","393,254,000","268,001,000","234,412,000","229,636,000","177,033,000","159,835,000","151,490,000","143,665,000","134,616,000","128,849,000","119,820,000","121,817,000","122,225,000","127,116,000","122,068,000","107,374,000","106,356,000","115,475,000","111,374,000","115,100,000","119,000,000","113,600,000","110,100,000","122,000,000","107,800,000","106,200,000","95,100,000","73,500,000","68,100,000","65,800,000","62,700,000","62,100,000","58,300,000","54,200,000","54,500,000","52,700,000","49,000,000","43,400,000","36,500,000","33,300,000","27,500,000","21,600,000","16,900,000"
	CurrentAssets,"2,434,973,000","2,161,479,000","1,930,886,000","1,811,740,000","1,727,335,000","1,758,346,000","1,779,159,000","1,787,787,000","1,594,732,000","1,593,389,000","1,538,291,000","1,557,701,000","1,549,463,000","1,533,841,000","1,517,161,000","1,499,717,000","1,537,556,000","1,550,883,000","1,617,455,000","1,520,809,000","1,480,312,000","1,430,387,000","1,433,347,000","1,419,867,000","1,336,096,000","1,298,241,000","1,344,725,000","1,325,616,000","1,288,839,000","1,193,326,000","1,230,839,000","1,208,035,000","1,116,529,000","1,093,010,000","1,079,022,000","1,084,834,000","1,120,558,000","1,066,888,000","1,096,537,000","1,108,760,000","1,077,137,000","999,313,000","1,008,570,000","1,036,002,000","943,641,000","1,027,657,000","1,025,991,000","966,810,000","935,607,000","866,247,000","798,434,000","758,056,000","766,728,000","778,229,000","786,969,000","812,216,000","705,818,000","776,839,000","734,155,000","660,755,000","634,132,000","621,868,000","645,449,000","627,020,000","540,689,000","484,243,000","461,990,000","427,027,000","390,234,000","406,326,000","374,447,000","383,390,000","419,126,000","372,855,000","358,383,000","343,165,000","338,184,000","340,816,000","341,811,000","329,318,000","333,604,000","371,770,000","378,809,000","397,033,000","428,568,000","425,485,000","374,899,000","301,800,000","223,517,000","193,966,000","191,397,000","150,798,000","135,410,000","127,903,000","121,251,000","112,496,000","107,163,000","97,772,000","102,786,000","104,862,000","112,581,000","109,020,000","94,749,000","94,970,000","104,031,000","99,463,000","102,900,000","106,400,000","100,900,000","97,200,000","108,800,000","85,400,000","84,000,000","74,900,000","55,700,000","53,200,000","52,500,000","49,800,000","48,900,000","45,300,000","40,900,000","41,300,000","40,600,000","36,900,000","31,200,000","25,200,000","20,600,000","14,100,000","8,400,000","6,600,000"
		CashCashEquivalentsAndShortTermInvestments,"307,964,000","217,067,000","270,172,000","303,255,000","294,370,000","356,724,000","385,807,000","296,545,000","225,830,000","252,914,000","223,761,000","198,395,000","184,028,000","188,799,000","297,269,000","332,723,000","402,470,000","506,694,000","568,860,000","519,172,000","524,520,000","496,505,000","432,964,000","433,679,000","409,796,000","354,728,000","357,106,000","354,830,000","356,296,000","239,685,000","346,591,000","330,314,000","323,695,000","324,156,000","341,865,000","285,604,000","276,507,000","274,183,000","297,619,000","277,909,000","257,754,000","248,284,000","242,107,000","208,729,000","123,381,000","149,498,000","188,244,000","190,203,000","234,028,000","233,931,000","258,382,000","215,493,000","201,330,000","178,391,000","165,970,000","206,499,000","144,165,000","213,047,000","209,109,000","190,206,000","177,706,000","177,872,000","194,912,000","169,750,000","149,673,000","119,667,000","108,727,000","70,225,000","36,119,000","43,614,000","44,929,000","55,782,000","59,465,000","59,665,000","78,694,000","101,021,000","112,814,000","103,066,000","116,372,000","103,323,000","51,596,000","133,635,000","105,366,000","49,769,000","78,438,000","77,426,000","5,293,000","8,722,000","30,255,000","28,205,000","33,130,000","33,898,000","33,181,000","28,488,000","23,195,000","14,640,000","10,756,000","3,757,000","3,655,000","3,149,000","689,000","3,808,000","1,847,000","2,429,000","3,144,000","1,408,000","3,600,000",,"1,100,000","2,500,000","1,100,000","1,400,000","1,800,000","800,000","200,000","600,000","900,000","900,000","500,000","300,000","500,000","300,000","700,000","300,000","1,300,000","800,000","400,000","200,000","300,000","100,000"
			CashAndCashEquivalents,"307,964,000","217,067,000","270,172,000","303,255,000","294,370,000","356,724,000","385,807,000","296,545,000","225,830,000","252,914,000","223,761,000","198,395,000","184,028,000","188,799,000","297,269,000","332,723,000","402,470,000","506,694,000","568,860,000","519,172,000","524,520,000","496,505,000","432,964,000","433,679,000","409,796,000","354,728,000","357,106,000","354,830,000","356,296,000","239,685,000","346,591,000","330,314,000","323,695,000","324,156,000","341,865,000","285,604,000","276,507,000","274,183,000","297,619,000","277,909,000","257,754,000","248,284,000","242,107,000","208,729,000","123,381,000","149,498,000","188,244,000","190,203,000","234,028,000","233,931,000","258,382,000","215,493,000","201,330,000","178,391,000","165,970,000","206,499,000","144,165,000","158,547,000","154,109,000","145,206,000","132,706,000","132,872,000","164,912,000","139,750,000","124,673,000","109,667,000","98,727,000","64,225,000","36,119,000","43,614,000","40,924,000","55,703,000","51,386,000","41,176,000","58,993,000","75,602,000","79,503,000","63,067,000","63,347,000","51,119,000","20,436,000","133,160,000","84,591,000","33,693,000","42,213,000","76,951,000","5,293,000","5,671,000","25,250,000","25,678,000","15,906,000","33,898,000","33,181,000","28,488,000","23,195,000","14,640,000","10,756,000","3,757,000","3,655,000","3,149,000","689,000","3,808,000","1,847,000","2,429,000","3,144,000","1,408,000","3,600,000",,"1,100,000","2,500,000","1,100,000","1,400,000","1,800,000","800,000","200,000","600,000","900,000","900,000","500,000","300,000","500,000","300,000","700,000","300,000","1,300,000","800,000","400,000","200,000","300,000","100,000"
				CashFinancial,,,"173,018,000",,,,"121,320,000",,,,"85,688,000",,,,"99,197,000",,,,"264,222,000",,,,"175,396,000",,,,"179,339,000",,,,"150,512,000",,,,"157,988,000",,,,"124,648,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,"97,154,000",,,,"264,487,000",,,,"138,073,000",,,,"198,072,000",,,,"304,638,000",,,,"257,568,000",,,,"177,767,000",,,,"196,079,000",,,,"183,877,000",,,,"172,971,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,500,000","55,000,000","45,000,000","45,000,000","45,000,000","30,000,000","30,000,000","25,000,000","10,000,000","10,000,000","6,000,000",,,"4,005,000","79,000","8,079,000","18,489,000","19,701,000","25,419,000","33,311,000","39,999,000","53,025,000","52,204,000","31,160,000","475,000","20,775,000","16,076,000","36,225,000","475,000",,"3,051,000","5,005,000","2,527,000","17,224,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"687,172,000","694,703,000","634,967,000","583,374,000","625,016,000","597,897,000","596,032,000","635,765,000","574,089,000","568,745,000","579,125,000","564,512,000","531,856,000","511,262,000","394,827,000","379,136,000","400,262,000","334,776,000","365,513,000","318,168,000","320,495,000","343,661,000","416,888,000","375,240,000","325,392,000","360,220,000","384,680,000","349,922,000","342,163,000","378,851,000","324,072,000","328,170,000","301,374,000","300,275,000","305,350,000","335,118,000","335,279,000","290,458,000","323,210,000","312,510,000","295,230,000","264,287,000","284,019,000","301,213,000","279,534,000","318,533,000","311,205,000","274,663,000","242,317,000","233,904,000","193,222,000","205,440,000","200,665,000","225,746,000","253,496,000","241,099,000","228,813,000","249,064,000","230,826,000","199,131,000","194,442,000","190,476,000","209,737,000","218,128,000","176,259,000","174,844,000","167,345,000","170,877,000","171,458,000","153,499,000","148,301,000","138,393,000","137,246,000","117,906,000","111,125,000","81,107,000","80,909,000","90,905,000","95,903,000","89,788,000","120,432,000","87,692,000","114,055,000","127,142,000","131,785,000","110,468,000","140,048,000","110,932,000","74,963,000","73,434,000","69,318,000","50,341,000","51,393,000","47,243,000","48,433,000","47,917,000","45,542,000","41,889,000","47,648,000","43,107,000","50,121,000","40,706,000","35,312,000","34,908,000","36,137,000","38,294,000","47,600,000","42,800,000","38,100,000","35,200,000","43,700,000","29,100,000","27,200,000","21,300,000","18,700,000","18,200,000","20,100,000","17,800,000","17,800,000","17,300,000","14,800,000","13,400,000","12,600,000","12,000,000","9,600,000","7,100,000","5,600,000","4,900,000","2,100,000","3,000,000"
			AccountsReceivable,"571,085,000","589,253,000","519,684,000","469,352,000","508,576,000","484,672,000","482,086,000","519,323,000","462,812,000","461,705,000","488,284,000","459,311,000","445,053,000","428,487,000","394,827,000","379,136,000","400,262,000","334,776,000","365,513,000","318,168,000","320,495,000","343,661,000","416,888,000","375,240,000","325,392,000","360,220,000","384,680,000","349,922,000","342,163,000","378,851,000","324,072,000","328,170,000","301,374,000","300,275,000","305,350,000","335,118,000","335,279,000","290,458,000","323,210,000","312,510,000","295,230,000","264,287,000","284,019,000","301,213,000","279,534,000","318,533,000","311,205,000","274,663,000","242,317,000","233,904,000","193,222,000","205,440,000","200,665,000","225,746,000","253,496,000","241,099,000","228,813,000","249,064,000","230,826,000","199,131,000","194,442,000","190,476,000","209,737,000","218,128,000","176,259,000","174,844,000","167,345,000","170,877,000","171,458,000","153,499,000","148,301,000","138,393,000","137,246,000","117,906,000","111,125,000","81,107,000","80,909,000","90,905,000","95,903,000","89,788,000","120,432,000","87,692,000","114,055,000","127,142,000","131,785,000","110,468,000","140,048,000","110,932,000","74,963,000","73,434,000","69,318,000","50,341,000","51,393,000","47,243,000","48,433,000","47,917,000","45,542,000","41,889,000","47,648,000","43,107,000","50,121,000","40,706,000","35,312,000","34,908,000","36,137,000","38,294,000",,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"572,843,000","591,006,000","520,872,000","470,975,000","510,251,000","486,479,000","485,683,000","523,710,000","467,454,000","462,899,000","489,821,000","460,481,000","446,304,000","429,581,000","395,712,000","379,958,000","401,291,000","335,825,000","366,493,000","319,969,000","322,447,000","346,178,000","419,256,000","376,440,000","326,371,000","361,189,000","385,559,000","350,816,000","343,415,000","379,815,000","325,260,000","329,407,000","302,517,000","301,479,000","306,358,000","336,274,000","336,435,000","291,783,000","324,221,000","313,528,000","297,505,000","267,502,000","287,275,000","303,566,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,758,000","-1,753,000","-1,188,000","-1,623,000","-1,675,000","-1,807,000","-3,597,000","-4,387,000","-4,642,000","-1,194,000","-1,537,000","-1,170,000","-1,251,000","-1,094,000","-885,000","-822,000","-1,029,000","-1,049,000","-980,000","-1,801,000","-1,952,000","-2,517,000","-2,368,000","-1,200,000","-979,000","-969,000","-879,000","-894,000","-1,252,000","-964,000","-1,188,000","-1,237,000","-1,143,000","-1,204,000","-1,008,000","-1,156,000","-1,156,000","-1,325,000","-1,011,000","-1,018,000","-2,275,000","-3,215,000","-3,256,000","-2,353,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"116,087,000","105,450,000","115,283,000","114,022,000","116,440,000","113,225,000","113,946,000","116,442,000","111,277,000","107,040,000","90,841,000","105,201,000","86,803,000","82,775,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
