name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
OperatingCashFlow,"-51,665,000","-17,998,000","-12,028,000","-12,398,000","-9,241,000","-12,904,000","-10,312,000","-7,393,000","-6,896,000","-8,138,000","-5,127,000","-5,727,000"
	CashFlowFromContinuingOperatingActivities,"-51,665,000","-17,998,000","-12,028,000","-12,398,000","-9,241,000","-12,904,000","-10,312,000","-7,393,000","-6,896,000","-8,138,000","-5,127,000","-5,727,000"
		NetIncomeFromContinuingOperations,"-64,677,000","-18,433,000","-18,359,000","-15,011,000","-12,874,000","-11,602,000","-10,454,000","-8,765,000","-7,966,000","-7,255,000","-7,047,000","-6,176,000"
		DepreciationAmortizationDepletion,"312,000","84,000","77,000","80,000","71,000","79,000","61,000","75,000","88,000","94,000","95,000","107,000"
			DepreciationAndAmortization,"312,000","84,000","77,000","80,000","71,000","79,000","61,000","75,000","88,000","94,000","95,000","107,000"
				Depreciation,"312,000","84,000","77,000","80,000","71,000","79,000","61,000","75,000","88,000","94,000","95,000","107,000"
		AmortizationOfSecurities,"437,000","54,000","91,000","127,000","165,000","167,000","0","5,000","60,000","87,000","40,000","-13,000"
		StockBasedCompensation,"6,890,000","2,177,000","1,767,000","1,796,000","1,150,000","627,000","584,000","670,000","383,000","296,000","239,000","239,000"
		OtherNonCashItems,,"83,000","328,000","313,000",,,"-1,000","101,000","38,000","5,000",,
		ChangeInWorkingCapital,"4,335,000","-1,963,000","4,068,000","297,000","1,933,000","-2,175,000","-502,000","521,000","501,000","-1,365,000","1,538,000","116,000"
			ChangeInPrepaidAssets,"62,000","-924,000","1,781,000","-1,173,000","378,000","-948,000","-2,817,000","129,000","-20,000","-24,000","-222,000","42,000"
			ChangeInPayablesAndAccruedExpense,"3,487,000","-1,825,000","2,287,000","1,470,000","1,555,000","-1,227,000","2,315,000","392,000","521,000","-1,341,000","1,760,000","74,000"
				ChangeInPayable,"785,000","239,000","576,000","-1,147,000","1,117,000","-355,000","1,595,000","-1,620,000","50,000","-1,255,000","2,083,000","-421,000"
					ChangeInAccountPayable,"785,000","239,000","576,000","-1,147,000","1,117,000","-355,000","1,595,000","-1,620,000","50,000","-1,255,000","2,083,000","-421,000"
				ChangeInAccruedExpense,"2,702,000","-2,064,000","1,711,000","2,617,000","438,000","-872,000","720,000","2,012,000","471,000","-86,000","-323,000","495,000"
			ChangeInOtherWorkingCapital,,"786,000",,,,,,,,,,
InvestingCashFlow,"-42,512,000","-38,825,000","7,559,000","-693,000","-10,553,000","-139,897,000","-57,000","8,037,000","26,315,000","-6,384,000","-18,554,000","-989,000"
	CashFlowFromContinuingInvestingActivities,"-42,512,000","-38,825,000","7,559,000","-693,000","-10,553,000","-139,897,000","-57,000","8,037,000","26,315,000","-6,384,000","-18,554,000","-989,000"
		NetPPEPurchaseAndSale,"-2,025,000","-796,000","-262,000","-501,000","-466,000","-120,000","-57,000","-40,000","0","-51,000","0","-8,000"
			PurchaseOfPPE,"-2,025,000","-796,000","-262,000","-501,000","-466,000","-120,000","-57,000","-40,000","0","-51,000","0","-8,000"
		NetInvestmentPurchaseAndSale,"-40,487,000","-38,029,000","7,821,000","-192,000","-10,087,000","-139,777,000","0","8,077,000","26,315,000","-6,333,000","-18,554,000","-981,000"
			PurchaseOfInvestment,"-210,773,000","-93,705,000","-21,678,000","-49,943,000","-45,447,000","-139,777,000","0","106,000","210,000","-14,828,000","-25,122,000","-7,595,000"
			SaleOfInvestment,"170,286,000","55,676,000","29,499,000","49,751,000","35,360,000","0","0","7,971,000","26,105,000","8,495,000","6,568,000","6,614,000"
FinancingCashFlow,"1,988,000","128,000","295,000","309,000","1,256,000","162,000","-1,359,000","294,455,000","-124,000","0","61,705,000","0"
	CashFlowFromContinuingFinancingActivities,"1,988,000","128,000","295,000","309,000","1,256,000","162,000","-1,359,000","294,455,000","-124,000","0","61,705,000","0"
		NetCommonStockIssuance,,,"0",,,,"-1,365,000",,,,,
			CommonStockIssuance,,,"0",,,,"-1,365,000",,,,,
		NetPreferredStockIssuance,,,"0",,,,"0",,,,"61,873,000",
			PreferredStockIssuance,,,"0",,,,"0",,,,"61,873,000",
		ProceedsFromStockOptionExercised,"1,988,000","128,000","295,000","309,000","1,256,000","162,000","6,000","0","0","0","0","0"
EndCashPosition,"116,594,000","116,594,000","173,289,000","177,463,000","190,245,000","208,783,000","361,422,000","373,150,000","78,051,000","58,756,000","73,278,000","35,254,000"
	ChangesInCash,"-92,189,000","-56,695,000","-4,174,000","-12,782,000","-18,538,000","-152,639,000","-11,728,000","295,099,000","19,295,000","-14,522,000","38,024,000","-6,716,000"
	BeginningCashPosition,"208,783,000","173,289,000","177,463,000","190,245,000","208,783,000","361,422,000","373,150,000","78,051,000","58,756,000","73,278,000","35,254,000","41,970,000"
IncomeTaxPaidSupplementalData,"21,000","2,000","0","19,000","0","4,000","1,000","3,000","0","2,000","0","6,000"
CapitalExpenditure,"-2,025,000","-796,000","-262,000","-501,000","-466,000","-120,000","-57,000","-40,000",,"-51,000",,"-8,000"
IssuanceOfCapitalStock,,,"0",,,,"-1,365,000",,,,"61,873,000",
FreeCashFlow,"-53,690,000","-18,794,000","-12,290,000","-12,899,000","-9,707,000","-13,024,000","-10,369,000","-7,433,000","-6,896,000","-8,189,000","-5,127,000","-5,735,000"
