name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalAssets,"8,727,686,000","8,666,885,000","8,256,070,000","8,120,469,000","7,943,309,000","7,939,854,000","7,742,112,000","7,574,467,000","7,375,119,000","7,298,774,000","7,200,932,000","7,048,667,000","7,250,758,000","6,865,551,000","6,848,995,000","6,750,089,000","6,676,393,000","6,646,103,000","6,697,254,000","6,584,445,000","6,477,679,000","6,471,080,000","6,403,670,000","6,360,456,000","6,273,812,000","6,009,328,000","6,052,852,000","5,927,018,000","5,939,339,000","5,829,325,000","5,709,209,000","5,604,192,000","5,507,026,000","5,500,210,000","5,428,814,000","5,403,906,000","5,370,760,000","5,372,583,000","5,260,207,000","5,252,589,000","5,197,896,000","5,204,613,000","5,372,640,000","5,301,633,000","5,213,726,000","5,225,083,000","5,380,809,000","5,403,522,000","5,460,390,000","5,359,921,000","5,262,201,000","5,261,161,000","5,277,562,000","6,147,982,000","6,165,654,000","6,126,793,000","5,963,601,000","5,872,136,000","5,848,469,000","5,792,953,000","6,132,402,000","6,165,624,000","5,843,386,000","5,737,543,000","5,002,963,000","5,124,709,000","5,136,559,000","5,044,384,000","3,776,470,000","3,487,635,000","3,344,029,000","3,346,086,000","3,346,538,000","3,378,629,000","3,081,656,000","3,083,822,000","3,081,136,000","3,026,907,000","2,907,298,000","2,764,243,000","2,930,459,000","2,807,638,000","3,022,556,000","3,073,532,000","2,997,054,000","2,894,233,000","2,792,180,000","2,753,270,000","2,626,297,000","2,723,300,000","2,559,100,000","2,532,400,000","2,536,300,000","2,576,800,000","2,588,300,000","2,347,100,000","2,281,800,000","2,313,700,000","2,248,700,000","2,224,900,000","2,228,900,000","2,230,300,000","2,166,700,000","2,051,700,000","2,040,500,000","2,035,700,000","2,000,200,000","2,135,200,000","2,129,500,000","2,203,300,000","2,166,900,000","2,160,000,000","2,196,700,000"
	CurrentAssets,"301,145,000","324,600,000","447,713,000","391,893,000","328,478,000","377,479,000","377,985,000","326,884,000","287,962,000","294,010,000","341,164,000","299,076,000","457,073,000","302,524,000","363,925,000","331,242,000","277,299,000","294,420,000","374,535,000","353,587,000","326,769,000","378,039,000","398,886,000","408,871,000","356,961,000","385,570,000","407,985,000","410,065,000","503,721,000","432,817,000","466,326,000","446,825,000","401,030,000","401,539,000","400,520,000","393,157,000","432,074,000","442,191,000","472,412,000","470,791,000","427,947,000","462,819,000","625,738,000","567,288,000","520,368,000","543,880,000","545,584,000","566,690,000","652,796,000","578,205,000","509,339,000","521,030,000","537,590,000","752,633,000","919,089,000","940,085,000","781,459,000","605,877,000","617,224,000","684,008,000","652,582,000","690,875,000","604,428,000","541,435,000","495,084,000","596,297,000","591,159,000","610,822,000","645,176,000","363,554,000","276,517,000","277,306,000","285,695,000","305,963,000","258,672,000","271,545,000","347,714,000","350,393,000","359,007,000","226,331,000","398,780,000","328,166,000","617,955,000","676,860,000","603,271,000","510,402,000","443,225,000","419,107,000","314,635,000","406,000,000","353,700,000","316,900,000","313,600,000","307,800,000","323,400,000","245,400,000","246,400,000","285,800,000","269,500,000","252,700,000","269,700,000","286,700,000","214,100,000","312,200,000","295,600,000","289,900,000","257,900,000","340,600,000","233,700,000","298,100,000","273,300,000","271,500,000","287,600,000"
		CashCashEquivalentsAndShortTermInvestments,"4,389,000","1,104,000","49,481,000","18,457,000","7,521,000","47,928,000","30,893,000","2,823,000","16,249,000","3,833,000","20,094,000","4,226,000","180,088,000","2,122,000","34,964,000","4,889,000","3,783,000","3,974,000","43,149,000","2,193,000","2,283,000","4,522,000","7,681,000","4,940,000","3,870,000","46,051,000","26,935,000","6,404,000","122,395,000","28,274,000","28,424,000","12,112,000","27,167,000","2,533,000","33,439,000","34,798,000","5,109,000","8,985,000","5,356,000","3,184,000","6,976,000","15,091,000","22,298,000","14,023,000","12,940,000","15,404,000","25,097,000","19,097,000","122,731,000","14,641,000","115,266,000","97,934,000","146,209,000","140,619,000","267,116,000","137,877,000","27,724,000","17,763,000","16,739,000","58,050,000","44,986,000","123,419,000","100,866,000","73,890,000","45,770,000","68,199,000","144,799,000","222,962,000","328,779,000","17,195,000","8,600,000","5,646,000","2,545,000","12,694,000","12,338,000","2,639,000","53,353,000","3,702,000","29,991,000","16,879,000","9,979,000","14,677,000","222,605,000","233,320,000","161,301,000","107,691,000","119,073,000","84,060,000","78,973,000","120,400,000","88,600,000","6,600,000","500,000","2,600,000","2,300,000","5,500,000","8,200,000","8,700,000","3,600,000","3,500,000","8,100,000","11,100,000","5,100,000","6,200,000","6,300,000","4,200,000","21,700,000","15,000,000","23,000,000","21,000,000","16,900,000","17,200,000","24,600,000"
			CashAndCashEquivalents,"4,389,000","1,104,000","49,481,000","18,457,000","7,521,000","47,928,000","30,893,000","2,823,000","16,249,000","3,833,000","20,094,000","4,226,000","180,088,000","2,122,000","34,964,000","4,889,000","3,783,000","3,974,000","43,149,000","2,193,000","2,283,000","4,522,000","7,681,000","4,940,000","3,870,000","46,051,000","26,935,000","6,404,000","122,395,000","28,274,000","28,424,000","12,112,000","27,167,000","2,533,000","33,439,000","34,798,000","5,109,000","8,985,000","5,356,000","3,184,000","6,976,000","15,091,000","22,298,000","14,023,000","12,940,000","15,404,000","25,097,000","19,097,000","28,986,000","14,641,000","70,255,000","26,022,000","70,470,000","140,619,000","267,116,000","137,877,000","27,724,000","17,763,000","16,739,000","58,050,000","44,986,000","123,419,000","100,866,000","73,890,000","45,770,000","68,199,000","144,799,000","222,962,000","328,779,000","17,195,000","8,600,000","5,646,000","2,545,000","12,694,000","12,338,000","2,639,000","53,353,000","3,702,000","29,991,000","16,879,000","9,979,000","14,677,000","222,605,000","233,320,000","161,301,000","107,691,000","119,073,000","84,060,000","78,973,000","120,400,000","88,600,000","6,600,000","500,000","2,600,000","2,300,000","5,500,000","8,200,000","8,700,000","3,600,000","3,500,000","8,100,000","11,100,000","5,100,000","6,200,000","6,300,000","4,200,000","21,700,000","15,000,000","23,000,000","21,000,000","16,900,000","17,200,000","24,600,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0",,,"93,745,000","50,671,000","45,011,000","71,912,000","75,739,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"181,684,000","204,690,000","239,811,000","218,807,000","168,947,000","198,383,000","217,674,000","181,532,000","147,278,000","160,403,000","190,889,000","165,568,000","155,114,000","169,226,000","192,315,000","192,070,000","155,139,000","172,565,000","200,269,000","209,420,000","186,757,000","217,967,000","217,937,000","217,446,000","179,824,000","185,146,000","200,149,000","206,191,000","180,503,000","196,974,000","214,553,000","211,760,000","177,998,000","210,032,000","225,056,000","211,507,000","284,260,000","299,168,000","318,506,000","314,098,000","275,967,000","311,394,000","301,891,000","352,642,000","313,052,000","326,710,000","289,854,000","333,324,000","369,799,000","391,710,000","282,162,000","296,235,000","258,466,000","273,383,000","252,227,000","246,208,000","193,036,000","209,221,000","275,874,000","238,262,000","282,201,000","285,004,000","228,338,000","228,626,000","250,919,000","280,607,000","230,241,000","263,833,000","213,017,000","249,701,000","171,193,000","176,639,000","199,560,000","198,199,000","152,321,000","158,418,000","177,341,000","173,051,000","156,908,000","154,729,000","165,094,000","199,945,000","307,201,000","340,145,000","321,888,000","307,599,000","262,031,000","233,183,000","174,394,000","216,700,000","216,600,000","202,400,000","185,000,000","206,200,000","209,300,000","183,700,000","174,500,000","216,300,000","187,900,000","169,600,000","188,600,000","215,800,000","122,900,000","121,400,000","121,400,000","132,400,000","97,900,000","96,500,000","113,100,000","133,200,000","117,200,000","123,300,000","143,400,000"
			AccountsReceivable,"116,015,000","123,292,000","140,826,000","123,540,000","102,462,000","113,410,000","135,400,000","96,209,000","83,089,000","85,889,000","115,448,000","83,669,000","94,624,000","92,800,000","108,648,000","89,158,000","84,156,000","90,473,000","107,428,000","86,598,000","82,234,000","87,012,000","92,060,000","75,598,000","72,206,000","98,699,000","110,562,000","94,703,000","89,844,000","87,038,000","105,516,000","92,230,000","81,611,000","90,251,000","110,937,000","94,948,000","89,634,000","87,093,000","119,887,000","89,479,000","78,361,000","87,794,000","107,637,000","103,824,000","94,275,000","97,245,000","134,797,000","106,104,000","100,956,000","106,593,000","136,196,000","110,729,000","102,949,000","192,257,000","172,700,000","149,644,000","125,680,000","134,325,000","180,954,000","137,951,000","199,719,000","168,126,000","129,605,000","127,726,000","138,801,000","128,834,000","119,258,000","162,012,000","126,650,000","144,993,000","98,998,000","106,084,000","122,856,000","115,300,000","89,436,000","102,135,000","126,839,000","123,972,000","156,908,000","154,729,000","165,094,000","199,945,000","307,201,000","340,145,000","321,888,000","307,599,000","262,031,000","233,183,000","174,394,000","216,700,000","216,600,000","202,400,000","185,000,000","206,200,000","209,300,000","183,700,000","174,500,000","216,300,000","187,900,000","169,600,000","188,600,000","215,800,000","122,900,000","121,400,000","121,400,000","132,400,000","97,900,000","96,500,000","113,100,000","133,200,000","117,200,000","123,300,000","143,400,000"
				GrossAccountsReceivable,"122,407,000","130,557,000","152,063,000","134,271,000","113,736,000","121,743,000","139,305,000","98,120,000","84,503,000","87,052,000","116,639,000","84,847,000","95,775,000","94,206,000","110,081,000","90,347,000","85,274,000","91,554,000","108,491,000","87,684,000","83,446,000","88,221,000","93,324,000","77,005,000","73,490,000","100,096,000","111,925,000","96,066,000","91,310,000","88,504,000","107,051,000","93,765,000","83,034,000","91,674,000","112,328,000","96,287,000","90,973,000","88,844,000","121,818,000","91,410,000","80,234,000","89,572,000","109,282,000","113,099,000",,,,,,"119,376,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-6,392,000","-7,265,000","-11,237,000","-10,731,000","-11,274,000","-8,333,000","-3,905,000","-1,911,000","-1,414,000","-1,163,000","-1,191,000","-1,178,000","-1,151,000","-1,406,000","-1,433,000","-1,189,000","-1,118,000","-1,081,000","-1,063,000","-1,086,000","-1,212,000","-1,209,000","-1,264,000","-1,407,000","-1,284,000","-1,397,000","-1,363,000","-1,363,000","-1,466,000","-1,466,000","-1,535,000","-1,535,000","-1,423,000","-1,423,000","-1,391,000","-1,339,000","-1,339,000","-1,751,000","-1,931,000","-1,931,000","-1,873,000","-1,778,000","-1,645,000","-9,275,000",,,,,,"-12,783,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,"0","0",,"4,837,000","3,576,000","12,272,000","20,968,000","29,664,000","38,360,000","43,553,000","48,175,000","37,527,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
