name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,03/31/1994
OperatingCashFlow,"2,109,000,000","502,000,000","292,000,000","457,000,000","858,000,000","663,000,000","499,000,000","948,000,000","607,000,000","692,000,000","539,000,000","818,000,000","596,000,000","474,000,000","611,000,000","885,000,000","759,000,000","566,000,000","707,000,000","964,000,000","655,000,000","135,000,000","660,000,000","1,060,000,000","613,000,000","557,000,000","584,000,000","718,000,000","640,000,000","673,000,000","775,000,000","1,045,000,000","652,000,000","931,000,000","634,000,000","1,276,000,000","703,000,000","244,000,000","670,000,000","1,147,000,000","219,000,000","728,000,000","661,000,000","1,032,000,000","618,000,000","196,000,000","337,000,000","1,124,000,000","-226,000,000","798,000,000","605,000,000","679,000,000","258,000,000","310,000,000","431,000,000","225,000,000","509,000,000","424,000,000","677,000,000","275,000,000","333,000,000","286,000,000","500,000,000","563,000,000","398,000,000","297,000,000","347,000,000","867,000,000","-135,000,000","309,000,000","384,000,000","425,000,000","310,000,000","318,000,000","324,000,000","518,000,000","345,000,000","153,000,000","369,000,000","408,000,000","32,000,000","-13,000,000","315,000,000","390,000,000","22,000,000","181,000,000","336,000,000","275,000,000","129,000,000","125,000,000","114,000,000","243,000,000","165,000,000","122,000,000","154,000,000","202,000,000","107,000,000","174,000,000","198,000,000","272,000,000","105,000,000","202,000,000","161,000,000","278,000,000","134,000,000","220,000,000","153,400,000","271,800,000","69,700,000","197,400,000","54,500,000"
	CashFlowFromContinuingOperatingActivities,"1,650,000,000","502,000,000","292,000,000","457,000,000","399,000,000","396,000,000","499,000,000","948,000,000","607,000,000","692,000,000","539,000,000","818,000,000","596,000,000","474,000,000","611,000,000","885,000,000","759,000,000","566,000,000","707,000,000","964,000,000","655,000,000","135,000,000","660,000,000","1,060,000,000","613,000,000","557,000,000","584,000,000","718,000,000","297,000,000","673,000,000","775,000,000","1,045,000,000","652,000,000","931,000,000","634,000,000","1,276,000,000","703,000,000","244,000,000","670,000,000","1,147,000,000","219,000,000","728,000,000","661,000,000","1,032,000,000","618,000,000","196,000,000","337,000,000","1,124,000,000","-226,000,000","798,000,000","605,000,000","679,000,000","258,000,000","310,000,000","431,000,000","225,000,000","509,000,000","424,000,000","677,000,000","275,000,000","333,000,000","286,000,000","500,000,000","563,000,000","398,000,000","297,000,000","347,000,000","867,000,000","-135,000,000","309,000,000","384,000,000","425,000,000","310,000,000","318,000,000","324,000,000","518,000,000","345,000,000","153,000,000","369,000,000","408,000,000","32,000,000","-13,000,000","315,000,000","390,000,000","22,000,000","181,000,000","336,000,000","275,000,000","129,000,000","125,000,000","114,000,000","243,000,000","165,000,000","122,000,000","154,000,000","202,000,000","107,000,000","174,000,000","198,000,000","272,000,000","105,000,000","202,000,000","161,000,000","278,000,000","134,000,000","220,000,000","153,400,000","271,800,000","69,700,000","197,400,000","54,500,000"
		NetIncomeFromContinuingOperations,"88,000,000","273,000,000","142,000,000","209,000,000","-536,000,000","203,000,000","290,000,000","281,000,000","344,000,000","554,000,000","364,000,000","475,000,000","441,000,000","466,000,000","415,000,000","445,000,000","515,000,000","452,000,000","78,000,000","355,000,000","292,000,000","403,000,000","465,000,000","473,000,000","483,000,000","481,000,000","405,000,000","396,000,000","155,000,000","647,000,000","695,000,000","497,000,000","229,000,000","316,000,000","-98,000,000","411,000,000","405,000,000","413,000,000","360,000,000","355,000,000","271,000,000","545,000,000","458,000,000","449,000,000","200,000,000","405,000,000","359,000,000","253,000,000","92,000,000","255,000,000","157,000,000","26,000,000","-3,000,000","246,000,000","277,000,000","203,000,000","190,000,000","260,000,000","498,000,000","242,000,000","345,000,000","203,000,000","178,000,000","226,000,000","181,000,000","280,000,000","185,000,000","234,000,000","91,000,000","168,000,000","175,000,000","196,000,000","150,000,000","177,000,000","242,000,000","173,000,000","130,000,000","189,000,000","-86,000,000","142,000,000","-12,000,000","164,000,000","-347,000,000","323,000,000","-25,000,000","228,000,000","124,000,000","142,000,000","99,000,000","148,000,000","141,000,000","167,000,000","70,000,000","126,000,000","95,000,000","142,000,000","60,000,000","107,000,000","80,000,000","48,000,000","68,000,000","124,000,000","80,000,000","85,000,000","69,000,000","123,000,000","96,500,000","94,100,000","51,600,000","108,300,000","113,700,000"
		OperatingGainsLosses,,,"0","73,000,000","318,000,000","4,000,000","136,000,000","23,000,000","29,000,000","-109,000,000","26,000,000","-103,000,000","-100,000,000","-13,000,000","-103,000,000","-83,000,000","-227,000,000","35,000,000","-42,000,000","35,000,000","74,000,000","16,000,000","-99,000,000","294,000,000","-169,000,000","-47,000,000","-48,000,000","-67,000,000","156,000,000","-62,000,000","-519,000,000","-172,000,000","98,000,000","262,000,000","151,000,000","181,000,000","-69,000,000","149,000,000","596,000,000","6,000,000","-243,000,000","-166,000,000","-62,000,000","79,000,000","-80,000,000","-399,000,000","-74,000,000","49,000,000","-210,000,000","-84,000,000","-133,000,000","-12,000,000","19,000,000","-29,000,000",,"17,000,000","-1,000,000","39,000,000","-399,000,000","53,000,000","-87,000,000","-33,000,000","-46,000,000","29,000,000","27,000,000","-52,000,000","6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,700,000","-2,300,000","-900,000"
			GainLossOnInvestmentSecurities,,,,,,,"182,000,000","73,000,000","82,000,000","-57,000,000","91,000,000","-40,000,000","-31,000,000","53,000,000","-57,000,000","-38,000,000","-176,000,000","85,000,000","-16,000,000","59,000,000","100,000,000","35,000,000","-88,000,000","299,000,000","-158,000,000","-34,000,000","-60,000,000","-79,000,000","152,000,000","-90,000,000","-292,000,000","-184,000,000","60,000,000","241,000,000","110,000,000","137,000,000","-109,000,000","98,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,"4,000,000","-46,000,000","-50,000,000","-53,000,000","-52,000,000","-65,000,000","-63,000,000","-69,000,000","-66,000,000","-46,000,000","-45,000,000","-51,000,000","-50,000,000","-26,000,000","-24,000,000","-26,000,000","-19,000,000","-11,000,000","-5,000,000","-11,000,000","-13,000,000","12,000,000","12,000,000","4,000,000","28,000,000","19,000,000","12,000,000","38,000,000","21,000,000","41,000,000","44,000,000","40,000,000","51,000,000","569,000,000","6,000,000","-243,000,000","-166,000,000","-62,000,000","79,000,000","-80,000,000","-399,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,121,000,000","278,000,000","281,000,000","264,000,000","298,000,000","278,000,000","353,000,000","341,000,000","336,000,000","329,000,000","330,000,000","335,000,000","309,000,000","306,000,000","299,000,000","297,000,000","286,000,000","290,000,000","288,000,000","284,000,000","268,000,000","265,000,000","260,000,000","249,000,000","250,000,000","247,000,000","238,000,000","245,000,000","109,000,000","350,000,000","367,000,000","369,000,000","364,000,000","365,000,000","360,000,000","340,000,000","335,000,000","348,000,000","329,000,000","334,000,000","304,000,000","319,000,000","338,000,000","305,000,000","317,000,000","255,000,000","182,000,000","216,000,000","254,000,000","128,000,000","126,000,000","120,000,000","115,000,000","110,000,000","497,000,000","-61,000,000","202,000,000","206,000,000","657,000,000","-211,000,000","213,000,000","232,000,000","195,000,000","190,000,000","185,000,000","185,000,000","213,000,000",,,,,,,,,,,,,,,,,,,,"27,000,000","108,000,000",,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"1,121,000,000","278,000,000","281,000,000","264,000,000","298,000,000","278,000,000","353,000,000","341,000,000","336,000,000","329,000,000","330,000,000","335,000,000","309,000,000","306,000,000","299,000,000","297,000,000","286,000,000","290,000,000","288,000,000","284,000,000","268,000,000","265,000,000","260,000,000","249,000,000","250,000,000","247,000,000","238,000,000","245,000,000","109,000,000","350,000,000","367,000,000","369,000,000","364,000,000","365,000,000","360,000,000","340,000,000","335,000,000","348,000,000","329,000,000","334,000,000","304,000,000","319,000,000","338,000,000","305,000,000","317,000,000","255,000,000","182,000,000","216,000,000","254,000,000","128,000,000","126,000,000","120,000,000","115,000,000","110,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Depreciation,"1,086,000,000","271,000,000","272,000,000","274,000,000","269,000,000","267,000,000","328,000,000","323,000,000","319,000,000","317,000,000","309,000,000","306,000,000","300,000,000","284,000,000","277,000,000","275,000,000","273,000,000","269,000,000","263,000,000","257,000,000","246,000,000","242,000,000","234,000,000","232,000,000","231,000,000","229,000,000","225,000,000","226,000,000","139,000,000","293,000,000","307,000,000","313,000,000","312,000,000","305,000,000","302,000,000","289,000,000","286,000,000","284,000,000","287,000,000","278,000,000","271,000,000","264,000,000","264,000,000","251,000,000","238,000,000","208,000,000","180,000,000","129,000,000","130,000,000","128,000,000","126,000,000","120,000,000","115,000,000","110,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"35,000,000","7,000,000","9,000,000","-10,000,000","29,000,000","11,000,000","25,000,000","18,000,000","17,000,000","12,000,000","21,000,000","29,000,000","9,000,000","22,000,000","22,000,000","22,000,000","13,000,000","21,000,000","25,000,000","27,000,000","22,000,000","23,000,000","26,000,000","17,000,000","19,000,000","18,000,000","13,000,000","19,000,000","-30,000,000","57,000,000","60,000,000","56,000,000","52,000,000","60,000,000","58,000,000","51,000,000","49,000,000","64,000,000","42,000,000","56,000,000","33,000,000","55,000,000","74,000,000","54,000,000","79,000,000","47,000,000","2,000,000","87,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
