name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
TotalAssets,"10,389,500,000","10,425,700,000","10,915,900,000","11,230,300,000","11,324,800,000","11,488,400,000","11,576,000,000","12,128,300,000","11,400,700,000","11,301,400,000","11,310,800,000","11,428,700,000","11,119,500,000","10,983,400,000","10,942,900,000","11,225,600,000","11,639,600,000","11,628,800,000","11,842,600,000","11,792,200,000","13,979,400,000","13,870,100,000","17,467,600,000","19,533,600,000","19,726,200,000","19,393,900,000","19,703,100,000","19,720,600,000","16,182,800,000","16,460,700,000","13,781,000,000","13,880,200,000","13,742,700,000","13,712,800,000","5,508,800,000","5,350,800,000","4,495,888,000","4,294,336,000","4,117,430,000","4,024,047,000","4,040,054,000","3,942,554,000","3,514,087,000","3,189,221,000","3,037,491,000","2,935,020,000","2,771,756,000","3,092,736,000","2,543,481,000","2,570,038,000","2,499,051,000","2,536,355,000","2,371,884,000","2,425,677,000","2,493,371,000","2,575,077,000","2,197,385,000","2,039,310,000","1,946,652,000","1,925,154,000","1,890,561,000","1,854,063,000","1,815,674,000","1,750,624,000","1,670,874,000","1,684,076,000","1,691,037,000","1,704,976,000","1,731,181,000","786,416,000","762,130,000","759,094,000","746,647,000","707,245,000","650,445,000","643,970,000","628,728,000","607,232,000","597,179,000","593,787,000","573,190,000","569,019,000","599,817,000","575,912,000","541,524,000","521,020,000","521,497,000","486,064,000","506,881,000","581,700,000","609,500,000","615,900,000","684,600,000","710,400,000","634,100,000","595,900,000","650,300,000","641,200,000","622,400,000","568,400,000","562,900,000","564,500,000","571,800,000","549,400,000","565,100,000","593,900,000","594,200,000","555,700,000","550,400,000","507,500,000","506,500,000","475,000,000","463,600,000","454,600,000","456,800,000","413,700,000","389,700,000","367,800,000","346,900,000","316,900,000","297,900,000","240,600,000"
	CurrentAssets,"3,935,500,000","3,859,900,000","4,225,900,000","4,420,200,000","4,488,600,000","3,133,500,000","3,398,300,000","3,803,500,000","3,046,200,000","2,756,900,000","2,739,800,000","3,435,400,000","3,009,300,000","2,902,200,000","2,768,800,000","2,778,500,000","2,900,700,000","2,819,600,000","2,971,800,000","2,821,300,000","5,113,400,000","2,805,300,000","2,627,100,000","3,032,800,000","2,974,500,000","2,744,400,000","2,880,800,000","3,182,900,000","5,130,000,000","5,364,200,000","2,634,000,000","2,550,900,000","2,304,400,000","2,286,000,000","2,367,200,000","2,236,900,000","1,697,628,000","1,774,121,000","1,900,731,000","1,795,921,000","1,790,888,000","1,734,092,000","1,299,091,000","1,377,293,000","1,259,647,000","1,163,540,000","1,016,993,000","1,381,293,000","1,138,809,000","1,208,616,000","1,126,749,000","1,152,964,000","1,037,477,000","1,049,687,000","1,108,674,000","1,156,859,000","855,851,000","803,486,000","747,342,000","719,060,000","712,902,000","717,765,000","691,009,000","657,178,000","593,044,000","599,065,000","612,209,000","608,807,000","655,124,000","500,294,000","476,598,000","473,229,000","463,450,000","417,080,000","373,321,000","379,197,000","375,916,000","356,536,000","347,193,000","341,751,000","309,108,000","308,781,000","338,887,000","313,137,000","324,965,000","305,415,000","304,645,000","268,645,000","283,948,000","351,400,000","377,000,000","382,600,000","446,700,000","480,800,000","405,300,000","372,500,000","317,600,000","320,200,000","313,600,000","282,400,000","281,300,000","281,900,000","286,500,000","259,600,000","277,000,000","301,800,000","301,500,000","261,700,000","257,200,000","246,400,000","250,400,000","225,400,000","224,900,000","224,500,000","236,200,000","207,800,000","202,600,000","195,800,000","187,400,000","163,600,000","154,200,000","149,200,000"
		CashCashEquivalentsAndShortTermInvestments,"1,965,500,000","1,864,900,000","2,078,100,000","317,500,000","470,900,000","641,500,000","849,400,000","1,456,300,000","510,400,000","354,300,000","398,500,000","1,055,700,000","837,900,000","551,100,000","444,200,000","526,500,000","687,300,000","678,700,000","775,900,000","760,800,000","3,077,800,000","622,300,000","362,700,000","641,800,000","588,900,000","417,800,000","523,000,000","798,300,000","3,452,200,000","3,616,100,000","913,100,000","805,400,000","617,100,000","606,600,000","816,600,000","779,900,000","300,827,000","459,514,000","631,993,000","602,489,000","554,280,000","531,410,000","116,615,000","310,104,000","223,237,000","134,779,000","56,658,000","98,125,000","315,486,000","304,044,000","257,089,000","316,136,000","197,822,000","162,173,000","249,342,000","319,164,000","65,127,000","101,805,000","79,324,000","79,415,000","93,093,000","73,665,000","60,949,000","45,751,000","35,853,000","26,557,000","40,941,000","34,468,000","73,935,000","179,235,000","141,814,000","171,700,000","156,417,000","110,809,000","83,046,000","93,827,000","105,233,000","71,773,000","49,214,000","76,824,000","36,674,000","814,000","297,000","11,016,000","70,226,000","51,645,000","33,414,000","7,055,000","883,000","3,700,000","1,300,000","90,800,000","1,500,000","900,000","2,800,000","1,500,000","2,100,000","2,200,000","1,900,000","14,400,000","6,600,000","300,000","500,000","200,000","200,000","300,000","200,000","300,000","200,000","600,000","200,000","2,200,000","200,000","500,000","400,000","200,000","100,000","1,800,000","700,000","500,000","400,000","21,800,000"
			CashAndCashEquivalents,"1,965,500,000","1,864,900,000","2,078,100,000","317,500,000","470,900,000","641,500,000","849,400,000","1,456,300,000","510,400,000","354,300,000","398,500,000","1,055,700,000","837,900,000","551,100,000","444,200,000","526,500,000","687,300,000","678,700,000","775,900,000","760,800,000","3,077,800,000","622,300,000","362,700,000","641,800,000","588,900,000","417,800,000","506,500,000","785,600,000","3,430,400,000","3,596,100,000","891,500,000","799,500,000","609,400,000","521,100,000","816,600,000","779,900,000","300,827,000","459,514,000","631,993,000","602,489,000","554,280,000","531,410,000","116,615,000","310,104,000","223,237,000","134,779,000","56,098,000","97,568,000","314,924,000","303,482,000","256,528,000","316,133,000","197,817,000","162,164,000","249,328,000","318,604,000","64,402,000","72,163,000","46,837,000","30,305,000","34,873,000","39,635,000","33,027,000","19,018,000","29,168,000","15,840,000","25,118,000","16,707,000","40,735,000","175,702,000","136,544,000","161,252,000","156,417,000","110,809,000","83,046,000","93,827,000","105,233,000","71,773,000","49,214,000","76,824,000","36,674,000","814,000","297,000","11,016,000","70,226,000","51,645,000","33,414,000","7,055,000","883,000","3,700,000","1,300,000","1,700,000","1,500,000","900,000","2,800,000","1,500,000","2,100,000","2,200,000","1,900,000","14,400,000","6,600,000","300,000","500,000","200,000","200,000","300,000","200,000","300,000","200,000","600,000","200,000","2,200,000","200,000","500,000","400,000","200,000","100,000","1,800,000","700,000","500,000","400,000","21,800,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,500,000","12,700,000","21,800,000","20,000,000","21,600,000","5,900,000","7,700,000","85,500,000",,,,,,,"0",,"0","0","0","0","560,000","557,000","562,000","562,000","561,000","3,000","5,000","9,000","14,000","560,000","725,000","29,642,000","32,487,000","49,110,000","58,220,000","34,030,000","27,922,000","26,733,000","6,685,000","10,717,000","15,823,000","17,761,000","33,200,000","3,533,000","5,270,000","10,448,000",,,,,,,,,,,,,,,,,,,,"89,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"679,300,000","652,900,000","686,200,000","620,200,000","641,000,000","1,054,200,000","1,097,700,000","1,001,200,000","1,296,700,000","1,243,200,000","1,102,200,000","1,117,100,000","1,118,700,000","1,073,100,000","1,079,800,000","1,129,800,000","1,123,400,000","1,130,800,000","1,076,600,000","1,065,900,000","1,050,200,000","1,176,000,000","1,129,200,000","1,199,100,000","1,184,200,000","1,193,100,000","1,232,200,000","1,282,100,000","881,700,000","924,700,000","869,400,000","935,100,000","867,500,000","849,000,000","707,500,000","658,000,000","624,145,000","588,226,000","588,260,000","573,629,000","561,506,000","534,289,000","530,154,000","478,221,000","466,293,000","466,200,000","419,641,000","372,364,000","322,329,000","352,329,000","339,504,000","334,736,000","343,498,000","359,136,000","340,606,000","350,272,000","377,210,000","315,581,000","289,039,000","282,045,000","246,582,000","246,603,000","230,239,000","240,130,000","220,425,000","235,672,000","212,433,000","210,308,000","203,849,000","110,931,000","112,624,000","86,040,000","102,299,000","123,832,000","99,200,000","87,018,000","84,973,000","102,722,000","105,777,000","82,560,000","98,755,000","112,214,000","120,525,000","96,828,000","87,411,000","96,781,000","109,426,000","88,217,000","96,139,000","123,500,000","128,800,000","197,400,000","120,400,000","147,100,000","83,100,000","74,600,000","103,800,000","119,000,000","123,700,000","93,400,000","99,000,000","107,000,000","115,700,000","91,400,000","90,300,000","108,200,000","117,400,000","85,000,000","86,400,000","85,700,000","94,100,000","76,400,000","74,500,000","77,800,000","88,700,000","70,500,000","67,300,000","65,800,000","74,400,000","50,500,000","49,700,000","43,900,000"
			AccountsReceivable,"679,300,000","652,900,000","686,200,000","620,200,000","641,000,000","1,054,200,000","1,097,700,000","1,001,200,000","1,296,700,000","1,243,200,000","1,102,200,000","1,117,100,000","1,118,700,000","1,073,100,000","1,079,800,000","1,129,800,000","1,123,400,000","1,130,800,000","1,076,600,000","1,065,900,000","1,050,200,000","1,176,000,000","1,129,200,000","1,199,100,000","1,184,200,000","1,193,100,000","1,232,200,000","1,282,100,000","881,700,000","924,700,000","869,400,000","935,100,000","793,100,000","769,800,000","702,600,000","651,900,000","618,666,000","583,903,000","584,008,000","572,582,000","560,740,000","530,178,000","521,263,000","477,851,000","464,190,000","465,257,000","417,870,000","358,500,000","322,329,000","345,941,000","332,785,000","325,810,000","331,307,000","359,136,000","340,138,000","350,272,000","372,526,000","311,013,000","283,443,000","282,045,000","246,582,000","246,603,000","230,239,000","240,130,000","220,425,000","235,672,000","212,433,000","210,308,000","203,849,000","110,931,000","112,624,000","86,040,000","102,299,000","123,832,000","99,200,000","87,018,000","84,973,000","102,722,000","105,777,000","82,560,000","98,755,000","112,214,000","120,525,000","96,828,000","87,411,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"686,400,000","660,100,000","693,800,000","627,900,000","650,100,000","1,061,800,000","1,104,000,000","1,007,400,000","1,303,800,000","1,249,900,000","1,108,500,000","1,123,400,000","1,125,500,000","1,079,500,000","1,086,700,000","1,136,300,000",,"1,137,000,000","1,082,800,000","1,071,200,000","1,056,200,000","1,182,300,000","1,133,600,000","1,203,100,000","1,187,600,000","1,196,100,000","1,234,300,000","1,284,500,000","883,500,000",,"872,000,000","937,800,000","795,900,000","772,500,000","704,900,000","654,000,000","620,885,000","586,376,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,100,000","-7,200,000","-7,600,000","-7,700,000","-9,100,000","-7,600,000","-6,300,000","-6,200,000","-7,100,000","-6,700,000","-6,300,000","-6,300,000","-6,800,000","-6,400,000","-6,900,000","-6,500,000",,"-6,200,000","-6,200,000","-5,300,000","-6,000,000","-6,300,000","-4,400,000","-4,000,000","-3,400,000","-3,000,000","-2,100,000","-2,400,000","-1,800,000",,"-2,600,000","-2,700,000","-2,800,000","-2,700,000","-2,300,000","-2,100,000","-2,219,000","-2,473,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,400,000","79,200,000","4,900,000","6,100,000","5,479,000","4,323,000","4,252,000","1,047,000","766,000","4,111,000","8,891,000","370,000","2,103,000","943,000","1,771,000","13,864,000","0","6,388,000","6,719,000","8,926,000","12,191,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
