name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"17,698,781,000","17,380,908,000","15,284,686,000","14,490,365,000","11,981,735,000","11,816,546,000","11,385,148,000","12,358,055,000","11,825,921,000","11,365,444,000","11,413,861,000","11,113,291,000","10,875,016,000","10,928,270,000","10,747,940,000","10,692,962,000","10,685,520,000","10,732,892,000","10,765,694,000","10,365,727,000","10,083,911,000","10,130,338,000","9,865,769,000","9,997,137,000","10,064,347,000","9,778,232,000","9,654,815,000","9,634,758,000","9,772,017,000","9,818,676,000","9,624,468,000","9,946,457,000","9,682,582,000","9,876,266,000","9,149,940,000","9,094,598,000","9,101,551,000","8,793,403,000","9,288,120,000","9,178,947,000","9,406,312,000","8,932,562,000","9,085,543,000","9,272,336,000","9,435,521,000","9,495,333,000","9,651,410,000","9,569,513,000","9,744,471,000","9,805,645,000","9,809,375,000","9,703,836,000","9,626,497,000","9,936,045,000","10,195,243,000","10,252,746,000","10,247,765,000","10,643,102,000","10,629,623,000","10,477,108,000","10,619,147,000","11,198,473,000","10,854,856,000","6,100,136,000","5,470,604,000","5,552,486,000","5,471,628,000","5,256,643,000","5,178,365,000","5,204,790,000","5,077,913,000","5,041,872,000","4,960,380,000","4,968,069,000","4,742,245,000","4,740,085,000","4,765,194,000","4,843,662,000","5,037,965,000","4,885,778,000","4,893,247,000","4,625,879,000","4,773,646,000","4,513,562,000","4,488,092,000","4,513,941,000","4,486,678,000","4,476,232,000","4,492,348,000","4,214,385,000","4,206,100,000","4,147,900,000","4,110,500,000","3,403,904,000","3,411,800,000","3,433,500,000","3,613,800,000","3,311,645,000","3,154,500,000","2,965,700,000","2,681,300,000","2,572,152,000","2,374,600,000","2,222,800,000","2,114,200,000","1,937,461,000","1,190,100,000","1,116,900,000","932,300,000","820,309,000","799,200,000","722,700,000","703,400,000","666,100,000","631,200,000","471,200,000","451,500,000","401,700,000","373,100,000","363,100,000","321,500,000","320,500,000","301,300,000","302,500,000","299,900,000","270,800,000","255,100,000","256,500,000","233,000,000","240,900,000","255,600,000","244,300,000","245,100,000","193,900,000"
	CurrentAssets,"940,524,000","734,599,000","958,247,000","480,810,000","159,622,000","257,560,000","293,955,000","1,268,475,000","718,427,000","409,743,000","541,357,000","360,331,000","217,973,000","361,218,000","432,525,000","338,419,000","363,030,000","433,376,000","694,233,000","358,266,000","120,859,000","183,688,000","57,213,000","260,124,000","305,705,000","104,285,000","35,668,000","20,256,000","152,797,000","187,712,000","98,252,000","595,911,000","310,669,000","447,308,000","477,406,000","815,436,000","796,817,000","428,234,000","535,752,000","438,475,000","620,079,000","139,008,000","160,733,000","144,487,000","145,105,000","558,531,000","615,610,000","569,224,000","815,173,000","856,689,000","670,928,000","584,860,000","493,400,000","680,701,000","807,908,000","775,002,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"940,524,000","734,599,000","958,247,000","480,810,000","159,622,000","257,560,000","293,955,000","1,268,475,000","718,427,000","409,743,000","541,357,000","360,331,000","217,973,000","361,218,000","432,525,000","338,419,000","363,030,000","433,376,000","694,233,000","358,266,000","120,859,000","183,688,000","57,213,000","260,124,000","305,705,000","104,285,000","35,668,000","20,256,000","152,797,000","187,712,000","98,252,000","387,983,000","101,112,000","19,169,000","56,965,000","410,910,000","398,252,000","17,239,000","535,752,000","438,475,000","620,079,000","139,008,000","160,733,000","144,487,000","145,105,000","558,531,000","615,610,000","569,224,000","815,173,000","763,789,000","670,928,000","584,860,000","493,400,000","680,701,000","789,294,000","775,002,000","1,352,104,000","552,187,000","486,568,000","367,951,000","90,700,000","555,584,000","124,119,000","983,630,000","382,329,000","493,501,000","531,774,000","390,431,000","354,433,000","366,255,000","475,280,000","421,448,000","319,635,000","204,833,000","45,303,000","41,363,000","55,017,000","103,124,000","276,255,000","172,164,000","192,281,000","49,347,000","288,393,000","50,761,000","40,477,000","89,467,000","104,599,000","239,951,000","274,681,000","55,125,000",,,,"51,225,000",,,,"41,455,000",,,,"26,856,000",,,,"80,436,000",,,,"20,151,000","8,900,000","8,800,000","8,800,000","8,800,000","8,400,000","90,700,000","80,300,000","79,700,000","110,800,000","105,500,000","132,300,000","131,300,000","163,300,000","163,300,000","159,100,000","166,600,000","150,700,000","151,200,000","170,900,000","169,800,000",,,,
			CashAndCashEquivalents,"940,524,000","734,599,000","958,247,000","480,810,000","159,622,000","257,560,000","293,955,000","1,268,475,000","718,427,000","409,743,000","541,357,000","360,331,000","217,973,000","361,218,000","432,525,000","338,419,000","363,030,000","433,376,000","694,233,000","358,266,000","120,859,000","183,688,000","57,213,000","260,124,000","305,705,000","104,285,000","35,668,000","20,256,000","152,797,000","187,712,000","98,252,000","387,983,000","101,112,000","19,169,000","56,965,000","410,910,000","398,252,000","17,239,000","535,752,000","438,475,000","620,079,000","139,008,000","160,733,000","144,487,000","145,105,000","456,252,000","513,479,000","474,336,000","719,982,000","763,789,000","670,928,000","584,860,000","493,400,000","680,701,000","789,294,000","775,002,000","726,932,000","245,444,000","168,586,000","46,743,000","90,700,000","555,584,000","124,119,000","983,630,000","382,329,000","493,501,000","531,774,000","390,431,000","354,433,000","366,255,000","475,280,000","421,448,000","319,635,000","204,833,000","45,303,000","41,363,000","55,017,000","103,124,000","276,255,000","172,164,000","192,281,000","49,347,000","288,393,000","50,761,000","40,477,000","89,467,000","104,599,000","239,951,000","274,681,000","55,125,000",,,,"51,225,000",,,,"41,455,000",,,,"26,856,000",,,,"80,436,000",,,,"20,151,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","102,279,000","102,131,000","94,888,000","95,191,000",,,,,,,,"625,172,000","306,743,000","317,982,000","321,208,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900,000","8,800,000","8,800,000","8,800,000","8,400,000","90,700,000","80,300,000","79,700,000","110,800,000","105,500,000","132,300,000","131,300,000","163,300,000","163,300,000","159,100,000","166,600,000","150,700,000","151,200,000","170,900,000","169,800,000",,,,
		Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","207,928,000","209,557,000","428,139,000","420,441,000","404,526,000","398,565,000","410,995,000",,"391,146,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"492,000",,,,"100,510,000",,,,"24,324,000",,,,"59,344,000",,,,"26,238,000","31,315,000","31,558,000",,"18,798,000",,,,"5,415,000",,,,"21,807,000",,,,"25,016,000",,"26,000,000","26,300,000","23,699,000","10,100,000","14,400,000","20,500,000","23,062,000","24,200,000","43,800,000","48,600,000",,,,,,,,,,,,,,,,,,,,,
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,000,000","26,300,000","23,700,000","10,100,000","14,400,000","20,500,000","23,100,000","24,200,000","43,800,000","48,600,000",,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","207,928,000","209,557,000","428,139,000","420,441,000","404,526,000","398,565,000","410,995,000",,"391,146,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"492,000",,,,"100,510,000",,,,"24,324,000",,,,"59,344,000",,,,"26,238,000","31,315,000","31,558,000",,"18,798,000",,,,"5,415,000",,,,"21,807,000",,,,"25,016,000",,,,"23,699,000",,,,"23,062,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-23,700,000",,,,"-23,100,000",,,,,,,,,,,,,,,,,,,,,,,,
