name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
TotalAssets,"4,414,800,000","5,482,500,000","4,414,500,000","4,485,600,000","4,712,400,000","3,910,500,000","3,477,500,000","2,981,800,000","2,569,400,000","2,584,200,000","2,387,700,000","864,500,000"
	CurrentAssets,"2,571,300,000","3,456,600,000","2,555,100,000","2,818,100,000","3,513,800,000","2,860,000,000","2,583,000,000","2,158,600,000","1,792,700,000","1,857,100,000","1,749,300,000","581,700,000"
		CashCashEquivalentsAndShortTermInvestments,"879,300,000","1,606,900,000","924,200,000","1,606,800,000","2,685,300,000","2,110,500,000","2,022,800,000","1,755,000,000","1,432,700,000","1,487,100,000","1,476,300,000","378,100,000"
			CashAndCashEquivalents,"879,300,000","1,606,900,000","612,600,000","1,134,800,000","2,055,900,000","1,248,400,000","1,430,500,000","1,035,500,000","509,000,000","532,800,000","1,375,900,000","162,100,000"
			OtherShortTermInvestments,"0","0","311,600,000","472,000,000","629,400,000","862,100,000","592,300,000","719,500,000","923,700,000","954,300,000","100,400,000","216,000,000"
		Receivables,"74,700,000","94,700,000","81,100,000","71,400,000","30,300,000","54,100,000","49,900,000","34,600,000","51,200,000","22,000,000","20,900,000","18,500,000"
			AccountsReceivable,"74,700,000","94,700,000","81,100,000","71,400,000","30,300,000","54,100,000","49,900,000","34,600,000","51,200,000","22,000,000","20,900,000","18,500,000"
		Inventory,"1,410,000,000","1,541,300,000","1,269,200,000","937,100,000","614,200,000","522,800,000","364,000,000","244,500,000","194,200,000","243,600,000","205,600,000","136,600,000"
			RawMaterials,"97,700,000","100,300,000","105,200,000","109,800,000","54,700,000","34,000,000","24,100,000","17,800,000","13,000,000","8,500,000","2,200,000",
			WorkInProcess,"4,200,000","5,500,000","8,500,000","7,900,000","9,200,000","7,300,000","6,000,000","4,600,000","3,600,000","2,200,000",,
			FinishedGoods,"1,408,000,000","1,522,000,000","1,232,900,000","879,500,000","557,100,000","495,300,000","345,900,000","232,500,000","204,000,000","251,100,000","216,600,000",
			OtherInventories,,,,,"100,000","-100,000",,"100,000","-100,000",,"-100,000",
			InventoriesAdjustmentsAllowances,"-99,900,000","-86,500,000","-77,400,000","-60,100,000","-6,900,000","-13,700,000","-12,000,000","-10,500,000","-26,300,000","-18,200,000","-13,100,000",
		PrepaidAssets,"207,300,000","213,700,000","280,700,000","202,800,000","184,000,000","172,600,000","146,300,000","124,500,000","114,500,000","104,300,000","46,500,000","48,400,000"
		OtherCurrentAssets,,,"-100,000",,,,,,"100,000","100,000",,"100,000"
	TotalNonCurrentAssets,"1,843,400,000","2,026,000,000","1,859,500,000","1,667,400,000","1,198,700,000","1,050,400,000","894,500,000","823,300,000","776,800,000","727,100,000","638,500,000","283,100,000"
		NetPPE,"1,457,700,000","1,443,100,000","1,366,500,000","1,172,000,000","1,023,700,000","942,700,000","812,200,000","734,900,000","691,900,000","651,200,000","605,200,000","250,000,000"
			GrossPPE,"1,457,700,000","1,443,100,000","1,366,500,000","1,265,000,000","1,023,700,000","942,700,000","812,200,000","798,900,000","691,900,000","651,200,000","605,200,000","275,600,000"
				Properties,,,,"0",,,,"0","0","0","0","2,300,000"
				LandAndImprovements,,,,"14,000,000",,,,"7,100,000",,,,
				BuildingsAndImprovements,,,,"22,200,000",,,,"9,200,000","484,600,000","492,100,000","485,500,000","147,100,000"
				MachineryFurnitureEquipment,,,,"210,500,000",,,,"42,500,000",,,,"35,200,000"
				OtherProperties,"1,457,700,000","1,443,100,000","1,366,500,000","635,500,000","1,023,700,000","942,700,000","812,200,000","527,600,000","691,900,000","651,200,000","605,200,000","3,300,000"
				ConstructionInProgress,,,,"129,100,000",,,,"97,100,000",,,,"40,100,000"
				Leases,,,,"253,700,000",,,,"115,400,000",,,,"47,600,000"
