name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalRevenue,"995,736,000","282,680,000","246,070,000","250,099,000","216,887,000","161,458,000","154,344,000","133,710,000","106,109,000","395,069,000","434,793,000","541,847,000","529,494,000","546,179,000","425,414,000","434,041,000","459,888,000","385,219,000","313,712,000","282,730,000","213,492,000","171,931,000","163,921,053","116,904,000","68,165,000","87,930,000","131,865,872"
	OperatingRevenue,"995,736,000","282,680,000","246,070,000","250,099,000","216,887,000","161,458,000","154,344,000","133,710,000","106,109,000","395,069,000","434,793,000","541,847,000","529,494,000","546,179,000","425,414,000","434,041,000","459,888,000","385,219,000","313,712,000","282,730,000","213,492,000","171,931,000","163,921,053","116,904,000","68,165,000","87,930,000","131,865,872"
CostOfRevenue,"867,912,000","229,125,000","220,485,000","222,221,000","196,080,000","156,856,000","151,092,000","137,059,000","108,366,000","341,053,000","344,745,000","434,575,000","421,700,000","414,640,000","325,131,000","343,363,000","373,164,000","317,058,000","279,074,000","240,178,000","189,483,000","160,716,000","159,650,665","121,013,000","75,643,000","91,374,000","126,424,319"
GrossProfit,"127,824,000","53,555,000","25,585,000","27,878,000","20,807,000","4,602,000","3,252,000","-3,349,000","-2,257,000","54,016,000","90,048,000","107,272,000","107,794,000","131,539,000","100,283,000","90,678,000","86,724,000","68,161,000","34,638,000","42,552,000","24,009,000","11,215,000","4,270,388","-4,109,000","-7,478,000","-3,444,000","5,441,553"
OperatingExpense,"94,427,000","31,707,000","23,842,000","21,348,000","17,529,000","20,201,000","19,682,000","21,817,000","20,331,000","24,937,000","31,104,000","27,558,000","27,889,000","18,524,000","15,015,000","12,821,000","14,178,000","11,944,000","10,334,000","11,106,000","7,916,000","19,859,000","9,416,036","5,856,000","5,536,000","5,808,000","7,122,182"
	SellingGeneralAndAdministration,"94,427,000","31,707,000","23,842,000","21,348,000","17,529,000","20,201,000","19,682,000","21,817,000","20,331,000","24,937,000","31,104,000","27,558,000","27,889,000","18,524,000","15,015,000","12,821,000","14,178,000","11,944,000","10,334,000","11,106,000","7,916,000","19,859,000","9,416,036","5,856,000","5,536,000","5,808,000","7,122,182"
		GeneralAndAdministrativeExpense,"94,427,000","31,707,000","23,842,000","21,348,000","17,529,000","20,201,000","19,682,000","21,817,000","20,331,000","24,937,000","31,104,000","27,558,000","27,889,000","18,524,000","15,015,000","12,821,000","14,178,000","11,944,000","10,334,000","11,106,000","7,916,000","19,859,000","9,416,036","5,856,000","5,536,000","5,808,000","7,122,182"
			OtherGandA,"94,427,000","31,707,000","23,842,000","21,348,000","17,529,000","20,201,000","19,682,000","21,817,000","20,331,000","24,937,000","31,104,000","27,558,000","27,889,000","18,524,000","15,015,000","12,821,000","14,178,000","11,944,000","10,334,000","11,106,000","7,916,000","19,859,000","9,416,036","5,856,000","5,536,000","5,808,000","7,122,182"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,"24,710,000",,,,"17,026,000","14,745,000","12,706,000","11,151,000","10,872,665","10,790,000","10,794,000","11,085,000","12,497,950"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,"24,710,000",,,,"17,026,000","14,745,000","12,706,000","11,151,000","10,872,665","10,790,000","10,794,000","11,085,000","12,497,950"
OperatingIncome,"33,397,000","21,848,000","1,743,000","6,530,000","3,278,000","-15,599,000","-16,430,000","-25,166,000","-22,588,000","29,079,000","58,944,000","79,714,000","79,905,000","113,015,000","85,268,000","77,857,000","72,546,000","56,217,000","24,304,000","31,446,000","16,093,000","-8,644,000","-5,145,648","-9,965,000","-13,014,000","-9,252,000","-1,680,629"
NetNonOperatingInterestIncomeExpense,"-572,000","-134,000","-137,000","-143,000","-159,000","-176,000","-175,000","-137,000","-791,000","-1,281,000","-1,463,000","-1,749,000","-2,026,000","-1,903,000","-1,916,000","-1,480,000","-2,231,000","-1,261,000","-878,000","-644,000","-650,000","-5,175,000","-4,444,564","-4,550,000","-5,977,000","-5,415,000","-5,183,438"
	InterestExpenseNonOperating,"572,000","134,000","137,000","143,000","159,000","176,000","175,000","137,000","791,000","1,281,000","1,463,000","1,749,000","2,026,000","1,903,000","1,916,000","1,480,000","2,231,000","1,261,000","878,000","644,000","650,000","5,175,000","4,444,564","4,550,000","5,977,000","5,415,000","5,183,438"
OtherIncomeExpense,"-58,270,000","-5,760,000","-24,451,000","-12,733,000","-15,327,000","-11,263,000","-39,900,000","-11,598,000","-9,001,000","-36,511,000","-28,816,000","-31,228,000","-31,474,000","-19,415,000","-16,317,000","-16,500,000","-19,172,000","-7,895,000","-10,348,000","-8,933,000","-10,414,000","-10,416,000","-17,055,315","-6,029,000","4,792,000","-5,065,000","-6,030,030"
	SpecialIncomeCharges,"-67,711,000","-16,117,000","-24,146,000","-12,424,000","-15,025,000","-13,052,000","-39,609,000","-11,286,000","-8,734,000","-36,508,000","-28,638,000","-31,153,000","-31,198,000","-19,228,000","-16,159,000","-16,407,000","-18,990,000","-7,665,000","-10,115,000","-8,742,000","-9,787,000","-10,442,000","-17,152,184","-5,923,000","4,806,000","-4,767,000","-6,175,249"
		ImpairmentOfCapitalAssets,,,"0","0","0","0","21,348,000","0","0","16,654,000","3,405,000",,,,,,,,"0",,,,"7,482,574",,,,"0"
		WriteOff,,,,,,,,,,"16,654,000","3,405,000",,,,,,,,,,,,,,,,"0"
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,"10,348,000","8,933,000","10,414,000",,"0","6,029,000","-6,975,000",,"6,030,030"
		GainOnSaleOfPPE,"-67,711,000","-16,117,000","-24,146,000","-12,424,000","-15,025,000","-13,052,000","-18,261,000","-11,286,000","-8,734,000","-19,854,000","-25,233,000","-31,153,000","-31,198,000","-19,228,000","-16,159,000","-16,407,000","-18,990,000","-7,665,000","-10,115,000","-8,742,000","-9,787,000","-10,442,000","-9,669,610","-5,923,000","-2,169,000","-4,767,000","-6,175,249"
	OtherNonOperatingIncomeExpenses,"9,441,000","10,357,000","-305,000","-309,000","-302,000","1,789,000","-291,000","-312,000","-267,000","-3,000","-178,000","-75,000","-276,000","-187,000","-158,000","-93,000","-182,000","-230,000","-233,000","-191,000","-627,000","26,000","96,869","-106,000","-14,000","-298,000","145,219"
PretaxIncome,"-25,445,000","15,954,000","-22,845,000","-6,346,000","-12,208,000","-27,038,000","-56,505,000","-36,901,000","-32,380,000","-8,713,000","28,665,000","46,737,000","46,405,000","91,697,000","67,035,000","59,877,000","51,143,000","47,061,000","13,078,000","21,869,000","5,029,000","-24,235,000","-26,645,527","-20,544,000","-14,199,000","-19,732,000","-12,894,097"
TaxProvision,"-3,452,000","4,137,000","-2,613,000","-1,279,000","-3,697,000","-6,663,000","-12,393,000","-7,717,000","-6,460,000","-909,000","5,990,000","12,340,000","10,272,000","21,892,000","15,257,000","13,592,000","12,052,000","10,353,000","3,000,000","-96,000","108,000","116,000","-9,327,906","-6,946,000","-4,905,000","-6,792,000","-4,624,730"
NetIncomeCommonStockholders,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
	NetIncome,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
		NetIncomeIncludingNoncontrollingInterests,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
			NetIncomeContinuousOperations,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
DilutedNIAvailtoComStockholders,"-21,993,000","11,817,000","-20,232,000","-5,067,000","-8,511,000","-20,375,000","-44,112,000","-29,184,000","-25,920,000","-7,804,000","22,675,000","34,397,000","36,133,000","69,805,000","51,778,000","46,285,000","39,091,000","36,708,000","10,078,000","21,965,000","4,921,000","-24,351,000","-17,317,621","-13,598,000","-9,294,000","-12,940,000","-8,269,367"
BasicEPS,,"0.11","-0.2","-0.05","-0.08","-0.2",,"-0.29","-0.26","-0.08","0.23","0.34","0.36","0.7","0.62","0.55","0.47","0.44","0.12","0.26","0.06","-0.43",,"-0.164","-0.112","-0.156",
DilutedEPS,,"0.11","-0.2","-0.05","-0.08","-0.2",,"-0.29","-0.26","-0.08","0.22","0.33","0.35","0.67","0.53","0.53","0.45","0.42","0.12","0.25","0.06","-0.43",,"-0.164","-0.112","-0.156",
