name,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
TotalAssets,"1,361,454,923","1,283,318,979","1,107,701,053","997,625,172","962,366,470","903,067,301","783,111,028","864,478,249"
TotalLiabilitiesNetMinorityInterest,"26,588,244","49,292,059","15,392,608","29,381,006","10,421,315","22,665,206","16,180,555","20,060,853"
TotalEquityGrossMinorityInterest,"1,334,866,679","1,234,026,920","1,092,308,445","968,244,166","951,945,155","880,402,095","766,930,473","844,417,396"
	StockholdersEquity,"1,334,866,679","1,234,026,920","1,092,308,445","968,244,166","951,945,155","880,402,095","766,930,473","844,417,396"
		CapitalStock,"450,475","432,422","415,079","409,567","394,687","393,017","378,304","366,616"
			CommonStock,"450,475","432,422","415,079","409,567","394,687","393,017","378,304","366,616"
		AdditionalPaidInCapital,"344,800,166","337,660,299","289,708,405","338,793,545","304,525,091","359,582,259","327,533,343","308,371,153"
		RetainedEarnings,"989,616,038","895,934,199","802,184,961","629,041,054","647,025,377","520,426,819","439,018,826","-30,227,126"
CommonStockEquity,"1,334,866,679","1,234,026,920","1,092,308,445","968,244,166","951,945,155","880,402,095","766,930,473","844,417,396"
NetTangibleAssets,"1,334,866,679","1,234,026,920","1,092,308,445","968,244,166","951,945,155","880,402,095","766,930,473","844,417,396"
TangibleBookValue,"1,334,866,679","1,234,026,920","1,092,308,445","968,244,166","951,945,155","880,402,095","766,930,473","844,417,396"
ShareIssued,"45,047,519","43,242,176","41,507,902","40,956,675","39,468,715","39,301,662","37,830,404","36,661,625"
OrdinarySharesNumber,"45,047,519","43,242,176","41,507,902","40,956,675","39,468,715","39,301,662","37,830,404","36,661,625"
