name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"261,248,000","90,657,000","67,137,000","53,832,000","49,622,000","44,675,000","30,188,000","20,690,000","14,227,000","15,916,000"
	SellingGeneralAndAdministration,"77,872,000","29,312,000","20,349,000","14,365,000","13,846,000","15,210,000","7,458,000","3,713,000","2,178,000","2,569,000"
		GeneralAndAdministrativeExpense,"77,872,000","29,312,000","20,349,000","14,365,000","13,846,000","15,210,000","7,458,000","3,713,000","2,178,000","2,569,000"
			OtherGandA,"77,872,000","29,312,000","20,349,000","14,365,000","13,846,000","15,210,000","7,458,000","3,713,000","2,178,000","2,569,000"
	ResearchAndDevelopment,"183,376,000","61,345,000","46,788,000","39,467,000","35,776,000","29,465,000","22,730,000","16,977,000","12,049,000","13,347,000"
OperatingIncome,"-261,248,000","-90,657,000","-67,137,000","-53,832,000","-49,622,000","-44,675,000","-30,188,000","-20,690,000","-14,227,000","-15,916,000"
NetNonOperatingInterestIncomeExpense,"433,000","216,000","-140,000","246,000","111,000","247,000","-11,687,000","-8,804,000","281,000","538,000"
	InterestIncomeNonOperating,"2,452,000","816,000","682,000","605,000","349,000","247,000","131,000","143,000","281,000","538,000"
	InterestExpenseNonOperating,"2,019,000","600,000","822,000","359,000","238,000",,"11,818,000","8,947,000","0",
OtherIncomeExpense,"199,574,000","88,000","50,000","68,937,000","130,499,000","-30,661,000","-652,867,000","-346,360,000",,
	GainOnSaleOfSecurity,,,"0","68,934,000","130,504,000","-30,764,000",,,,
	OtherNonOperatingIncomeExpenses,"136,000","88,000","50,000","3,000","-5,000","103,000","-652,867,000","-346,360,000",,
PretaxIncome,"-61,241,000","-90,353,000","-67,227,000","15,351,000","80,988,000","-75,089,000","-694,742,000","-375,854,000","-13,946,000","-15,378,000"
NetIncomeCommonStockholders,"-61,239,000","-90,352,000","-67,226,000","15,351,000","80,988,000","-75,079,000","-694,742,000","-375,853,000","-13,945,000","-15,374,000"
	NetIncome,"-61,239,000","-90,352,000","-67,226,000","15,351,000","80,988,000","-75,079,000","-694,742,000","-375,853,000","-13,945,000","-15,374,000"
		NetIncomeIncludingNoncontrollingInterests,"-61,241,000","-90,353,000","-67,227,000","15,351,000","80,988,000","-75,089,000","-694,742,000","-375,854,000","-13,946,000","-15,378,000"
			NetIncomeContinuousOperations,"-61,241,000","-90,353,000","-67,227,000","15,351,000","80,988,000","-75,089,000","-694,742,000","-375,854,000","-13,946,000","-15,378,000"
		MinorityInterests,"2,000","1,000","1,000","0","0","10,000","0","1,000","1,000","4,000"
AverageDilutionEarnings,,,"0","-68,934,000","-130,504,000",,,"0","0",
DilutedNIAvailtoComStockholders,"-229,913,000","-90,352,000","-67,226,000","-53,583,000","-49,516,000","-75,079,000","-694,742,000","-375,853,000","-13,945,000","-15,374,000"
BasicEPS,,"-0.21","-0.16","0.04","0.2","-0.2","-2.41","-1.57","-0.058","-0.064"
DilutedEPS,,"-0.21","-0.16","-0.13","0.12","-0.2","-2.41","-1.57","-0.058","-0.064"
BasicAverageShares,,"429,335,000","424,704,000","417,829,000","404,957,000","368,783,516","288,792,859","239,922,000","239,922,000","239,922,000"
DilutedAverageShares,,"429,335,000","424,704,000","420,649,000","410,372,000","368,783,516","288,792,859","239,922,000","239,922,000","239,922,000"
TotalOperatingIncomeAsReported,"-261,248,000","-90,657,000","-67,137,000","-53,832,000","-49,622,000","-44,675,000","-30,188,000","-20,690,000","-14,227,000","-15,916,000"
TotalExpenses,"261,248,000","90,657,000","67,137,000","53,832,000","49,622,000","44,675,000","30,188,000","20,690,000","14,227,000","15,916,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-61,239,000","-90,352,000","-67,226,000","15,351,000","80,988,000","-75,079,000","-694,742,000","-375,853,000","-13,945,000","-15,374,000"
NormalizedIncome,"-260,677,000","-90,352,000","-67,226,000","-34,970,820","-14,279,920","-44,315,000","-694,742,000","-375,853,000","-13,945,000","-15,374,000"
InterestIncome,"2,452,000","816,000","682,000","605,000","349,000","247,000","131,000","143,000","281,000","538,000"
InterestExpense,"2,019,000","600,000","822,000","359,000","238,000",,"11,818,000","8,947,000","0",
NetInterestIncome,"433,000","216,000","-140,000","246,000","111,000","247,000","-11,687,000","-8,804,000","281,000","538,000"
EBIT,"-59,222,000","-89,753,000","-66,405,000","15,710,000","81,226,000","-44,675,000","-682,924,000","-366,907,000","-13,946,000","-15,916,000"
EBITDA,"-40,428,000"
ReconciledDepreciation,"18,794,000","6,516,000","4,477,000","3,796,000","3,854,000","2,572,000","3,104,000","1,951,000","1,938,000","1,742,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-61,239,000","-90,352,000","-67,226,000","15,351,000","80,988,000","-75,079,000","-694,742,000","-375,853,000","-13,945,000","-15,374,000"
TotalUnusualItemsExcludingGoodwill,"199,438,000",,"0","68,934,000","130,504,000","-30,764,000",,,,
TotalUnusualItems,"199,438,000",,"0","68,934,000","130,504,000","-30,764,000",,,,
NormalizedEBITDA,"-239,866,000","-83,237,000","-61,928,000","-49,428,000","-45,424,000","-11,339,000","-679,820,000","-364,956,000","-12,008,000","-14,174,000"
TaxRateForCalcs,"0","0","0","0.27","0.27","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","18,612,180","35,236,080","0","0","0","0","0"
