name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2019
OperatingCashFlow,"-19,753,000","-4,659,000","-2,189,000","-9,076,000","-3,829,000","600,000","628,000"
	CashFlowFromContinuingOperatingActivities,"-19,753,000","-4,659,000","-2,189,000","-9,076,000","-3,829,000","600,000","628,000"
		NetIncomeFromContinuingOperations,"-66,112,000","-4,645,000","-15,221,000","-8,909,000","-37,337,000","-8,185,000","-30,388,000"
		OperatingGainsLosses,"-43,281,000","-24,232,000","-6,171,000","-16,540,000","3,662,000","-14,607,000","19,626,000"
			NetForeignCurrencyExchangeGainLoss,"-43,281,000","-24,232,000","-6,171,000","-16,540,000","3,662,000","-14,607,000","19,626,000"
		DepreciationAmortizationDepletion,"69,111,000","18,751,000","17,957,000","16,828,000","15,575,000","14,080,000","4,859,000"
			DepreciationAndAmortization,"69,111,000","18,751,000","17,957,000","16,828,000","15,575,000","14,080,000","4,859,000"
		DeferredTax,"-5,427,000","-3,986,000","-5,520,000","-1,283,000","5,362,000","-1,909,000","-570,000"
			DeferredIncomeTax,"-5,427,000","-3,986,000","-5,520,000","-1,283,000","5,362,000","-1,909,000","-570,000"
		AssetImpairmentCharge,"3,076,000","765,000","218,000","386,000","1,707,000","687,000","1,243,000"
		ProvisionandWriteOffofAssets,"825,000","98,000","417,000","263,000","47,000","-45,000","196,000"
		StockBasedCompensation,"16,291,000","4,592,000","3,979,000","3,878,000","3,842,000","4,103,000","0"
		OtherNonCashItems,"4,324,000","1,473,000","1,255,000","885,000","711,000","452,000","1,475,000"
		ChangeInWorkingCapital,"1,440,000","2,525,000","897,000","-4,584,000","2,602,000","6,024,000","4,187,000"
			ChangeInReceivables,"-3,517,000","-1,707,000","-1,193,000","-1,064,000","447,000","-151,000","-1,600,000"
				ChangesInAccountReceivables,"-3,517,000","-1,707,000","-1,193,000","-1,064,000","447,000","-151,000","-1,600,000"
			ChangeInPrepaidAssets,"-3,044,000","1,563,000","-2,495,000","-3,459,000","1,347,000","-1,878,000","-5,746,000"
			ChangeInPayablesAndAccruedExpense,"1,808,000","-1,309,000","3,298,000","283,000","-464,000","4,084,000","9,786,000"
				ChangeInPayable,"1,808,000","-1,309,000","3,298,000","283,000","-464,000","4,084,000","9,786,000"
					ChangeInAccountPayable,"1,808,000","-1,309,000","3,298,000","283,000","-464,000","4,084,000","9,786,000"
			ChangeInOtherWorkingCapital,"6,193,000","3,978,000","1,287,000","-344,000","1,272,000","3,969,000","1,747,000"
InvestingCashFlow,"-439,023,000","-73,323,000","-116,122,000","-131,013,000","-118,565,000","-105,012,000","-24,493,000"
	CashFlowFromContinuingInvestingActivities,"-439,023,000","-73,323,000","-116,122,000","-131,013,000","-118,565,000","-105,012,000","-24,493,000"
		CapitalExpenditureReported,,,,,,,"-28,796,000"
		NetPPEPurchaseAndSale,"-439,023,000","-73,323,000","-116,122,000","-131,013,000","-118,565,000","-105,012,000","-28,950,000"
			PurchaseOfPPE,"-439,023,000","-73,323,000","-116,122,000","-131,013,000","-118,565,000","-105,012,000","-28,950,000"
		NetBusinessPurchaseAndSale,,,"0","0","0","0","4,457,000"
			PurchaseOfBusiness,,,"0","0","0","0","0"
FinancingCashFlow,"1,059,643,000","244,475,000","335,940,000","217,947,000","261,281,000","87,625,000","52,093,000"
	CashFlowFromContinuingFinancingActivities,"1,059,643,000","244,475,000","335,940,000","217,947,000","261,281,000","87,625,000","52,093,000"
		NetIssuancePaymentsOfDebt,"731,669,000","250,040,000","149,622,000","260,254,000","71,753,000","89,405,000","54,514,000"
			NetLongTermDebtIssuance,"731,669,000","250,040,000","149,622,000","260,254,000","71,753,000","89,405,000","54,514,000"
				LongTermDebtIssuance,"749,998,000","256,203,000","154,295,000","264,500,000","75,000,000","93,940,000","75,480,000"
				LongTermDebtPayments,"-18,329,000","-6,163,000","-4,673,000","-4,246,000","-3,247,000","-4,535,000","-20,966,000"
		NetCommonStockIssuance,,,"0","0",,,
			CommonStockIssuance,,,"0","0",,,
		ProceedsFromStockOptionExercised,"188,959,000","88,000","188,684,000","48,000",,,
		NetOtherFinancingCharges,"-52,446,000","-5,653,000","-2,366,000","-42,355,000","-2,072,000","-1,780,000","-2,421,000"
EndCashPosition,"797,601,000","792,260,000","632,193,000","414,918,000","336,808,000","196,734,000","78,046,000"
	ChangesInCash,"600,867,000","166,493,000","217,629,000","77,858,000","138,887,000","-16,787,000","28,228,000"
	EffectOfExchangeRateChanges,"-5,341,000","-6,426,000","-354,000","252,000","1,187,000","-1,927,000","-3,124,000"
	BeginningCashPosition,"196,734,000","632,193,000","414,918,000","336,808,000","196,734,000","215,448,000","52,942,000"
IncomeTaxPaidSupplementalData,"1,890,000","150,000","437,000","435,000","868,000","581,000","185,000"
InterestPaidSupplementalData,"47,616,000","15,459,000","10,993,000","11,099,000","10,065,000","9,502,000","9,664,000"
CapitalExpenditure,"-439,023,000","-73,323,000","-116,122,000","-131,013,000","-118,565,000","-105,012,000","-28,950,000"
IssuanceOfCapitalStock,,,"0","0",,,
IssuanceOfDebt,"749,998,000","256,203,000","154,295,000","264,500,000","75,000,000","93,940,000","75,480,000"
RepaymentOfDebt,"-18,329,000","-6,163,000","-4,673,000","-4,246,000","-3,247,000","-4,535,000","-20,966,000"
FreeCashFlow,"-458,776,000","-77,982,000","-118,311,000","-140,089,000","-122,394,000","-104,412,000","-28,322,000"
