name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
TotalRevenue,"1,517,700,000","385,700,000","398,900,000","379,700,000","353,400,000","342,600,000","328,400,000","307,200,000","314,700,000","320,500,000","314,000,000","301,200,000","295,000,000","275,900,000","262,900,000","250,400,000","207,900,000","147,300,000","140,300,000","123,200,000","99,400,000","86,900,000","106,157,000","125,535,000","8,672,000","352,193,000","68,341,000","15,842,000","22,085,000","10,971,000","47,456,000","90,745,000","58,975,000","12,964,000","83,861,000","18,342,000","374,408,000","28,157,000","-641,309,000","223,134,000","236,687,000","253,742,000","260,082,000","218,893,000","183,587,000","163,714,000","170,029,000","158,424,000","151,905,000","125,937,000","137,531,000","134,512,000","125,682,000","112,467,000","105,251,000","105,957,000"
	OperatingRevenue,"1,517,700,000","385,700,000","398,900,000","379,700,000","353,400,000","342,600,000","328,400,000","307,200,000","314,700,000","320,500,000","314,000,000","301,200,000","295,000,000","275,900,000","262,900,000","250,400,000","207,900,000","147,300,000","140,300,000","123,200,000","99,400,000","86,900,000","106,157,000","125,535,000","8,672,000","352,193,000","68,341,000","15,842,000","22,085,000","10,971,000","47,456,000","90,745,000","58,975,000","12,964,000","83,861,000","18,342,000","374,408,000","28,157,000","-641,309,000","223,134,000","236,687,000","253,742,000","260,082,000","218,893,000","183,587,000","163,714,000","170,029,000","158,424,000","151,905,000","125,937,000","137,531,000","134,512,000","125,682,000","112,467,000","105,251,000","105,957,000"
CostOfRevenue,"1,192,100,000","296,500,000","304,600,000","304,000,000","287,000,000","267,200,000","263,700,000","255,200,000","248,300,000","253,900,000","262,600,000","241,900,000","246,100,000","237,200,000","222,700,000","219,300,000","189,900,000","138,700,000","127,200,000","111,800,000","96,400,000","80,900,000","62,079,000","47,376,000","45,112,000","45,130,000","38,693,000","45,326,000","42,762,000","42,196,000","43,893,000","45,370,000","47,949,000","44,932,000","41,749,000","47,544,000","49,926,000","47,533,000","-388,712,000","176,971,000","191,374,000","209,033,000","194,480,000","169,898,000","136,530,000","129,541,000","131,702,000","126,272,000","118,014,000","102,289,000","109,159,000","105,885,000","102,964,000","92,703,000","87,504,000","87,625,000"
GrossProfit,"325,600,000","89,200,000","94,300,000","75,700,000","66,400,000","75,400,000","64,700,000","52,000,000","66,400,000","66,600,000","51,400,000","59,300,000","48,900,000","38,700,000","40,200,000","31,100,000","18,000,000","8,600,000","13,100,000","11,400,000","3,000,000","6,000,000","44,078,000","78,159,000","-36,440,000","307,063,000","29,648,000","-29,484,000","-20,677,000","-31,225,000","3,563,000","45,375,000","11,026,000","-31,968,000","42,112,000","-29,202,000","324,482,000","-19,376,000","-252,597,000","46,163,000","45,313,000","44,709,000","65,602,000","48,995,000","47,057,000","34,173,000","38,327,000","32,152,000","33,891,000","23,648,000","28,372,000","28,627,000","22,718,000","19,764,000","17,747,000","18,332,000"
OperatingExpense,"123,300,000","28,900,000","32,200,000","33,200,000","29,000,000","25,600,000","27,900,000","25,700,000","23,300,000","25,500,000","27,800,000","28,300,000","25,800,000","22,500,000","28,800,000","29,600,000","22,500,000","17,000,000","14,700,000","15,100,000","12,200,000","14,300,000","15,740,000","16,201,000","24,660,000","17,536,000","15,237,000","21,395,000","20,969,000","17,362,000","16,274,000","16,785,000","19,458,000","17,366,000","16,657,000","22,562,000","18,675,000","22,057,000","-60,990,000","39,754,000","46,621,000","42,365,000","43,405,000","36,767,000","33,828,000","33,772,000","29,095,000","27,671,000","26,457,000","22,476,000","20,483,000","21,643,000","19,799,000","19,992,000","18,065,000","14,816,000"
	SellingGeneralAndAdministration,"123,300,000","28,900,000","32,200,000","33,200,000","29,000,000","25,600,000","27,900,000","25,700,000","23,300,000","25,500,000","27,800,000","28,300,000","25,800,000","22,500,000","28,800,000","29,600,000","22,500,000","17,000,000","14,700,000","15,100,000","12,200,000","14,300,000","15,740,000","16,201,000","24,660,000","17,536,000","15,237,000","21,395,000","20,969,000","17,362,000","16,274,000","16,785,000","19,458,000","17,366,000","16,657,000","22,562,000","18,675,000","22,057,000","-60,990,000","39,754,000","46,621,000","42,365,000","43,405,000","36,767,000","33,828,000","33,772,000","29,095,000","27,671,000","26,457,000","22,476,000","20,483,000","21,643,000","19,799,000","19,992,000","18,065,000","14,816,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,"31,800,000","25,400,000",,"14,700,000","15,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,"2,300,000","2,700,000",,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,"29,500,000","22,700,000",,"14,700,000","15,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"11,900,000",,,,,,,"4,200,000","3,200,000","4,500,000","3,200,000","1,400,000","2,600,000","2,500,000","3,500,000","500,000",,"2,400,000","2,100,000",,,,"829,000","536,000","8,651,000","10,806,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
