name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalAssets,"461,192,000","485,282,000","503,464,000","523,724,000","543,098,000","559,198,000","314,244,000","329,583,000","234,097,000","250,423,000","151,438,000","143,541,000","154,326,000","152,187,000","153,816,000","59,293,000","65,151,000"
	CurrentAssets,"403,977,000","427,795,000","444,384,000","464,563,000","483,747,000","499,428,000","252,414,000","267,741,000","174,251,000","190,874,000","118,012,000","127,738,000","140,981,000","144,946,000","151,867,000","55,224,000","64,703,000"
		CashCashEquivalentsAndShortTermInvestments,"395,655,000","420,172,000","435,771,000","458,331,000","476,302,000","493,272,000","244,646,000","261,759,000","168,555,000","180,879,000","109,879,000","120,799,000","134,811,000","141,803,000","147,894,000","52,029,000","61,551,000"
			CashAndCashEquivalents,"105,948,000","132,275,000","159,969,000","192,528,000","182,518,000","324,475,000","43,326,000","104,797,000","59,500,000","63,002,000","53,298,000","38,364,000","25,704,000","21,052,000","23,282,000","12,910,000","17,583,000"
			OtherShortTermInvestments,"289,707,000","287,897,000","275,802,000","265,803,000","293,784,000","168,797,000","201,320,000","156,962,000","109,055,000","117,877,000","56,581,000","82,435,000","109,107,000","120,751,000","124,612,000","39,119,000","43,968,000"
		Receivables,"3,055,000","2,210,000","2,887,000","2,968,000","2,953,000","2,121,000","3,081,000","2,951,000","2,962,000","4,775,000","2,337,000","2,410,000","2,474,000","1,843,000","2,221,000","2,251,000","2,389,000"
			OtherReceivables,"3,055,000","2,210,000","2,887,000","2,968,000","2,953,000","2,121,000","3,081,000","2,951,000","2,962,000","4,775,000","2,337,000","2,410,000","2,474,000","1,843,000","2,221,000","2,251,000","2,389,000"
		PrepaidAssets,"5,267,000","5,413,000","5,726,000","3,264,000","4,492,000","4,035,000","4,687,000","3,031,000","2,734,000","5,220,000","5,796,000","4,529,000","3,696,000","1,300,000","1,752,000","944,000","763,000"
	TotalNonCurrentAssets,"57,215,000","57,487,000","59,080,000","59,161,000","59,351,000","59,770,000","61,830,000","61,842,000","59,846,000","59,549,000","33,426,000","15,803,000","13,345,000","7,241,000","1,949,000","4,069,000","448,000"
		NetPPE,"55,579,000","55,851,000","55,977,000","56,744,000","57,715,000","58,134,000","58,732,000","59,527,000","58,210,000","57,913,000","15,506,000","1,653,000","12,159,000","6,055,000","420,000","443,000","370,000"
			GrossPPE,"60,374,000","60,097,000","59,675,000","59,910,000","60,363,000","60,288,000","60,484,000","60,855,000","59,147,000","58,508,000","15,994,000","2,099,000","12,563,000","6,417,000","745,000","732,000","626,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"10,324,000","10,004,000","9,690,000","9,183,000","8,894,000","7,172,000","6,998,000","6,792,000","6,048,000","5,155,000","848,000","812,000","771,000","665,000","591,000","578,000","472,000"
				OtherProperties,"47,646,000","48,439,000","48,799,000","49,568,000","50,273,000","50,968,000","51,566,000","52,170,000","51,350,000","52,259,000","11,978,000","690,000","11,514,000",,,,
				ConstructionInProgress,"1,619,000","869,000","402,000","374,000","412,000","1,363,000","1,184,000","1,246,000","1,217,000","726,000","3,014,000","443,000","124,000","5,598,000",,,
				Leases,"785,000","785,000","784,000","785,000","784,000","785,000","736,000","647,000","532,000","368,000","154,000","154,000","154,000","154,000","154,000","154,000","154,000"
			AccumulatedDepreciation,"-4,795,000","-4,246,000","-3,698,000","-3,166,000","-2,648,000","-2,154,000","-1,752,000","-1,328,000","-937,000","-595,000","-488,000","-446,000","-404,000","-362,000","-325,000","-289,000","-256,000"
		NonCurrentAccountsReceivable,,,"1,467,000","781,000",,,"1,462,000","679,000",,,"1,212,000","613,000",,,"343,000","426,000",
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,"1,344,000",
		NonCurrentPrepaidAssets,,,,,,,,,,,"15,072,000","11,901,000",,,,,
		OtherNonCurrentAssets,"1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,636,000","1,186,000","1,186,000","1,186,000","1,856,000","78,000"
TotalLiabilitiesNetMinorityInterest,"49,963,000","47,773,000","46,052,000","44,700,000","44,370,000","43,003,000","52,854,000","51,769,000","50,379,000","52,858,000","30,797,000","13,389,000","16,470,000","8,948,000","3,780,000","97,992,000","5,216,000"
