name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
OperatingCashFlow,"286,679,000","91,592,000","51,520,000","78,266,000","65,301,000","36,376,000","36,346,000","75,469,000","24,686,000","46,493,000","31,869,000","46,097,000","25,364,000","36,184,000","21,830,000","35,821,000","19,924,000","25,200,000","18,521,000","26,849,000","12,203,000","19,077,000","12,422,000","19,655,000","10,225,000","14,130,000","8,948,000","13,736,000","8,049,000","9,775,000","6,603,000","8,526,000","6,219,000","3,156,000","1,030,000","1,372,000","-720,000","1,619,000","-1,410,000","1,591,000"
	CashFlowFromContinuingOperatingActivities,"286,679,000","91,592,000","51,520,000","78,266,000","65,301,000","36,376,000","36,346,000","75,469,000","24,686,000","46,493,000","31,869,000","46,097,000","25,364,000","36,184,000","21,830,000","35,821,000","19,924,000","25,200,000","18,521,000","26,849,000","12,203,000","19,077,000","12,422,000","19,655,000","10,225,000","14,130,000","8,948,000","13,736,000","8,049,000","9,775,000","6,603,000","10,651,000","6,219,000","3,149,000","873,000","1,372,000","163,000","1,324,000","-1,998,000","1,591,000"
		NetIncomeFromContinuingOperations,"154,503,000","48,900,000","39,380,000","40,186,000","26,037,000","30,643,000","18,155,000","31,197,000","16,271,000","15,272,000","24,382,000","12,948,000","15,954,000","10,717,000","15,207,000","8,965,000","7,819,000","15,084,000","14,115,000","2,009,000","19,855,000","5,721,000","8,546,000","3,061,000","12,792,000","1,477,000","1,056,000","617,000","196,000","81,000","145,000","-679,000","81,000","1,429,000","-467,000","2,053,000","-1,682,000","-2,702,000","-2,473,000","-2,100,000"
		OperatingGainsLosses,"-28,999,000","-8,305,000","-5,813,000","-11,721,000","-2,750,000","-10,860,000","156,000",,,,"-10,592,000","-895,000",,,"-5,631,000","0","-1,608,000","-9,983,000","-10,383,000","0","-16,569,000","-2,657,000","-5,814,000","-1,328,000","-11,625,000","-61,000","-35,000","-373,000","-83,000","-1,000","25,000","2,273,000","51,000","-2,170,000","-1,825,000","-3,366,000","-637,000","-711,000","-522,000","-668,000"
			GainLossOnInvestmentSecurities,"-29,504,000","-8,305,000","-5,813,000","-12,226,000","-2,750,000","-10,860,000","52,000",,,,"-10,592,000","-895,000",,,"-5,631,000","0","-1,608,000","-9,983,000","-10,336,000","0","-16,569,000","-2,668,000","-5,814,000","0",,,,,,,"0","2,275,000","0","-2,125,000","-4,989,000","-49,000","-526,000","-612,000","-612,000","-611,000"
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,"0",,,,"0","0","0","-11,000","0","-1,328,000","-62,000","-61,000","-35,000","-45,000","-12,000","-1,000","25,000","-2,000","51,000","-45,000","713,000","212,000","-56,000","-99,000","90,000","-57,000"
		DepreciationAmortizationDepletion,"140,774,000","37,380,000","35,067,000","35,485,000","32,842,000","32,432,000","27,843,000","26,060,000","25,712,000","25,121,000","24,686,000","23,431,000","22,622,000","20,245,000","19,044,000","18,522,000","18,159,000","18,336,000","17,700,000","17,086,000","14,314,000","13,482,000","14,147,000","13,302,000","12,670,000","11,210,000","10,869,000","10,711,000","10,536,000","9,923,000","8,558,000","8,183,000","6,076,000","6,211,000","3,609,000","3,342,000","4,030,000","3,083,000","2,571,000","3,719,000"
			DepreciationAndAmortization,"140,774,000","37,380,000","35,067,000","35,485,000","32,842,000","32,432,000","27,843,000","26,060,000","25,712,000","25,121,000","24,686,000","23,431,000","22,622,000","20,245,000","19,044,000","18,522,000","18,159,000","18,336,000","17,700,000","17,086,000","14,314,000","13,482,000","14,147,000","13,302,000","12,670,000","11,210,000","10,869,000","10,711,000","10,536,000","9,923,000","8,558,000","8,183,000","6,076,000","6,211,000","3,609,000","3,342,000","4,030,000","3,083,000","2,571,000","3,719,000"
				Depreciation,"158,596,000","42,471,000","41,221,000","38,676,000","36,228,000","35,144,000","30,554,000","28,811,000","28,381,000","27,523,000","26,877,000","25,496,000","24,522,000","21,996,000","20,671,000","20,144,000","19,775,000","19,452,000","18,767,000","17,971,000","14,515,000","13,599,000","14,242,000","13,341,000","12,610,000","11,214,000","10,821,000","10,642,000","10,490,000","9,884,000","8,443,000","8,032,000","6,003,000","6,130,000","3,453,000","3,286,000","3,975,000","3,037,000","2,546,000","3,657,000"
				AmortizationCashFlow,"-17,822,000","-5,091,000","-6,154,000","-3,191,000","-3,386,000","-2,712,000","-2,711,000","-2,751,000","-2,669,000","-2,402,000","-2,191,000","-2,065,000","-1,900,000","-1,751,000","-1,627,000","-1,622,000","-1,616,000","-1,116,000","-1,067,000","-885,000","-201,000","-117,000","-95,000","-39,000","60,000","-4,000","48,000","69,000","46,000","39,000","115,000","151,000","73,000","81,000","156,000","56,000","55,000","46,000","25,000","62,000"
					AmortizationOfIntangibles,"-17,822,000","-5,091,000","-6,154,000","-3,191,000","-3,386,000","-2,712,000","-2,711,000","-2,751,000","-2,669,000","-2,402,000","-2,191,000","-2,065,000","-1,900,000","-1,751,000","-1,627,000","-1,622,000","-1,616,000","-1,116,000","-1,067,000","-885,000","-201,000","-117,000","-95,000","-39,000","60,000","-4,000","48,000","69,000","46,000","39,000","115,000","151,000","73,000","81,000","156,000","56,000","55,000","46,000","25,000","62,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,"0",,,,,"0","0","0","0","0","-38,000","-71,000","-69,000","-68,000","-66,000","-65,000","-64,000","-32,000","-62,000","-93,000","-91,000","-145,000","-31,000"
		ProvisionandWriteOffofAssets,,,,,,,,,,,,"383,000","289,000","177,000","294,000","393,000","190,000","221,000","198,000","234,000","326,000","303,000","182,000",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"21,297,000","6,052,000","6,276,000","4,506,000","4,463,000","4,261,000","2,490,000","3,102,000","3,709,000","3,570,000","2,800,000","2,668,000","2,709,000","2,579,000","2,281,000","2,243,000","2,660,000","2,963,000","1,328,000","1,330,000","1,394,000","1,346,000","956,000","992,000","953,000","934,000","494,000","443,000","467,000","348,000","251,000","340,000","279,000","172,000","19,000","66,000",,"0","0","0"
		OtherNonCashItems,"-25,542,000","-6,320,000","-5,422,000","-10,199,000","-4,011,000","-3,371,000","-1,094,000","-2,781,000","-5,890,000","-1,345,000","-1,851,000","-1,732,000","-894,000","-1,722,000","-1,146,000","-998,000","-1,340,000","-1,656,000","-1,222,000","-1,054,000","-654,000","-895,000","-1,006,000","-1,309,000","-717,000","-933,000","161,000","167,000","176,000","117,000","124,000","124,000","109,000","118,000","653,000","534,000","507,000","503,000","459,000","439,000"
		ChangeInWorkingCapital,"23,654,000","13,885,000","-18,960,000","20,009,000","8,720,000","-16,729,000","-11,204,000","31,560,000","-15,116,000","3,875,000","-6,707,000","9,294,000","-10,506,000","4,188,000","-8,219,000","6,696,000","-5,956,000","235,000","-3,215,000","7,244,000","-6,463,000","1,777,000","-4,589,000","3,832,000","-3,848,000","1,503,000","-3,597,000","2,209,000","-3,172,000","-624,000","-2,432,000","476,000","-312,000","-2,547,000","-1,084,000","-1,195,000","-1,962,000","1,242,000","-1,888,000","232,000"
			ChangeInReceivables,"-2,053,000","1,239,000","-1,220,000","-1,584,000","-488,000","2,547,000","-4,367,000","19,270,000","1,069,000","300,000","-601,000","-1,147,000","654,000","219,000","-196,000","-1,515,000","-764,000","128,000","-853,000","-630,000","-49,000","-475,000","-300,000","-728,000","-61,000","101,000","-819,000","-11,000","-318,000","-80,000","-74,000","-271,000","-213,000","-325,000","-202,000","77,000","253,000","-163,000","85,000","-117,000"
				ChangesInAccountReceivables,"-2,053,000","1,239,000","-1,220,000","-1,584,000","-488,000","2,547,000","-4,367,000","-1,032,000","1,069,000","300,000","-601,000","-1,147,000","654,000","219,000","-196,000","-1,515,000","-764,000","128,000","-853,000","-630,000","-49,000","-475,000","-300,000","-728,000","-61,000","101,000","-819,000","-11,000","-318,000","-80,000","-74,000","-271,000","-213,000","-325,000","-202,000","77,000","253,000","-163,000","85,000","-117,000"
			ChangeInPrepaidAssets,"6,703,000","1,948,000","10,000","1,649,000","3,096,000","2,021,000","1,582,000","1,323,000","-4,308,000","988,000","554,000","785,000","763,000","753,000","887,000","1,247,000","418,000","179,000","526,000","1,374,000","464,000","216,000","325,000","659,000","753,000","418,000","671,000","496,000","304,000","137,000","120,000","306,000","73,000","462,000","54,000","441,000","102,000","113,000","-102,000","-149,000"
