name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"2,895,000,000","584,000,000","761,000,000","841,000,000","709,000,000","719,000,000","-1,000,000","681,000,000","857,000,000","787,000,000","497,000,000","763,000,000","743,000,000","578,000,000","1,004,000,000","611,000,000","506,000,000","154,000,000","314,000,000","812,000,000","419,000,000","736,000,000","214,000,000","610,000,000","340,000,000","790,000,000","7,000,000","798,000,000","473,000,000","294,000,000","578,000,000","775,000,000","322,000,000","421,000,000","653,000,000","979,000,000","1,037,000,000","1,130,000,000","226,000,000","1,178,000,000","282,000,000","755,000,000","137,000,000","1,774,000,000","1,510,000,000","1,332,000,000","893,000,000","534,000,000","1,075,000,000","1,725,000,000","-89,000,000","357,000,000","2,347,000,000","-621,000,000","1,084,347,000","1,002,746,000","462,317,000","-542,953,000","-772,831,000","175,189,000","-533,246,000","4,535,232,000","2,434,516,000","385,389,000","-280,727,000","302,843,000","938,056,000","833,234,000","-74,325,000","219,262,000","104,775,000","72,480,000","1,161,433,000","-266,390,000","382,696,000","361,385,000","367,269,000","-184,977,000","206,009,000","-293,033,000","-162,119,000","586,721,000","-402,223,000","393,462,000","-122,582,000","99,230,000","151,121,000","263,874,000","123,174,000","415,879,000","740,000,000","243,800,000","88,900,000","-73,200,000","-469,300,000","314,000,000","-206,300,000","58,500,000","13,200,000","73,500,000","84,400,000","80,700,000","-23,100,000","123,000,000","-8,100,000","23,900,000","47,300,000","49,800,000","8,500,000","100,500,000","175,500,000","99,400,000","-62,100,000","124,900,000","-22,500,000","90,100,000","-82,400,000","76,000,000","66,900,000","-51,200,000","104,800,000","-54,300,000","18,100,000","50,900,000","10,800,000","9,500,000","109,100,000","-111,200,000","54,500,000","49,700,000"
	CashFlowFromContinuingOperatingActivities,"2,895,000,000","584,000,000","761,000,000","841,000,000","709,000,000","719,000,000","-1,000,000","681,000,000","857,000,000","787,000,000","497,000,000","763,000,000","743,000,000","578,000,000","1,004,000,000","611,000,000","506,000,000","154,000,000","314,000,000","812,000,000","419,000,000","736,000,000","214,000,000","610,000,000","340,000,000","790,000,000","7,000,000","798,000,000","473,000,000","294,000,000","578,000,000","775,000,000","322,000,000","421,000,000","653,000,000","979,000,000","1,037,000,000","1,130,000,000","226,000,000","1,178,000,000","282,000,000","755,000,000","137,000,000","1,774,000,000","1,510,000,000","1,332,000,000","893,000,000","534,000,000","1,075,000,000","1,725,000,000","-89,000,000","357,000,000","2,347,000,000","-621,000,000","1,084,347,000","1,002,746,000","462,317,000","-542,953,000","-772,831,000","175,189,000","-533,246,000","4,535,232,000","2,434,516,000","385,389,000","-280,727,000","302,843,000","938,056,000","833,234,000","-74,325,000","219,262,000","104,775,000","72,480,000","1,161,433,000","-266,390,000","382,696,000","361,385,000","367,269,000","-184,977,000","206,009,000","-293,033,000","-162,119,000","586,721,000","-402,223,000","393,462,000","-122,582,000","99,230,000","151,121,000","263,874,000","123,174,000","415,879,000","740,000,000","243,800,000","88,900,000","-73,200,000","-469,300,000","314,000,000","-206,300,000","58,500,000","13,200,000","73,500,000","84,400,000","80,700,000","-23,100,000","123,000,000","-8,100,000","23,900,000","47,300,000","49,800,000","8,500,000","100,500,000","175,500,000","99,400,000","-62,100,000","124,900,000","-22,500,000","90,100,000","-82,400,000","76,000,000","66,900,000","-51,200,000","104,800,000","-54,300,000","18,100,000","50,900,000","10,800,000","9,500,000","109,100,000","-111,200,000","54,500,000","49,700,000"
		NetIncomeFromContinuingOperations,"2,427,000,000","548,000,000","438,000,000","651,000,000","790,000,000","642,000,000","616,000,000","530,000,000","-214,000,000","162,000,000","389,000,000","409,000,000","390,000,000","394,000,000","406,000,000","564,000,000","375,000,000","414,000,000","335,000,000","311,000,000","316,000,000","301,000,000","295,000,000","320,000,000","275,000,000","273,000,000","285,000,000","258,000,000","285,000,000","234,000,000","211,000,000","325,000,000","300,000,000","319,000,000","227,000,000","293,000,000","267,000,000","335,000,000","265,000,000","301,000,000","355,000,000","199,000,000","-548,000,000","155,000,000","109,000,000","69,000,000","89,000,000","-155,000,000","-277,000,000","-196,000,000","-543,000,000","-377,000,000","-188,000,000","77,000,000","-6,218,296,000","79,461,000","206,393,000","336,668,000","70,641,000","394,164,000","453,309,000","332,981,000","361,551,000","351,657,000","345,257,000","294,680,000","253,996,000","256,556,000","248,351,000","241,641,000","236,460,000","256,746,000","162,024,000","168,535,000","163,753,000","164,722,000","164,766,000","158,600,000","156,234,000","156,479,000","153,126,000","154,063,000","138,184,000","135,199,000","112,799,000","122,752,000","128,366,000","127,859,000","125,293,000","146,005,000","129,100,000","117,800,000","142,000,000","136,500,000","127,000,000","118,900,000","89,600,000","86,200,000","79,000,000","77,000,000","75,000,000","68,700,000","64,800,000","50,600,000","61,500,000","52,800,000","44,700,000","45,900,000","42,000,000","40,200,000","37,300,000","39,400,000","36,000,000","33,200,000","28,000,000","28,600,000","28,000,000","27,400,000","24,600,000","25,200,000","23,100,000","22,100,000","19,800,000","20,700,000","19,200,000","18,600,000","17,600,000","18,200,000","17,200,000","15,900,000"
		OperatingGainsLosses,"-201,000,000","-20,000,000","-79,000,000","-52,000,000","-50,000,000","-75,000,000","-46,000,000","-85,000,000","-59,000,000","-33,000,000","-14,000,000","-37,000,000","-11,000,000","-18,000,000","-18,000,000","-303,000,000","-20,000,000","-14,000,000","-53,000,000","-32,000,000","-31,000,000","-24,000,000","-34,000,000","-22,000,000","-44,000,000","-16,000,000","-28,000,000","-29,000,000","-31,000,000","15,000,000","-32,000,000","-97,000,000","-11,000,000","-44,000,000","-8,000,000","-43,000,000","22,000,000","-55,000,000","184,000,000","-171,000,000","-437,000,000","234,000,000","-1,176,000,000","356,000,000","719,000,000","39,000,000","-536,000,000","-164,000,000","-5,000,000","525,000,000","42,000,000","585,000,000","-44,000,000","-667,000,000","152,606,000","-29,693,000","12,223,000","-114,420,000","-25,209,000","-33,110,000","-21,280,000","-216,000","13,445,000","4,850,000","-15,846,000","-2,931,000","16,671,000","16,583,000","-51,793,000","34,276,000","-137,000","-49,744,000","-196,000","-12,726,000","4,658,000","-6,659,000","-15,900,000","-9,983,000","-25,215,000","-22,707,000","-2,082,000","-1,911,000","-29,551,000","-175,000","-765,000","-1,615,000","70,173,000","-3,943,000","-66,872,000","39,405,000","-29,600,000","29,000,000","-500,000","-500,000","-4,400,000","-3,200,000","400,000","-300,000","100,000","1,000,000","300,000","-1,200,000","-3,600,000","-700,000","-600,000","300,000",,,,,"-4,700,000","-300,000",,,"-8,300,000","-7,000,000","7,000,000","-100,000",,,"-200,000","-100,000","100,000","0",,,"0",,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,"0","0",,,"-3,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-2,000,000","0","0","-1,000,000","-1,000,000","-1,000,000","0","-3,000,000","-1,000,000","0","2,000,000","0","19,000,000","7,000,000","0","0",,,"-13,000,000","-8,000,000","-1,000,000","0","-5,000,000","0","-6,000,000","5,000,000","-11,000,000","-7,000,000","-6,000,000","-5,000,000","-12,000,000","-7,000,000","-6,000,000","-2,000,000","0","-3,000,000","-8,000,000","-15,000,000","-12,000,000","-12,000,000","-12,000,000","-12,000,000","-7,000,000","1,000,000","-24,000,000","-82,000,000","-333,000,000","-2,000,000","0","-59,000,000","96,000,000","-4,000,000","-108,000,000","-53,000,000","-837,000","-43,000","28,000","-91,643,000","45,000","-23,994,000","32,806,000","-304,000","-8,115,000","31,000","-28,000","-11,000","17,609,000","20,717,000","-53,400,000","33,966,000","-197,000","-49,937,000","-149,000","-12,803,000","6,832,000","-6,793,000","-15,799,000","-9,898,000","-25,228,000","-22,642,000","-2,008,000","-1,776,000","-27,105,000","-4,534,000","8,000","-475,000","5,000","-28,000",,,"-29,600,000",,,,,,,"100,000","0","0","0","-500,000","-3,600,000","-500,000","100,000","100,000",,,,,,,,,,,"7,100,000","-200,000",,,"-300,000","-100,000",,,,,,,,
		DepreciationAmortizationDepletion,"375,000,000","105,000,000","78,000,000","98,000,000","94,000,000","101,000,000","61,000,000","132,000,000","128,000,000","100,000,000","105,000,000","109,000,000","107,000,000","105,000,000","107,000,000","116,000,000","118,000,000","121,000,000","127,000,000","136,000,000","134,000,000","140,000,000","149,000,000","158,000,000","137,000,000","130,000,000","139,000,000","132,000,000","129,000,000","123,000,000","132,000,000","143,000,000","126,000,000","122,000,000","148,000,000","155,000,000","171,000,000","171,000,000","187,000,000","405,000,000","63,000,000","62,000,000","64,000,000","67,000,000","70,000,000","68,000,000","68,000,000","71,000,000","72,000,000","73,000,000","72,000,000","72,000,000","72,000,000","68,000,000","54,044,000","99,498,000","103,848,000","113,991,000","-47,987,000","52,812,000","132,699,000","131,885,000","-55,253,000","70,195,000","71,419,000","73,677,000","60,631,000","80,417,000","78,663,000","77,868,000","105,937,000","44,932,000","48,971,000","46,331,000","130,307,000","-39,073,000","47,045,000","42,096,000","32,403,000","65,411,000","45,987,000","31,431,000","46,962,000","52,996,000","41,883,000","36,905,000","33,363,000","35,394,000","34,869,000","34,701,000","35,800,000","32,500,000","31,100,000","31,300,000","31,600,000","66,500,000","20,800,000","19,500,000","20,000,000","17,300,000","16,000,000","14,600,000","16,100,000","13,300,000","12,000,000","11,100,000","26,000,000","-1,700,000","8,600,000","7,800,000","7,800,000","24,500,000","-900,000","9,300,000","8,900,000","10,800,000","7,200,000","6,100,000","17,800,000","3,600,000","3,200,000","3,100,000","3,600,000","3,400,000","3,500,000","3,400,000","3,300,000","3,400,000","3,000,000","2,900,000"
			DepreciationAndAmortization,"375,000,000","105,000,000","78,000,000","98,000,000","94,000,000","101,000,000","61,000,000","132,000,000","128,000,000","100,000,000","105,000,000","109,000,000","107,000,000","105,000,000","107,000,000","116,000,000","118,000,000","121,000,000","127,000,000","136,000,000","134,000,000","140,000,000","149,000,000","158,000,000","137,000,000","130,000,000","139,000,000","132,000,000","129,000,000","123,000,000","132,000,000","143,000,000","126,000,000","122,000,000","148,000,000","155,000,000","171,000,000","171,000,000","187,000,000","405,000,000","63,000,000","62,000,000","64,000,000","67,000,000","70,000,000","68,000,000","68,000,000","71,000,000","72,000,000","73,000,000","72,000,000","72,000,000","72,000,000","68,000,000","54,044,000","99,498,000","103,848,000","113,991,000","-47,987,000","52,812,000","132,699,000","131,885,000","-55,253,000","70,195,000","71,419,000","73,677,000","60,631,000","80,417,000","78,663,000","77,868,000","105,937,000","44,932,000","48,971,000","46,331,000","130,307,000","-39,073,000","47,045,000","42,096,000","32,403,000","65,411,000","45,987,000","31,431,000","46,962,000","52,996,000","41,883,000","36,905,000","33,363,000","35,394,000","34,869,000","34,701,000","35,800,000","32,500,000","31,100,000","31,300,000","31,600,000","66,500,000","20,800,000","19,500,000","20,000,000","17,300,000","16,000,000","14,600,000","16,100,000","13,300,000","12,000,000","11,100,000","26,000,000","-1,700,000","8,600,000","7,800,000","7,800,000","24,500,000","-900,000","9,300,000","8,900,000","10,800,000","7,200,000","6,100,000","17,800,000","3,600,000","3,200,000","3,100,000","3,600,000","3,400,000","3,500,000","3,400,000","3,300,000","3,400,000","3,000,000","2,900,000"
		DeferredTax,"146,000,000","73,000,000","-35,000,000","20,000,000","88,000,000","92,000,000","76,000,000","8,000,000","-173,000,000","-69,000,000","55,000,000","-11,000,000","-1,000,000","19,000,000","80,000,000","37,000,000","6,000,000","103,000,000","146,000,000","1,000,000","0","62,000,000","49,000,000","8,000,000","-10,000,000","20,000,000","133,000,000","28,000,000","2,000,000","38,000,000","19,000,000","9,000,000","52,000,000","115,000,000","69,000,000","94,000,000","95,000,000","121,000,000","135,000,000","98,000,000","146,000,000","55,000,000","34,000,000","24,000,000","-67,000,000","-14,000,000","6,000,000","-70,000,000","-33,000,000","-113,000,000","716,000,000","-169,000,000","-163,000,000","-139,000,000","-285,254,000","-98,427,000","-1,626,000","-21,444,000","63,463,000","6,706,000","-21,731,000","-172,182,000","31,849,000","31,655,000","-8,265,000","5,860,000","-65,627,000","10,512,000","-4,166,000","5,551,000","7,228,000","11,391,000","-16,811,000","40,081,000","24,441,000","19,213,000","-11,548,000","-16,088,000","3,790,000","8,182,000","10,688,000","6,342,000","11,278,000","6,719,000","9,137,000","-3,444,000","39,232,000","71,244,000","-9,522,000","-5,860,000","3,900,000","3,400,000","-600,000","3,500,000","-17,700,000","42,600,000","5,500,000","-2,800,000","17,400,000","-700,000","-1,500,000","-4,500,000","15,700,000","-3,000,000","-3,800,000","-2,500,000","14,600,000","-2,900,000","-7,600,000","3,200,000","9,600,000","-5,600,000","300,000","-5,200,000","6,200,000","-4,700,000","-500,000","-3,000,000","-1,600,000","-4,400,000","-3,200,000","-2,500,000","-900,000","-2,000,000","-2,400,000","-200,000","-500,000","-1,400,000","-1,300,000","-1,300,000"
