name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"2,383,824,000","2,358,354,000","2,241,397,000","2,015,965,000","1,927,327,000","1,902,887,000","1,476,316,000","1,442,045,000","1,406,481,000","1,400,113,000","1,378,708,000","1,068,267,000","797,921,000","774,621,000","762,125,000","745,081,000","743,248,000","743,519,000","734,236,000","308,763,000","290,628,000","288,913,000","285,050,000","282,310,000","147,324,000","146,237,000","139,853,000","137,344,655","128,584,239","128,293,234","128,832,774","129,048,493","119,334,391","118,644,904","111,636,957","104,654,531","97,314,768","97,010,163","84,896,632","81,448,695","80,393,597","72,567,530","71,605,529","72,293,990","73,098,789","72,627,865","71,560,691","71,419,963","71,507,509","71,643,758","71,455,664","73,754,742","75,276,660","76,020,837","75,609,331","68,839,707","70,458,696","70,802,601","29,910,690","29,075,883","28,892,247","28,092,830","28,707,560","28,599,341","29,227,027","29,090,085","28,964,355","27,607,132","27,413,179","27,363,610","29,026,861","29,614,870","33,150,015","35,063,527","36,806,335","26,793,256","27,881,551","28,405,726","30,271,192","29,111,415","28,714,111","29,672,588","30,673,104","32,147,989","33,430,337","34,773,468","35,606,536","36,287,487","11,200,000","13,000,000","13,800,000","5,200,000","5,700,000","6,100,000","6,300,000","6,500,000","6,700,000","4,900,000","5,300,000","5,600,000","5,700,000","5,200,000","5,200,000","9,200,000","18,100,000","22,000,000","22,100,000","31,300,000","41,100,000","45,200,000","52,700,000","59,600,000","47,400,000","51,400,000","56,200,000","63,500,000","59,000,000","58,400,000","59,600,000","54,200,000","54,200,000","56,800,000","58,700,000","37,100,000","37,800,000","39,100,000","40,700,000","31,400,000","24,700,000","27,500,000","23,000,000","10,300,000"
	CurrentAssets,"944,789,000","931,677,000","910,854,000","983,830,000","926,335,000","902,382,000","696,728,000","687,157,000","651,378,000","641,828,000","621,540,000","316,494,000","284,077,000","275,739,000","267,248,000","252,909,000","248,322,000","242,782,000","231,195,000","195,945,000","185,799,000","184,153,000","219,833,000","217,941,000","105,245,000","103,252,000","96,279,000","93,267,251","83,511,940","80,945,642","75,692,625","73,857,562","88,697,437","86,350,599","87,441,118","80,914,960","70,698,940","66,209,451","53,792,710","52,359,202","50,741,589","60,015,595","52,221,729","55,844,016","59,163,506","64,297,037","62,667,863","59,681,035","55,321,970","50,693,034","53,451,560","54,783,716","53,529,328","56,869,343","54,168,525","54,421,186","57,501,863","64,312,273","24,881,859","25,731,025","23,077,645","23,152,272","24,540,716","21,510,432","21,180,561","18,572,194","20,741,482","18,871,045","19,781,094","20,585,187","15,506,353","16,134,606","13,819,660","16,679,159","30,054,421","17,845,222","19,531,491","19,847,355","21,602,716","23,243,625","21,691,888","23,025,364","27,652,833","25,654,508","32,900,630","34,214,625","35,028,744","35,669,853","10,500,000","12,200,000","13,100,000","4,500,000","5,000,000","5,400,000","5,500,000","5,800,000","5,900,000","4,000,000","4,500,000","4,700,000","4,700,000","4,300,000","4,300,000","8,600,000","12,400,000","16,400,000","16,000,000","24,800,000","29,600,000","32,800,000","39,700,000","45,400,000","26,400,000","29,600,000","33,700,000","41,000,000","38,300,000","35,500,000","38,200,000","37,400,000","42,500,000","45,500,000","47,500,000","25,800,000","26,500,000","27,700,000","29,300,000","19,800,000","11,000,000","9,600,000","19,200,000","7,100,000"
		CashCashEquivalentsAndShortTermInvestments,"584,640,000","603,814,000","621,098,000","734,327,000","711,318,000","717,292,000","553,302,000","560,364,000","529,525,000","528,392,000","513,454,000","208,888,000","196,135,000","193,822,000","190,304,000","175,611,000","173,876,000","173,759,000","159,666,000","144,951,000","141,843,000","141,780,000","178,711,000","181,803,000","69,695,000","71,774,000","68,874,000","63,166,868","54,468,230","58,453,233","54,076,705","50,026,235","70,761,019","61,623,203","62,990,910","58,145,411","47,907,139","40,055,016","30,307,997","28,381,800","27,901,259","49,820,236","43,574,267","49,625,064","51,120,739","56,433,099","55,134,226","53,134,750","48,578,526","42,839,381","47,637,902","48,859,325","46,345,497","50,027,564","48,390,019","49,783,791","51,744,842","59,535,107","20,138,048","22,627,345","19,492,287","20,562,752","21,508,085","18,876,077","17,596,136","16,693,362","18,793,001","17,209,965","18,134,829","19,288,052","13,663,684","13,954,747","11,546,690","14,629,359","28,086,378","15,525,228","17,510,684","17,447,908","19,585,753","20,839,364","19,391,362","20,807,826","25,471,004","23,937,052","31,408,557","33,240,762","33,836,581","34,032,913","9,300,000","10,900,000","11,800,000","3,300,000","3,700,000","4,100,000","4,300,000","4,700,000","4,900,000","3,100,000","3,500,000","3,500,000","3,300,000","3,300,000","3,100,000","6,900,000","8,700,000","11,400,000","7,600,000","13,800,000","18,000,000","21,300,000","29,400,000","27,700,000","15,100,000","22,000,000","25,600,000","30,600,000","29,400,000","29,200,000","30,300,000","31,400,000","40,300,000","43,500,000","45,200,000","22,600,000","21,300,000","22,600,000","24,600,000","17,400,000","8,600,000","8,400,000","18,000,000","6,300,000"
			CashAndCashEquivalents,"584,640,000","603,814,000","621,098,000","734,327,000","711,318,000","717,292,000","553,302,000","560,364,000","529,525,000","528,392,000","513,454,000","208,888,000","196,135,000","193,822,000","190,304,000","175,611,000","173,876,000","173,759,000","159,666,000","142,207,000","129,663,000","122,233,000","157,651,000","172,622,000","53,213,000","54,092,000","48,084,000","40,012,048","31,210,500","35,363,024","35,906,861","33,755,718","49,209,621","39,829,653","42,244,420","37,331,578","28,570,015","29,209,821","18,389,977","15,880,006","12,792,899","10,500,112","7,466,587","14,203,544","9,794,509","15,163,290","8,332,988","12,526,040","5,318,900","7,085,530","3,670,604","5,041,410","14,987,843","27,122,761","33,458,367","32,562,138","15,920,255","38,415,731","6,776,964","7,726,505","5,288,248","5,479,296","5,340,747","5,428,477","4,446,391","5,913,731","4,846,937","3,216,681","3,323,854","3,952,714","4,102,956","3,958,677","2,369,818","3,365,718","15,249,180","6,108,004","6,025,416","9,684,545","8,755,545","8,696,194","5,708,023","3,561,558","12,088,869","16,163,625","12,638,679","27,372,220","26,014,851","25,226,546","9,300,000","10,900,000","11,800,000","3,300,000","3,700,000","4,100,000","4,300,000","4,700,000","4,900,000","3,100,000","3,500,000","3,500,000","3,300,000","3,300,000","3,100,000","6,900,000","8,700,000","11,400,000","7,600,000","13,800,000","18,000,000","21,300,000","29,400,000","27,700,000","15,100,000","22,000,000","25,600,000","30,600,000","29,400,000","29,200,000","30,300,000","31,400,000","40,300,000","43,500,000","45,200,000","22,600,000","21,300,000","22,600,000","24,600,000","17,400,000","8,600,000","8,400,000","18,000,000","6,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"0","0","2,744,000","12,180,000","19,547,000","21,060,000","9,181,000","16,482,000","17,682,000","20,790,000","23,154,820","23,257,730","23,090,209","18,169,844","16,270,517","21,551,398","21,793,550","20,746,490","20,813,833","19,337,124","10,845,195","11,918,020","12,501,794","15,108,360","39,320,124","36,107,680","35,421,520","41,326,230","41,269,809","46,801,238","40,608,710","43,259,626","35,753,851","43,967,298","43,817,915","31,357,654","22,904,803","14,931,652","17,221,653","35,824,587","21,119,376","13,361,084","14,900,840","14,204,039","15,083,456","16,167,338","13,447,600","13,149,745","10,779,631","13,946,064","13,993,284","14,810,975","15,335,338","9,560,728","9,996,070","9,176,872","11,263,641","12,837,198","9,417,224","11,485,268","7,763,363","10,830,208","12,143,170","13,683,339","17,246,268","13,382,135","7,773,427","18,769,878","5,868,542","7,821,730","8,806,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"122,435,000","117,420,000","122,048,000","102,659,000","90,207,000","71,389,000","55,925,000","49,296,000","45,212,000","43,672,000","42,591,000","43,549,000","39,362,000","35,753,000","30,830,000","31,730,000","29,383,000","27,738,000","30,077,000","22,649,000","18,379,000","16,062,000","15,380,000","11,637,000","12,905,000","11,445,000","10,378,000","14,942,971","15,085,409","8,100,074","7,105,823","9,380,414","5,036,909","12,026,954","12,918,554","10,184,379","10,758,466","13,429,636","11,599,050","11,391,347","7,334,479","6,809,933","5,294,274","3,772,209","3,917,779","4,609,011","4,016,244","2,866,038","3,019,907","5,023,692","2,821,292","2,577,579","3,880,498","3,546,839","2,399,233","1,548,479","3,448,355","2,591,995","2,689,216","1,311,177","1,977,608","1,200,608","1,108,251","593,725","1,660,689","1,050,448","1,307,621","764,232","611,571","283,254","865,034","972,249","789,822","1,008,819","899,940","907,501","308,797","853,568","396,645","865,861","1,030,295","827,552","746,710","812,481","622,922","154,887","411,450","847,838","600,000","500,000","400,000","400,000","300,000","500,000","400,000","200,000","400,000","300,000","400,000","500,000","700,000","200,000","300,000","400,000","200,000","1,500,000","1,900,000","1,700,000","6,100,000","6,500,000","6,600,000","2,600,000","7,700,000","4,000,000","3,200,000","1,300,000","2,700,000","1,200,000","2,100,000","1,500,000","1,100,000","1,000,000","1,400,000","2,400,000","1,600,000","1,900,000","1,800,000","1,900,000","2,000,000","900,000","700,000","400,000"
			AccountsReceivable,"122,435,000","117,420,000","122,048,000","102,659,000","90,207,000","71,257,000","55,830,000","48,779,000","44,726,000","43,068,000","41,968,000","43,045,000","39,341,000","33,015,000","30,784,000","31,713,000","29,352,000","27,585,000","29,479,000","22,115,000","17,710,000","15,194,000","15,154,000","11,073,000","12,574,000","11,300,000","10,321,000","14,419,602","14,690,994","7,760,382","7,052,908","9,003,874","5,036,909","4,946,132","6,323,537","4,870,982","6,912,751","4,158,758","7,636,346","7,811,792","4,253,891","4,020,475","2,521,817","1,259,607","1,171,179","2,096,011","1,538,244","570,038","264,807","2,467,392","439,992","540,779","1,702,298","1,607,789","2,399,233","1,125,801","3,448,355","2,591,995","2,689,216","1,143,694","1,977,608","1,200,608","1,108,251","593,725","1,660,689","1,050,448","1,307,621","764,232","611,571","283,254","865,034","972,249","789,822","1,008,819","899,940","907,501","308,797","853,568","396,645","865,861","523,292","261,775","442,081","812,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"123,799,000","118,837,000","123,262,000","103,708,000","90,962,000","72,019,000","56,451,000","49,317,000","45,384,000","43,593,000","42,388,000","43,375,000","39,567,000","33,242,000","30,948,000","31,774,000","29,411,000","27,643,000","29,511,000","22,147,000","17,742,000","15,217,000","15,173,000","11,092,000","12,593,000","11,331,000","10,373,000","14,429,602","14,700,994","7,770,382","7,062,908","9,013,874","5,046,909","4,956,132","6,333,537","4,880,982","6,922,751","4,168,758",,"7,821,792",,"4,030,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,364,000","-1,417,000","-1,214,000","-1,049,000","-755,000","-762,000","-621,000","-538,000","-658,000","-525,000","-420,000","-330,000","-226,000","-227,000","-164,000","-61,000","-59,000","-58,000","-32,000","-32,000","-32,000","-23,000","-19,000","-19,000","-19,000","-31,000","-52,000","-10,000","-10,000","-10,000","-10,000","-10,000","-10,000","-10,000","-10,000","-10,000","-10,000","-10,000",,"-10,000",,"-10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,"29,000",,,,"63,000",,,,"99,802",,,,"214,902",,,,"140,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
