name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"2,789,852,000","2,757,032,000","2,805,677,000","2,651,605,000","2,753,526,000","2,763,734,000","2,797,187,000","2,766,287,000","2,549,864,000","2,554,636,000","2,547,911,000","2,544,151,000","2,699,385,000","2,675,106,000","2,672,866,000","2,682,016,000","2,753,447,000","3,029,400,000","3,065,895,000","3,090,640,000","3,128,782,000","3,160,244,000","3,148,591,000","3,066,552,000","3,099,242,000","3,223,268,000","3,228,695,000","2,925,432,000","2,910,027,000","2,862,588,000","2,892,863,000","2,891,544,000","2,882,831,000","2,889,198,000","2,902,493,000","2,905,341,000","2,893,860,000","2,887,047,000","2,403,359,000","2,373,045,000","2,108,956,000","1,994,379,000","1,892,479,000","1,902,702,000","1,912,727,000","1,863,624,000","1,862,807,000","1,861,333,000","1,586,734,000","804,353,000","793,503,000","809,924,000","574,714,000","582,627,000","556,865,000","546,284,000","540,288,000","542,146,989","371,790,449","356,649,190","290,347,690","183,391,683","179,128,821","172,259,821","169,576,965","167,825,961","161,585,314","102,318,555","100,778,511","98,516,802","96,096,874","93,521,810","91,421,208","89,166,006","86,952,544","86,358,672","75,854,862","74,992,133","44,165,079","29,590,080","20,642,346","19,120,002","17,557,322","17,262,205","16,550,622","16,300,466","16,770,132","17,497,582","17,668,275","18,000,000","16,500,000","11,800,000","17,600,000","18,600,000","19,800,000","20,900,000","22,500,000","23,600,000","19,700,000","19,000,000","17,100,000","17,200,000","15,900,000","14,100,000","12,800,000","11,200,000","11,700,000","10,300,000","10,700,000","10,900,000","11,800,000","8,200,000","8,800,000","5,500,000","2,600,000","2,700,000","2,200,000","2,500,000","3,000,000","1,900,000","2,100,000","2,300,000","2,400,000","2,600,000","2,900,000","10,700,000","10,700,000","11,400,000","12,800,000","14,000,000","13,500,000","13,000,000","18,200,000","17,500,000","12,800,000"
	CurrentAssets,"258,645,000","215,996,000","232,083,000","297,135,000","446,322,000","450,491,000","469,825,000","362,150,000","150,577,000","136,442,000","164,210,000","154,679,000","265,355,000","203,735,000","159,430,000","125,807,000","151,845,000","165,479,000","155,779,000","140,182,000","134,174,000","136,197,000","191,986,000","164,769,000","175,180,000","162,860,000","152,311,000","790,750,000","759,625,000","751,868,000","757,378,000","735,977,000","712,437,000","729,012,000","715,400,000","744,497,000","748,985,000","781,050,000","371,847,000","445,208,000","251,513,000","166,128,000","184,522,000","169,273,000","184,996,000","128,387,000","366,361,000","371,268,000","93,000,000","354,434,000","333,676,000","318,708,000","72,344,000","70,722,000","221,714,000","211,411,000","199,912,000","209,359,307","102,865,690","95,683,219","28,455,310","80,148,050","80,742,352","84,775,896","85,531,879","90,948,061","116,110,584","56,228,313","53,222,167","50,430,383","55,264,297","51,901,175","49,004,777","46,447,425","39,057,806","36,801,548","34,231,998","31,289,885","30,112,661","14,291,592","11,650,851","9,646,268","7,440,392","6,004,176","8,020,010","7,407,678","7,123,899","7,564,689","7,956,763","8,200,000","6,300,000","9,400,000","9,500,000","11,000,000","12,200,000","12,200,000","15,800,000","19,300,000","15,100,000","15,100,000","13,000,000","13,200,000","12,900,000","11,700,000","10,500,000","8,900,000","9,900,000","8,900,000","9,300,000","9,500,000","10,700,000","7,100,000","7,600,000","4,300,000","1,400,000","1,500,000","900,000","1,200,000","1,300,000","200,000","300,000","300,000","200,000","400,000","200,000","500,000","400,000","700,000","1,200,000","2,000,000","1,800,000","1,500,000","8,400,000","4,300,000","2,700,000"
		CashCashEquivalentsAndShortTermInvestments,"183,707,000","143,551,000","160,208,000","225,916,000","370,260,000","381,859,000","413,116,000","319,128,000","93,715,000","80,504,000","121,970,000","119,475,000","215,996,000","156,536,000","117,078,000","88,750,000","109,376,000","98,132,000","88,395,000","85,847,000","88,090,000","83,988,000","133,042,000","116,633,000","126,724,000","117,600,000","104,310,000","742,849,000","715,228,000","675,128,000","691,411,000","659,536,000","646,112,000","659,289,000","637,899,000","664,035,000","673,103,000","680,731,000","302,037,000","375,456,000","183,338,000","95,802,000","123,401,000","114,155,000","125,771,000","71,409,000","321,503,000","324,846,000","53,650,000","316,837,000","307,497,000","294,566,000","50,538,000","55,040,000","209,813,000","192,035,000","183,823,000","195,652,395","90,812,323","82,841,861","19,167,669","70,936,374","73,220,304","78,449,383","79,910,270","79,873,075","109,484,240","48,840,371","46,880,989","43,366,461","48,666,658","44,800,901","41,667,029","38,757,146","35,395,228","33,485,543","29,104,679","28,316,861","27,000,855","11,104,140","8,641,060","6,926,359","4,918,975","4,578,278","6,643,368","5,920,447","5,412,656","5,567,433","4,421,861","5,200,000","4,200,000","8,700,000","5,200,000","6,400,000","7,600,000","8,500,000","2,700,000","6,600,000","2,200,000","3,300,000","4,400,000","2,100,000","2,300,000","3,300,000","3,800,000","2,800,000","3,700,000","3,400,000","3,900,000","4,300,000","5,500,000","1,900,000","2,500,000","4,100,000","1,300,000","1,400,000","800,000","1,200,000","1,300,000","200,000","300,000","300,000","100,000","200,000","100,000","200,000","100,000","400,000","1,000,000","1,600,000","100,000","300,000","6,900,000","3,600,000","1,700,000"
			CashAndCashEquivalents,"183,707,000","143,551,000","160,208,000","225,916,000","370,260,000","381,859,000","413,116,000","319,128,000","93,715,000","80,504,000","121,970,000","119,475,000","215,996,000","156,536,000","117,078,000","88,750,000","109,376,000","98,132,000","88,395,000","85,847,000","88,090,000","83,988,000","133,042,000","116,633,000","122,863,000","117,600,000","104,310,000","742,849,000","715,228,000","675,128,000","691,411,000","659,536,000","646,112,000","659,289,000","637,899,000","664,035,000","673,103,000","680,731,000","302,037,000","375,456,000","183,338,000","95,802,000","123,401,000","114,155,000","125,771,000","71,409,000","321,503,000","324,846,000","53,650,000","316,837,000","307,497,000","294,566,000","50,538,000","55,040,000","209,813,000","192,035,000","183,823,000","195,652,395","90,812,323","82,841,861","19,167,669","70,936,374","73,220,304","78,449,383","79,910,270","79,873,075","109,484,240","48,840,371","46,880,989","43,366,461","48,666,658","44,800,901","41,667,029","38,757,146","35,395,228","33,485,543","29,104,679","28,316,861","27,000,855","11,104,140","8,641,060","6,926,359","4,918,975","4,578,278","5,781,735","5,453,523","4,522,070","4,647,160","3,419,663","3,200,000","1,200,000","4,700,000","5,200,000","6,400,000","7,600,000","8,500,000","2,700,000","6,600,000","2,200,000","3,300,000","4,400,000","2,100,000","2,300,000","3,300,000","3,800,000","2,800,000","3,700,000","3,400,000","3,900,000","4,300,000","5,500,000","1,900,000","2,500,000","4,100,000","1,300,000","1,400,000","800,000","1,200,000","1,300,000","200,000","300,000","300,000","100,000","200,000","100,000","200,000","100,000","400,000","1,000,000","1,600,000","100,000","300,000","6,900,000","3,600,000","1,700,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,"0","3,861,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"861,633","466,924","890,586","920,273","1,002,198","2,000,000","3,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"57,915,000","59,003,000","57,040,000","51,762,000","60,096,000","53,255,000","37,871,000","30,124,000","43,683,000","38,117,000","30,333,000","23,435,000","36,344,000","38,452,000","31,487,000","26,396,000","28,944,000","56,651,000","55,102,000","45,630,000","38,797,000","40,310,000","44,979,000","38,033,000","41,811,000","35,741,000","38,089,000","44,103,000","39,486,000","61,114,000","59,498,000","68,601,000","62,235,000","66,044,000","72,328,000","65,543,000","69,398,000","77,958,000","64,735,000","64,992,000","62,086,000","64,984,000","54,778,000","48,828,000","51,962,000","55,016,000","43,041,000","43,795,000","37,103,000","36,719,000","25,314,000","22,969,000","20,286,000","14,833,000","11,392,000","18,937,000","15,677,000","13,231,758","11,135,438","12,470,451","8,985,947","8,620,951","7,006,767","5,962,053","4,729,696","6,927,754","5,883,825","6,601,329","5,125,461","5,207,388","5,014,547","5,221,307","5,120,922","4,312,124","3,401,711","3,125,437","4,969,724","2,728,075","2,942,691","3,022,214","2,873,484","2,545,521","2,335,329","1,219,147","1,139,799","1,183,330","1,425,445","1,761,266","2,371,113","3,000,000","2,100,000","600,000","300,000","400,000","300,000","600,000","300,000","200,000","2,300,000","2,600,000","1,400,000","100,000","2,600,000","1,900,000","200,000","200,000","400,000","200,000","200,000","100,000","200,000","200,000","100,000","100,000",,,,,,,,,,"200,000",,,"100,000",,"200,000","200,000","300,000","300,000","100,000",,"600,000"
			AccountsReceivable,"53,518,000","54,088,000","52,959,000","47,242,000","45,427,000","44,316,000","33,573,000","27,689,000","32,322,000","28,446,000","26,635,000","20,733,000","27,554,000","25,659,000","25,106,000","26,356,000","27,795,000","29,285,000","29,079,000","23,461,000","22,791,000","23,489,000","23,951,000","17,990,000","20,233,000","22,913,000","24,539,000","37,681,000","39,486,000","37,314,000","43,227,000","46,654,000","42,209,000","43,055,000","48,191,000","50,385,000","59,019,000","70,754,000","64,735,000","53,946,000","62,086,000","64,521,000","54,778,000","48,828,000","46,503,000","52,869,000","43,041,000","40,363,000","34,528,000","32,440,000","25,314,000","20,597,000","18,248,000","14,833,000","11,392,000","17,627,000","15,677,000","12,760,775","11,135,438","12,470,451","8,223,143","8,620,951","7,006,767","5,962,053","4,729,696","6,391,361","5,883,825","6,601,329","5,125,461","5,207,388","5,014,547","5,221,307",,"4,312,124","3,401,711","3,125,437","4,969,724","2,728,075","2,942,691","3,022,214","2,873,484","2,545,521","2,335,329","1,219,147","1,139,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"4,397,000","4,915,000","4,081,000","4,520,000","14,669,000","8,939,000","4,298,000","2,435,000","11,361,000","9,671,000","3,698,000","2,702,000","8,790,000","12,793,000","6,381,000","40,000","1,149,000","27,366,000","26,023,000","22,169,000","16,006,000","16,821,000","21,028,000","20,043,000","21,578,000","12,828,000","13,550,000","6,422,000","0","23,800,000","16,271,000","21,947,000","20,026,000","22,989,000","24,137,000","15,158,000","10,379,000","7,204,000","0","11,046,000",,"463,000",,"0","5,459,000","2,147,000","0","3,432,000","2,575,000","4,279,000","0","2,372,000","2,038,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,310,000",,"470,983",,,"762,804",,,,,"536,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"8,490,000","11,607,000","12,222,000","17,684,000","14,491,000","13,900,000","17,159,000","11,671,000","11,947,000","15,336,000","10,772,000","11,380,000","12,413,000","7,954,000","10,011,000","9,311,000","12,699,000","7,359,000","7,794,000","7,883,000","6,624,000","10,179,000","12,615,000","9,489,000","5,402,000","8,289,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,516",,,"100,000",,"100,000","200,000","100,000","7,000,000","6,700,000","5,400,000","2,900,000","2,000,000","3,700,000","2,800,000","1,200,000","1,300,000","800,000","700,000","200,000","200,000",,,,,,,,,,,,,,,,,"200,000","100,000",,,"100,000","1,200,000","700,000","800,000",,
