name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"21,297,000,000","22,294,000,000","8,488,000,000","6,491,000,000","4,602,000,000"
	CurrentAssets,"17,046,000,000","18,559,000,000","5,345,000,000","3,859,000,000","3,016,000,000"
		CashCashEquivalentsAndShortTermInvestments,"16,432,000,000","18,133,000,000","5,156,000,000","3,658,000,000","2,979,000,000"
			CashAndCashEquivalents,"16,432,000,000","18,133,000,000","5,156,000,000","3,658,000,000","2,979,000,000"
				CashFinancial,"4,261,000,000",,,,
				CashEquivalents,"12,171,000,000",,,,
		Receivables,"22,000,000","26,000,000",,,
			AccountsReceivable,"22,000,000","26,000,000",,,
		Inventory,"494,000,000","274,000,000","126,000,000",,
			RawMaterials,"344,000,000",,,,
			WorkInProcess,"150,000,000",,,,
		OtherCurrentAssets,"98,000,000","126,000,000","63,000,000","201,000,000","37,000,000"
	TotalNonCurrentAssets,"4,251,000,000","3,735,000,000","3,143,000,000","2,632,000,000","1,586,000,000"
		NetPPE,"3,666,000,000","3,411,000,000","3,051,000,000","2,541,000,000","1,525,000,000"
			GrossPPE,"4,038,000,000","3,644,000,000","3,172,000,000","2,613,000,000","1,563,000,000"
				Properties,"0","0","0","0","0"
				LandAndImprovements,"504,000,000","429,000,000","260,000,000","179,000,000","88,000,000"
				MachineryFurnitureEquipment,"2,372,000,000","2,036,000,000","1,474,000,000","229,000,000","139,000,000"
				OtherProperties,"270,000,000","228,000,000","195,000,000","154,000,000","80,000,000"
				ConstructionInProgress,"668,000,000","760,000,000","1,092,000,000","1,917,000,000","1,205,000,000"
				Leases,"224,000,000","191,000,000","151,000,000","134,000,000","51,000,000"
			AccumulatedDepreciation,"-372,000,000","-233,000,000","-121,000,000","-72,000,000","-38,000,000"
		OtherNonCurrentAssets,"585,000,000","324,000,000","92,000,000","91,000,000","61,000,000"
TotalLiabilitiesNetMinorityInterest,"3,037,000,000","2,780,000,000","12,095,000,000","8,866,000,000","5,986,000,000"
	CurrentLiabilities,"1,524,000,000","1,313,000,000","1,047,000,000","819,000,000","611,000,000"
		PayablesAndAccruedExpenses,"1,317,000,000","1,150,000,000","957,000,000","744,000,000","533,000,000"
			Payables,"571,000,000","483,000,000","417,000,000","203,000,000","90,000,000"
				AccountsPayable,"571,000,000","483,000,000","417,000,000","203,000,000","90,000,000"
			CurrentAccruedExpenses,"746,000,000","667,000,000","540,000,000","541,000,000","443,000,000"
		CurrentDebtAndCapitalLeaseObligation,"126,000,000","89,000,000","42,000,000","37,000,000","50,000,000"
			CurrentDebt,,,,"1,000,000","28,000,000"
				OtherCurrentBorrowings,,,,"1,000,000","28,000,000"
			CurrentCapitalLeaseObligation,"126,000,000","89,000,000","42,000,000","36,000,000","22,000,000"
		CurrentDeferredLiabilities,"81,000,000","74,000,000","48,000,000","38,000,000","28,000,000"
			CurrentDeferredRevenue,"81,000,000","74,000,000","48,000,000","38,000,000","28,000,000"
		OtherCurrentLiabilities,,,,"36,000,000","22,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,513,000,000","1,467,000,000","11,048,000,000","8,047,000,000","5,375,000,000"
		LongTermDebtAndCapitalLeaseObligation,"1,483,000,000","1,444,000,000","3,149,000,000","153,000,000","130,000,000"
			LongTermDebt,"1,227,000,000","1,226,000,000","2,958,000,000","2,000,000","47,000,000"
			LongTermCapitalLeaseObligation,"256,000,000","218,000,000","191,000,000","151,000,000","83,000,000"
		PreferredSecuritiesOutsideStockEquity,,"0","7,894,000,000","7,894,000,000","5,244,000,000"
		OtherNonCurrentLiabilities,"30,000,000","23,000,000","5,000,000",,"1,000,000"
TotalEquityGrossMinorityInterest,"18,260,000,000","19,514,000,000","-3,607,000,000","-2,375,000,000","-1,384,000,000"
	StockholdersEquity,"18,260,000,000","19,514,000,000","-3,607,000,000","-2,375,000,000","-1,384,000,000"
		CapitalStock,"1,000,000","1,000,000","0","0","0"
			PreferredStock,"0",,,,
			CommonStock,"1,000,000","1,000,000","0","0","0"
		AdditionalPaidInCapital,"26,226,000,000","25,887,000,000","306,000,000","305,000,000","302,000,000"
		RetainedEarnings,"-7,967,000,000","-6,374,000,000","-3,913,000,000","-2,680,000,000","-1,686,000,000"
		GainsLossesNotAffectingRetainedEarnings,,,"0","0","0"
TotalCapitalization,"19,487,000,000","20,740,000,000","-649,000,000","-2,373,000,000","-1,337,000,000"
CommonStockEquity,"18,260,000,000","19,514,000,000","-3,607,000,000","-2,375,000,000","-1,384,000,000"
CapitalLeaseObligations,"382,000,000","307,000,000","233,000,000","187,000,000","105,000,000"
NetTangibleAssets,"18,260,000,000","19,514,000,000","-3,607,000,000","-2,375,000,000","-1,384,000,000"
WorkingCapital,"15,522,000,000","17,246,000,000","4,298,000,000","3,040,000,000","2,405,000,000"
InvestedCapital,"19,487,000,000","20,740,000,000","-649,000,000","-2,372,000,000","-1,309,000,000"
TangibleBookValue,"18,260,000,000","19,514,000,000","-3,607,000,000","-2,375,000,000","-1,384,000,000"
TotalDebt,"1,609,000,000","1,533,000,000","3,191,000,000","190,000,000","180,000,000"
ShareIssued,"901,000,000","900,000,000","852,858,598","852,858,598","852,858,598"
OrdinarySharesNumber,"901,000,000","900,000,000","852,858,598","852,858,598","852,858,598"
