name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
OperatingCashFlow,"212,373,000","42,614,000","72,168,000","45,997,000","51,594,000","39,458,000","42,067,000","44,119,000","62,015,000","37,258,000","35,411,000","25,664,000","38,699,000","28,761,000","35,053,000","31,634,000","3,660,000","16,770,000","59,590,000","15,314,000","25,356,000","17,177,000","32,910,000","10,939,000","32,431,000","16,258,000","22,184,000","15,418,000","23,801,000","15,039,000","26,533,000","23,961,000","9,943,000","16,511,000","20,511,000","25,670,000","-10,151,000","15,312,000","2,243,000","10,892,000","-19,644,000","-10,992,000","1,981,000","35,564,000","19,992,000","-4,545,000","55,837,000","2,941,000","-1,058,000","177,498,000","-14,944,000","-7,386,000","-17,625,000","-637,000","-4,404,000","-7,079,000","-13,229,000","-13,762,000","-13,539,000","1,581,000","777,000","17,729,000","24,427,000","5,916,000","14,026,000","19,056,000","10,967,000","3,062,000","11,726,000","7,377,000","8,459,000","10,295,000","6,360,000","18,589,000","11,167,000","4,845,000","1,642,000","5,760,000","18,011,000","13,690,000","5,590,000","7,981,000","5,982,000","8,968,000","-4,595,000","11,467,000","14,731,000","36,023,000","-1,617,000","3,807,000","-3,000,000","1,000,000","-2,300,000","3,700,000","1,700,000","4,000,000","12,300,000","7,200,000","-7,200,000","18,100,000","10,600,000"
	CashFlowFromContinuingOperatingActivities,"212,373,000","42,614,000","72,168,000","45,997,000","51,594,000","39,458,000","42,067,000","44,119,000","62,015,000","37,258,000","35,411,000","25,664,000","38,699,000","28,761,000","35,053,000","31,634,000","3,660,000","16,770,000","59,590,000","15,314,000","25,356,000","17,177,000","32,910,000","10,939,000","32,431,000","16,258,000","22,184,000","15,418,000","23,801,000","15,039,000","26,533,000","23,961,000","9,943,000","16,511,000","20,511,000","25,670,000","-10,151,000","15,312,000","2,243,000","10,892,000","-19,644,000","-10,992,000","1,981,000","35,564,000","19,992,000","-4,545,000","55,837,000","2,941,000","-1,058,000","177,498,000","-14,944,000","-7,386,000","-17,625,000","-637,000","-4,404,000","-7,079,000","-13,229,000","-13,762,000","-13,539,000","1,581,000","777,000","17,729,000","24,427,000","5,916,000","14,026,000","19,056,000","10,967,000","3,062,000","11,726,000","7,377,000","8,459,000","10,295,000","6,360,000","18,589,000","11,167,000","4,845,000","1,642,000","5,760,000","18,011,000","13,690,000","5,590,000","7,981,000","5,982,000","8,968,000","-4,595,000","11,467,000","14,731,000","36,023,000","-1,617,000","3,807,000","-3,000,000","1,000,000","-2,300,000","3,700,000","1,700,000","4,000,000","12,300,000","7,200,000","-7,200,000","18,100,000","10,600,000"
		NetIncomeFromContinuingOperations,"-45,271,000","-66,218,000","6,105,000","3,676,000","11,166,000","-2,613,000","-12,066,000","-12,779,000","-10,781,000","-7,983,000","-9,532,000","-17,331,000","-36,980,000","-26,576,000","-2,018,000","-104,893,000","-15,357,000","-35,689,000","-36,168,000","7,695,000","2,605,000","3,006,000","-3,445,000","4,511,000","3,876,000","1,878,000","12,992,000","182,033,000","6,861,000","9,502,000","7,841,000","5,513,000","5,043,000","7,804,000","-9,777,000","-5,725,000","-7,844,000","-10,402,000","-16,132,000","-58,098,000","-32,216,000","-27,890,000","-28,716,000","478,000","-10,585,000","-4,230,000","33,084,000","-20,576,000","-12,490,000","150,899,000","-23,293,000","-27,496,000","-23,971,000","-17,426,000","-10,681,000","-27,944,000","-144,664,000","-12,634,000","-14,558,000","-6,498,000","-2,720,000","-3,888,000","2,069,000","-22,646,000","4,944,000","1,817,000","9,381,000","14,496,000","5,360,000","4,440,000","6,543,000","10,387,000","8,324,000","8,305,000","8,617,000","5,007,000","4,528,000","5,069,000","5,529,000","5,885,000","5,897,000","6,748,000","6,174,000","6,482,000","3,707,000","8,042,000","13,040,000","53,625,000","4,624,000","-166,876,000","2,500,000","2,600,000","2,000,000","2,000,000","2,100,000","1,800,000","1,700,000","1,700,000","1,600,000","1,100,000","500,000"
		OperatingGainsLosses,"76,575,000","75,786,000","320,000","216,000","253,000","200,000","232,000","118,000","108,000","212,000","7,727,000","237,000","149,000","179,000","-56,000","471,000","-1,465,000","-45,000","1,140,000","-11,000","193,000","-13,000","-544,000","-353,000","-624,000","-37,000","-413,000","-106,000","-884,000","-2,267,000","-3,359,000","0","0","-170,000","364,000","0","-106,000","-1,282,000",,,,,,,,,"-149,000","11,000",,,,,,,"-4,310,000","5,000",,,,,,,"-3,537,000","0","-20,750,000","20,737,000","-1,705,000","-20,630,000","4,049,000","774,000","10,768,000","6,820,000","1,196,000","17,081,000","11,710,000","1,838,000","2,995,000","920,000","-148,000","-110,000","16,000","981,000","-1,028,000","-20,410,000","0",,,,,,,"200,000","0",,,"500,000","100,000","100,000","500,000",,
			GainLossOnSaleOfBusiness,"7,439,000"
			GainLossOnSaleOfPPE,"-88,000","-6,000","-34,000","-48,000",,,"6,000","-85,000","2,000","0","16,000","-12,000","55,000","98,000","-123,000","471,000","92,000","-45,000","58,000","-11,000","193,000","-13,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,"0","0",,,"-573,000","-361,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"8,971,000",,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000","11,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"1,195,000","324,000","354,000","264,000","253,000","200,000","226,000","203,000","106,000","212,000","272,000","249,000","94,000","81,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"44,290,000","10,826,000","11,198,000","11,042,000","11,224,000","10,813,000","12,663,000","10,800,000","11,909,000","11,992,000","11,243,000","9,480,000","10,045,000","9,797,000","7,627,000","7,661,000","11,325,000","13,473,000","13,830,000","13,747,000","13,780,000","13,880,000","14,670,000","13,597,000","11,148,000","10,688,000","9,165,000","9,348,000","9,391,000","9,549,000","9,598,000","10,112,000","10,255,000","10,278,000","11,374,000","11,278,000","10,877,000","10,831,000","10,417,000","11,191,000","11,212,000","10,715,000","10,589,000","10,044,000","6,670,000","4,782,000","4,347,000","3,673,000","3,588,000","3,559,000","3,397,000","3,283,000","3,352,000","3,613,000","3,682,000","3,733,000","4,188,000","4,062,000","3,890,000","4,105,000","4,057,000","4,436,000","6,861,000","4,444,000","4,045,000","4,307,000","1,081,000","6,546,000","2,672,000","4,276,000","2,656,000","2,646,000","1,495,000","1,350,000","1,498,000","1,416,000","1,399,000","1,330,000","1,304,000","1,355,000","1,323,000","1,045,000","1,407,000","1,518,000","1,542,000","1,467,000","826,000","1,354,000","851,000","940,000","900,000","800,000","700,000","800,000","800,000","700,000","700,000","700,000","700,000","700,000","600,000"
