name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
TotalRevenue,"8,417,000","1,795,000","1,852,000","2,163,000","2,607,000","2,704,000","2,142,000","1,746,000","1,541,000","1,358,000","1,445,000","650,000","224,000","0"
	OperatingRevenue,"8,417,000","1,795,000","1,852,000","2,163,000","2,607,000","2,704,000","2,142,000","1,746,000","1,541,000","1,358,000","1,445,000","650,000","224,000","0"
OperatingExpense,"137,071,000","36,255,000","40,399,000","31,443,000","28,974,000","26,561,000","18,435,000","13,212,000","11,909,000","7,508,000","7,492,000","5,856,000","4,129,000","2,174,000"
	SellingGeneralAndAdministration,"28,878,000","8,567,000","7,431,000","6,612,000","6,268,000","5,884,000","4,816,000","3,757,000","2,925,000","1,964,000","1,847,000","757,000","1,596,000","912,000"
		GeneralAndAdministrativeExpense,"28,878,000","8,567,000","7,431,000","6,612,000","6,268,000","5,884,000","4,816,000","3,757,000","2,925,000","1,964,000","1,847,000","757,000","1,596,000","912,000"
			OtherGandA,"28,878,000","8,567,000","7,431,000","6,612,000","6,268,000","5,884,000","4,816,000","3,757,000","2,925,000","1,964,000","1,847,000","757,000","1,596,000","912,000"
	ResearchAndDevelopment,"108,193,000","27,688,000","32,968,000","24,831,000","22,706,000","20,677,000","13,619,000","9,455,000","8,984,000","5,544,000","5,645,000","5,099,000","2,533,000","1,262,000"
OperatingIncome,"-128,654,000","-34,460,000","-38,547,000","-29,280,000","-26,367,000","-23,857,000","-16,293,000","-11,466,000","-10,368,000","-6,150,000","-6,047,000","-5,206,000","-3,905,000","-2,174,000"
NetNonOperatingInterestIncomeExpense,"338,000","250,000","55,000","17,000","16,000","16,000","18,000","27,000","-113,000","65,000","-4,338,000","-1,462,000","-1,215,000","-372,000"
	InterestIncomeNonOperating,"338,000","250,000","55,000","17,000","16,000","16,000","18,000","27,000","18,000","143,000","0","0","0","0"
	InterestExpenseNonOperating,,,"0","0","0","0","0","0","131,000","78,000","4,338,000","1,462,000","1,215,000","372,000"
OtherIncomeExpense,"-84,000","-25,000","-46,000","-11,000","-2,000","-3,000","0",,"-75,000",,"-16,000",,"4,000","-3,000"
	GainOnSaleOfSecurity,,,,,,,"0",,"-75,000",,"-16,000",,"4,000","-3,000"
	OtherNonOperatingIncomeExpenses,"-84,000","-25,000","-46,000","-11,000","-2,000","-3,000","18,000",,,,,,,
PretaxIncome,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000","-6,668,000","-5,116,000","-2,549,000"
NetIncomeCommonStockholders,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-3,510,000","-6,668,000","-5,116,000","-2,549,000"
	NetIncome,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000","-6,668,000","-5,116,000","-2,549,000"
		NetIncomeIncludingNoncontrollingInterests,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000","-6,668,000","-5,116,000","-2,549,000"
			NetIncomeContinuousOperations,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000","-6,668,000","-5,116,000","-2,549,000"
DilutedNIAvailtoComStockholders,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-3,510,000","-6,668,000","-5,116,000","-2,549,000"
BasicEPS,,"-0.71","-1.64","-0.68","-0.7","-0.64","-0.43","-0.31","-1.23","-0.29",,"-0.322","-0.247","-0.123"
DilutedEPS,,"-0.71","-1.64","-0.68","-0.7","-0.64","-0.43","-0.31","-1.23","-0.29",,"-0.322","-0.247","-0.123"
BasicAverageShares,,"48,246,000","23,607,500","43,265,000","37,583,000","37,521,000","37,455,000","37,420,000","8,586,000","20,681,971",,"20,681,971","20,681,971","20,681,971"
DilutedAverageShares,,"48,246,000","23,607,500","43,265,000","37,583,000","37,521,000","37,455,000","37,420,000","8,586,000","20,681,971",,"20,681,971","20,681,971","20,681,971"
TotalOperatingIncomeAsReported,"-128,654,000","-34,460,000","-38,547,000","-29,280,000","-26,367,000","-23,857,000","-16,293,000","-11,466,000","-10,368,000","-6,150,000","-6,047,000","-5,206,000","-3,905,000","-2,174,000"
TotalExpenses,"137,071,000","36,255,000","40,399,000","31,443,000","28,974,000","26,561,000","18,435,000","13,212,000","11,909,000","7,508,000","7,492,000","5,856,000","4,129,000","2,174,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000","-6,668,000","-5,116,000","-2,549,000"
NormalizedIncome,"-128,400,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,481,000","-6,085,000","-10,385,000","-6,668,000","-5,120,000","-2,546,000"
InterestIncome,"338,000","250,000","55,000","17,000","16,000","16,000","18,000","27,000","18,000","143,000","0","0","0","0"
InterestExpense,,,"0","0","0","0","0","0","131,000","78,000","4,338,000","1,462,000","1,215,000","372,000"
NetInterestIncome,"338,000","250,000","55,000","17,000","16,000","16,000","18,000","27,000","-113,000","65,000","-4,338,000","-1,462,000","-1,215,000","-372,000"
