name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"1,622,820,000","1,576,608,000","1,419,317,000","989,878,000","913,131,000","907,326,000","953,174,000","1,295,716,000","1,508,947,000","1,218,238,000","1,211,780,000","1,129,744,000","1,081,072,000","1,068,954,000","953,636,000","887,734,000","769,400,000","629,597,000","562,241,000","337,152,000","308,411,000","291,686,000","306,866,000","412,122,000","466,503,000","517,725,000","2,020,446,000","2,112,590,000","2,198,651,000","2,226,434,000","2,722,379,000","2,587,680,000","2,535,933,000","2,507,087,000","2,406,436,000","2,445,003,000","1,869,801,000","1,842,989,000","1,862,737,000","1,977,072,000","1,958,703,000","1,943,053,000","1,877,007,000","1,869,630,000","1,904,525,000","1,944,600,000","1,980,423,000","2,051,636,000","3,079,981,000","2,888,507,000","2,901,269,000","2,956,939,000","3,000,498,000","2,996,552,000","2,910,621,000","2,640,949,000","2,352,479,000","2,253,461,000","2,046,556,000","1,849,891,000","1,698,812,000","1,633,149,000","1,534,327,000","1,453,934,000","1,240,317,000","1,251,546,000","1,217,055,000","1,076,990,000","1,039,474,000","783,335,000","757,588,000","709,948,000","680,666,000","683,733,000","664,875,000","652,308,000","636,509,000","586,292,000","469,256,000","466,691,000","462,021,000","460,171,000","433,286,000","273,692,000","282,054,000","268,766,000","299,097,000","296,948,000","252,472,000","274,000,000","281,000,000","251,400,000","236,200,000","256,900,000","243,500,000","240,700,000","267,200,000","247,200,000","254,400,000","249,800,000","232,800,000","229,500,000","235,100,000","227,400,000","210,900,000","206,000,000","214,100,000","213,000,000","218,000,000","199,300,000","198,400,000","197,600,000","204,500,000","214,300,000","133,400,000","132,000,000","133,500,000","132,600,000","151,600,000","162,800,000","167,400,000","173,600,000","178,800,000","183,400,000","178,500,000","176,600,000","175,100,000","173,300,000","172,600,000","168,500,000","133,200,000","141,200,000","143,100,000","149,200,000"
	CurrentAssets,"197,557,000","186,151,000","151,911,000","148,084,000","110,879,000","153,420,000","109,796,000","186,288,000","330,661,000","88,339,000","101,178,000","80,889,000","85,721,000","126,430,000","87,502,000","88,320,000","70,032,000","87,088,000","64,838,000","58,684,000","44,909,000","38,884,000","50,095,000","84,250,000","123,894,000","164,980,000","179,875,000","197,830,000","281,884,000","335,027,000","339,044,000","347,073,000","188,246,000","233,696,000","195,842,000","169,829,000","88,661,000","96,515,000","91,907,000","132,050,000","128,546,000","145,346,000","101,855,000","116,804,000","133,584,000","214,340,000","293,840,000","425,150,000","455,058,000","299,242,000","293,483,000","189,540,000","231,864,000","263,518,000","251,173,000","368,478,000","271,023,000","244,072,000","181,351,000","211,488,000","186,733,000","192,383,000","164,177,000","130,548,000","143,270,000","178,185,000","169,313,000","121,691,000","114,591,000","84,239,000","56,797,000","55,781,000","47,302,000","51,905,000","44,763,000","46,542,000","45,307,000","35,737,000","27,556,000","28,590,000","29,805,000","30,402,000","18,108,000","18,337,000","13,602,000","15,294,000","11,082,000","11,092,000","8,351,000","9,300,000","7,800,000","6,600,000","4,800,000","7,500,000","7,000,000","8,400,000","9,900,000","11,900,000","7,000,000","7,700,000","9,100,000","10,300,000","12,800,000","18,600,000","13,600,000","12,900,000","11,200,000","13,000,000","14,000,000","17,900,000","19,800,000","20,700,000","31,600,000","32,900,000","31,100,000","18,500,000","14,700,000","12,700,000","36,900,000","41,900,000","26,400,000","29,400,000","23,100,000","25,700,000","21,000,000","18,800,000","19,700,000","20,300,000","21,300,000","20,300,000","20,900,000","26,000,000","29,300,000","29,900,000"
		CashCashEquivalentsAndShortTermInvestments,"6,358,000","23,681,000","35,258,000","49,694,000","11,868,000","13,020,000","20,516,000","21,945,000","55,331,000","7,798,000","11,387,000","12,796,000","4,655,000","17,864,000","8,011,000","11,521,000","7,319,000","11,017,000","7,487,000","10,105,000","3,132,000","6,761,000","13,994,000","38,997,000","26,532,000","11,955,000","3,342,000","4,441,000","3,859,000","6,252,000","123,690,000","25,095,000","9,554,000","23,474,000","38,321,000","19,090,000","14,422,000","17,650,000","5,033,000","11,532,000","1,936,000","7,512,000","3,577,000","30,681,000","48,340,000","120,911,000","204,452,000","327,250,000","279,220,000","98,331,000","105,034,000","18,337,000","29,721,000","18,338,000","19,007,000","43,480,000","32,880,000","34,527,000","14,803,000","22,211,000","22,527,000","20,338,000","12,386,000","13,806,000","13,992,000","25,913,000","22,006,000","26,286,000","21,592,000","25,471,000","19,584,000","14,514,000","13,026,000","18,008,000","9,887,000","11,916,000","9,529,000","13,341,000","9,377,000","11,799,000","13,485,000","9,621,000",,"597,000",,"735,000","364,000",,,"1,500,000",,"100,000","500,000","200,000","1,800,000","2,800,000","2,800,000","800,000","1,100,000","1,400,000","1,800,000","1,900,000","4,500,000","9,600,000","4,300,000","3,000,000","3,100,000","3,600,000","3,500,000","7,000,000","8,300,000","9,800,000","23,300,000","23,900,000","7,400,000","6,700,000","5,500,000","4,200,000","15,900,000","3,600,000","6,000,000","4,900,000","3,200,000","6,500,000","2,800,000","2,700,000","2,800,000","2,000,000","2,700,000","3,500,000","4,200,000","10,100,000","4,800,000","2,400,000"
			CashAndCashEquivalents,"6,358,000","23,681,000","35,258,000","49,694,000","11,868,000","13,020,000","20,516,000","21,945,000","55,331,000","7,798,000","11,387,000","12,796,000","4,655,000","17,864,000","8,011,000","11,521,000","7,319,000","11,017,000","7,487,000","10,105,000","3,132,000","6,761,000","13,994,000","38,997,000","26,532,000","11,955,000","3,342,000","4,441,000","3,859,000","6,252,000","123,690,000","25,095,000","9,554,000","23,474,000","38,321,000","19,090,000","14,422,000","17,650,000","5,033,000","11,532,000","1,936,000","7,512,000","3,577,000","30,681,000","48,340,000","120,911,000","204,452,000","327,250,000","279,220,000","98,331,000","105,034,000","18,337,000","29,721,000","18,338,000","19,007,000","43,480,000","32,880,000","34,527,000","14,803,000","22,211,000","22,527,000","20,338,000","12,386,000","13,806,000","13,992,000","25,913,000","22,006,000","26,286,000","21,592,000","25,471,000","19,584,000","14,514,000","13,026,000","18,008,000","9,887,000","11,916,000","9,529,000","13,341,000","9,377,000","11,799,000","13,485,000","9,621,000",,"597,000",,"735,000","364,000",,,"700,000",,"100,000","500,000","200,000","1,800,000","2,800,000","2,800,000","800,000","1,100,000","1,400,000","1,800,000","1,900,000","4,500,000","9,600,000","4,300,000","3,000,000","3,100,000","3,600,000","3,500,000","7,000,000","8,300,000","9,800,000","23,300,000","23,900,000","7,400,000","6,700,000","5,500,000","4,200,000","15,900,000","3,600,000","6,000,000","4,900,000","3,200,000","6,500,000","2,800,000","2,700,000","2,800,000","2,000,000","2,700,000","3,500,000","4,200,000","10,100,000","4,800,000","2,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,"0","0",,"0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"154,124,000","117,557,000","86,773,000","75,020,000","63,536,000","42,562,000","26,030,000","42,833,000","37,123,000","71,952,000","66,007,000","56,178,000","73,855,000","68,509,000","72,045,000","71,572,000","55,957,000","69,821,000","48,096,000","42,807,000","38,667,000","29,095,000","32,137,000","40,314,000","43,837,000","47,965,000","73,020,000","104,636,000","149,929,000","189,627,000","188,683,000","238,325,000","167,190,000","194,403,000","147,920,000","132,517,000","64,378,000","62,978,000","70,039,000","86,905,000","102,547,000","103,897,000","75,736,000","67,779,000","66,699,000","72,378,000","58,483,000","62,536,000","126,742,000","124,804,000","100,454,000","105,423,000","110,443,000","149,241,000","191,729,000","256,471,000","199,334,000","179,120,000","147,361,000","152,403,000","143,128,000","138,880,000","129,395,000","99,093,000","112,166,000","133,086,000","125,528,000","87,623,000","84,482,000","44,392,000","30,068,000","32,679,000","27,816,000","31,789,000","33,324,000","32,678,000","33,313,000","20,893,000","17,332,000","15,278,000","14,650,000","16,002,000","14,551,000","15,347,000",,"13,907,000","9,981,000","9,557,000","7,380,000","6,900,000","6,500,000","4,900,000","2,800,000","6,100,000","4,000,000","4,300,000","5,900,000","9,800,000","4,800,000","3,600,000","5,800,000","6,400,000","7,000,000","7,700,000","8,100,000","8,200,000","5,800,000","7,000,000","6,900,000","6,900,000","8,600,000","8,600,000","6,600,000","7,500,000","7,000,000","10,000,000","7,000,000","6,900,000","9,700,000","10,800,000","10,400,000","14,600,000","7,400,000",,"6,400,000","5,300,000",,"7,700,000","7,400,000","6,700,000","6,800,000","7,200,000","11,000,000","12,400,000"
			AccountsReceivable,"132,760,000","96,195,000","76,909,000","64,660,000","52,623,000","39,672,000","24,443,000","40,944,000","27,004,000","63,165,000","54,987,000","48,347,000","61,560,000","59,030,000","64,965,000","55,736,000","43,764,000","39,106,000","30,852,000","22,920,000","23,331,000","27,727,000","19,221,000","22,573,000","20,167,000","23,481,000","37,010,000","59,906,000","57,125,000","62,650,000","97,139,000","101,369,000","92,612,000","93,288,000","84,412,000","66,791,000","49,978,000","43,967,000","70,039,000","55,751,000","71,383,000","72,432,000","75,736,000","67,779,000","66,699,000","72,378,000","58,483,000","62,536,000","126,742,000","124,804,000","100,454,000","105,423,000","110,443,000","149,241,000","191,729,000","256,471,000","199,334,000","179,120,000","147,361,000","152,403,000","143,128,000","138,880,000","129,395,000","99,093,000","112,166,000","133,086,000","121,456,000","81,211,000","81,242,000","40,003,000","30,068,000","32,679,000","27,816,000","31,789,000","32,627,000","32,045,000","32,738,000","20,366,000","16,816,000","14,773,000","14,156,000","15,403,000","13,804,000","14,522,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,"19,221,000",,"26,548,000",,,"105,191,000","57,125,000","189,907,000",,"101,369,000","167,812,000","195,025,000","148,542,000","129,992,000","49,978,000","64,644,000","71,302,000","57,014,000","72,648,000","74,213,000","76,017,000","68,071,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,"-2,443,000",,"-1,618,000",,,"-555,000","-280,000","-280,000",,"-176,000","-622,000","-622,000","-622,000","-261,000","-1,648,000","-1,666,000","-1,263,000","-1,263,000","-1,265,000","-1,781,000","-281,000","-292,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"697,000",,"575,000","527,000","516,000","505,000","494,000","599,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
