name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"390,173,000","133,835,000","84,941,000","81,373,000","90,500,000","32,211,000","32,055,000","60,828,000","56,422,000","72,473,000","75,981,000","89,851,000","85,103,000","69,259,000","79,227,000","72,487,000","81,736,000","38,682,000","31,416,000","14,277,000","26,549,000","9,468,000","30,774,000","17,242,000","28,531,000","7,062,000","63,960,000","52,729,000","45,552,000","82,274,000","101,257,000","32,633,000","66,560,000","36,678,000","95,083,000","84,136,000","45,615,000","51,244,000","74,489,000","45,024,000","70,701,000","41,577,000","39,405,000","34,323,000","29,436,000","10,964,000","23,206,000","44,161,000","79,267,000","53,924,000","84,046,000","34,958,000","103,019,000","107,087,000","91,795,000","118,740,000","66,152,000","104,049,000","76,184,000","67,856,000","64,941,000","78,758,000","47,161,000","84,205,000","65,695,000","82,900,000","63,841,000","53,815,000","30,851,000","46,171,000","41,595,000","34,055,000","24,544,000","38,800,000","22,935,000","29,136,000","18,833,000","24,540,000","18,596,000","11,742,000","10,910,000","16,261,000","1,730,000","10,279,000","15,921,000","13,507,000","11,087,000","8,609,000","8,537,000","10,500,000","5,700,000","3,100,000","5,800,000","-600,000","5,100,000","8,800,000","5,900,000","4,300,000","5,100,000","5,100,000","5,200,000","4,600,000","5,400,000","3,000,000","5,500,000","10,500,000","3,200,000","3,700,000","2,200,000","8,700,000","5,200,000","0","2,300,000","2,000,000","6,700,000","5,700,000","2,900,000","1,300,000","3,200,000","4,300,000","8,800,000","4,800,000","3,300,000","3,700,000","1,700,000","3,500,000","5,700,000","4,200,000","2,000,000"
	CashFlowFromContinuingOperatingActivities,"390,173,000","133,835,000","84,941,000","81,373,000","90,500,000","32,211,000","32,055,000","60,828,000","56,422,000","72,473,000","75,981,000","89,851,000","85,103,000","69,259,000","79,227,000","72,487,000","81,736,000","38,682,000","31,416,000","14,277,000","26,549,000","9,468,000","30,774,000","17,242,000","28,531,000","7,062,000","63,960,000","52,729,000","45,552,000","82,274,000","101,257,000","32,633,000","66,560,000","36,678,000","95,083,000","84,136,000","45,615,000","51,244,000","74,489,000","45,024,000","70,701,000","41,577,000","39,405,000","34,323,000","29,436,000","10,964,000","23,206,000","-33,598,000","79,267,000","53,924,000","84,046,000","34,958,000","103,019,000","107,087,000","91,795,000","118,740,000","66,152,000","104,049,000","76,184,000","67,856,000","64,941,000","78,758,000","47,161,000","84,205,000","65,695,000","82,900,000","63,841,000","53,815,000","30,851,000","46,171,000","41,595,000","34,055,000","24,544,000","38,800,000","22,935,000","29,136,000","18,833,000","24,540,000","18,596,000","11,742,000","10,910,000","16,261,000","1,730,000","10,279,000","15,921,000","13,507,000","11,087,000","8,609,000","8,537,000","10,500,000","5,700,000","3,100,000","5,800,000","-600,000","5,100,000","8,800,000","5,900,000","4,300,000","5,100,000","5,100,000","5,200,000","4,600,000","5,400,000","3,000,000","5,500,000","10,500,000","3,200,000","3,700,000","2,200,000","8,700,000","5,200,000","0","2,300,000","2,000,000","6,700,000","5,700,000","2,900,000","1,300,000","3,200,000","4,300,000","8,800,000","4,800,000","3,300,000","3,700,000","1,700,000","3,500,000","5,700,000","4,200,000","2,000,000"
		NetIncomeFromContinuingOperations,"98,278,000","-20,661,000","68,280,000","43,063,000","7,596,000","-20,021,000","-135,523,000","-243,413,000","-94,715,000","163,094,000","3,299,000","54,362,000","51,625,000","-38,697,000","200,735,000","16,276,000","-2,521,000","10,295,000","-10,801,000","-5,947,000","21,003,000","28,407,000","-5,296,000","-61,980,000","-33,473,000","-1,471,567,000","25,900,000","-80,129,000","-57,165,000","-417,694,000","89,661,000","-100,784,000","19,225,000","-2,349,000","-98,900,000","-25,438,000","-16,383,000","-54,441,000","-32,611,000","-5,638,000","-11,899,000","-27,939,000","-6,718,000","-71,918,000","-26,340,000","-22,937,000","-30,159,000","12,991,000","22,940,000","11,412,000","-69,391,000","-15,838,000","-3,551,000","297,000","123,738,000","-3,793,000","3,926,000","5,359,000","17,114,000","23,878,000","4,403,000","10,703,000","22,881,000","18,217,000","24,108,000","27,411,000","19,990,000","7,647,000","7,040,000","4,699,000","6,434,000","12,080,000","10,142,000","6,231,000","5,443,000","6,362,000","10,486,000","2,363,000","3,208,000","3,163,000","3,370,000","-23,638,000","4,247,000","43,018,000","10,710,000","20,538,000","7,202,000","6,182,000","5,343,000","4,500,000","3,900,000","3,200,000","2,900,000","-700,000","3,500,000","3,600,000","3,200,000","5,000,000","3,100,000","3,200,000","4,700,000","3,500,000","2,700,000","2,500,000","4,300,000","1,000,000","1,100,000","5,400,000","2,600,000","3,500,000","3,500,000","3,300,000","3,200,000","2,300,000","2,700,000","2,600,000","2,600,000",,,"-1,400,000","1,300,000","-500,000","-100,000","900,000","900,000","900,000","3,300,000","4,000,000","2,400,000"
		OperatingGainsLosses,"265,990,000","165,730,000","24,956,000","21,081,000","54,227,000","45,595,000","21,453,000","6,891,000","34,341,000","-151,125,000","38,078,000","-24,325,000","-13,619,000","67,992,000","-148,894,000","40,687,000","52,237,000","18,720,000","33,597,000","12,266,000","-10,927,000","-17,081,000","16,671,000","20,849,000","-4,339,000","-9,706,000","-95,529,000","15,429,000","-22,776,000","-154,556,000","-129,977,000","42,716,000","-41,164,000","-2,552,000","24,221,000","20,313,000","8,310,000","-27,857,000","37,268,000","-36,934,000","7,530,000","9,003,000","-2,742,000","-1,942,000","4,936,000","69,486,000","17,911,000","-81,738,000","-14,686,000","-56,358,000","21,819,000",,,"-117,803,000","-33,085,000","-7,202,000","39,476,000","29,647,000","16,976,000","14,860,000","34,862,000","11,178,000","7,133,000","16,717,000","10,270,000","46,097,000","-2,631,000","25,618,000","16,700,000","31,808,000","2,670,000","6,745,000","7,235,000","6,948,000","5,834,000","4,352,000","2,690,000","5,782,000","4,324,000","2,812,000","4,004,000","41,188,000","2,695,000","-53,003,000","1,651,000","-19,757,000","-376,000","95,000","-414,000","-100,000","100,000","-300,000","-200,000","3,400,000","-500,000","-400,000","-600,000","-1,900,000","-400,000","-700,000","-700,000","2,000,000","-900,000","-1,100,000","-500,000","6,100,000",,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,000","-56,826,000","-213,000","186,000","-256,000","549,000",,,"-78,000","-756,000","-2,251,000","229,000","28,000","-480,000","212,000","-280,000","-125,000","254,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"260,518,000","167,887,000","17,320,000","21,084,000","54,227,000","44,368,000","21,457,000","6,891,000","34,349,000","-151,119,000","37,965,000","-24,248,000","-13,603,000","68,017,000","-149,152,000","40,689,000","52,241,000","18,795,000","33,621,000","12,275,000","-11,061,000","-17,016,000","16,622,000","21,759,000","-4,492,000","-19,174,000","-44,701,000","15,495,000","-22,867,000","-154,082,000","-66,457,000","42,665,000","15,662,000","-2,356,000","24,035,000","-8,588,000","7,761,000","-4,937,000",,,,"11,254,000",,,,"2,504,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"158,666,000","50,893,000","48,003,000","30,975,000","28,795,000","23,884,000","25,782,000","37,038,000","37,135,000","40,718,000","44,882,000","46,519,000","44,298,000","38,870,000","39,591,000","35,016,000","31,273,000","22,081,000","17,104,000","10,659,000","11,076,000","9,810,000","11,652,000","11,746,000","13,812,000","81,423,000","76,850,000","85,416,000","90,790,000","84,676,000","71,999,000","71,437,000","72,187,000","67,239,000","62,450,000","64,329,000","51,576,000","54,448,000","49,331,000","51,740,000","50,817,000","49,310,000","45,345,000","33,036,000","34,843,000","39,342,000","33,224,000","14,560,000","47,574,000","50,207,000","57,869,000","58,218,000","57,073,000","58,755,000","49,978,000","44,934,000","38,569,000","39,700,000","33,207,000","28,546,000","28,070,000","27,636,000","23,336,000","21,664,000","21,581,000","-1,036,000","42,350,000","19,779,000","15,844,000","4,908,000","22,501,000","13,387,000","14,156,000","13,486,000","12,265,000","12,010,000","12,348,000","8,881,000","8,121,000","7,035,000","6,602,000","7,417,000","5,401,000","3,474,000","3,287,000","3,368,000","3,191,000","2,903,000","2,565,000","2,300,000","2,200,000","1,900,000","2,000,000","2,000,000","1,600,000","1,800,000","1,800,000","1,800,000","1,600,000","1,600,000","1,500,000","1,900,000","1,700,000","1,600,000","1,600,000","1,800,000","2,200,000","1,800,000","1,900,000","1,700,000","1,600,000","1,400,000","1,600,000","1,300,000","1,200,000","1,300,000","1,400,000","-1,700,000","1,800,000","2,000,000","2,100,000","2,600,000","2,100,000","1,900,000","1,900,000","1,700,000","1,600,000","1,800,000","2,000,000"
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,978,000","44,934,000","38,569,000","39,700,000","33,207,000","28,546,000","28,070,000","27,636,000","23,336,000","21,664,000","21,581,000","-1,036,000","42,350,000","19,779,000","15,844,000","4,908,000","22,501,000","13,387,000","14,156,000","13,486,000","12,265,000","12,010,000","12,348,000","8,881,000","8,121,000","7,035,000","6,602,000","7,417,000","5,401,000","3,474,000","3,287,000","3,368,000","3,191,000","2,903,000","2,565,000","2,300,000","2,200,000","1,900,000","2,000,000","2,000,000","1,600,000","1,800,000","1,800,000","1,800,000","1,600,000","1,600,000","1,500,000","1,900,000","1,700,000","1,600,000","1,600,000","1,800,000","2,200,000","1,800,000","1,900,000","1,700,000","1,600,000","1,400,000","1,600,000","1,300,000","1,200,000","1,300,000","1,400,000","-1,700,000","1,800,000","2,000,000","2,100,000","2,600,000","2,100,000","1,900,000","1,900,000","1,700,000","1,600,000","1,800,000","2,000,000"
		DeferredTax,"838,000","-721,000","1,119,000","379,000","61,000","-310,000","-1,393,000","-1,565,000","-786,000","2,320,000","401,000","942,000","818,000","1,212,000","2,841,000","-10,000","0","163,000","-4,943,000",,,,"0","0","0","-4,978,000","36,000","89,000","141,000","-134,888,000","42,113,000","-56,516,000","14,064,000","-2,119,000","-53,106,000","-13,682,000","-8,789,000","-36,232,000","-22,208,000","-3,635,000","-6,601,000","-25,129,000","-6,125,000","-40,046,000","-14,201,000","36,379,000","13,882,000","1,267,000","-9,000,000","-12,494,000","-51,928,000","-14,166,000","-4,634,000","-1,040,000","62,050,000","-3,110,000","2,605,000","1,438,000","9,218,000","10,719,000","1,965,000","5,949,000","13,248,000","9,941,000","8,882,000","6,301,000","6,750,000","500,000","3,543,000","5,911,000","6,350,000","4,423,000","2,541,000","4,797,000","4,360,000","3,498,000","2,637,000","2,032,000","4,221,000","1,523,000","357,000","-6,840,000","1,929,000","840,000","2,183,000","4,572,000","1,168,000","708,000","558,000","1,800,000","800,000","-100,000","300,000","-900,000","800,000",,,"1,000,000","700,000","0","500,000","0","300,000","0","-700,000","-3,300,000",,,,,,,,,,,,,,,,,,,,,,,
