name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
OperatingCashFlow,"140,553,000","47,771,000","21,168,000","48,424,000","23,190,000","43,550,000","13,734,000","43,960,000","8,259,000","40,707,000","20,804,000","48,854,000","22,191,000","40,190,000","20,264,000","43,742,000","22,489,000","44,423,000","24,961,000","39,526,000","24,195,000","39,613,000","16,173,000","41,671,000","21,325,000","35,513,000","12,322,000","31,570,000","14,312,000","28,713,000","12,764,242","23,001,173","13,174,459","16,267,053","4,408,836","15,600,761","13,329,247","4,413,621","5,524,022","9,316,107","5,766,330","4,114,107","3,462,969","7,270,094","2,517,103","4,036,031","2,301,893","3,661,235","-438,557","-3,219,301","-3,927,950","-1,004,525","-905,999","-317,755","-494,858","-68,202","-4,525,936","-98,572","-175,993","0"
	CashFlowFromContinuingOperatingActivities,"140,553,000","47,771,000","21,168,000","48,424,000","23,190,000","43,550,000","13,734,000","43,960,000","8,259,000","40,707,000","20,804,000","48,854,000","22,191,000","40,190,000","20,264,000","43,742,000","22,489,000","44,423,000","24,961,000","39,526,000","24,195,000","39,613,000","16,173,000","41,671,000","21,325,000","35,513,000","12,322,000","31,570,000","14,312,000","28,713,000","12,764,242","23,001,173","13,174,459","16,267,053","4,408,836","15,600,761","13,329,247","4,413,621","5,524,022","9,316,107","5,766,330","4,114,107","3,462,969","7,270,094","2,517,103","4,036,031","2,301,893","3,661,235","-438,557","-3,219,301","-3,927,950","-1,004,525","-905,999","-317,755","-494,858","-68,202","-4,525,936","-98,572","-175,993","0"
		NetIncomeFromContinuingOperations,"61,852,000","12,466,000","9,112,000","22,589,000","17,685,000","7,974,000","9,580,000","6,969,000","5,036,000","13,136,000","11,126,000","19,628,000","8,346,000","14,583,000","11,568,000","15,647,000","8,102,000","11,824,000","12,113,000","10,127,000","9,197,000","11,251,000","10,652,000","8,215,000","8,638,000","8,925,000","7,468,000","7,837,000","5,411,000","4,376,000","4,751,521","6,980,696","6,050,762","3,266,243","3,955,264","25,262,291","2,471,012","2,289,886","-277,891","2,618,348","4,424,752","1,127,404","233,578",,,"6,180,089","2,432,960","-102,602","-1,090,304","-1,640,975","-6,070,782","-2,336,523","-738,736","-219,729","250,183","833,303","464,689","1,089,700","1,734,933","0"
		OperatingGainsLosses,,,"0","-12,880,000",,,,,,,"0","-10,357,000","-180,000","-2,638,000","0",,,,,,,,,,,,,,,,"0","-4,780,027",,,"-8,750,000","-22,500,350","673,287","-231,194","2,961,279","-2,423,990","-4,089,636","-290,329","414,329","-3,613,194","-190,220","-6,005,133",,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"0","-12,880,000",,,,,,,"0","-10,357,000","-180,000","-2,638,000","0",,,,,,,,,,,,,,,,"0","-4,780,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-22,500,350","-40,242","-231,194","-3,047,562","-279,294","-225,491","-290,329","414,329","74,011","-190,220","-243,279",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"93,651,000","23,762,000","23,528,000","22,854,000","23,507,000","23,040,000","24,690,000","24,649,000","24,114,000","24,278,000","24,192,000","24,163,000","24,443,000","24,761,000","24,955,000","25,335,000","25,331,000","25,217,000","24,926,000","24,627,000","23,645,000","23,058,000","22,503,000","23,102,000","21,821,000","20,933,000","18,390,000","18,059,000","16,874,000","17,634,000","15,448,833","15,364,808","14,257,274","13,364,066","12,584,738","9,755,321","9,176,706","8,881,130","8,336,792","7,070,557","7,765,799","5,901,561","6,602,806","6,936,375","4,007,056","3,717,935","3,160,285","1,638,057","838,679","443,550",,,,,,,,,,
			DepreciationAndAmortization,"93,651,000","23,762,000","23,528,000","22,854,000","23,507,000","23,040,000","24,690,000","24,649,000","24,114,000","24,278,000","24,192,000","24,163,000","24,443,000","24,761,000","24,955,000","25,335,000","25,331,000","25,217,000","24,926,000","24,627,000","23,645,000","23,058,000","22,503,000","23,102,000","21,821,000","20,933,000","18,390,000","18,059,000","16,874,000","17,634,000","15,448,833","15,364,808","14,257,274","13,364,066","12,584,738","9,755,321","9,176,706","8,881,130","8,336,792","7,070,557","7,765,799","5,901,561","6,602,806","6,936,375","4,007,056","3,717,935","3,160,285","1,638,057","838,679","443,550",,,,,,,,,,
				Depreciation,"97,076,000",,,,,,,"24,649,000","24,114,000","24,278,000","24,192,000","24,163,000","24,443,000","24,761,000","24,955,000","25,335,000","25,331,000","25,217,000","24,926,000","24,627,000","23,645,000","23,058,000","22,503,000","23,102,000","21,821,000","20,933,000","18,390,000","18,059,000","16,874,000","17,634,000","15,448,833","15,364,808","14,257,274","13,364,066","12,584,738","9,755,321","9,176,706","8,881,130",,,,"6,649,818",,,"4,538,722","4,232,474",,,,,,,,,,,,,,
