name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
TotalRevenue,"2,924,100,000","733,699,000","865,329,000","679,953,000","645,119,000","574,183,000","649,886,000","451,663,000","356,073,000","320,766,000","411,230,000","260,928,000","250,101,000","206,662,000","275,739,000","173,381,000","156,810,000","136,576,000","188,261,000","124,782,000","99,627,000","100,093,000","147,340,000","89,053,000"
	OperatingRevenue,"2,924,100,000","733,699,000","865,329,000","679,953,000","645,119,000","574,183,000","649,886,000","451,663,000","356,073,000","320,766,000","411,230,000","260,928,000","250,101,000","206,662,000","275,739,000","173,381,000","156,810,000","136,576,000","188,261,000","124,782,000","99,627,000","100,093,000","147,340,000","89,053,000"
CostOfRevenue,"1,477,464,000","368,892,000","485,685,000","316,034,000","306,853,000","247,412,000","344,428,000","236,839,000","209,237,000","179,665,000","249,583,000","142,451,000","135,892,000","105,771,000","163,448,000","94,388,000","79,058,000","73,464,000","114,800,000","74,887,000","61,990,000","61,253,000","102,677,000","63,003,000"
GrossProfit,"1,446,636,000","364,807,000","379,644,000","363,919,000","338,266,000","326,771,000","305,458,000","214,824,000","146,836,000","141,101,000","161,647,000","118,477,000","114,209,000","100,891,000","112,291,000","78,993,000","77,752,000","63,112,000","73,461,000","49,895,000","37,637,000","38,840,000","44,663,000","26,050,000"
OperatingExpense,"1,310,832,000","388,297,000","358,280,000","295,073,000","269,182,000","250,965,000","240,307,000","202,854,000","189,045,000","196,266,000","179,031,000","145,026,000","124,595,000","111,631,000","106,804,000","90,742,000","77,884,000","70,014,000","63,967,000","57,787,000","51,020,000","46,675,000","41,284,000","40,151,000"
	SellingGeneralAndAdministration,"786,813,000","224,299,000","231,842,000","174,766,000","155,906,000","149,384,000","145,576,000","114,466,000","104,658,000","107,988,000","100,239,000","76,539,000","62,601,000","55,893,000","55,804,000","45,372,000","37,688,000","35,888,000","32,672,000","29,255,000","25,244,000","24,333,000","21,807,000","21,922,000"
		GeneralAndAdministrativeExpense,"273,563,000","77,777,000","68,492,000","65,066,000","62,228,000","60,511,000","49,487,000","43,510,000","40,494,000","39,740,000","38,425,000","29,873,000","26,033,000","22,086,000","21,204,000","19,769,000","15,429,000","15,570,000","13,541,000","13,039,000","10,577,000","10,278,000","8,008,000","9,078,000"
			OtherGandA,"273,563,000","77,777,000","68,492,000","65,066,000","62,228,000","60,511,000","49,487,000","43,510,000","40,494,000","39,740,000","38,425,000","29,873,000","26,033,000","22,086,000","21,204,000","19,769,000","15,429,000","15,570,000","13,541,000","13,039,000","10,577,000","10,278,000","8,008,000","9,078,000"
		SellingAndMarketingExpense,"513,250,000","146,522,000","163,350,000","109,700,000","93,678,000","88,873,000","96,089,000","70,956,000","64,164,000","68,248,000","61,814,000","46,666,000","36,568,000","33,807,000","34,600,000","25,603,000","22,259,000","20,318,000","19,131,000","16,216,000","14,667,000","14,055,000","13,799,000","12,844,000"
	ResearchAndDevelopment,"524,019,000","163,998,000","126,438,000","120,307,000","113,276,000","101,581,000","94,731,000","88,388,000","84,387,000","88,278,000","78,792,000","68,487,000","61,994,000","55,738,000","51,000,000","45,370,000","40,196,000","34,126,000","31,295,000","28,532,000","25,776,000","22,342,000","19,477,000","18,229,000"
