name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,12/31/2014
TotalAssets,"3,209,486,000","3,140,333,000","3,502,009,000","3,497,953,000","3,537,651,000","3,739,954,000","3,808,881,000","4,027,352,000","4,898,393,000","4,114,187,000","4,127,462,000","4,129,720,000","4,135,642,000","4,009,526,000","3,866,076,000","3,725,081,000","3,683,887,000","3,619,610,000","3,927,658,000","3,564,068,000","3,516,480,000","3,526,155,000","3,242,641,000","3,112,710,000","2,936,358,000","2,932,111,000","2,952,819,000","2,961,809,000","2,995,959,000"
	CurrentAssets,"469,987,000","429,140,000","849,693,000","845,265,000","890,064,000","248,959,000","250,391,000","410,007,000","1,226,603,000","281,630,000","259,996,000","263,473,000","278,862,000","261,965,000","243,831,000","212,150,000","286,368,000","341,562,000","590,800,000","245,695,000","235,739,000","249,841,000","193,917,000","350,248,000","221,811,000","211,846,000","193,817,000","211,896,000","198,118,000"
		CashCashEquivalentsAndShortTermInvestments,"336,566,000","275,281,000","89,925,000","90,988,000","117,908,000","121,176,000","108,862,000","270,124,000","1,091,149,000","128,835,000","106,444,000","100,233,000","109,249,000","114,607,000","110,585,000","108,418,000","179,192,000","231,465,000","222,427,000","125,307,000","119,418,000","133,776,000","96,329,000","251,410,000","122,561,000","116,426,000","102,648,000","117,798,000","122,579,000"
			CashAndCashEquivalents,"336,566,000","275,281,000","89,925,000","90,988,000","117,908,000","121,176,000","108,862,000","270,124,000","1,091,149,000","128,835,000","106,444,000","100,233,000","109,249,000","114,607,000","110,585,000","108,418,000","179,192,000","231,465,000","222,427,000","125,307,000","119,418,000","133,776,000","96,329,000","251,410,000","122,561,000","116,426,000","102,648,000","117,798,000","122,579,000"
		Receivables,"34,872,000","36,739,000","32,467,000","33,269,000","35,398,000","35,130,000","48,591,000","51,567,000","39,900,000","56,683,000","53,782,000","53,375,000","56,912,000","51,356,000","52,402,000","44,067,000","45,457,000","48,986,000","48,807,000","50,657,000","46,318,000","51,245,000","35,117,000","33,439,000","37,254,000","35,505,000","34,543,000","44,014,000","35,621,000"
			AccountsReceivable,"34,872,000","36,739,000","32,467,000","33,269,000","35,398,000","35,130,000","48,591,000","51,567,000","39,900,000","56,683,000","53,782,000","53,375,000","56,912,000","51,291,000","52,322,000","43,987,000","45,377,000","48,730,000","41,825,000","41,238,000","45,812,000","43,547,000","35,117,000","33,439,000","37,254,000","35,505,000","34,543,000","44,014,000","35,621,000"
				GrossAccountsReceivable,,"44,039,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-7,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,"65,000","80,000","80,000","80,000","256,000","6,982,000","9,419,000","506,000","7,698,000",,,,,,,
		Inventory,"11,902,000","11,734,000","11,475,000","12,263,000","12,442,000","13,079,000","14,152,000","14,423,000","16,181,000","17,765,000","17,323,000","18,178,000","15,348,000","14,910,000","12,667,000","12,730,000","11,637,000","12,572,000","11,460,000","11,131,000","10,857,000","11,956,000","9,421,000","10,133,000","8,802,000","10,329,000","8,859,000","8,959,000","9,960,000"
		PrepaidAssets,"47,073,000","47,161,000","59,198,000","52,590,000","45,243,000","38,143,000","42,209,000","37,331,000","43,080,000","42,065,000","46,184,000","68,160,000","74,001,000","57,839,000","64,564,000","43,433,000","42,402,000","40,970,000","39,408,000","36,169,000","37,523,000","31,467,000","32,030,000","34,246,000","32,174,000","28,369,000","31,158,000","33,267,000","27,145,000"
		RestrictedCash,"31,974,000","0","0","0","0","4,529,000","4,375,000","4,360,000","4,091,000","4,080,000","4,061,000","3,925,000","3,750,000","3,651,000","3,613,000","3,502,000","3,390,000","3,279,000","264,408,000","2,829,000","2,603,000","2,377,000",,,,"0","1,067,000","1,067,000","1,067,000"
		AssetsHeldForSaleCurrent,"7,600,000","58,225,000","656,628,000","656,155,000","679,073,000","36,902,000","32,202,000","32,202,000","32,202,000","32,202,000","32,202,000","19,602,000","19,602,000","19,602,000","0",,"4,290,000","4,290,000","4,290,000","19,602,000","19,020,000","19,020,000","21,020,000","21,020,000","21,020,000","21,217,000","15,542,000","6,791,000","1,746,000"
	TotalNonCurrentAssets,"2,739,499,000","2,711,193,000","2,652,316,000","2,652,688,000","2,647,587,000","3,490,995,000","3,558,490,000","3,617,345,000","3,671,790,000","3,832,557,000","3,867,466,000","3,866,247,000","3,856,780,000","3,747,561,000","3,622,245,000","3,512,931,000","3,397,519,000","3,278,048,000","3,336,858,000","3,318,373,000","3,280,741,000","3,276,314,000","3,048,724,000","2,762,462,000","2,714,547,000","2,720,265,000","2,759,002,000","2,749,913,000","2,797,841,000"
		NetPPE,"2,260,883,000","2,196,318,000","2,258,670,000","2,269,095,000","2,266,979,000","3,091,713,000","3,154,470,000","3,207,325,000","3,258,749,000","3,300,202,000","3,326,765,000","3,308,578,000","3,287,530,000","3,206,091,000","3,059,725,000","2,939,200,000","2,814,498,000","2,719,293,000","2,667,392,000","2,644,459,000","2,611,850,000","2,601,829,000","2,304,813,000","2,305,158,000","2,304,437,000","2,304,360,000","2,319,805,000","2,304,795,000","2,339,132,000"
