name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
OperatingCashFlow,"1,041,600,000","404,000,000","393,800,000","142,200,000","101,600,000","161,800,000","230,200,000","296,300,000","475,700,000","170,800,000","347,400,000","490,900,000","346,000,000","117,200,000","431,300,000","136,300,000","83,700,000","13,300,000","200,700,000","183,100,000","35,900,000","-20,700,000","238,900,000","182,400,000","49,800,000","155,400,000","308,700,000","252,400,000","292,500,000","171,400,000","193,200,000","53,300,000","40,700,000","68,800,000","120,300,000","229,100,000","211,700,000","72,200,000","333,100,000","247,600,000","84,400,000","-63,200,000","217,500,000","102,800,000","15,900,000","-101,400,000","166,402,000","83,136,000","18,814,000","-54,265,000","135,792,000","125,945,000","366,726,000","314,533,000","549,297,000","-12,994,000","21,185,000","107,196,000","254,277,000","214,448,000","99,470,000","70,769,000","179,435,000","88,696,000","-118,206,000","41,039,000","107,051,000","81,867,000","47,512,000","35,789,000","90,598,000","27,444,000","16,502,000","-12,776,000","6,936,000","42,025,000","35,888,000","21,565,000","19,827,000","24,576,000","37,917,000","8,424,000","24,733,000","41,440,000","25,484,000","11,930,000","35,154,000","11,088,000","-17,772,000","-4,006,000","30,200,000","39,200,000","25,800,000","36,200,000","21,100,000","7,300,000","1,400,000","1,100,000","31,200,000","4,900,000","1,900,000","1,800,000","8,600,000","6,600,000","9,500,000","11,700,000","24,900,000","4,800,000","200,000","9,500,000","1,600,000"
	CashFlowFromContinuingOperatingActivities,"1,041,600,000","404,000,000","393,800,000","142,200,000","101,600,000","161,800,000","230,200,000","296,300,000","475,700,000","170,800,000","347,400,000","490,900,000","346,000,000","117,200,000","431,300,000","136,300,000","83,700,000","13,300,000","200,700,000","183,100,000","35,900,000","-20,700,000","238,900,000","182,400,000","49,800,000","155,400,000","308,700,000","252,400,000","292,500,000","171,400,000","193,200,000","53,300,000","40,700,000","68,800,000","120,300,000","229,100,000","211,700,000","72,200,000","333,100,000","247,600,000","84,400,000","-63,200,000","217,500,000","102,800,000","15,900,000","-101,400,000","166,402,000","83,136,000","18,814,000","-54,265,000","135,792,000","125,945,000","366,726,000","314,533,000","549,297,000","-12,994,000","21,185,000","107,196,000","254,277,000","214,448,000","99,470,000","70,769,000","179,435,000","88,696,000","-118,206,000","41,039,000","107,051,000","81,867,000","47,512,000","35,789,000","90,598,000","27,444,000","16,502,000","-12,776,000","6,936,000","42,025,000","35,888,000","21,565,000","19,827,000","24,576,000","37,917,000","8,424,000","24,733,000","41,440,000","25,484,000","11,930,000","35,154,000","11,088,000","-17,772,000","-4,006,000","30,200,000","39,200,000","25,800,000","36,200,000","21,100,000","7,300,000","1,400,000","1,100,000","31,200,000","4,900,000","1,900,000","1,800,000","8,600,000","6,600,000","9,500,000","11,700,000","24,900,000","4,800,000","200,000","9,500,000","1,600,000"
		NetIncomeFromContinuingOperations,"1,673,800,000","524,600,000","422,300,000","396,700,000","330,200,000","268,200,000","130,500,000","98,300,000","80,700,000","62,900,000","166,300,000","163,900,000","184,300,000","191,600,000","87,300,000","150,300,000","233,100,000","171,100,000","303,800,000","99,000,000","104,800,000","113,400,000","62,900,000","50,600,000","102,100,000","93,500,000","68,900,000","52,800,000","91,600,000","102,900,000","93,700,000","96,900,000","97,800,000","87,900,000","62,300,000","96,000,000","81,900,000","84,500,000","80,800,000","99,400,000","110,200,000","117,900,000","69,100,000","86,300,000",,,"40,772,000","49,285,000","62,805,000","44,987,000","92,267,000","42,077,000","-5,286,000","20,118,000","66,288,000","152,498,000","156,596,000","107,395,000","79,910,000","93,565,000","122,784,000","111,696,000","74,642,000","107,505,000","100,505,000","71,855,000","60,588,000","49,437,000","49,049,000","46,363,000","42,952,000","44,140,000","52,797,000","29,839,000","9,686,000","12,353,000","6,392,000","5,579,000","1,937,000","9,965,000","10,774,000","7,491,000","4,374,000","7,792,000","11,418,000","12,752,000","13,669,000","15,823,000","16,696,000","16,131,000","15,300,000","14,600,000","13,600,000","14,100,000","11,500,000","11,900,000","12,500,000","11,800,000","10,500,000","8,400,000","8,400,000","6,900,000","7,200,000","7,000,000","7,800,000","7,800,000","5,800,000","5,700,000","5,600,000","5,600,000","3,800,000"
		OperatingGainsLosses,,,,,,,"-2,600,000",,,,,,,"-200,000","-17,600,000","-1,100,000","0","-100,000","-1,100,000","-4,500,000","0","-3,900,000","-100,000","-700,000","100,000","-500,000","-300,000","-1,600,000","-200,000","-100,000","-11,700,000","-1,000,000","-1,300,000","-1,100,000","-800,000","-900,000","2,600,000","-2,500,000","1,500,000","-2,300,000","1,500,000","-1,800,000","1,100,000","1,100,000","-2,700,000","1,200,000","3,462,000","-508,000","1,989,000","18,000","-5,877,000","-3,105,000","-2,575,000","-182,000","-419,000","2,614,000","-32,000","-70,000","-15,000","-14,000","-199,000","-619,000","346,000","5,799,000","-6,251,000","-311,000","3,797,000","2,404,000","1,951,000","4,076,000","2,114,000","3,435,000","3,052,000","1,826,000","-342,000","-46,000","-981,000","-270,000","-182,000","-331,000","39,000","-128,000","855,000","411,000","74,000","-1,255,000","-502,000","130,000","-857,000","-978,000","-600,000","-1,100,000","-1,200,000","-3,100,000","-1,400,000","-1,300,000","-1,500,000","-1,100,000","-1,700,000","-1,300,000","-2,300,000","-1,100,000","1,200,000","-3,100,000","-2,100,000","-1,800,000","1,300,000","600,000","2,400,000","1,900,000","1,600,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,"-200,000","-17,600,000","-1,100,000","0","-100,000","-1,100,000","-4,500,000","0","-3,900,000","-100,000","-700,000","100,000","-500,000","-300,000","-1,600,000","-200,000","-100,000","-11,700,000","-200,000","-500,000","-500,000","-100,000","-200,000","800,000","200,000","200,000","-2,900,000","-100,000","-100,000","0","-500,000","-2,100,000","0","369,000","-71,000","749,000","101,000","76,000","100,000","79,000","-117,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,400,000","1,900,000",,,,,,,,,"389,000","32,000","-665,000",,"-436,000","-204,000","-65,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-800,000","-800,000","-600,000","-700,000","-700,000","-600,000","-300,000","-600,000","-500,000","-600,000","-500,000","-600,000","-500,000","-400,000","-700,000","-480,000",,,"-665,000","-690,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,"0","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"232,400,000","59,100,000","58,100,000","56,700,000","58,500,000","56,900,000","56,500,000","56,400,000","57,400,000","57,000,000","56,100,000","54,800,000","54,400,000","54,000,000","53,400,000","53,400,000","54,300,000","54,100,000","54,200,000","54,000,000","55,000,000","55,200,000","55,300,000","55,100,000","55,500,000","56,100,000","53,900,000","54,400,000","54,900,000","55,300,000","55,200,000","54,000,000","52,700,000","51,900,000","51,300,000","49,900,000","50,100,000","41,100,000","42,200,000","37,300,000","36,500,000","35,500,000","34,400,000","34,200,000","31,500,000","33,000,000","31,701,000","29,847,000","29,977,000","29,078,000","29,032,000","30,425,000","29,580,000","29,847,000","28,104,000","27,010,000","21,445,000","21,365,000","22,421,000","19,791,000","19,210,000","18,451,000","16,972,000","15,624,000","15,908,000","11,821,000","11,825,000","11,537,000","12,107,000","11,162,000","11,481,000","11,034,000","11,066,000","11,046,000","10,711,000","11,123,000","7,532,000","7,504,000","7,249,000","7,365,000","7,111,000","6,821,000","8,410,000","8,433,000","7,831,000","7,663,000","6,972,000","7,247,000","6,994,000","6,879,000","6,500,000","6,700,000","6,400,000","6,000,000","5,200,000","5,500,000","4,600,000","4,100,000","3,900,000","3,400,000","3,200,000","2,700,000","2,700,000","2,100,000","2,100,000","1,600,000","1,400,000","1,300,000","1,300,000","1,200,000","1,200,000"
			DepreciationAndAmortization,"232,400,000","59,100,000","58,100,000","56,700,000","58,500,000","56,900,000","56,500,000","56,400,000","57,400,000","57,000,000","56,100,000","54,800,000","54,400,000","54,000,000","53,400,000","53,400,000","54,300,000","54,100,000","54,200,000","54,000,000","55,000,000","55,200,000","55,300,000","55,100,000","55,500,000","56,100,000","53,900,000","54,400,000","54,900,000","55,300,000","55,200,000","54,000,000","52,700,000","51,900,000","51,300,000","49,900,000","50,100,000","41,100,000","42,200,000","37,300,000","36,500,000","35,500,000","34,400,000","34,200,000","31,500,000","33,000,000","31,701,000","29,847,000","29,977,000","29,078,000","29,032,000","30,425,000","29,580,000","29,847,000","28,104,000","27,010,000","21,445,000","21,365,000","22,421,000","19,791,000","19,210,000","18,451,000","16,972,000","15,624,000","15,908,000","11,821,000","11,825,000","11,537,000","12,107,000","11,162,000","11,481,000","11,034,000","11,066,000","11,046,000","10,711,000","11,123,000","7,532,000","7,504,000","7,249,000","7,365,000","7,111,000","6,821,000","8,410,000","8,433,000","7,831,000","7,663,000","6,972,000","7,247,000","6,994,000","6,879,000","6,500,000","6,700,000","6,400,000","6,000,000","5,200,000","5,500,000","4,600,000","4,100,000","3,900,000","3,400,000","3,200,000","2,700,000","2,700,000","2,100,000","2,100,000","1,600,000","1,400,000","1,300,000","1,300,000","1,200,000","1,200,000"
