name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
OperatingCashFlow,"155,908,000","45,103,000","44,704,000","35,166,000","30,935,000","34,422,000","22,892,000","20,581,000","25,164,000","24,080,000","27,380,000","26,603,000","31,192,000","20,395,000","21,276,000","19,933,000","31,480,000","22,348,000","27,990,000","23,048,000","33,017,000","8,409,000","17,615,000","17,539,000","17,630,000","20,585,000","19,660,000","19,756,000"
	CashFlowFromContinuingOperatingActivities,"155,908,000","45,103,000","44,704,000","35,166,000","30,935,000","34,422,000","22,892,000","20,581,000","25,164,000","24,080,000","27,380,000","26,603,000","31,192,000","20,395,000","21,276,000","19,933,000","31,480,000","22,348,000","27,990,000","23,048,000","33,017,000","8,409,000","17,615,000","17,539,000","17,630,000","20,585,000","19,660,000","19,756,000"
		NetIncomeFromContinuingOperations,"9,401,000","45,835,000","-34,387,000","-565,000","-1,482,000","-3,754,000","-4,677,000","-3,482,000","-18,204,000","-5,543,000","-1,329,000","152,000","8,540,000","-3,200,000","-13,546,000","-27,291,000","-12,065,000","15,431,000","-19,427,000","-15,397,000","-1,023,000","-10,730,000","-35,595,000","-8,729,000","-4,077,000","-5,854,000","-12,966,000","-11,428,000"
		OperatingGainsLosses,"-52,370,000","-55,819,000","611,000","2,849,000","-11,000","-286,000","816,000","-2,178,000","-2,838,000","-1,440,000","-4,519,000","-1,933,000","-14,365,000","-2,873,000","-2,186,000","-1,328,000","-3,673,000","-24,661,000","-1,058,000","-289,000","-8,616,000","-5,295,000","0","0","-1,554,000","1,100,000","1,585,000","-192,000"
			GainLossOnInvestmentSecurities,"-56,340,000","-55,819,000","-32,000","-478,000","-11,000","-286,000","9,000","-2,178,000","-2,838,000","-1,440,000","-4,519,000","-1,933,000","-14,365,000","-2,873,000","-2,186,000","-1,328,000","-3,673,000","-24,661,000","-1,058,000","-289,000","-8,616,000","-5,295,000","0","0",,,"1,585,000","-192,000"
		DepreciationAmortizationDepletion,"133,524,000","37,152,000","32,308,000","32,173,000","32,826,000","30,893,000","31,035,000","32,653,000","32,480,000","32,957,000","30,077,000","27,017,000","28,801,000","29,924,000","26,241,000","29,306,000","32,902,000","34,954,000","38,696,000","39,495,000","39,289,000","30,999,000","24,613,000","25,394,000","25,640,000","25,908,000","25,803,000","25,803,000"
			DepreciationAndAmortization,"133,524,000","37,152,000","32,308,000","32,173,000","32,826,000","30,893,000","31,035,000","32,653,000","32,480,000","32,957,000","30,077,000","27,017,000","28,801,000","29,924,000","26,241,000","29,306,000","32,902,000","34,954,000","38,696,000","39,495,000","39,289,000","30,999,000","24,613,000","25,394,000","25,640,000","25,908,000","25,803,000","25,803,000"
				Depreciation,"133,524,000","37,152,000","32,308,000","32,173,000","31,891,000","31,828,000","32,251,000","34,305,000","34,769,000","33,949,000","31,384,000","29,510,000","30,529,000","31,768,000","32,315,000","35,072,000","35,222,000","36,312,000","40,784,000","41,014,000","40,402,000","31,452,000","24,642,000","25,422,000","25,521,000","25,493,000","25,386,000","25,387,000"
				AmortizationCashFlow,,,,,,"-935,000","-1,216,000","-1,652,000","-2,289,000","-992,000","-1,307,000","-2,493,000","-1,728,000","-1,844,000","-6,074,000","-5,766,000","-2,320,000","-1,358,000","-2,088,000","-1,519,000","-1,113,000","-453,000","-29,000","-28,000","119,000","415,000","417,000","416,000"
					AmortizationOfIntangibles,,,,,,"-935,000","-1,216,000","-1,652,000","-2,289,000","-992,000","-1,307,000","-2,493,000","-1,728,000","-1,844,000","-6,074,000","-5,766,000","-2,320,000","-1,358,000","-2,088,000","-1,519,000","-1,113,000","-453,000","-29,000","-28,000","119,000","415,000","417,000","416,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,"0","9,402,000","12,865,000","0","-9,000","-3,000","-7,000","-6,000","-12,000","-13,000","-8,000","-7,000","-78,000","-18,000"
		AssetImpairmentCharge,"39,203,000","5,942,000","28,616,000","4,554,000",,,"1,408,000","0","11,502,000","0","0","0","1,609,000","823,000","11,023,000","1,172,000","8,563,000","322,000","10,866,000","7,605,000","2,649,000","3,929,000","27,182,000",,,"0","0",
		StockBasedCompensation,"16,415,000","3,498,000","3,485,000","4,149,000","5,283,000","4,347,000","3,343,000","3,235,000","3,247,000","3,211,000","3,211,000","3,217,000","3,268,000","3,021,000","2,935,000","2,240,000","65,000","26,000","26,000","53,000","19,000","30,000","15,000","32,000","10,000","10,000","11,000","26,000"
		OtherNonCashItems,"10,014,000","2,318,000","4,219,000","1,410,000","1,132,000","2,644,000","1,613,000","3,296,000","1,874,000","1,487,000","2,956,000","1,422,000","4,169,000","1,248,000","1,424,000","20,019,000","697,000","714,000","355,000","108,000","131,000","2,378,000","4,318,000","161,000","-98,000","124,000","5,058,000","6,999,000"
		ChangeInWorkingCapital,"-279,000","6,177,000","9,852,000","-9,404,000","-6,904,000","578,000","-10,646,000","-12,943,000","-2,897,000","-6,592,000","-3,016,000","-3,272,000","-830,000","-8,548,000","-4,615,000","-4,185,000","4,991,000","-4,438,000","-1,459,000","-8,524,000","575,000","-12,896,000","-2,906,000","577,000","-3,383,000","404,000","247,000","-1,434,000"
			ChangeInReceivables,"-6,417,000","-1,182,000","-1,965,000","-1,441,000","-1,829,000","-1,798,000","-4,130,000","-7,822,000","-5,524,000","-2,348,000","-2,930,000","-2,798,000","-2,597,000","-1,196,000",,,,,,,,,,,,,,
				ChangesInAccountReceivables,"-6,417,000","-1,182,000","-1,965,000","-1,441,000","-1,829,000","-1,798,000","-4,130,000","-7,822,000","-5,524,000","-2,348,000","-2,930,000","-2,798,000","-2,597,000","-1,196,000",,,,,,,,,,,,,,
