name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
OperatingCashFlow,"416,790,000","34,585,000","-16,299,000","200,942,000","197,562,000","40,141,000","172,513,000","172,259,000","279,395,000","138,815,000","199,651,000","253,564,000","7,312,000","-39,255,000","12,341,000","13,040,000","72,319,000","117,664,000","-17,538,000","39,553,000","93,197,000","37,525,000","134,411,000","163,803,000","121,718,000","101,238,000","127,784,000","37,119,000","158,920,000","-96,573,000","325,000","41,997,000","53,704,000","-7,089,000","95,688,000","41,070,000","-20,342,000","57,072,000","130,337,000","156,171,000","63,039,000","-130,211,000","-30,872,000","-14,486,000","-18,680,000","-17,331,000","70,182,000","-9,235,000","17,167,000","-11,681,000","19,586,000","52,714,000","36,168,000","41,827,000","17,033,000","28,509,000","49,158,000","-11,641,000","66,470,000","127,027,000","30,339,000","34,865,000","13,969,000","-11,997,000","-36,211,000","27,377,000","-3,458,000","18,974,000","-20,275,000","-47,401,000","-3,931,000","-2,373,000","17,223,000","-16,561,000","11,998,000","-5,317,000","-598,000","10,248,000","29,324,000","-15,339,000","-126,000","2,109,000","13,747,000","22,035,000","33,593,000","19,633,000","23,649,000","-8,880,000","25,775,000","-15,362,000","-12,433,000","7,900,000","-9,300,000","-14,000,000","-5,300,000","8,400,000","17,200,000","-19,700,000","-2,700,000","1,900,000","-6,700,000","16,800,000","600,000","-1,800,000","2,200,000","-900,000"
	CashFlowFromContinuingOperatingActivities,"416,790,000","34,585,000","-16,299,000","200,942,000","197,562,000","40,141,000","172,513,000","172,259,000","279,395,000","138,815,000","199,651,000","253,564,000","7,312,000","-39,255,000","12,341,000","13,040,000","72,319,000","117,664,000","-17,538,000","39,553,000","93,197,000","37,525,000","134,411,000","163,803,000","121,718,000","101,238,000","127,784,000","37,119,000","158,920,000","-96,573,000","325,000","41,997,000","53,704,000","-7,089,000","95,688,000","41,070,000","-20,342,000","57,072,000","130,337,000","156,171,000","63,039,000","-130,211,000","-30,872,000","-14,486,000","-18,680,000","-17,331,000","70,182,000","-9,235,000","17,167,000","-11,681,000","19,586,000","52,714,000","36,168,000","41,827,000","17,033,000","28,509,000","49,158,000","-11,641,000","66,470,000","127,027,000","30,339,000","34,865,000","13,969,000","-11,997,000","-36,211,000","27,377,000","-3,458,000","18,974,000","-20,275,000","-47,401,000","-3,931,000","-2,373,000","17,223,000","-16,561,000","11,998,000","-5,317,000","-598,000","10,248,000","29,324,000","-15,339,000","-126,000","2,109,000","13,747,000","22,035,000","33,593,000","19,633,000","23,649,000","-8,880,000","25,775,000","-15,362,000","-12,433,000","7,900,000","-9,300,000","-14,000,000","-5,300,000","8,400,000","17,200,000","-19,700,000","-2,700,000","1,900,000","-6,700,000","16,800,000","600,000","-1,800,000","2,200,000","-900,000"
		NetIncomeFromContinuingOperations,"288,535,000","92,453,000","68,639,000","69,399,000","58,044,000","45,333,000","41,025,000","33,939,000","16,816,000","23,107,000","23,754,000","39,104,000","41,621,000","37,104,000","46,969,000","41,665,000","29,389,000","21,039,000","105,867,000","29,784,000","21,999,000","14,479,000","12,490,000","14,880,000","10,817,000","2,395,000","9,813,000","19,883,000","19,576,000","16,781,000","24,627,000","23,478,000","19,838,000","12,014,000","14,859,000","15,179,000","5,632,000","13,547,000",,,,,,,,"7,267,000","9,198,000","14,159,000","5,688,000","2,237,000","1,534,000","3,008,000","-1,521,000","2,863,000","5,123,000","8,000,000","6,067,000","9,675,000","12,292,000","13,128,000","13,048,000","13,024,000","15,929,000","16,413,000","14,867,000","11,577,000","12,552,000","13,154,000","11,235,000","7,684,000","5,261,000","5,729,000","4,084,000","2,102,000","3,053,000","3,190,000","2,334,000","873,000","3,409,000","2,896,000","1,989,000","434,000","580,000","1,066,000","1,461,000","155,000","-1,582,000","2,098,000","1,733,000","1,076,000","4,766,000","4,200,000","3,900,000","3,300,000","3,900,000","2,800,000","2,800,000","1,300,000","2,000,000","1,600,000","1,000,000","800,000","1,600,000","1,500,000","1,600,000","1,500,000"
		OperatingGainsLosses,"-1,519,000","-179,000","-275,000","-901,000","-164,000","-92,000","-45,000","-326,000","-1,381,000","-100,000","90,000","-70,000","139,000","-57,000","-138,000","209,000","-396,000","28,000","181,000","-107,000","-132,000","163,000","-184,000","-1,566,000","5,000","-10,000","-37,000","-26,000","-65,000","672,000","-42,000","-5,000","1,980,000","-84,000","14,000","10,000","12,000","-41,000","-40,000","-49,000","-68,000","-19,000","39,000","-38,000","-462,000","43,000","-2,000","-10,089,000","-44,000","8,000","5,000","-88,000","-22,000","-55,000","-61,000","-159,000","-7,000","-49,000","8,000","-91,000","33,000","-189,000","-535,000","91,000","-1,215,000","834,000","598,000","-173,000","853,000","129,000","2,012,000","87,000","8,000","-404,000","-1,788,000","-59,000","-651,000","433,000","1,277,000","-315,000","-21,000","2,000","-294,000","-177,000","-961,000","-182,000","-62,000","-594,000","-73,000","-136,000","-66,000","0",,,,,,,"0","-200,000",,,,,,
			GainLossOnSaleOfPPE,"-1,519,000","-179,000","-275,000","-901,000","-164,000","-92,000","-45,000","-326,000","-1,381,000","-100,000","90,000","-70,000","139,000","-57,000","-138,000","209,000","-396,000","28,000","181,000","-107,000","-132,000","163,000","-184,000","-1,566,000","5,000","-10,000","-37,000","-26,000","-65,000","672,000","-42,000","-5,000","-20,000","-84,000","14,000","10,000","12,000","-41,000","-40,000","-49,000","-68,000","-19,000","39,000","-38,000","-462,000","43,000","-2,000","-10,089,000","-44,000","8,000","5,000","-88,000","-22,000","-55,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"172,705,000","45,809,000","42,806,000","41,800,000","42,290,000","42,601,000","43,346,000","44,104,000","44,705,000","45,192,000","45,866,000","44,636,000","43,218,000","41,764,000","42,474,000","41,628,000","49,964,000","51,056,000","40,897,000","39,401,000","38,929,000","38,724,000","39,478,000","39,610,000","39,466,000","39,073,000","38,429,000","36,697,000","35,850,000","33,959,000","36,117,000","31,037,000","30,242,000","29,056,000","25,671,000","23,587,000","22,545,000","21,683,000","20,093,000","18,929,000","17,626,000","16,641,000","15,714,000","15,112,000","13,459,000","12,649,000","12,715,000","11,893,000","11,064,000","10,248,000","10,081,000","9,793,000","10,753,000","10,071,000","10,041,000","9,863,000","9,392,000","9,212,000","9,210,000","9,010,000","8,885,000","8,693,000","7,479,000","7,046,000","6,531,000","6,018,000","5,613,000","5,507,000","5,197,000","4,693,000","4,056,000","4,070,000","3,948,000","3,849,000","3,912,000","3,911,000","3,900,000","3,819,000","3,897,000","4,025,000","3,988,000","3,936,000","4,143,000","4,123,000","3,970,000","3,920,000","3,841,000","3,543,000","3,212,000","2,983,000","2,680,000","2,100,000","2,000,000","1,600,000","1,500,000","1,200,000","1,100,000","1,000,000","900,000","800,000","700,000","600,000","600,000","700,000","600,000","500,000"
			DepreciationAndAmortization,"172,705,000","45,809,000","42,806,000","41,800,000","42,290,000","42,601,000","43,346,000","44,104,000","44,705,000","45,192,000","45,866,000","44,636,000","43,218,000","41,764,000","42,474,000","41,628,000","49,964,000","51,056,000","40,897,000","39,401,000","38,929,000","38,724,000","39,478,000","39,610,000","39,466,000","39,073,000","38,429,000","36,697,000","35,850,000","33,959,000","36,117,000","31,037,000","30,242,000","29,056,000","25,671,000","23,587,000","22,545,000","21,683,000","20,093,000","18,929,000","17,626,000","16,641,000","15,714,000","15,112,000","13,459,000","12,649,000","12,715,000","11,893,000","11,064,000","10,248,000","10,081,000","9,793,000","10,753,000","10,071,000","10,041,000","9,863,000","9,392,000","9,212,000","9,210,000","9,010,000","8,885,000","8,693,000","7,479,000","7,046,000","6,531,000","6,018,000","5,613,000","5,507,000","5,197,000","4,693,000","4,056,000","4,070,000","3,948,000","3,849,000","3,912,000","3,911,000","3,900,000","3,819,000","3,897,000","4,025,000","3,988,000","3,936,000","4,143,000","4,123,000","3,970,000","3,920,000","3,841,000","3,543,000","3,212,000","2,983,000","2,680,000","2,100,000","2,000,000","1,600,000","1,500,000","1,200,000","1,100,000","1,000,000","900,000","800,000","700,000","600,000","600,000","700,000","600,000","500,000"
		DeferredTax,"23,428,000","1,019,000","37,063,000","-8,427,000","-6,227,000","-8,375,000","-26,261,000","-1,160,000","-3,277,000","-7,160,000","1,386,000","16,702,000","4,751,000","150,000","-6,128,000","7,375,000","3,995,000","755,000","-70,812,000","6,015,000","1,186,000","1,408,000","4,976,000","3,196,000","7,744,000","-7,585,000","35,742,000","-411,000","-2,057,000","-1,629,000","41,254,000","-13,223,000","-2,637,000","-165,000","13,797,000","9,208,000","-3,887,000","2,963,000","8,823,000","13,556,000","5,029,000","756,000","12,120,000","7,736,000","7,830,000","994,000","8,727,000","918,000","255,000","315,000","887,000","437,000","-3,417,000","-887,000","2,060,000","3,637,000","2,936,000","1,311,000","3,426,000","1,820,000","1,260,000","1,010,000","7,849,000","-890,000","-582,000","500,000","362,000","933,000","239,000","-248,000","2,601,000","873,000","60,000","615,000","1,240,000","1,291,000","1,458,000","-286,000","-2,912,000","1,728,000","-114,000","639,000","760,000","727,000","871,000","552,000","1,267,000","1,480,000","566,000","580,000","663,000","900,000","500,000","500,000","0","200,000","100,000","200,000","0","100,000","0","100,000","400,000","300,000",,
			DeferredIncomeTax,"23,428,000","1,019,000","37,063,000","-8,427,000","-6,227,000","-8,375,000","-26,261,000","-1,160,000","-3,277,000","-7,160,000","1,386,000","16,702,000","4,751,000","150,000","-6,128,000","7,375,000","3,995,000","755,000","-70,812,000","6,015,000","1,186,000","1,408,000","4,976,000","3,196,000","7,744,000","-7,585,000","35,742,000","-411,000","-2,057,000","-1,629,000","41,254,000","-13,223,000","-2,637,000","-165,000","13,797,000","9,208,000","-3,887,000","2,963,000","8,823,000","13,556,000","5,029,000","756,000","12,120,000","7,736,000","7,830,000","994,000","8,727,000","918,000","255,000","315,000","887,000","437,000","-3,417,000","-887,000","2,060,000","3,637,000","2,936,000","1,311,000","3,426,000","1,820,000","1,260,000","1,010,000","7,849,000","-890,000","-582,000","500,000","362,000","933,000","239,000","-248,000","2,601,000","873,000","60,000","615,000","1,240,000","1,291,000","1,458,000","-286,000","-2,912,000","1,728,000","-114,000","639,000","760,000","727,000","871,000","552,000","1,267,000","1,480,000","566,000","580,000","663,000","900,000","500,000","500,000","0","200,000","100,000","200,000","0","100,000","0","100,000","400,000","300,000",,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,"0","11,000","518,000","7,718,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
