name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalRevenue,"26,837,000","7,578,000","9,460,000","1,101,000","8,698,000","10,131,000","8,751,000","12,661,000","10,025,000","11,546,000","12,088,000","12,506,000","12,281,000","13,166,000","10,347,000"
	OperatingRevenue,"26,837,000","7,578,000","9,460,000","1,101,000","8,698,000","10,131,000","8,751,000","12,661,000","10,025,000","11,546,000","12,088,000","12,506,000","12,281,000","13,166,000","10,347,000"
OperatingExpense,"235,397,000","65,527,000","62,373,000","54,264,000","53,233,000","47,528,000","42,831,000","40,212,000","38,009,000","32,628,000","31,652,000","26,065,000","22,842,000","23,602,000","22,016,000"
	SellingGeneralAndAdministration,"32,817,000","9,037,000","8,692,000","7,791,000","7,297,000","6,670,000","5,825,000","5,341,000","5,091,000","5,171,000","4,162,000","3,103,000","2,725,000","2,416,000","3,835,000"
		GeneralAndAdministrativeExpense,"32,817,000","9,037,000","8,692,000","7,791,000","7,297,000","6,670,000","5,825,000","5,341,000","5,091,000","5,171,000","4,162,000","3,103,000","2,725,000","2,416,000","3,835,000"
			OtherGandA,"32,817,000","9,037,000","8,692,000","7,791,000","7,297,000","6,670,000","5,825,000","5,341,000","5,091,000","5,171,000","4,162,000","3,103,000","2,725,000","2,416,000","3,835,000"
	ResearchAndDevelopment,"202,580,000","56,490,000","53,681,000","46,473,000","45,936,000","40,858,000","37,006,000","34,871,000","32,918,000","27,457,000","27,490,000","22,962,000","20,117,000","21,186,000","18,181,000"
OperatingIncome,"-208,560,000","-57,949,000","-52,913,000","-53,163,000","-44,535,000","-37,397,000","-34,080,000","-27,551,000","-27,984,000","-21,082,000","-19,564,000","-13,559,000","-10,561,000","-10,436,000","-11,669,000"
NetNonOperatingInterestIncomeExpense,"998,000","302,000","237,000","223,000","236,000","221,000","238,000","330,000","711,000","888,000","595,000","741,000","442,000","305,000","330,000"
	InterestIncomeNonOperating,"998,000","302,000","237,000","223,000","236,000","233,000","252,000","347,000","730,000","909,000","618,000","766,000","470,000","335,000","363,000"
	InterestExpenseNonOperating,"0","0","0","0","0","12,000","14,000","17,000","19,000","21,000","23,000","25,000","28,000","30,000","33,000"
OtherIncomeExpense,,,,,,,,,,,,,,,"0"
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,,,"0"
PretaxIncome,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-33,842,000","-27,221,000","-27,273,000","-20,194,000","-18,969,000","-12,818,000","-10,119,000","-10,131,000","-11,339,000"
TaxProvision,"0","0","0","0","0","0","362,000","0","-58,000","-675,000",,"0","0","0",
NetIncomeCommonStockholders,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-21,738,000","-28,834,000","-17,065,000","-13,182,000","-12,807,000","-4,706,000"
	NetIncome,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-19,519,000","-14,596,000","-12,818,000","-10,119,000","-10,131,000","-11,339,000"
		NetIncomeIncludingNoncontrollingInterests,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-19,519,000","-14,596,000","-12,818,000","-10,119,000","-10,131,000","-11,339,000"
			NetIncomeContinuousOperations,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-19,519,000","-14,596,000","-12,818,000","-10,119,000","-10,131,000","-11,339,000"
	PreferredStockDividends,,,,,,,"0",,,"2,219,000","4,251,000","4,247,000","3,063,000","2,676,000","2,519,000"
DilutedNIAvailtoComStockholders,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-21,738,000","-28,834,000","-17,065,000","-13,182,000","-12,807,000","-4,706,000"
BasicEPS,,"-0.78","-0.71","-0.72","-0.6","-0.53","-0.52","-0.42","-0.46","-0.74",,"-0.468","-0.361","-0.351",
DilutedEPS,,"-0.78","-0.71","-0.72","-0.6","-0.53","-0.52","-0.42","-0.46","-0.74",,"-0.468","-0.361","-0.351",
BasicAverageShares,,"74,162,363","73,831,121","73,535,686","73,399,714","70,420,076","66,319,926","64,892,868","58,752,494","29,297,698",,"36,473,121","36,473,121","36,473,121",
DilutedAverageShares,,"74,162,363","73,831,121","73,535,686","73,399,714","70,420,076","66,319,926","64,892,868","58,752,494","29,297,698",,"36,473,121","36,473,121","36,473,121",
TotalOperatingIncomeAsReported,"-208,560,000","-57,949,000","-52,913,000","-53,163,000","-44,535,000","-37,397,000","-34,080,000","-27,551,000","-27,984,000","-21,082,000","-19,564,000","-13,559,000","-10,561,000","-10,436,000","-11,669,000"
TotalExpenses,"235,397,000","65,527,000","62,373,000","54,264,000","53,233,000","47,528,000","42,831,000","40,212,000","38,009,000","32,628,000","31,652,000","26,065,000","22,842,000","23,602,000","22,016,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-19,519,000","-14,596,000","-12,818,000","-10,119,000","-10,131,000","-11,339,000"
NormalizedIncome,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-19,519,000","-14,596,000","-12,818,000","-10,119,000","-10,131,000","-11,339,000"
InterestIncome,"998,000","302,000","237,000","223,000","236,000","233,000","252,000","347,000","730,000","909,000","618,000","766,000","470,000","335,000","363,000"
InterestExpense,"0","0","0","0","0","12,000","14,000","17,000","19,000","21,000","23,000","25,000","28,000","30,000","33,000"
NetInterestIncome,"998,000","302,000","237,000","223,000","236,000","221,000","238,000","330,000","711,000","888,000","595,000","741,000","442,000","305,000","330,000"
EBIT,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,164,000","-33,828,000","-27,204,000","-27,254,000","-20,173,000","-18,946,000","-12,793,000","-10,091,000","-10,101,000","-11,306,000"
EBITDA,"-199,618,000"
ReconciledDepreciation,"7,944,000","2,290,000","2,062,000","1,751,000","1,841,000","1,678,000","1,700,000","1,630,000","1,671,000","1,544,000","865,000","873,000","811,000","793,000","691,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-207,562,000","-57,647,000","-52,676,000","-52,940,000","-44,299,000","-37,176,000","-34,204,000","-27,221,000","-27,215,000","-19,519,000","-14,596,000","-12,818,000","-10,119,000","-10,131,000","-11,339,000"
NormalizedEBITDA,"-199,618,000","-55,357,000","-50,614,000","-51,189,000","-42,458,000","-35,486,000","-32,128,000","-25,574,000","-25,583,000","-18,629,000","-18,081,000","-11,920,000","-9,280,000","-9,308,000","-10,615,000"
TaxRateForCalcs,"0","0","0","0","0","0","0.27","0","0.002","0.033","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
