name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"6,288,000","3,919,000","1,037,000","1,006,000","326,000","760,000","463,000","359,000","179,000","228,000"
	OperatingRevenue,"6,288,000","3,919,000","1,037,000","1,006,000","326,000","760,000","463,000","359,000","179,000","228,000"
OperatingExpense,"113,967,000","36,015,000","30,981,000","27,799,000","19,172,000","12,980,000","9,026,000","7,825,000","6,733,000","6,652,000"
	SellingGeneralAndAdministration,"31,368,000","8,085,000","7,417,000","10,248,000","5,618,000","5,222,000","3,719,000","3,173,000","1,810,000","2,387,000"
		GeneralAndAdministrativeExpense,"31,368,000","8,085,000","7,417,000","10,248,000","5,618,000","5,222,000","3,719,000","3,173,000","1,810,000","2,387,000"
			OtherGandA,"31,368,000","8,085,000","7,417,000","10,248,000","5,618,000","5,222,000","3,719,000","3,173,000","1,810,000","2,387,000"
	ResearchAndDevelopment,"82,599,000","27,930,000","23,564,000","17,551,000","13,554,000","7,758,000","5,307,000","4,652,000","4,923,000","4,265,000"
OperatingIncome,"-107,679,000","-32,096,000","-29,944,000","-26,793,000","-18,846,000","-12,220,000","-8,563,000","-7,466,000","-6,554,000","-6,424,000"
NetNonOperatingInterestIncomeExpense,"-83,000","30,000","26,000","14,000","-153,000","-640,000","-632,000","-361,000","-592,000","-532,000"
	InterestIncomeNonOperating,"120,000","30,000","26,000","27,000","37,000","18,000","5,000","3,000","3,000","2,000"
	InterestExpenseNonOperating,"203,000","0","0","13,000","190,000","658,000","637,000","364,000","595,000","534,000"
OtherIncomeExpense,,,"0","-554,000",,"-1,085,000","-13,000","1,000","-5,000","2,000"
	GainOnSaleOfSecurity,,,"0",,,"-105,000",,"1,000","-5,000","2,000"
	SpecialIncomeCharges,,,"0","-554,000",,,,"0",,
		OtherSpecialCharges,,,"0","554,000",,,,,,
	OtherNonOperatingIncomeExpenses,,,"0",,,"-980,000",,,,
PretaxIncome,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-9,208,000","-7,826,000","-7,151,000","-6,954,000"
NetIncomeCommonStockholders,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-8,623,000","-6,947,000","-8,440,000","-13,128,000"
	NetIncome,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-8,623,000","-6,947,000","-8,440,000","-13,128,000"
		NetIncomeIncludingNoncontrollingInterests,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-8,623,000","-6,947,000","-8,440,000","-13,128,000"
			NetIncomeContinuousOperations,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-9,208,000","-7,826,000","-7,151,000","-6,954,000"
			NetIncomeDiscontinuousOperations,,,"0","0","0","0","585,000","879,000","-1,289,000","-6,174,000"
DilutedNIAvailtoComStockholders,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-8,623,000","-6,947,000","-8,440,000","-13,128,000"
BasicEPS,,"-0.82","-0.77","-0.7","-0.49","-1.67",,"-0.257","-0.313","-0.486"
DilutedEPS,,"-0.82","-0.77","-0.7","-0.49","-1.67",,"-0.257","-0.313","-0.486"
BasicAverageShares,,"39,006,794","38,916,838","38,848,412","38,813,865","8,338,892",,"26,984,928","26,984,928","26,984,928"
DilutedAverageShares,,"39,006,794","38,916,838","38,848,412","38,813,865","8,338,892",,"26,984,928","26,984,928","26,984,928"
TotalOperatingIncomeAsReported,"-107,679,000","-32,096,000","-29,944,000","-26,793,000","-18,846,000","-12,220,000","-8,563,000","-7,466,000","-6,554,000","-6,424,000"
TotalExpenses,"113,967,000","36,015,000","30,981,000","27,799,000","19,172,000","12,980,000","9,026,000","7,825,000","6,733,000","6,652,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-8,623,000","-6,947,000","-8,440,000","-13,128,000"
NormalizedIncome,"-107,762,000","-32,066,000","-29,918,000","-26,779,000","-18,999,000","-13,840,000","-9,208,000","-7,827,000","-7,146,000","-6,956,000"
InterestIncome,"120,000","30,000","26,000","27,000","37,000","18,000","5,000","3,000","3,000","2,000"
InterestExpense,"203,000","0","0","13,000","190,000","658,000","637,000","364,000","595,000","534,000"
NetInterestIncome,"-83,000","30,000","26,000","14,000","-153,000","-640,000","-632,000","-361,000","-592,000","-532,000"
EBIT,"-108,113,000","-32,066,000","-29,918,000","-27,320,000","-18,809,000","-13,287,000","-8,571,000","-7,462,000","-6,556,000","-6,420,000"
EBITDA,"-107,807,000"
ReconciledDepreciation,"306,000","87,000","85,000","78,000","56,000","39,000","30,000","30,000","27,000","22,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-108,316,000","-32,066,000","-29,918,000","-27,333,000","-18,999,000","-13,945,000","-9,208,000","-7,826,000","-7,151,000","-6,954,000"
TotalUnusualItemsExcludingGoodwill,"-554,000",,"0","-554,000",,"-105,000",,"1,000","-5,000","2,000"
TotalUnusualItems,"-554,000",,"0","-554,000",,"-105,000",,"1,000","-5,000","2,000"
NormalizedEBITDA,"-107,253,000","-31,979,000","-29,833,000","-26,688,000","-18,753,000","-13,143,000","-8,541,000","-7,433,000","-6,524,000","-6,400,000"
TaxRateForCalcs,"0","0","0","0","0","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0"
