name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"-376,896,000","-107,800,000","-97,501,000","-68,826,000","-102,769,000","-109,086,000","1,010,971,000","-91,016,000","-118,984,000","-136,691,000","-116,726,000","-128,702,000","-133,344,000","-149,934,000","-101,778,000","-80,187,000","-135,000","-78,571,000","-58,899,000","-46,092,000","-59,076,000","-55,210,000","-33,776,000","-30,796,000","-26,671,000","-27,435,000","-18,117,000","-19,515,000","-18,443,000","-14,606,000","-8,667,000","-7,486,000","-5,273,000","-5,616,000","-5,039,000","-5,171,000","-4,266,000","-3,040,000"
	CashFlowFromContinuingOperatingActivities,"-376,896,000","-107,800,000","-97,501,000","-68,826,000","-102,769,000","-109,086,000","1,010,971,000","-91,016,000","-118,984,000","-136,691,000","-116,726,000","-128,702,000","-133,344,000","-149,934,000","-101,778,000","-80,187,000","-135,000","-78,571,000","-58,899,000","-46,092,000","-59,076,000","-55,210,000","-33,776,000","-30,796,000","-26,671,000","-27,435,000","-18,117,000","-19,515,000","-18,443,000","-14,606,000","-8,667,000","-7,486,000","-5,273,000","-5,616,000","-5,039,000","-5,171,000","-4,266,000","-3,040,000"
		NetIncomeFromContinuingOperations,"-484,183,000","-122,055,000","-124,712,000","-130,171,000","-107,245,000","-95,764,000","974,895,000","-105,735,000","-136,347,000","-126,740,000","-168,653,000","-179,958,000","-168,221,000","-163,406,000","-158,388,000","-122,918,000","-16,978,000","-74,598,000","-69,422,000","-73,719,000","-70,201,000","-56,778,000","-55,901,000","-37,796,000","-34,747,000","-30,543,000","-28,562,000","-24,035,000","-25,027,000","-16,871,000","-12,361,000","-9,468,000","-6,192,000","-5,790,000","-5,718,000","-4,519,000","-4,655,000","-3,389,000"
		OperatingGainsLosses,"-15,371,000","-1,189,000","-3,849,000","-2,919,000","-7,414,000","-9,459,000","-670,000","-572,000","-254,000","-240,000","-1,022,000","-765,000","-1,148,000","-739,000","-50,000","-90,000","-71,000","-4,000","-56,000","-49,000",,,"-93,000","-394,000",,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-15,371,000","-1,189,000","-3,849,000","-2,919,000","-7,414,000","-9,459,000","-670,000","-572,000","-254,000","-240,000","-1,022,000","-765,000","-1,148,000","-739,000","-50,000","-90,000","-71,000","-4,000","-56,000","-49,000",,,"-93,000","-394,000",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,875,000","275,000","333,000","374,000","893,000","2,582,000","649,000","650,000","662,000","669,000","665,000","698,000","505,000","415,000","363,000","287,000","246,000","247,000","135,000","136,000","130,000","130,000","82,000","83,000","75,000","41,000","32,000","29,000","32,000","22,000","16,000","13,000","11,000","11,000","13,000","11,000","12,000","11,000"
			DepreciationAndAmortization,"1,875,000","275,000","333,000","374,000","893,000","2,582,000","649,000","650,000","662,000","669,000","665,000","698,000","505,000","415,000","363,000","287,000","246,000","247,000","135,000","136,000","130,000","130,000","82,000","83,000","75,000","41,000","32,000","29,000","32,000","22,000","16,000","13,000","11,000","11,000","13,000","11,000","12,000","11,000"
				Depreciation,"1,875,000","275,000","333,000","374,000","893,000","2,582,000","649,000","650,000","662,000","669,000","665,000","698,000","505,000","415,000","363,000","287,000","246,000","247,000","135,000","136,000","130,000","130,000","82,000","83,000","75,000","41,000","32,000","29,000","32,000","22,000","16,000","13,000","11,000","11,000","13,000","11,000","12,000","11,000"
		AmortizationOfSecurities,"15,254,000","3,533,000","4,324,000","4,034,000","3,363,000","1,325,000","420,000","324,000","322,000","-18,000","-537,000","-1,456,000","-2,651,000","-2,322,000","-2,991,000","-2,747,000","-2,806,000","-1,348,000","-236,000","-62,000","-28,000","33,000","199,000","74,000",,,,,,,,,,,,,,
		StockBasedCompensation,"101,206,000","18,553,000","20,648,000","34,342,000","27,663,000","21,976,000","20,744,000","20,108,000","24,032,000","31,110,000","30,679,000","43,669,000","34,767,000","44,116,000","31,640,000","25,478,000","29,028,000","15,817,000","10,245,000","9,731,000","9,350,000","6,208,000","10,093,000","4,748,000","4,465,000","3,714,000","4,086,000","4,407,000","5,398,000","1,349,000","1,326,000","691,000","335,000","160,000","29,000","20,000","12,000","0"
