name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
TotalRevenue,"580,285,000","163,105,000","135,657,000","128,591,000","152,932,000","152,365,000","152,054,000","143,252,000","153,917,000","149,346,000","155,763,000","149,834,000","219,366,000","136,773,000","139,209,000","151,802,000","166,312,000","166,086,000","166,472,000","111,789,000","64,736,000","62,650,000","61,791,000","61,927,000","74,249,000","62,559,000","66,772,000","59,934,000","56,586,000","55,572,000","55,711,000","43,984,000","42,973,000","40,850,000","37,557,000","32,926,000","32,275,000","32,022,000","28,288,000","26,038,000","25,117,000","23,727,000","26,349,000","21,470,000","18,805,000","17,601,000"
	OperatingRevenue,"580,285,000","163,105,000","135,657,000","128,591,000","152,932,000","152,365,000","152,054,000","143,252,000","153,917,000","149,346,000","155,763,000","149,834,000","219,366,000","136,773,000","139,209,000","151,802,000","166,312,000","166,086,000","166,472,000","111,789,000","64,736,000","62,650,000","61,791,000","61,927,000","74,249,000","62,559,000","66,772,000","59,934,000","56,586,000","55,572,000","55,711,000","43,984,000","42,973,000","40,850,000","37,557,000","32,926,000","32,275,000","32,022,000","28,288,000","26,038,000","25,117,000","23,727,000","26,349,000","21,470,000","18,805,000","17,601,000"
CostOfRevenue,"145,236,000","38,115,000","37,384,000","35,836,000","33,901,000","34,080,000","33,096,000","32,994,000","33,301,000","32,162,000","31,074,000","29,590,000","30,479,000","17,329,000","12,512,000","12,611,000","12,299,000","12,124,000","5,931,000","5,102,000","4,407,000","2,420,000","1,447,000","1,404,000","1,440,000","1,412,000","1,135,000",,,,,,,,,,,,,"0","0","0","0","0","0","0"
GrossProfit,"435,049,000","124,990,000","98,273,000","92,755,000","119,031,000","118,285,000","118,958,000","110,258,000","120,616,000","117,184,000","124,689,000","120,244,000","188,887,000","119,444,000","126,697,000","139,191,000","154,013,000","153,962,000","160,541,000","106,687,000","60,329,000","60,230,000","60,344,000","60,523,000","72,809,000","61,147,000","65,637,000",,,,,,,,,,,,,"26,038,000","25,117,000","23,727,000","26,349,000","21,470,000","18,805,000","17,601,000"
OperatingExpense,"218,384,000","56,127,000","55,361,000","53,703,000","53,193,000","55,338,000","53,412,000","51,335,000","53,004,000","53,596,000","49,323,000","51,858,000","57,728,000","54,334,000","89,002,000","65,400,000","55,425,000","57,085,000","69,493,000","44,026,000","28,904,000","27,780,000","23,853,000","23,813,000","21,264,000","25,003,000","27,516,000","22,786,000","27,331,000","22,153,000","23,799,000","15,988,000","17,681,000","15,203,000","13,782,000","11,315,000","11,644,000","12,963,000","12,423,000","11,274,000","11,046,000","11,624,000","11,592,000","11,502,000","9,213,000","8,756,000"
	SellingGeneralAndAdministration,"36,127,000","10,396,000","8,237,000","8,683,000","8,811,000","8,938,000","8,105,000","7,216,000","8,673,000","8,761,000","5,510,000","8,709,000","8,059,000","8,178,000","11,298,000","8,022,000","9,271,000","7,867,000","8,242,000","12,944,000","11,149,000","6,873,000","4,397,000","6,171,000","4,636,000","4,714,000","3,153,000","3,991,000","9,862,000","8,003,000","9,334,000","6,226,000","7,926,000","5,853,000","5,227,000","3,057,000","3,422,000","4,717,000","4,516,000","3,778,000","3,489,000","4,321,000","4,228,000","4,652,000","2,923,000","2,670,000"
		GeneralAndAdministrativeExpense,"30,462,000",,,,,,,,,,"5,510,000","8,709,000","8,059,000","8,178,000","11,298,000","8,022,000","9,271,000","7,867,000","8,242,000","12,944,000","11,149,000","6,873,000","4,397,000","6,171,000","4,636,000","4,714,000","3,153,000","3,991,000","9,862,000","8,003,000","9,334,000","6,226,000","7,926,000","5,853,000","5,227,000","3,057,000","3,422,000","4,717,000","4,516,000",,,,,,,
			OtherGandA,"30,462,000",,,,,,,,,,"5,510,000","8,709,000","8,059,000","8,178,000","11,298,000","8,022,000","9,271,000","7,867,000","8,242,000","12,944,000","11,149,000","6,873,000","4,397,000","6,171,000","4,636,000","4,714,000","3,153,000","3,991,000","9,862,000","8,003,000","9,334,000","6,226,000","7,926,000","5,853,000","5,227,000","3,057,000","3,422,000","4,717,000","4,516,000",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"179,872,000","45,256,000","45,079,000","45,046,000","44,491,000","44,375,000","44,158,000","44,209,000","44,202,000","44,168,000","44,032,000","43,092,000","49,476,000","44,949,000","48,078,000","48,468,000","46,828,000","48,005,000","51,592,000","25,933,000","17,220,000","19,137,000","17,199,000","17,102,000","16,405,000","17,766,000","18,126,000","16,306,000","14,497,000","14,150,000","14,465,000","9,762,000","9,755,000","9,350,000","8,555,000","8,258,000","8,222,000","8,246,000","7,907,000","7,496,000","7,557,000","7,303,000","7,364,000","6,850,000","6,290,000","6,086,000"
		DepreciationAndAmortizationInIncomeStatement,"179,872,000","45,256,000","45,079,000","45,046,000","44,491,000","44,375,000","44,158,000","44,209,000","44,202,000","44,168,000","44,032,000","43,092,000","49,476,000","44,949,000","48,078,000","48,468,000","46,828,000","48,005,000","51,592,000","25,933,000","17,220,000","19,137,000","17,199,000","17,102,000","16,405,000","17,766,000","18,126,000","16,306,000","14,497,000","14,150,000","14,465,000","9,762,000","9,755,000","9,350,000","8,555,000","8,258,000","8,222,000","8,246,000","7,907,000","7,496,000","7,557,000","7,303,000","7,364,000","6,850,000","6,290,000","6,086,000"
